# Simulation 8 (Up to date)
# 459 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,6.339e-5,-6.339e-5
0.051,2.2e-4,-2.2e-4
0.061,4.697e-4,-4.697e-4
0.071,8.105e-4,-8.105e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.004,-0.004
0.139,0.005,-0.005
0.149,0.005,-0.005
0.159,0.006,-0.006
0.169,0.006,-0.006
0.179,0.007,-0.007
0.189,0.007,-0.007
0.192,0.008,-0.008
0.196,0.008,-0.008
0.203,0.008,-0.008
0.209,0.009,-0.009
0.216,0.009,-0.009
0.224,0.009,-0.009
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.01,-0.01
0.234,0.01,-0.01
0.238,0.01,-0.01
0.241,0.011,-0.011
0.244,0.011,-0.011
0.248,0.012,-0.012
0.251,0.013,-0.013
0.255,0.013,-0.013
0.258,0.014,-0.014
0.262,0.015,-0.015
0.265,0.016,-0.016
0.269,0.017,-0.017
0.273,0.019,-0.019
0.276,0.02,-0.02
0.281,0.021,-0.021
0.285,0.023,-0.023
0.289,0.025,-0.025
0.292,0.026,-0.026
0.296,0.028,-0.028
0.302,0.03,-0.03
0.308,0.033,-0.033
0.315,0.037,-0.037
0.325,0.041,-0.041
0.34,0.047,-0.047
0.362,0.055,-0.055
0.37,0.056,-0.056
0.377,0.057,-0.057
0.383,0.058,-0.058
0.388,0.058,-0.058
0.393,0.058,-0.058
0.398,0.057,-0.057
0.402,0.056,-0.056
0.407,0.055,-0.055
0.411,0.054,-0.054
0.415,0.053,-0.053
0.419,0.051,-0.051
0.422,0.05,-0.05
0.426,0.048,-0.048
0.43,0.046,-0.046
0.433,0.043,-0.043
0.437,0.041,-0.041
0.441,0.038,-0.038
0.444,0.035,-0.035
0.448,0.032,-0.032
0.452,0.029,-0.029
0.456,0.025,-0.025
0.459,0.021,-0.021
0.463,0.017,-0.017
0.467,0.012,-0.012
0.472,0.007,-0.007
0.475,0.003,-0.003
0.48,-0.003,0.003
0.485,-0.01,0.01
0.491,-0.018,0.018
0.497,-0.028,0.028
0.506,-0.042,0.042
0.519,-0.064,0.064
0.538,-0.099,0.099
0.548,-0.117,0.117
0.554,-0.13,0.13
0.56,-0.142,0.142
0.566,-0.153,0.153
0.571,-0.163,0.163
0.576,-0.174,0.173
0.581,-0.184,0.184
0.586,-0.194,0.194
0.591,-0.204,0.204
0.596,-0.214,0.214
0.601,-0.225,0.225
0.606,-0.236,0.236
0.612,-0.248,0.248
0.618,-0.26,0.26
0.624,-0.274,0.274
0.631,-0.29,0.29
0.64,-0.31,0.309
0.653,-0.339,0.338
0.671,-0.381,0.381
0.686,-0.418,0.418
0.693,-0.439,0.438
0.702,-0.462,0.462
0.708,-0.478,0.478
0.713,-0.494,0.494
0.719,-0.51,0.51
0.723,-0.523,0.522
0.728,-0.539,0.539
0.734,-0.557,0.556
0.74,-0.576,0.575
0.746,-0.596,0.596
0.754,-0.621,0.62
0.763,-0.653,0.652
0.777,-0.702,0.701
0.798,-0.778,0.777
0.809,-0.819,0.818
0.817,-0.848,0.847
0.824,-0.873,0.872
0.83,-0.897,0.896
0.836,-0.92,0.919
0.842,-0.943,0.942
0.85,-0.973,0.973
0.857,-1,0.999
0.864,-1.03,1.029
0.874,-1.068,1.067
0.888,-1.125,1.124
0.909,-1.215,1.214
0.92,-1.26,1.259
0.927,-1.292,1.291
0.933,-1.32,1.319
0.939,-1.346,1.345
0.945,-1.373,1.372
0.951,-1.4,1.399
0.957,-1.428,1.427
0.964,-1.465,1.463
0.975,-1.52,1.519
0.992,-1.605,1.603
1.003,-1.66,1.659
1.01,-1.697,1.696
1.017,-1.732,1.73
1.024,-1.765,1.764
1.03,-1.8,1.799
1.037,-1.838,1.836
1.046,-1.882,1.881
1.057,-1.944,1.942
1.063,-1.974,1.973
1.072,-2.021,2.019
1.084,-2.092,2.09
1.098,-2.168,2.166
1.107,-2.222,2.22
1.115,-2.269,2.268
1.123,-2.315,2.313
1.131,-2.364,2.362
1.14,-2.419,2.417
1.152,-2.493,2.491
1.17,-2.607,2.604
1.197,-2.781,2.778
1.208,-2.853,2.85
1.211,-2.87,2.867
1.215,-2.895,2.892
1.221,-2.933,2.93
1.229,-2.99,2.988
1.242,-3.076,3.073
1.261,-3.204,3.201
1.288,-3.392,3.389
1.296,-3.448,3.445
1.303,-3.5,3.497
1.312,-3.564,3.561
1.324,-3.656,3.653
1.343,-3.796,3.792
1.359,-3.914,3.91
1.37,-4,3.996
1.383,-4.099,4.095
1.402,-4.25,4.246
1.431,-4.481,4.477
1.46,-4.717,4.713
1.468,-4.781,4.776
1.48,-4.877,4.872
1.497,-5.023,5.018
1.523,-5.245,5.24
1.562,-5.587,5.582
1.593,-5.873,5.867
1.641,-6.314,6.308
1.656,-6.459,6.452
1.679,-6.678,6.671
1.713,-7.013,7.006
1.763,-7.516,7.508
1.813,-8.035,8.026
1.821,-8.119,8.111
1.834,-8.257,8.248
1.847,-8.396,8.387
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.533,8.524
1.88,-8.739,8.729
1.909,-9.043,9.033
1.953,-9.491,9.481
2.003,-9.99,9.979
2.053,-10.476,10.464
2.103,-10.952,10.94
2.153,-11.417,11.403
2.18,-11.669,11.655
2.196,-11.813,11.799
2.209,-11.924,11.91
2.227,-12.09,12.075
2.251,-12.3,12.285
2.262,-12.396,12.381
2.278,-12.536,12.521
2.302,-12.745,12.729
2.319,-12.894,12.878
2.344,-13.105,13.088
2.381,-13.417,13.4
2.399,-13.563,13.546
2.421,-13.741,13.723
2.453,-14.003,13.985
2.483,-14.243,14.225
2.507,-14.436,14.417
2.543,-14.72,14.701
2.577,-14.982,14.963
2.627,-15.364,15.343
2.677,-15.738,15.717
2.727,-16.106,16.084
2.777,-16.466,16.444
2.827,-16.821,16.797
2.877,-17.169,17.144
2.927,-17.511,17.486
2.977,-17.847,17.821
3.015,-18.097,18.071
3.065,-18.425,18.398
3.094,-18.614,18.586
3.138,-18.894,18.865
3.188,-19.208,19.179
3.223,-19.424,19.395
3.273,-19.731,19.701
3.31,-19.959,19.928
3.36,-20.257,20.225
3.41,-20.552,20.519
3.46,-20.842,20.809
3.495,-21.04,21.006
3.545,-21.323,21.288
3.568,-21.454,21.419
3.592,-21.587,21.551
3.627,-21.781,21.745
3.677,-22.056,22.019
3.702,-22.192,22.155
3.724,-22.312,22.275
3.751,-22.454,22.416
3.79,-22.664,22.626
3.84,-22.926,22.887
3.873,-23.095,23.055
3.904,-23.257,23.216
3.949,-23.488,23.447
3.999,-23.742,23.701
4.049,-23.993,23.951
4.079,-24.14,24.097
4.123,-24.358,24.315
4.173,-24.601,24.556
4.223,-24.841,24.796
4.264,-25.037,24.991
4.314,-25.274,25.227
4.364,-25.508,25.46
4.414,-25.74,25.691
4.464,-25.969,25.92
4.514,-26.196,26.146
4.564,-26.421,26.371
4.614,-26.645,26.593
4.664,-26.865,26.813
4.714,-27.084,27.031
4.764,-27.3,27.246
4.814,-27.515,27.46
4.864,-27.727,27.672
4.914,-27.939,27.882
4.964,-28.148,28.091
5.014,-28.356,28.298
5.064,-28.562,28.503
5.114,-28.767,28.707
5.164,-28.97,28.909
5.214,-29.171,29.11
5.264,-29.371,29.309
5.314,-29.57,29.507
5.364,-29.768,29.704
