# Simulation 83 (Up to date)
# 462 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.702e-5,-5.702e-5
0.051,1.971e-4,-1.971e-4
0.061,4.2e-4,-4.2e-4
0.071,7.258e-4,-7.258e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.005,-0.005
0.159,0.005,-0.005
0.169,0.006,-0.006
0.179,0.006,-0.006
0.189,0.007,-0.007
0.192,0.007,-0.007
0.196,0.007,-0.007
0.203,0.008,-0.008
0.209,0.008,-0.008
0.216,0.008,-0.008
0.224,0.009,-0.009
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.009,-0.009
0.234,0.009,-0.009
0.238,0.01,-0.01
0.241,0.01,-0.01
0.244,0.01,-0.01
0.248,0.011,-0.011
0.251,0.012,-0.012
0.255,0.012,-0.012
0.258,0.013,-0.013
0.262,0.014,-0.014
0.266,0.015,-0.015
0.269,0.016,-0.016
0.273,0.018,-0.018
0.277,0.019,-0.019
0.282,0.021,-0.021
0.286,0.022,-0.022
0.292,0.025,-0.025
0.298,0.027,-0.027
0.304,0.03,-0.03
0.311,0.033,-0.033
0.32,0.037,-0.037
0.331,0.042,-0.042
0.349,0.048,-0.048
0.37,0.054,-0.054
0.378,0.055,-0.055
0.385,0.055,-0.055
0.39,0.055,-0.055
0.395,0.055,-0.055
0.4,0.054,-0.054
0.404,0.054,-0.054
0.408,0.053,-0.053
0.412,0.051,-0.051
0.416,0.05,-0.05
0.42,0.049,-0.049
0.423,0.047,-0.047
0.427,0.045,-0.045
0.43,0.043,-0.043
0.434,0.041,-0.041
0.437,0.039,-0.039
0.44,0.037,-0.037
0.443,0.034,-0.034
0.447,0.031,-0.031
0.45,0.028,-0.029
0.453,0.025,-0.025
0.457,0.022,-0.022
0.46,0.019,-0.019
0.463,0.015,-0.015
0.467,0.011,-0.011
0.471,0.007,-0.007
0.475,0.001,-0.001
0.479,-0.004,0.004
0.484,-0.01,0.01
0.488,-0.017,0.017
0.494,-0.025,0.025
0.5,-0.035,0.035
0.508,-0.049,0.049
0.521,-0.07,0.07
0.539,-0.104,0.104
0.551,-0.128,0.128
0.559,-0.142,0.142
0.565,-0.153,0.153
0.569,-0.163,0.163
0.574,-0.172,0.172
0.578,-0.181,0.181
0.582,-0.189,0.189
0.586,-0.196,0.196
0.59,-0.204,0.204
0.593,-0.211,0.211
0.597,-0.218,0.218
0.6,-0.225,0.225
0.604,-0.232,0.232
0.607,-0.239,0.239
0.611,-0.247,0.246
0.615,-0.254,0.254
0.619,-0.262,0.261
0.623,-0.27,0.269
0.627,-0.278,0.278
0.632,-0.288,0.287
0.637,-0.298,0.298
0.643,-0.31,0.31
0.651,-0.326,0.326
0.663,-0.35,0.35
0.671,-0.368,0.368
0.684,-0.395,0.395
0.692,-0.416,0.415
0.699,-0.431,0.431
0.702,-0.438,0.438
0.706,-0.449,0.449
0.711,-0.462,0.461
0.716,-0.474,0.474
0.723,-0.492,0.491
0.728,-0.504,0.503
0.732,-0.516,0.516
0.737,-0.529,0.529
0.742,-0.543,0.542
0.747,-0.557,0.557
0.752,-0.573,0.572
0.758,-0.591,0.59
0.765,-0.612,0.611
0.774,-0.64,0.64
0.787,-0.684,0.683
0.808,-0.751,0.751
0.818,-0.787,0.786
0.827,-0.816,0.816
0.835,-0.844,0.843
0.842,-0.87,0.87
0.85,-0.898,0.897
0.859,-0.928,0.927
0.867,-0.959,0.958
0.877,-0.994,0.993
0.889,-1.037,1.036
0.906,-1.103,1.102
0.932,-1.206,1.205
0.942,-1.245,1.244
0.95,-1.279,1.278
0.958,-1.312,1.311
0.967,-1.35,1.348
0.978,-1.399,1.398
0.995,-1.475,1.473
1.021,-1.591,1.59
1.036,-1.664,1.662
1.051,-1.735,1.734
1.063,-1.792,1.791
1.081,-1.879,1.878
1.107,-2.013,2.011
1.145,-2.21,2.208
1.195,-2.486,2.484
1.211,-2.579,2.576
1.235,-2.721,2.718
1.242,-2.76,2.757
1.252,-2.82,2.817
1.267,-2.911,2.908
1.29,-3.05,3.047
1.303,-3.133,3.13
1.323,-3.261,3.258
1.353,-3.457,3.453
1.374,-3.598,3.594
1.406,-3.814,3.81
1.44,-4.047,4.043
1.468,-4.252,4.247
1.511,-4.567,4.562
1.543,-4.812,4.807
1.591,-5.19,5.184
1.621,-5.431,5.425
1.656,-5.72,5.713
1.686,-5.977,5.97
1.7,-6.097,6.089
1.721,-6.277,6.27
1.745,-6.482,6.474
1.758,-6.602,6.594
1.778,-6.78,6.772
1.808,-7.051,7.042
1.821,-7.175,7.166
1.834,-7.295,7.286
1.847,-7.417,7.407
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.537,7.528
1.874,-7.665,7.655
1.883,-7.754,7.744
1.894,-7.851,7.841
1.91,-7.994,7.984
1.933,-8.207,8.197
1.946,-8.317,8.306
1.958,-8.43,8.419
1.973,-8.558,8.547
1.995,-8.749,8.737
2.028,-9.03,9.018
2.045,-9.18,9.168
2.072,-9.402,9.39
2.111,-9.73,9.717
2.159,-10.115,10.101
2.209,-10.511,10.496
2.259,-10.898,10.882
2.288,-11.119,11.103
2.307,-11.261,11.245
2.335,-11.472,11.455
2.353,-11.609,11.592
2.367,-11.712,11.694
2.38,-11.802,11.785
2.394,-11.908,11.89
2.416,-12.064,12.046
2.449,-12.296,12.278
2.465,-12.408,12.389
2.487,-12.564,12.544
2.521,-12.794,12.774
2.542,-12.944,12.924
2.566,-13.1,13.08
2.6,-13.332,13.311
2.624,-13.486,13.464
2.656,-13.7,13.678
2.706,-14.016,13.993
2.742,-14.249,14.225
2.789,-14.538,14.513
2.811,-14.673,14.648
2.844,-14.873,14.848
2.862,-14.985,14.959
2.88,-15.089,15.063
2.904,-15.232,15.206
2.94,-15.445,15.419
2.973,-15.637,15.61
3.018,-15.894,15.866
3.061,-16.136,16.107
3.111,-16.412,16.382
3.133,-16.534,16.503
3.151,-16.632,16.602
3.172,-16.744,16.713
3.203,-16.909,16.878
3.249,-17.155,17.123
3.265,-17.234,17.202
3.284,-17.337,17.305
3.314,-17.491,17.458
3.358,-17.719,17.685
3.38,-17.831,17.797
3.414,-17.998,17.963
3.464,-18.245,18.21
3.514,-18.49,18.453
3.564,-18.731,18.694
3.614,-18.969,18.931
3.664,-19.204,19.165
3.714,-19.435,19.395
3.764,-19.663,19.622
3.798,-19.814,19.773
3.848,-20.036,19.994
3.882,-20.189,20.146
3.902,-20.275,20.232
3.921,-20.358,20.315
3.949,-20.483,20.439
3.992,-20.668,20.624
4.034,-20.848,20.803
4.062,-20.965,20.919
4.098,-21.115,21.069
4.148,-21.323,21.275
4.198,-21.528,21.48
4.248,-21.732,21.683
4.298,-21.933,21.883
4.347,-22.128,22.078
4.397,-22.325,22.274
4.447,-22.521,22.468
4.497,-22.714,22.661
4.547,-22.906,22.852
4.587,-23.061,23.006
4.637,-23.248,23.193
4.687,-23.434,23.377
4.737,-23.618,23.561
4.787,-23.801,23.743
4.827,-23.946,23.887
4.877,-24.128,24.068
4.927,-24.308,24.247
4.973,-24.472,24.411
5.003,-24.577,24.515
5.03,-24.673,24.611
5.058,-24.77,24.707
5.089,-24.876,24.813
5.128,-25.01,24.946
5.178,-25.179,25.114
5.228,-25.346,25.281
5.278,-25.513,25.446
