# Simulation 79 (Up to date)
# 473 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,6.719e-5,-6.719e-5
0.051,2.35e-4,-2.35e-4
0.061,5.061e-4,-5.061e-4
0.071,8.814e-4,-8.814e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.005,-0.005
0.139,0.005,-0.005
0.149,0.006,-0.006
0.159,0.006,-0.006
0.169,0.007,-0.007
0.179,0.008,-0.008
0.189,0.008,-0.008
0.192,0.009,-0.009
0.196,0.009,-0.009
0.203,0.009,-0.009
0.209,0.01,-0.01
0.216,0.01,-0.01
0.224,0.011,-0.011
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.011,-0.011
0.234,0.011,-0.011
0.238,0.012,-0.012
0.241,0.012,-0.012
0.244,0.013,-0.013
0.248,0.013,-0.013
0.251,0.014,-0.014
0.255,0.015,-0.015
0.258,0.016,-0.016
0.262,0.017,-0.017
0.266,0.018,-0.018
0.269,0.019,-0.019
0.273,0.02,-0.02
0.277,0.022,-0.022
0.282,0.024,-0.024
0.286,0.025,-0.025
0.292,0.028,-0.028
0.297,0.03,-0.03
0.303,0.033,-0.033
0.31,0.036,-0.036
0.32,0.04,-0.04
0.334,0.046,-0.046
0.354,0.053,-0.053
0.364,0.056,-0.056
0.37,0.057,-0.057
0.377,0.057,-0.057
0.382,0.058,-0.058
0.388,0.058,-0.058
0.393,0.057,-0.057
0.397,0.057,-0.057
0.402,0.056,-0.056
0.406,0.055,-0.055
0.411,0.053,-0.053
0.415,0.052,-0.052
0.419,0.05,-0.05
0.423,0.048,-0.048
0.427,0.046,-0.046
0.432,0.043,-0.044
0.436,0.041,-0.041
0.44,0.038,-0.038
0.444,0.035,-0.035
0.448,0.031,-0.031
0.453,0.027,-0.027
0.457,0.023,-0.023
0.462,0.019,-0.019
0.466,0.014,-0.014
0.471,0.008,-0.008
0.475,0.004,-0.004
0.481,-0.003,0.003
0.487,-0.011,0.011
0.494,-0.021,0.021
0.502,-0.034,0.034
0.515,-0.053,0.053
0.534,-0.085,0.085
0.554,-0.122,0.122
0.563,-0.138,0.138
0.57,-0.152,0.151
0.577,-0.164,0.164
0.583,-0.176,0.176
0.589,-0.188,0.188
0.595,-0.2,0.2
0.601,-0.212,0.211
0.607,-0.224,0.223
0.613,-0.236,0.235
0.619,-0.248,0.248
0.625,-0.261,0.26
0.632,-0.274,0.274
0.639,-0.289,0.289
0.648,-0.307,0.306
0.658,-0.329,0.329
0.671,-0.358,0.357
0.69,-0.402,0.401
0.702,-0.43,0.429
0.716,-0.465,0.465
0.723,-0.483,0.482
0.73,-0.502,0.502
0.737,-0.521,0.52
0.743,-0.539,0.538
0.75,-0.556,0.556
0.756,-0.575,0.574
0.762,-0.593,0.593
0.768,-0.613,0.612
0.775,-0.633,0.633
0.782,-0.656,0.655
0.79,-0.683,0.682
0.801,-0.717,0.717
0.816,-0.771,0.771
0.84,-0.855,0.854
0.847,-0.881,0.88
0.85,-0.891,0.89
0.854,-0.906,0.906
0.86,-0.927,0.927
0.865,-0.947,0.946
0.87,-0.966,0.965
0.876,-0.986,0.985
0.881,-1.005,1.004
0.887,-1.026,1.025
0.893,-1.049,1.048
0.9,-1.075,1.074
0.908,-1.108,1.107
0.921,-1.159,1.158
0.941,-1.238,1.237
0.949,-1.269,1.268
0.955,-1.296,1.295
0.961,-1.32,1.319
0.967,-1.345,1.344
0.972,-1.369,1.368
0.978,-1.395,1.394
0.984,-1.423,1.421
0.991,-1.454,1.453
1,-1.494,1.493
1.013,-1.554,1.553
1.032,-1.647,1.646
1.045,-1.711,1.709
1.054,-1.753,1.752
1.063,-1.8,1.798
1.07,-1.836,1.835
1.078,-1.875,1.873
1.086,-1.918,1.916
1.097,-1.974,1.972
1.114,-2.059,2.057
1.138,-2.19,2.187
1.149,-2.246,2.244
1.158,-2.298,2.296
1.168,-2.355,2.353
1.181,-2.429,2.427
1.2,-2.542,2.54
1.211,-2.606,2.603
1.227,-2.703,2.7
1.242,-2.794,2.791
1.264,-2.932,2.929
1.298,-3.145,3.142
1.303,-3.178,3.175
1.311,-3.228,3.225
1.322,-3.304,3.301
1.339,-3.419,3.416
1.365,-3.595,3.592
1.404,-3.867,3.863
1.454,-4.231,4.226
1.468,-4.333,4.329
1.489,-4.49,4.485
1.519,-4.73,4.725
1.566,-5.1,5.094
1.614,-5.502,5.495
1.653,-5.832,5.825
1.656,-5.86,5.853
1.661,-5.903,5.896
1.668,-5.967,5.96
1.679,-6.064,6.057
1.696,-6.211,6.203
1.721,-6.434,6.427
1.739,-6.605,6.598
1.767,-6.86,6.852
1.803,-7.201,7.193
1.821,-7.376,7.367
1.834,-7.502,7.493
1.847,-7.628,7.619
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.754,7.745
1.88,-7.942,7.932
1.909,-8.22,8.21
1.953,-8.629,8.618
2.001,-9.066,9.054
2.051,-9.51,9.498
2.101,-9.944,9.931
2.151,-10.367,10.354
2.201,-10.781,10.766
2.251,-11.185,11.17
2.301,-11.581,11.565
2.351,-11.967,11.951
2.401,-12.346,12.328
2.451,-12.716,12.698
2.501,-13.08,13.061
2.551,-13.435,13.415
2.601,-13.784,13.764
2.651,-14.126,14.105
2.671,-14.261,14.24
2.692,-14.405,14.383
2.725,-14.619,14.596
2.753,-14.804,14.781
2.77,-14.914,14.891
2.784,-15.002,14.978
2.798,-15.094,15.07
2.817,-15.214,15.19
2.845,-15.393,15.368
2.856,-15.464,15.439
2.867,-15.53,15.505
2.879,-15.606,15.581
2.896,-15.709,15.684
2.921,-15.863,15.837
2.934,-15.943,15.917
2.943,-15.998,15.971
2.951,-16.047,16.02
2.959,-16.095,16.069
2.969,-16.153,16.126
2.982,-16.233,16.206
3.002,-16.353,16.326
3.027,-16.503,16.475
3.037,-16.56,16.532
3.046,-16.612,16.584
3.055,-16.664,16.636
3.064,-16.72,16.692
3.077,-16.791,16.763
3.095,-16.897,16.869
3.123,-17.055,17.026
3.141,-17.156,17.126
3.156,-17.24,17.211
3.17,-17.322,17.292
3.185,-17.402,17.372
3.201,-17.494,17.463
3.225,-17.629,17.598
3.261,-17.829,17.797
3.278,-17.921,17.889
3.293,-17.999,17.967
3.308,-18.079,18.047
3.325,-18.173,18.141
3.351,-18.312,18.279
3.391,-18.519,18.486
3.428,-18.713,18.678
3.453,-18.842,18.807
3.485,-19.005,18.969
3.532,-19.245,19.209
3.563,-19.396,19.36
3.608,-19.62,19.583
3.658,-19.864,19.826
3.695,-20.042,20.003
3.745,-20.281,20.242
3.795,-20.519,20.478
3.845,-20.753,20.712
3.879,-20.914,20.872
3.9,-21.01,20.968
3.92,-21.101,21.058
3.95,-21.236,21.194
3.996,-21.438,21.394
4.034,-21.607,21.563
4.084,-21.828,21.783
4.125,-22.01,21.964
4.175,-22.227,22.18
4.212,-22.387,22.34
4.238,-22.498,22.45
4.275,-22.651,22.603
4.325,-22.861,22.811
4.365,-23.029,22.979
4.409,-23.209,23.159
4.459,-23.416,23.364
4.509,-23.621,23.569
4.542,-23.756,23.703
4.567,-23.857,23.804
4.589,-23.948,23.894
4.612,-24.036,23.982
4.634,-24.126,24.071
4.659,-24.221,24.166
4.687,-24.332,24.277
4.729,-24.494,24.438
4.779,-24.685,24.628
4.829,-24.875,24.817
4.879,-25.064,25.005
