# Simulation 56 (Up to date)
# 464 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.717e-5,-4.717e-5
0.051,1.623e-4,-1.623e-4
0.061,3.44e-4,-3.44e-4
0.071,5.914e-4,-5.914e-4
0.081,9.042e-4,-9.042e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.007,-0.007
0.238,0.008,-0.008
0.241,0.008,-0.008
0.244,0.008,-0.008
0.248,0.009,-0.009
0.251,0.01,-0.01
0.254,0.01,-0.01
0.258,0.011,-0.011
0.261,0.012,-0.012
0.264,0.013,-0.013
0.268,0.014,-0.014
0.271,0.015,-0.015
0.275,0.016,-0.016
0.279,0.018,-0.018
0.283,0.019,-0.019
0.287,0.021,-0.021
0.292,0.023,-0.023
0.297,0.025,-0.025
0.302,0.028,-0.028
0.309,0.031,-0.031
0.317,0.034,-0.034
0.328,0.039,-0.039
0.345,0.046,-0.046
0.37,0.053,-0.053
0.376,0.053,-0.053
0.381,0.054,-0.054
0.386,0.054,-0.054
0.391,0.053,-0.053
0.395,0.053,-0.053
0.399,0.052,-0.052
0.403,0.051,-0.051
0.407,0.05,-0.05
0.411,0.049,-0.049
0.415,0.047,-0.047
0.418,0.045,-0.046
0.422,0.044,-0.044
0.426,0.042,-0.042
0.429,0.039,-0.039
0.433,0.037,-0.037
0.437,0.034,-0.034
0.44,0.031,-0.031
0.444,0.028,-0.028
0.448,0.025,-0.025
0.452,0.021,-0.021
0.456,0.017,-0.017
0.46,0.013,-0.013
0.464,0.008,-0.008
0.469,0.003,-0.003
0.475,-0.006,0.005
0.48,-0.013,0.013
0.486,-0.021,0.021
0.494,-0.032,0.032
0.503,-0.047,0.047
0.518,-0.071,0.071
0.539,-0.11,0.11
0.547,-0.125,0.125
0.554,-0.137,0.137
0.559,-0.148,0.148
0.565,-0.158,0.158
0.57,-0.169,0.169
0.575,-0.179,0.179
0.581,-0.189,0.189
0.586,-0.2,0.2
0.591,-0.211,0.211
0.597,-0.223,0.222
0.603,-0.235,0.235
0.61,-0.248,0.248
0.616,-0.262,0.262
0.624,-0.278,0.278
0.633,-0.297,0.297
0.644,-0.322,0.322
0.662,-0.362,0.362
0.671,-0.383,0.383
0.685,-0.417,0.416
0.695,-0.444,0.444
0.702,-0.462,0.461
0.71,-0.483,0.482
0.718,-0.505,0.504
0.723,-0.52,0.519
0.731,-0.543,0.543
0.74,-0.571,0.57
0.751,-0.605,0.604
0.767,-0.654,0.653
0.785,-0.716,0.715
0.813,-0.814,0.813
0.837,-0.9,0.9
0.846,-0.937,0.936
0.85,-0.951,0.95
0.855,-0.971,0.971
0.864,-1.003,1.002
0.873,-1.039,1.038
0.884,-1.082,1.081
0.899,-1.144,1.143
0.922,-1.24,1.239
0.945,-1.34,1.339
0.958,-1.398,1.396
0.972,-1.462,1.46
0.993,-1.56,1.559
1.024,-1.715,1.713
1.063,-1.915,1.914
1.113,-2.19,2.188
1.162,-2.476,2.474
1.185,-2.614,2.612
1.198,-2.699,2.696
1.211,-2.778,2.776
1.23,-2.9,2.897
1.242,-2.977,2.974
1.252,-3.042,3.04
1.262,-3.107,3.104
1.276,-3.206,3.203
1.298,-3.357,3.354
1.303,-3.388,3.385
1.31,-3.435,3.432
1.32,-3.506,3.503
1.335,-3.613,3.61
1.358,-3.777,3.774
1.38,-3.937,3.933
1.402,-4.102,4.098
1.435,-4.355,4.351
1.468,-4.617,4.612
1.516,-5.007,5.002
1.566,-5.429,5.424
1.595,-5.681,5.675
1.639,-6.068,6.062
1.656,-6.226,6.22
1.682,-6.468,6.461
1.697,-6.604,6.596
1.718,-6.81,6.802
1.742,-7.035,7.027
1.754,-7.157,7.15
1.772,-7.33,7.322
1.798,-7.593,7.584
1.814,-7.753,7.744
1.821,-7.821,7.812
1.831,-7.923,7.914
1.834,-7.953,7.944
1.838,-7.998,7.989
1.847,-8.086,8.077
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.219,8.209
1.87,-8.321,8.312
1.878,-8.396,8.386
1.885,-8.468,8.458
1.893,-8.548,8.538
1.904,-8.656,8.646
1.92,-8.817,8.807
1.93,-8.913,8.902
1.937,-8.983,8.972
1.944,-9.05,9.039
1.951,-9.123,9.112
1.961,-9.212,9.201
1.974,-9.345,9.334
1.995,-9.543,9.532
2.007,-9.657,9.645
2.017,-9.753,9.741
2.028,-9.857,9.845
2.045,-10.011,9.999
2.07,-10.24,10.227
2.087,-10.397,10.385
2.106,-10.566,10.553
2.134,-10.817,10.803
2.153,-10.992,10.978
2.174,-11.174,11.16
2.205,-11.445,11.431
2.224,-11.605,11.589
2.242,-11.761,11.746
2.27,-11.994,11.978
2.284,-12.115,12.099
2.295,-12.202,12.186
2.305,-12.29,12.273
2.321,-12.42,12.403
2.345,-12.614,12.597
2.356,-12.703,12.686
2.367,-12.788,12.771
2.379,-12.887,12.869
2.397,-13.034,13.016
2.425,-13.253,13.235
2.437,-13.347,13.329
2.448,-13.434,13.416
2.461,-13.532,13.513
2.48,-13.676,13.657
2.508,-13.891,13.871
2.527,-14.034,14.014
2.546,-14.175,14.155
2.574,-14.384,14.364
2.615,-14.687,14.665
2.665,-15.047,15.025
2.715,-15.4,15.377
2.745,-15.61,15.586
2.767,-15.756,15.732
2.798,-15.972,15.948
2.812,-16.061,16.037
2.824,-16.143,16.118
2.837,-16.23,16.205
2.853,-16.342,16.317
2.878,-16.509,16.484
2.894,-16.612,16.586
2.904,-16.681,16.655
2.915,-16.747,16.721
2.926,-16.821,16.795
2.941,-16.92,16.893
2.964,-17.067,17.039
2.999,-17.285,17.257
3.014,-17.38,17.352
3.032,-17.499,17.47
3.061,-17.675,17.646
3.103,-17.935,17.906
3.131,-18.107,18.077
3.164,-18.304,18.273
3.213,-18.596,18.564
3.263,-18.889,18.857
3.313,-19.178,19.145
3.363,-19.463,19.429
3.413,-19.744,19.709
3.444,-19.919,19.884
3.492,-20.178,20.142
3.542,-20.448,20.411
3.575,-20.627,20.59
3.602,-20.77,20.732
3.635,-20.94,20.902
3.683,-21.193,21.154
3.733,-21.451,21.411
3.759,-21.583,21.542
3.78,-21.687,21.646
3.803,-21.801,21.76
3.837,-21.97,21.928
3.886,-22.213,22.17
3.923,-22.39,22.347
3.973,-22.632,22.588
4.023,-22.872,22.827
4.073,-23.109,23.063
4.123,-23.344,23.297
4.154,-23.492,23.445
4.177,-23.597,23.549
4.211,-23.752,23.703
4.261,-23.978,23.929
4.311,-24.202,24.152
4.361,-24.423,24.373
4.411,-24.643,24.591
4.461,-24.86,24.808
4.511,-25.076,25.023
4.561,-25.29,25.236
4.611,-25.502,25.447
4.661,-25.712,25.656
4.711,-25.92,25.863
4.761,-26.125,26.068
4.811,-26.329,26.271
4.861,-26.532,26.473
4.911,-26.734,26.673
4.961,-26.934,26.872
5.011,-27.132,27.07
5.061,-27.329,27.266
5.102,-27.488,27.424
5.134,-27.613,27.549
5.183,-27.798,27.733
