# Simulation 16 (Up to date)
# 481 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.732e-5,-5.732e-5
0.051,1.981e-4,-1.981e-4
0.061,4.222e-4,-4.222e-4
0.071,7.308e-4,-7.308e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.005,-0.005
0.159,0.005,-0.005
0.169,0.006,-0.006
0.179,0.006,-0.006
0.189,0.007,-0.007
0.192,0.007,-0.007
0.196,0.007,-0.007
0.203,0.008,-0.008
0.209,0.008,-0.008
0.216,0.008,-0.008
0.224,0.009,-0.009
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.009,-0.009
0.234,0.009,-0.009
0.238,0.01,-0.01
0.241,0.01,-0.01
0.244,0.011,-0.011
0.248,0.011,-0.011
0.251,0.012,-0.012
0.255,0.013,-0.013
0.258,0.013,-0.013
0.262,0.014,-0.014
0.266,0.015,-0.015
0.269,0.017,-0.017
0.273,0.018,-0.018
0.277,0.019,-0.019
0.281,0.021,-0.021
0.286,0.023,-0.023
0.292,0.025,-0.025
0.297,0.027,-0.027
0.303,0.03,-0.03
0.31,0.033,-0.033
0.319,0.037,-0.037
0.332,0.042,-0.042
0.352,0.049,-0.049
0.363,0.052,-0.052
0.37,0.053,-0.053
0.376,0.054,-0.054
0.382,0.054,-0.054
0.387,0.054,-0.054
0.392,0.054,-0.054
0.397,0.053,-0.053
0.401,0.052,-0.052
0.405,0.051,-0.051
0.409,0.05,-0.05
0.413,0.049,-0.049
0.417,0.047,-0.047
0.421,0.045,-0.045
0.425,0.043,-0.043
0.429,0.041,-0.041
0.433,0.038,-0.038
0.437,0.036,-0.036
0.441,0.033,-0.033
0.445,0.03,-0.03
0.449,0.026,-0.026
0.453,0.023,-0.023
0.457,0.018,-0.018
0.461,0.014,-0.014
0.466,0.009,-0.009
0.471,0.003,-0.004
0.475,-0.002,0.002
0.481,-0.009,0.009
0.487,-0.017,0.017
0.495,-0.028,0.028
0.506,-0.044,0.044
0.522,-0.07,0.07
0.546,-0.112,0.112
0.553,-0.125,0.125
0.559,-0.136,0.136
0.565,-0.146,0.146
0.57,-0.156,0.156
0.575,-0.165,0.164
0.579,-0.173,0.173
0.584,-0.181,0.181
0.588,-0.189,0.189
0.592,-0.198,0.197
0.597,-0.206,0.205
0.601,-0.214,0.214
0.605,-0.222,0.222
0.61,-0.231,0.231
0.615,-0.241,0.241
0.621,-0.252,0.252
0.628,-0.265,0.265
0.636,-0.282,0.282
0.649,-0.308,0.308
0.668,-0.349,0.349
0.671,-0.355,0.355
0.675,-0.363,0.363
0.68,-0.376,0.376
0.686,-0.39,0.39
0.692,-0.403,0.403
0.697,-0.415,0.415
0.702,-0.429,0.429
0.707,-0.441,0.44
0.711,-0.453,0.453
0.716,-0.466,0.466
0.723,-0.485,0.485
0.729,-0.502,0.502
0.736,-0.522,0.521
0.744,-0.547,0.547
0.757,-0.586,0.586
0.776,-0.648,0.647
0.797,-0.715,0.714
0.807,-0.748,0.748
0.815,-0.777,0.776
0.822,-0.802,0.801
0.829,-0.827,0.826
0.836,-0.851,0.851
0.844,-0.878,0.877
0.85,-0.899,0.898
0.859,-0.932,0.931
0.872,-0.98,0.98
0.892,-1.055,1.054
0.91,-1.124,1.123
0.918,-1.156,1.155
0.924,-1.183,1.182
0.93,-1.208,1.207
0.936,-1.232,1.231
0.942,-1.256,1.255
0.947,-1.282,1.281
0.954,-1.309,1.308
0.961,-1.342,1.34
0.971,-1.389,1.388
0.987,-1.462,1.461
1.003,-1.537,1.535
1.01,-1.572,1.571
1.017,-1.603,1.602
1.023,-1.632,1.631
1.029,-1.661,1.66
1.035,-1.691,1.689
1.041,-1.723,1.721
1.049,-1.759,1.758
1.058,-1.806,1.805
1.063,-1.831,1.829
1.07,-1.868,1.866
1.081,-1.924,1.922
1.098,-2.01,2.008
1.11,-2.074,2.072
1.119,-2.12,2.118
1.126,-2.163,2.161
1.134,-2.206,2.204
1.143,-2.253,2.251
1.153,-2.311,2.309
1.168,-2.399,2.397
1.191,-2.534,2.531
1.205,-2.618,2.616
1.211,-2.654,2.652
1.22,-2.708,2.706
1.232,-2.784,2.781
1.242,-2.844,2.842
1.257,-2.937,2.934
1.279,-3.077,3.074
1.303,-3.234,3.231
1.339,-3.477,3.474
1.389,-3.825,3.822
1.439,-4.189,4.185
1.468,-4.405,4.401
1.511,-4.739,4.734
1.547,-5.03,5.025
1.562,-5.153,5.148
1.585,-5.341,5.335
1.599,-5.454,5.448
1.61,-5.553,5.547
1.627,-5.696,5.689
1.652,-5.914,5.907
1.656,-5.949,5.942
1.662,-6.002,5.995
1.671,-6.081,6.075
1.684,-6.202,6.195
1.705,-6.385,6.378
1.735,-6.664,6.656
1.751,-6.814,6.806
1.775,-7.042,7.034
1.798,-7.259,7.25
1.821,-7.483,7.475
1.834,-7.611,7.602
1.847,-7.739,7.73
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.867,7.858
1.88,-8.057,8.048
1.909,-8.339,8.329
1.953,-8.753,8.743
2.003,-9.215,9.204
2.053,-9.664,9.652
2.103,-10.103,10.09
2.153,-10.531,10.518
2.195,-10.886,10.872
2.245,-11.296,11.282
2.27,-11.499,11.484
2.308,-11.799,11.784
2.325,-11.933,11.917
2.349,-12.121,12.104
2.385,-12.399,12.382
2.413,-12.614,12.597
2.456,-12.932,12.915
2.506,-13.3,13.281
2.529,-13.47,13.451
2.556,-13.66,13.641
2.569,-13.75,13.73
2.583,-13.853,13.833
2.605,-14.007,13.986
2.638,-14.234,14.214
2.676,-14.494,14.473
2.693,-14.609,14.587
2.711,-14.728,14.706
2.737,-14.905,14.882
2.769,-15.119,15.096
2.782,-15.201,15.178
2.794,-15.28,15.257
2.808,-15.369,15.346
2.829,-15.502,15.479
2.856,-15.677,15.653
2.867,-15.745,15.72
2.877,-15.805,15.781
2.886,-15.866,15.842
2.897,-15.933,15.909
2.91,-16.016,15.991
2.93,-16.14,16.115
2.959,-16.324,16.298
2.971,-16.398,16.372
2.982,-16.46,16.434
2.991,-16.519,16.493
3.002,-16.582,16.555
3.014,-16.653,16.626
3.029,-16.745,16.718
3.052,-16.882,16.855
3.087,-17.087,17.059
3.109,-17.215,17.187
3.133,-17.355,17.326
3.169,-17.562,17.533
3.219,-17.845,17.815
3.269,-18.125,18.094
3.311,-18.356,18.325
3.351,-18.571,18.539
3.369,-18.669,18.637
3.384,-18.751,18.719
3.4,-18.835,18.803
3.419,-18.934,18.901
3.447,-19.081,19.048
3.49,-19.3,19.266
3.501,-19.36,19.326
3.512,-19.415,19.38
3.524,-19.475,19.441
3.538,-19.549,19.514
3.56,-19.659,19.624
3.592,-19.824,19.788
3.617,-19.947,19.911
3.636,-20.044,20.007
3.658,-20.149,20.113
3.682,-20.266,20.229
3.705,-20.378,20.34
3.74,-20.543,20.505
3.759,-20.634,20.596
3.774,-20.707,20.668
3.792,-20.793,20.754
3.818,-20.915,20.876
3.857,-21.098,21.058
3.907,-21.33,21.29
3.957,-21.559,21.517
3.984,-21.679,21.637
4.024,-21.857,21.815
4.074,-22.078,22.034
4.124,-22.296,22.252
4.174,-22.512,22.467
4.224,-22.726,22.68
4.26,-22.88,22.833
4.302,-23.053,23.006
4.352,-23.26,23.212
4.402,-23.465,23.416
