# Simulation 11 (Up to date)
# 445 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,6.455e-5,-6.455e-5
0.051,2.238e-4,-2.238e-4
0.061,4.777e-4,-4.777e-4
0.071,8.257e-4,-8.257e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.004,-0.004
0.139,0.005,-0.005
0.149,0.005,-0.005
0.159,0.006,-0.006
0.169,0.006,-0.006
0.179,0.007,-0.007
0.189,0.008,-0.008
0.192,0.008,-0.008
0.196,0.008,-0.008
0.203,0.008,-0.008
0.209,0.009,-0.009
0.216,0.009,-0.009
0.224,0.01,-0.01
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.01,-0.01
0.234,0.01,-0.01
0.237,0.011,-0.011
0.24,0.011,-0.011
0.243,0.011,-0.011
0.248,0.012,-0.012
0.251,0.013,-0.013
0.254,0.014,-0.014
0.257,0.015,-0.015
0.26,0.016,-0.016
0.263,0.017,-0.017
0.267,0.018,-0.018
0.27,0.019,-0.019
0.274,0.02,-0.02
0.277,0.022,-0.022
0.281,0.023,-0.023
0.285,0.025,-0.025
0.289,0.027,-0.027
0.292,0.028,-0.028
0.296,0.031,-0.031
0.302,0.033,-0.033
0.308,0.036,-0.036
0.315,0.04,-0.04
0.325,0.045,-0.045
0.34,0.052,-0.052
0.363,0.06,-0.06
0.37,0.062,-0.062
0.376,0.062,-0.062
0.381,0.063,-0.063
0.386,0.063,-0.063
0.39,0.063,-0.063
0.394,0.063,-0.063
0.398,0.062,-0.062
0.402,0.061,-0.061
0.406,0.06,-0.06
0.409,0.059,-0.059
0.413,0.058,-0.058
0.416,0.056,-0.056
0.42,0.055,-0.055
0.424,0.053,-0.053
0.427,0.051,-0.051
0.431,0.048,-0.048
0.434,0.046,-0.046
0.438,0.043,-0.043
0.442,0.04,-0.04
0.446,0.037,-0.037
0.449,0.033,-0.033
0.453,0.029,-0.029
0.457,0.025,-0.025
0.462,0.02,-0.02
0.466,0.015,-0.015
0.471,0.01,-0.01
0.475,0.004,-0.004
0.48,-0.003,0.003
0.486,-0.011,0.011
0.492,-0.021,0.021
0.501,-0.034,0.034
0.512,-0.053,0.053
0.529,-0.085,0.085
0.548,-0.12,0.12
0.555,-0.135,0.135
0.561,-0.148,0.148
0.567,-0.159,0.159
0.572,-0.17,0.17
0.577,-0.18,0.18
0.582,-0.19,0.19
0.587,-0.2,0.2
0.592,-0.21,0.21
0.596,-0.22,0.219
0.601,-0.229,0.229
0.606,-0.239,0.239
0.61,-0.25,0.25
0.615,-0.26,0.26
0.621,-0.272,0.272
0.626,-0.284,0.284
0.633,-0.298,0.297
0.64,-0.314,0.314
0.649,-0.335,0.334
0.663,-0.367,0.367
0.671,-0.386,0.386
0.683,-0.415,0.415
0.691,-0.437,0.437
0.698,-0.455,0.454
0.702,-0.465,0.465
0.708,-0.481,0.48
0.713,-0.496,0.496
0.719,-0.512,0.512
0.723,-0.525,0.525
0.729,-0.543,0.542
0.735,-0.562,0.562
0.742,-0.584,0.583
0.75,-0.61,0.61
0.762,-0.647,0.646
0.778,-0.703,0.703
0.803,-0.792,0.791
0.817,-0.842,0.842
0.831,-0.895,0.894
0.847,-0.959,0.958
0.85,-0.969,0.968
0.854,-0.985,0.984
0.86,-1.008,1.008
0.869,-1.044,1.044
0.882,-1.099,1.098
0.902,-1.184,1.183
0.933,-1.316,1.315
0.969,-1.485,1.484
1.019,-1.732,1.731
1.063,-1.963,1.961
1.109,-2.221,2.219
1.127,-2.325,2.323
1.142,-2.411,2.409
1.159,-2.515,2.513
1.186,-2.675,2.673
1.211,-2.834,2.831
1.228,-2.943,2.94
1.242,-3.035,3.032
1.263,-3.174,3.172
1.295,-3.389,3.386
1.303,-3.447,3.443
1.316,-3.534,3.531
1.334,-3.667,3.663
1.363,-3.87,3.866
1.405,-4.184,4.18
1.455,-4.57,4.566
1.468,-4.674,4.669
1.488,-4.831,4.826
1.517,-5.071,5.066
1.55,-5.345,5.34
1.575,-5.558,5.552
1.608,-5.844,5.838
1.634,-6.073,6.067
1.656,-6.276,6.269
1.687,-6.56,6.553
1.718,-6.852,6.845
1.742,-7.077,7.069
1.754,-7.192,7.184
1.772,-7.366,7.358
1.787,-7.52,7.512
1.796,-7.606,7.598
1.805,-7.693,7.685
1.817,-7.816,7.808
1.821,-7.855,7.846
1.827,-7.913,7.904
1.834,-7.985,7.976
1.847,-8.116,8.107
1.857,-8.214,8.205
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.247,8.238
1.865,-8.296,8.287
1.872,-8.37,8.361
1.883,-8.481,8.471
1.898,-8.625,8.616
1.908,-8.728,8.718
1.924,-8.875,8.865
1.946,-9.094,9.083
1.96,-9.228,9.218
1.976,-9.379,9.368
2,-9.602,9.591
2.025,-9.835,9.824
2.048,-10.05,10.038
2.083,-10.367,10.355
2.124,-10.739,10.726
2.158,-11.036,11.022
2.208,-11.469,11.455
2.258,-11.894,11.878
2.308,-12.309,12.293
2.358,-12.717,12.7
2.408,-13.116,13.099
2.458,-13.508,13.49
2.483,-13.702,13.683
2.505,-13.872,13.853
2.539,-14.125,14.106
2.556,-14.259,14.239
2.574,-14.391,14.371
2.601,-14.588,14.567
2.64,-14.879,14.858
2.661,-15.026,15.005
2.692,-15.245,15.223
2.732,-15.527,15.505
2.752,-15.667,15.644
2.78,-15.867,15.844
2.823,-16.163,16.139
2.856,-16.383,16.358
2.905,-16.708,16.683
2.946,-16.978,16.952
2.967,-17.117,17.091
2.999,-17.323,17.297
3.043,-17.599,17.571
3.093,-17.913,17.885
3.128,-18.133,18.104
3.178,-18.439,18.41
3.227,-18.738,18.708
3.277,-19.036,19.005
3.327,-19.329,19.297
3.377,-19.618,19.586
3.427,-19.903,19.869
3.477,-20.184,20.149
3.527,-20.461,20.425
3.574,-20.718,20.682
3.615,-20.941,20.904
3.665,-21.21,21.173
3.69,-21.341,21.303
3.708,-21.439,21.4
3.731,-21.554,21.516
3.764,-21.727,21.688
3.814,-21.984,21.944
3.864,-22.239,22.198
3.914,-22.491,22.449
3.964,-22.74,22.698
3.995,-22.894,22.852
4.041,-23.124,23.08
4.091,-23.368,23.323
4.141,-23.608,23.563
4.183,-23.807,23.761
4.233,-24.043,23.996
4.283,-24.277,24.229
4.333,-24.508,24.46
4.383,-24.738,24.689
4.433,-24.966,24.916
4.483,-25.192,25.141
4.533,-25.416,25.365
4.583,-25.638,25.585
4.629,-25.839,25.786
4.664,-25.99,25.936
4.707,-26.174,26.12
4.757,-26.388,26.332
4.807,-26.599,26.543
4.857,-26.809,26.752
4.9,-26.99,26.932
4.927,-27.104,27.046
4.965,-27.264,27.205
5.015,-27.471,27.411
5.065,-27.677,27.617
5.115,-27.881,27.82
5.159,-28.06,27.998
5.191,-28.186,28.124
5.22,-28.304,28.242
5.252,-28.43,28.367
5.289,-28.576,28.512
5.333,-28.748,28.683
5.383,-28.942,28.876
5.433,-29.134,29.068
5.483,-29.324,29.257
5.533,-29.514,29.446
5.583,-29.702,29.634
5.633,-29.89,29.82
5.683,-30.076,30.006
5.733,-30.261,30.19
5.783,-30.445,30.373
# Event APOGEE occurred at t=5.833 seconds
5.833,-30.628,30.555
5.883,-30.809,30.736
5.933,-30.99,30.915
5.983,-31.169,31.094
6.033,-31.348,31.272
6.083,-31.525,31.449
