# Simulation 26 (Up to date)
# 467 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,3.785e-5,-3.785e-5
0.051,1.307e-4,-1.307e-4
0.061,2.777e-4,-2.777e-4
0.071,4.777e-4,-4.777e-4
0.081,7.297e-4,-7.297e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.001,-0.001
0.112,0.002,-0.002
0.122,0.002,-0.002
0.132,0.002,-0.002
0.139,0.003,-0.003
0.149,0.003,-0.003
0.159,0.003,-0.003
0.169,0.004,-0.004
0.179,0.004,-0.004
0.189,0.004,-0.004
0.192,0.004,-0.004
0.196,0.005,-0.005
0.203,0.005,-0.005
0.209,0.005,-0.005
0.216,0.005,-0.005
0.224,0.005,-0.005
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.006,-0.006
0.235,0.006,-0.006
0.238,0.006,-0.006
0.242,0.007,-0.007
0.248,0.007,-0.007
0.252,0.008,-0.008
0.255,0.009,-0.009
0.259,0.009,-0.009
0.263,0.01,-0.01
0.267,0.011,-0.011
0.271,0.012,-0.012
0.275,0.014,-0.014
0.28,0.015,-0.015
0.284,0.017,-0.017
0.289,0.018,-0.018
0.292,0.019,-0.019
0.296,0.021,-0.021
0.302,0.023,-0.023
0.309,0.026,-0.026
0.317,0.029,-0.029
0.329,0.033,-0.033
0.347,0.039,-0.039
0.37,0.044,-0.044
0.378,0.045,-0.045
0.384,0.045,-0.045
0.39,0.044,-0.044
0.395,0.044,-0.044
0.4,0.043,-0.043
0.404,0.042,-0.042
0.409,0.041,-0.041
0.413,0.039,-0.039
0.417,0.038,-0.038
0.422,0.036,-0.036
0.426,0.034,-0.034
0.43,0.032,-0.032
0.434,0.029,-0.029
0.438,0.026,-0.027
0.441,0.024,-0.024
0.445,0.021,-0.021
0.449,0.017,-0.017
0.453,0.014,-0.014
0.458,0.01,-0.01
0.462,0.005,-0.005
0.467,5.919e-4,-6.56e-4
0.471,-0.005,0.005
0.475,-0.009,0.009
0.48,-0.016,0.015
0.487,-0.024,0.024
0.496,-0.036,0.036
0.508,-0.054,0.054
0.527,-0.084,0.084
0.556,-0.133,0.133
0.565,-0.15,0.15
0.572,-0.163,0.163
0.578,-0.174,0.174
0.583,-0.184,0.184
0.589,-0.194,0.194
0.594,-0.203,0.203
0.598,-0.212,0.212
0.603,-0.221,0.221
0.608,-0.23,0.23
0.613,-0.24,0.24
0.618,-0.25,0.249
0.624,-0.26,0.26
0.63,-0.272,0.272
0.637,-0.286,0.286
0.646,-0.304,0.303
0.659,-0.331,0.33
0.671,-0.356,0.355
0.689,-0.395,0.395
0.697,-0.415,0.414
0.702,-0.426,0.425
0.709,-0.442,0.441
0.715,-0.457,0.457
0.723,-0.479,0.478
0.729,-0.495,0.495
0.736,-0.513,0.513
0.743,-0.533,0.532
0.751,-0.555,0.555
0.761,-0.583,0.583
0.772,-0.617,0.617
0.788,-0.666,0.666
0.811,-0.743,0.742
0.827,-0.796,0.796
0.836,-0.825,0.825
0.843,-0.851,0.85
0.85,-0.875,0.874
0.857,-0.898,0.898
0.863,-0.922,0.921
0.87,-0.946,0.945
0.878,-0.972,0.971
0.886,-1.003,1.002
0.897,-1.044,1.043
0.914,-1.106,1.105
0.94,-1.204,1.203
0.948,-1.239,1.237
0.956,-1.27,1.269
0.963,-1.299,1.298
0.97,-1.327,1.326
0.976,-1.356,1.355
0.983,-1.387,1.386
0.992,-1.423,1.422
1.002,-1.468,1.466
1.017,-1.537,1.535
1.039,-1.643,1.641
1.047,-1.681,1.68
1.054,-1.715,1.714
1.063,-1.757,1.756
1.07,-1.791,1.79
1.078,-1.829,1.827
1.087,-1.874,1.873
1.101,-1.944,1.942
1.122,-2.05,2.048
1.146,-2.176,2.174
1.161,-2.257,2.254
1.172,-2.315,2.313
1.181,-2.368,2.365
1.191,-2.423,2.421
1.203,-2.49,2.488
1.211,-2.54,2.537
1.224,-2.615,2.612
1.242,-2.723,2.721
1.252,-2.786,2.783
1.262,-2.844,2.841
1.272,-2.904,2.901
1.284,-2.978,2.975
1.303,-3.097,3.094
1.332,-3.281,3.277
1.346,-3.371,3.367
1.361,-3.474,3.47
1.384,-3.632,3.628
1.419,-3.874,3.869
1.468,-4.222,4.218
1.495,-4.426,4.421
1.537,-4.739,4.734
1.548,-4.824,4.819
1.56,-4.918,4.913
1.578,-5.061,5.056
1.597,-5.217,5.211
1.608,-5.303,5.297
1.62,-5.399,5.392
1.637,-5.543,5.536
1.656,-5.703,5.696
1.678,-5.889,5.882
1.711,-6.174,6.166
1.76,-6.612,6.604
1.791,-6.894,6.886
1.818,-7.144,7.135
1.821,-7.17,7.161
1.825,-7.21,7.201
1.834,-7.292,7.283
1.843,-7.378,7.369
1.847,-7.415,7.405
1.853,-7.47,7.461
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.537,7.528
1.871,-7.638,7.628
1.887,-7.787,7.777
1.899,-7.901,7.891
1.911,-8.013,8.003
1.923,-8.12,8.11
1.939,-8.264,8.253
1.963,-8.478,8.467
1.978,-8.608,8.597
1.991,-8.72,8.709
2.008,-8.87,8.858
2.033,-9.092,9.08
2.058,-9.303,9.291
2.088,-9.558,9.545
2.134,-9.934,9.92
2.184,-10.339,10.325
2.234,-10.736,10.721
2.284,-11.124,11.108
2.334,-11.504,11.488
2.35,-11.627,11.611
2.365,-11.737,11.721
2.387,-11.901,11.884
2.417,-12.116,12.099
2.433,-12.23,12.212
2.453,-12.376,12.358
2.483,-12.592,12.574
2.529,-12.912,12.893
2.549,-13.052,13.032
2.567,-13.178,13.158
2.595,-13.365,13.344
2.621,-13.544,13.523
2.661,-13.809,13.787
2.711,-14.136,14.114
2.761,-14.457,14.434
2.793,-14.66,14.637
2.842,-14.96,14.936
2.892,-15.266,15.241
2.929,-15.491,15.465
2.965,-15.706,15.68
3.012,-15.984,15.956
3.062,-16.273,16.245
3.093,-16.45,16.422
3.14,-16.712,16.683
3.181,-16.942,16.912
3.224,-17.179,17.148
3.237,-17.249,17.218
3.249,-17.313,17.282
3.261,-17.378,17.347
3.279,-17.475,17.443
3.306,-17.619,17.587
3.323,-17.708,17.676
3.334,-17.767,17.735
3.344,-17.82,17.787
3.354,-17.871,17.839
3.365,-17.927,17.894
3.378,-17.995,17.962
3.397,-18.097,18.063
3.426,-18.248,18.214
3.463,-18.441,18.407
3.481,-18.533,18.498
3.496,-18.607,18.572
3.51,-18.679,18.644
3.526,-18.759,18.723
3.547,-18.861,18.825
3.578,-19.014,18.977
3.625,-19.241,19.203
3.643,-19.332,19.294
3.663,-19.425,19.388
3.686,-19.541,19.503
3.722,-19.713,19.674
3.772,-19.951,19.911
3.822,-20.186,20.145
3.872,-20.417,20.376
3.901,-20.55,20.508
3.944,-20.744,20.702
3.988,-20.94,20.897
4.037,-21.158,21.114
4.075,-21.323,21.278
4.103,-21.447,21.401
4.13,-21.564,21.518
4.17,-21.738,21.692
4.22,-21.954,21.907
4.261,-22.13,22.082
4.285,-22.23,22.182
4.317,-22.363,22.315
4.365,-22.562,22.512
4.415,-22.767,22.717
4.465,-22.971,22.92
4.515,-23.174,23.122
4.565,-23.375,23.322
4.615,-23.575,23.521
4.665,-23.774,23.719
4.715,-23.971,23.915
4.765,-24.166,24.11
4.799,-24.298,24.242
4.836,-24.443,24.385
4.866,-24.555,24.497
4.898,-24.678,24.619
4.947,-24.859,24.8
4.997,-25.045,24.985
5.047,-25.23,25.169
