# Simulation 89 (Up to date)
# 469 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.792e-5,-4.792e-5
0.051,1.636e-4,-1.636e-4
0.061,3.44e-4,-3.44e-4
0.071,5.857e-4,-5.857e-4
0.081,8.857e-4,-8.858e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.002,-0.002
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.005,-0.005
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.006,-0.006
0.224,0.006,-0.006
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.235,0.007,-0.007
0.239,0.007,-0.007
0.243,0.008,-0.008
0.248,0.008,-0.008
0.252,0.009,-0.009
0.256,0.01,-0.01
0.26,0.01,-0.01
0.264,0.011,-0.011
0.269,0.012,-0.012
0.273,0.014,-0.014
0.278,0.015,-0.015
0.283,0.016,-0.016
0.288,0.018,-0.018
0.292,0.019,-0.019
0.298,0.021,-0.021
0.305,0.024,-0.024
0.313,0.027,-0.027
0.323,0.03,-0.03
0.338,0.035,-0.035
0.361,0.041,-0.041
0.37,0.042,-0.042
0.378,0.043,-0.043
0.385,0.043,-0.043
0.39,0.043,-0.043
0.395,0.043,-0.043
0.4,0.042,-0.042
0.404,0.041,-0.041
0.408,0.04,-0.04
0.413,0.039,-0.039
0.417,0.037,-0.037
0.421,0.035,-0.035
0.425,0.033,-0.033
0.429,0.031,-0.031
0.433,0.029,-0.029
0.438,0.026,-0.026
0.442,0.023,-0.023
0.446,0.02,-0.02
0.451,0.016,-0.016
0.456,0.012,-0.012
0.46,0.008,-0.008
0.465,0.003,-0.003
0.471,-0.002,0.002
0.475,-0.007,0.007
0.481,-0.014,0.014
0.487,-0.022,0.022
0.495,-0.031,0.031
0.504,-0.044,0.044
0.519,-0.065,0.065
0.54,-0.098,0.098
0.55,-0.115,0.115
0.557,-0.127,0.127
0.564,-0.138,0.137
0.57,-0.148,0.148
0.576,-0.158,0.157
0.581,-0.167,0.167
0.587,-0.177,0.176
0.593,-0.186,0.186
0.598,-0.196,0.196
0.604,-0.206,0.206
0.61,-0.216,0.216
0.616,-0.227,0.227
0.623,-0.238,0.238
0.63,-0.251,0.251
0.637,-0.265,0.265
0.647,-0.282,0.282
0.661,-0.308,0.308
0.671,-0.328,0.327
0.686,-0.358,0.358
0.694,-0.375,0.375
0.702,-0.392,0.392
0.708,-0.405,0.405
0.713,-0.418,0.418
0.719,-0.431,0.431
0.723,-0.441,0.441
0.729,-0.455,0.455
0.735,-0.471,0.471
0.742,-0.489,0.488
0.75,-0.51,0.509
0.76,-0.537,0.537
0.776,-0.58,0.58
0.799,-0.647,0.646
0.811,-0.685,0.684
0.82,-0.711,0.71
0.827,-0.733,0.732
0.834,-0.753,0.753
0.841,-0.774,0.773
0.847,-0.795,0.794
0.85,-0.803,0.802
0.854,-0.815,0.814
0.86,-0.834,0.833
0.868,-0.86,0.859
0.878,-0.891,0.891
0.892,-0.938,0.937
0.914,-1.011,1.01
0.925,-1.048,1.047
0.932,-1.073,1.072
0.938,-1.095,1.094
0.944,-1.116,1.115
0.949,-1.137,1.136
0.955,-1.158,1.157
0.961,-1.18,1.179
0.967,-1.204,1.203
0.974,-1.233,1.232
0.983,-1.27,1.269
0.998,-1.328,1.327
1.019,-1.417,1.415
1.027,-1.452,1.45
1.034,-1.481,1.479
1.04,-1.508,1.506
1.046,-1.534,1.532
1.052,-1.561,1.559
1.059,-1.59,1.588
1.063,-1.608,1.606
1.069,-1.635,1.634
1.079,-1.677,1.675
1.093,-1.74,1.738
1.114,-1.837,1.835
1.126,-1.892,1.89
1.136,-1.942,1.94
1.147,-1.997,1.995
1.162,-2.068,2.066
1.179,-2.155,2.152
1.204,-2.288,2.286
1.211,-2.325,2.322
1.221,-2.38,2.378
1.237,-2.464,2.462
1.242,-2.493,2.49
1.25,-2.536,2.533
1.261,-2.601,2.598
1.279,-2.699,2.697
1.303,-2.838,2.835
1.339,-3.053,3.049
1.389,-3.361,3.358
1.439,-3.684,3.68
1.468,-3.877,3.872
1.511,-4.175,4.17
1.561,-4.532,4.527
1.611,-4.902,4.896
1.656,-5.245,5.238
1.706,-5.64,5.633
1.756,-6.049,6.041
1.801,-6.425,6.417
1.821,-6.602,6.593
1.834,-6.715,6.706
1.847,-6.829,6.82
# Event BURNOUT occurred at t=1.86 seconds
1.86,-6.942,6.933
1.88,-7.11,7.101
1.907,-7.344,7.334
1.948,-7.688,7.678
1.991,-8.045,8.033
2.041,-8.446,8.434
2.09,-8.83,8.817
2.14,-9.212,9.199
2.163,-9.383,9.369
2.197,-9.635,9.62
2.211,-9.738,9.724
2.227,-9.853,9.839
2.25,-10.025,10.01
2.285,-10.278,10.262
2.296,-10.353,10.337
2.308,-10.439,10.423
2.326,-10.566,10.55
2.354,-10.755,10.739
2.371,-10.871,10.854
2.382,-10.949,10.932
2.394,-11.03,11.012
2.409,-11.133,11.115
2.432,-11.286,11.268
2.45,-11.405,11.386
2.462,-11.486,11.467
2.475,-11.572,11.554
2.494,-11.692,11.673
2.521,-11.87,11.851
2.532,-11.938,11.919
2.541,-11.994,11.974
2.549,-12.047,12.027
2.558,-12.103,12.083
2.569,-12.175,12.155
2.586,-12.283,12.263
2.612,-12.444,12.424
2.623,-12.512,12.491
2.633,-12.572,12.551
2.643,-12.635,12.614
2.655,-12.708,12.686
2.673,-12.816,12.795
2.7,-12.978,12.956
2.714,-13.064,13.041
2.731,-13.165,13.143
2.757,-13.316,13.293
2.795,-13.54,13.517
2.813,-13.643,13.62
2.84,-13.797,13.772
2.88,-14.024,13.999
2.907,-14.173,14.148
2.947,-14.394,14.368
2.997,-14.667,14.64
3.047,-14.935,14.908
3.097,-15.198,15.17
3.114,-15.289,15.26
3.14,-15.424,15.395
3.18,-15.624,15.594
3.227,-15.859,15.828
3.248,-15.964,15.933
3.266,-16.054,16.023
3.293,-16.188,16.157
3.334,-16.387,16.355
3.354,-16.483,16.45
3.375,-16.586,16.553
3.408,-16.739,16.705
3.456,-16.966,16.932
3.472,-17.04,17.006
3.496,-17.152,17.117
3.532,-17.317,17.282
3.579,-17.531,17.495
3.629,-17.754,17.717
3.679,-17.974,17.936
3.725,-18.171,18.133
3.775,-18.387,18.348
3.81,-18.539,18.5
3.831,-18.626,18.586
3.847,-18.695,18.654
3.863,-18.76,18.719
3.886,-18.852,18.811
3.919,-18.989,18.947
3.969,-19.191,19.148
4.011,-19.357,19.313
4.037,-19.46,19.417
4.064,-19.569,19.525
4.104,-19.728,19.683
4.154,-19.924,19.878
4.191,-20.064,20.018
4.213,-20.15,20.103
4.238,-20.247,20.199
4.277,-20.39,20.342
4.327,-20.576,20.527
4.377,-20.76,20.71
4.403,-20.854,20.804
4.422,-20.924,20.874
4.445,-21.01,20.959
4.479,-21.135,21.084
4.529,-21.316,21.265
4.559,-21.422,21.369
4.577,-21.488,21.436
4.595,-21.552,21.499
4.614,-21.616,21.562
4.637,-21.696,21.643
4.672,-21.817,21.762
4.722,-21.988,21.933
4.772,-22.157,22.101
4.822,-22.325,22.268
4.872,-22.492,22.434
4.922,-22.657,22.598
4.972,-22.821,22.762
5.022,-22.983,22.923
