# Simulation 65 (Up to date)
# 435 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.863e-5,-4.863e-5
0.051,1.668e-4,-1.668e-4
0.061,3.529e-4,-3.529e-4
0.071,6.061e-4,-6.061e-4
0.081,9.261e-4,-9.261e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.008,-0.008
0.238,0.008,-0.008
0.241,0.008,-0.008
0.245,0.009,-0.009
0.248,0.009,-0.009
0.251,0.01,-0.01
0.255,0.01,-0.01
0.259,0.011,-0.011
0.262,0.012,-0.012
0.266,0.013,-0.013
0.27,0.014,-0.014
0.274,0.016,-0.016
0.278,0.017,-0.017
0.283,0.019,-0.019
0.288,0.02,-0.02
0.292,0.022,-0.022
0.298,0.024,-0.024
0.304,0.027,-0.027
0.312,0.03,-0.03
0.322,0.034,-0.034
0.337,0.04,-0.04
0.36,0.046,-0.046
0.37,0.048,-0.048
0.377,0.049,-0.049
0.383,0.049,-0.049
0.388,0.049,-0.049
0.393,0.048,-0.048
0.397,0.048,-0.048
0.401,0.047,-0.047
0.405,0.046,-0.046
0.409,0.045,-0.045
0.413,0.043,-0.043
0.417,0.042,-0.042
0.421,0.04,-0.04
0.424,0.038,-0.038
0.428,0.036,-0.036
0.432,0.034,-0.034
0.436,0.031,-0.031
0.439,0.028,-0.028
0.443,0.025,-0.025
0.447,0.022,-0.022
0.451,0.019,-0.019
0.455,0.015,-0.015
0.459,0.011,-0.011
0.464,0.006,-0.006
0.468,5.736e-4,-6.411e-4
0.475,-0.007,0.007
0.481,-0.015,0.015
0.488,-0.025,0.025
0.498,-0.039,0.039
0.514,-0.062,0.062
0.536,-0.099,0.099
0.544,-0.113,0.113
0.551,-0.125,0.125
0.557,-0.136,0.136
0.563,-0.146,0.146
0.569,-0.157,0.157
0.575,-0.168,0.168
0.581,-0.18,0.179
0.588,-0.192,0.192
0.595,-0.205,0.205
0.603,-0.22,0.22
0.612,-0.239,0.238
0.624,-0.261,0.26
0.639,-0.292,0.292
0.662,-0.342,0.341
0.671,-0.362,0.361
0.684,-0.393,0.392
0.702,-0.436,0.436
0.714,-0.468,0.467
0.723,-0.491,0.491
0.733,-0.519,0.519
0.744,-0.549,0.549
0.756,-0.584,0.583
0.772,-0.633,0.633
0.796,-0.711,0.71
0.813,-0.765,0.764
0.826,-0.808,0.807
0.839,-0.852,0.852
0.85,-0.891,0.891
0.867,-0.951,0.95
0.892,-1.044,1.043
0.93,-1.191,1.19
0.946,-1.256,1.255
0.96,-1.313,1.312
0.977,-1.391,1.389
1.004,-1.511,1.509
1.027,-1.617,1.615
1.045,-1.7,1.699
1.063,-1.786,1.785
1.09,-1.92,1.918
1.109,-2.016,2.014
1.125,-2.104,2.102
1.151,-2.24,2.238
1.189,-2.452,2.449
1.211,-2.58,2.578
1.242,-2.763,2.76
1.289,-3.047,3.045
1.303,-3.139,3.136
1.325,-3.279,3.276
1.357,-3.492,3.488
1.374,-3.605,3.601
1.399,-3.777,3.773
1.438,-4.043,4.039
1.468,-4.262,4.258
1.514,-4.6,4.595
1.564,-4.984,4.979
1.614,-5.382,5.376
1.649,-5.67,5.664
1.656,-5.729,5.723
1.667,-5.817,5.811
1.683,-5.952,5.945
1.697,-6.073,6.066
1.714,-6.222,6.215
1.74,-6.449,6.442
1.779,-6.796,6.788
1.8,-6.986,6.978
1.821,-7.182,7.174
1.834,-7.303,7.295
1.847,-7.424,7.415
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.544,7.536
1.88,-7.724,7.715
1.909,-7.99,7.98
1.953,-8.381,8.371
1.994,-8.74,8.729
2.036,-9.107,9.096
2.086,-9.526,9.514
2.136,-9.935,9.922
2.186,-10.334,10.321
2.236,-10.725,10.711
2.286,-11.107,11.092
2.336,-11.481,11.465
2.36,-11.651,11.635
2.394,-11.903,11.887
2.408,-12.006,11.989
2.427,-12.135,12.119
2.454,-12.328,12.311
2.476,-12.486,12.469
2.51,-12.72,12.703
2.56,-13.061,13.042
2.61,-13.395,13.375
2.648,-13.64,13.62
2.674,-13.812,13.791
2.706,-14.017,13.996
2.719,-14.104,14.083
2.735,-14.203,14.182
2.759,-14.35,14.329
2.794,-14.569,14.547
2.808,-14.655,14.633
2.822,-14.744,14.721
2.842,-14.863,14.84
2.871,-15.04,15.017
2.89,-15.158,15.134
2.904,-15.236,15.212
2.917,-15.319,15.295
2.938,-15.441,15.417
2.97,-15.624,15.6
3.006,-15.834,15.808
3.056,-16.119,16.093
3.095,-16.341,16.315
3.145,-16.619,16.592
3.182,-16.817,16.789
3.22,-17.022,16.994
3.27,-17.288,17.259
3.314,-17.519,17.489
3.334,-17.625,17.595
3.354,-17.731,17.7
3.385,-17.888,17.857
3.414,-18.038,18.006
3.427,-18.104,18.072
3.439,-18.163,18.131
3.45,-18.222,18.189
3.463,-18.284,18.252
3.48,-18.368,18.335
3.505,-18.492,18.459
3.543,-18.676,18.643
3.567,-18.791,18.757
3.586,-18.882,18.847
3.604,-18.97,18.936
3.626,-19.076,19.041
3.659,-19.233,19.197
3.709,-19.465,19.429
3.748,-19.649,19.612
3.798,-19.878,19.84
3.848,-20.104,20.066
3.869,-20.197,20.159
3.898,-20.329,20.29
3.942,-20.525,20.485
3.992,-20.745,20.705
4.006,-20.805,20.765
4.019,-20.863,20.822
4.034,-20.925,20.884
4.051,-20.998,20.957
4.075,-21.099,21.057
4.111,-21.249,21.206
4.154,-21.43,21.387
4.204,-21.636,21.593
4.226,-21.726,21.682
4.243,-21.795,21.75
4.258,-21.858,21.813
4.275,-21.927,21.882
4.297,-22.019,21.973
4.33,-22.156,22.11
4.38,-22.359,22.312
4.403,-22.449,22.402
4.42,-22.516,22.469
4.436,-22.581,22.534
4.453,-22.647,22.599
4.471,-22.719,22.671
4.493,-22.804,22.756
4.525,-22.927,22.878
4.572,-23.109,23.059
4.622,-23.299,23.248
4.672,-23.487,23.436
4.722,-23.675,23.623
4.772,-23.861,23.808
4.822,-24.045,23.992
4.872,-24.228,24.174
4.922,-24.409,24.354
4.972,-24.589,24.533
5.022,-24.766,24.709
5.072,-24.941,24.884
5.122,-25.116,25.057
5.172,-25.289,25.23
5.222,-25.461,25.401
5.272,-25.631,25.57
5.322,-25.8,25.738
5.372,-25.968,25.905
5.422,-26.135,26.072
5.472,-26.3,26.236
5.522,-26.465,26.4
5.572,-26.628,26.562
5.622,-26.79,26.724
5.672,-26.95,26.884
5.722,-27.11,27.043
5.772,-27.269,27.201
5.822,-27.427,27.357
# Event APOGEE occurred at t=5.871 seconds
5.871,-27.578,27.508
5.917,-27.724,27.653
5.963,-27.867,27.795
6.009,-28.007,27.935
6.054,-28.147,28.074
6.1,-28.286,28.213
6.146,-28.428,28.353
6.194,-28.573,28.498
6.244,-28.723,28.647
6.294,-28.872,28.796
6.344,-29.021,28.944
6.394,-29.168,29.091
6.444,-29.315,29.236
6.494,-29.46,29.381
6.544,-29.605,29.524
