# Simulation 95 (Up to date)
# 444 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.729e-5,-4.729e-5
0.051,1.645e-4,-1.645e-4
0.061,3.526e-4,-3.526e-4
0.071,6.12e-4,-6.12e-4
0.081,9.434e-4,-9.435e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.007,-0.007
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.234,0.008,-0.008
0.238,0.008,-0.008
0.241,0.009,-0.009
0.245,0.009,-0.009
0.248,0.009,-0.009
0.251,0.01,-0.01
0.255,0.011,-0.011
0.259,0.012,-0.012
0.262,0.013,-0.013
0.266,0.014,-0.014
0.27,0.015,-0.015
0.273,0.016,-0.016
0.277,0.017,-0.017
0.281,0.019,-0.019
0.285,0.02,-0.02
0.292,0.023,-0.023
0.297,0.025,-0.025
0.302,0.027,-0.027
0.308,0.03,-0.03
0.315,0.033,-0.033
0.323,0.036,-0.036
0.335,0.042,-0.042
0.354,0.048,-0.048
0.37,0.052,-0.052
0.377,0.053,-0.053
0.383,0.054,-0.054
0.389,0.054,-0.054
0.394,0.054,-0.054
0.398,0.053,-0.053
0.403,0.052,-0.052
0.407,0.052,-0.052
0.411,0.05,-0.05
0.414,0.049,-0.049
0.418,0.048,-0.048
0.422,0.046,-0.046
0.425,0.044,-0.045
0.428,0.043,-0.043
0.432,0.041,-0.041
0.435,0.038,-0.039
0.438,0.036,-0.036
0.441,0.034,-0.034
0.445,0.031,-0.031
0.448,0.028,-0.028
0.451,0.025,-0.026
0.454,0.022,-0.022
0.457,0.019,-0.019
0.461,0.016,-0.016
0.464,0.012,-0.012
0.468,0.007,-0.007
0.471,0.003,-0.003
0.475,-0.002,0.002
0.479,-0.007,0.007
0.484,-0.014,0.014
0.489,-0.022,0.021
0.495,-0.031,0.031
0.503,-0.044,0.044
0.515,-0.064,0.064
0.533,-0.097,0.097
0.545,-0.12,0.119
0.553,-0.134,0.134
0.559,-0.146,0.145
0.564,-0.156,0.156
0.569,-0.166,0.166
0.574,-0.176,0.176
0.578,-0.185,0.185
0.583,-0.194,0.194
0.587,-0.203,0.202
0.591,-0.211,0.211
0.596,-0.22,0.22
0.6,-0.229,0.229
0.604,-0.238,0.238
0.609,-0.247,0.247
0.614,-0.256,0.256
0.618,-0.266,0.266
0.624,-0.277,0.277
0.629,-0.289,0.288
0.636,-0.302,0.302
0.643,-0.318,0.318
0.654,-0.34,0.34
0.671,-0.379,0.378
0.697,-0.441,0.44
0.702,-0.453,0.452
0.709,-0.471,0.471
0.716,-0.488,0.488
0.723,-0.508,0.508
0.729,-0.525,0.525
0.735,-0.543,0.542
0.742,-0.561,0.561
0.748,-0.581,0.581
0.756,-0.604,0.603
0.764,-0.629,0.629
0.773,-0.659,0.658
0.785,-0.699,0.698
0.803,-0.76,0.76
0.831,-0.856,0.856
0.84,-0.89,0.889
0.85,-0.928,0.927
0.857,-0.955,0.954
0.865,-0.985,0.985
0.875,-1.022,1.021
0.888,-1.073,1.072
0.909,-1.153,1.152
0.933,-1.255,1.254
0.946,-1.307,1.306
0.957,-1.358,1.357
0.97,-1.417,1.416
0.99,-1.506,1.505
1.019,-1.644,1.643
1.033,-1.714,1.713
1.045,-1.77,1.769
1.056,-1.827,1.826
1.063,-1.861,1.86
1.073,-1.913,1.911
1.088,-1.99,1.989
1.111,-2.11,2.108
1.132,-2.225,2.223
1.16,-2.382,2.38
1.203,-2.628,2.626
1.211,-2.677,2.675
1.223,-2.752,2.749
1.242,-2.866,2.863
1.27,-3.041,3.038
1.303,-3.254,3.251
1.353,-3.585,3.581
1.403,-3.933,3.93
1.453,-4.296,4.292
1.468,-4.411,4.406
1.491,-4.585,4.58
1.526,-4.853,4.848
1.559,-5.115,5.11
1.609,-5.519,5.513
1.656,-5.917,5.911
1.706,-6.351,6.344
1.756,-6.8,6.793
1.806,-7.263,7.255
1.821,-7.405,7.396
1.834,-7.528,7.52
1.847,-7.652,7.643
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.776,7.767
1.88,-7.96,7.951
1.909,-8.233,8.223
1.953,-8.635,8.625
1.998,-9.042,9.03
2.048,-9.478,9.467
2.098,-9.905,9.892
2.148,-10.323,10.309
2.172,-10.521,10.508
2.184,-10.617,10.603
2.192,-10.685,10.671
2.201,-10.751,10.737
2.21,-10.823,10.809
2.223,-10.93,10.916
2.243,-11.09,11.076
2.254,-11.175,11.16
2.263,-11.243,11.228
2.271,-11.308,11.293
2.28,-11.376,11.361
2.291,-11.46,11.445
2.307,-11.585,11.57
2.331,-11.771,11.755
2.344,-11.871,11.854
2.356,-11.963,11.946
2.369,-12.06,12.043
2.385,-12.176,12.159
2.409,-12.349,12.332
2.444,-12.606,12.589
2.488,-12.924,12.905
2.525,-13.186,13.167
2.575,-13.532,13.513
2.6,-13.701,13.681
2.623,-13.855,13.834
2.657,-14.084,14.063
2.69,-14.302,14.281
2.712,-14.445,14.423
2.745,-14.656,14.634
2.794,-14.969,14.946
2.812,-15.081,15.057
2.838,-15.248,15.224
2.879,-15.495,15.47
2.919,-15.742,15.717
2.969,-16.042,16.016
3.019,-16.337,16.31
3.051,-16.521,16.494
3.074,-16.651,16.624
3.108,-16.845,16.817
3.158,-17.125,17.097
3.184,-17.272,17.243
3.224,-17.491,17.461
3.257,-17.673,17.643
3.278,-17.786,17.756
3.31,-17.955,17.924
3.357,-18.205,18.173
3.406,-18.461,18.428
3.438,-18.625,18.592
3.485,-18.868,18.834
3.535,-19.121,19.086
3.56,-19.246,19.211
3.586,-19.376,19.34
3.626,-19.569,19.533
3.676,-19.812,19.775
3.726,-20.052,20.014
3.776,-20.288,20.25
3.826,-20.522,20.483
3.876,-20.754,20.713
3.923,-20.971,20.93
3.973,-21.199,21.156
4.002,-21.33,21.287
4.026,-21.437,21.394
4.058,-21.579,21.536
4.107,-21.791,21.747
4.157,-22.008,21.962
4.207,-22.223,22.177
4.257,-22.436,22.389
4.307,-22.647,22.599
4.357,-22.855,22.807
4.389,-22.988,22.939
4.438,-23.186,23.137
4.488,-23.389,23.339
4.538,-23.591,23.54
4.588,-23.791,23.739
4.638,-23.991,23.938
4.688,-24.188,24.135
4.714,-24.292,24.237
4.738,-24.383,24.329
4.763,-24.48,24.425
4.791,-24.587,24.532
4.825,-24.716,24.66
4.875,-24.904,24.847
4.925,-25.09,25.032
4.975,-25.274,25.216
5.025,-25.457,25.398
5.075,-25.639,25.579
5.125,-25.82,25.76
5.175,-26,25.939
5.225,-26.179,26.117
5.275,-26.357,26.294
5.325,-26.534,26.47
5.375,-26.71,26.645
5.424,-26.88,26.814
5.466,-27.026,26.959
5.509,-27.172,27.106
5.554,-27.325,27.257
5.604,-27.493,27.425
5.653,-27.657,27.588
5.701,-27.815,27.745
5.747,-27.969,27.898
5.793,-28.12,28.049
5.839,-28.27,28.198
# Event APOGEE occurred at t=5.886 seconds
5.886,-28.42,28.347
5.932,-28.571,28.497
5.98,-28.724,28.65
6.029,-28.88,28.805
6.079,-29.038,28.962
