# Simulation 51 (Up to date)
# 506 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,7.091e-5,-7.091e-5
0.051,2.439e-4,-2.439e-4
0.061,5.177e-4,-5.177e-4
0.071,8.942e-4,-8.942e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.005,-0.005
0.139,0.005,-0.005
0.149,0.006,-0.006
0.159,0.006,-0.006
0.169,0.007,-0.007
0.179,0.008,-0.008
0.189,0.008,-0.008
0.192,0.009,-0.009
0.196,0.009,-0.009
0.203,0.009,-0.009
0.209,0.01,-0.01
0.216,0.01,-0.01
0.224,0.011,-0.011
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.011,-0.011
0.234,0.011,-0.011
0.237,0.012,-0.012
0.24,0.012,-0.012
0.243,0.013,-0.013
0.248,0.014,-0.014
0.251,0.014,-0.014
0.254,0.015,-0.015
0.257,0.016,-0.016
0.26,0.017,-0.017
0.263,0.018,-0.018
0.267,0.019,-0.019
0.27,0.02,-0.02
0.273,0.022,-0.022
0.277,0.023,-0.023
0.281,0.025,-0.025
0.285,0.026,-0.026
0.289,0.028,-0.028
0.292,0.03,-0.03
0.297,0.032,-0.032
0.302,0.035,-0.035
0.307,0.038,-0.038
0.314,0.041,-0.041
0.322,0.046,-0.046
0.335,0.052,-0.052
0.353,0.06,-0.06
0.37,0.065,-0.065
0.376,0.066,-0.066
0.381,0.067,-0.067
0.386,0.067,-0.067
0.39,0.067,-0.067
0.394,0.067,-0.067
0.398,0.066,-0.066
0.401,0.066,-0.066
0.405,0.065,-0.065
0.408,0.064,-0.064
0.412,0.063,-0.063
0.415,0.062,-0.062
0.418,0.06,-0.06
0.422,0.059,-0.059
0.425,0.057,-0.057
0.428,0.055,-0.055
0.432,0.053,-0.053
0.435,0.05,-0.05
0.438,0.048,-0.048
0.441,0.045,-0.045
0.445,0.042,-0.042
0.448,0.039,-0.039
0.452,0.036,-0.036
0.455,0.032,-0.032
0.459,0.028,-0.028
0.463,0.024,-0.024
0.467,0.019,-0.019
0.471,0.014,-0.014
0.475,0.008,-0.008
0.48,0.002,-0.002
0.485,-0.006,0.006
0.49,-0.014,0.014
0.497,-0.025,0.025
0.505,-0.039,0.039
0.518,-0.062,0.062
0.537,-0.099,0.099
0.546,-0.116,0.116
0.552,-0.129,0.129
0.558,-0.141,0.14
0.563,-0.151,0.151
0.568,-0.162,0.161
0.572,-0.171,0.171
0.577,-0.181,0.181
0.581,-0.191,0.191
0.586,-0.2,0.2
0.59,-0.21,0.21
0.595,-0.22,0.22
0.6,-0.23,0.23
0.604,-0.241,0.24
0.609,-0.252,0.252
0.615,-0.264,0.263
0.621,-0.277,0.277
0.628,-0.292,0.292
0.636,-0.311,0.31
0.647,-0.337,0.337
0.664,-0.379,0.379
0.671,-0.395,0.395
0.681,-0.421,0.421
0.693,-0.453,0.452
0.702,-0.478,0.478
0.71,-0.501,0.5
0.717,-0.523,0.522
0.723,-0.54,0.539
0.73,-0.562,0.562
0.738,-0.587,0.586
0.747,-0.614,0.613
0.756,-0.647,0.646
0.769,-0.691,0.69
0.789,-0.76,0.759
0.818,-0.868,0.868
0.829,-0.911,0.911
0.839,-0.951,0.95
0.85,-0.994,0.993
0.861,-1.038,1.037
0.875,-1.098,1.097
0.897,-1.19,1.189
0.929,-1.33,1.329
0.937,-1.368,1.367
0.945,-1.405,1.404
0.952,-1.443,1.442
0.961,-1.486,1.485
0.973,-1.543,1.542
0.99,-1.63,1.629
1.015,-1.765,1.763
1.024,-1.81,1.808
1.031,-1.849,1.848
1.038,-1.887,1.886
1.045,-1.926,1.925
1.053,-1.968,1.967
1.063,-2.023,2.021
1.077,-2.103,2.101
1.099,-2.226,2.224
1.111,-2.299,2.298
1.122,-2.36,2.358
1.132,-2.42,2.418
1.143,-2.49,2.488
1.159,-2.591,2.589
1.184,-2.747,2.744
1.211,-2.927,2.924
1.242,-3.136,3.133
1.267,-3.308,3.305
1.303,-3.565,3.562
1.318,-3.67,3.667
1.339,-3.831,3.828
1.36,-3.984,3.981
1.377,-4.117,4.113
1.403,-4.319,4.315
1.433,-4.559,4.554
1.468,-4.845,4.84
1.518,-5.267,5.262
1.568,-5.705,5.7
1.606,-6.049,6.043
1.656,-6.512,6.505
1.706,-6.991,6.984
1.756,-7.486,7.479
1.806,-7.998,7.989
1.821,-8.154,8.145
1.834,-8.29,8.281
1.847,-8.427,8.418
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.563,8.554
1.88,-8.766,8.756
1.896,-8.941,8.931
1.918,-9.159,9.149
1.95,-9.481,9.471
1.967,-9.658,9.647
1.994,-9.92,9.909
2.029,-10.257,10.245
2.053,-10.49,10.478
2.089,-10.834,10.821
2.107,-10.999,10.986
2.134,-11.242,11.228
2.173,-11.601,11.587
2.193,-11.779,11.765
2.222,-12.036,12.022
2.241,-12.202,12.188
2.263,-12.397,12.382
2.292,-12.651,12.636
2.302,-12.734,12.718
2.313,-12.825,12.809
2.329,-12.961,12.945
2.353,-13.163,13.147
2.368,-13.286,13.269
2.39,-13.469,13.452
2.423,-13.741,13.724
2.473,-14.142,14.124
2.523,-14.536,14.517
2.572,-14.91,14.891
2.599,-15.119,15.099
2.621,-15.284,15.264
2.654,-15.53,15.509
2.676,-15.695,15.673
2.69,-15.794,15.772
2.704,-15.897,15.875
2.723,-16.038,16.016
2.752,-16.248,16.226
2.771,-16.378,16.355
2.782,-16.462,16.439
2.794,-16.542,16.518
2.806,-16.63,16.607
2.825,-16.762,16.738
2.854,-16.959,16.934
2.864,-17.029,17.004
2.873,-17.093,17.069
2.883,-17.158,17.134
2.893,-17.23,17.205
2.907,-17.32,17.295
2.926,-17.455,17.43
2.956,-17.655,17.629
2.967,-17.728,17.702
2.978,-17.802,17.776
2.991,-17.886,17.859
3.008,-18,17.973
3.033,-18.159,18.132
3.063,-18.351,18.324
3.094,-18.547,18.519
3.103,-18.604,18.576
3.111,-18.659,18.631
3.121,-18.72,18.692
3.133,-18.795,18.766
3.151,-18.907,18.878
3.177,-19.073,19.044
3.194,-19.176,19.146
3.206,-19.249,19.219
3.216,-19.315,19.285
3.227,-19.382,19.352
3.239,-19.454,19.423
3.254,-19.541,19.511
3.276,-19.672,19.641
3.308,-19.866,19.834
3.322,-19.948,19.916
3.334,-20.016,19.984
3.345,-20.081,20.049
3.356,-20.148,20.116
3.369,-20.225,20.193
3.388,-20.335,20.303
3.416,-20.499,20.466
3.453,-20.71,20.676
3.471,-20.815,20.781
3.484,-20.888,20.854
3.496,-20.954,20.92
3.508,-21.02,20.986
3.522,-21.101,21.066
3.544,-21.22,21.185
3.577,-21.399,21.363
3.591,-21.479,21.443
3.603,-21.543,21.507
3.614,-21.602,21.566
3.625,-21.661,21.625
3.636,-21.723,21.686
3.648,-21.791,21.754
3.664,-21.875,21.838
3.686,-21.993,21.956
3.718,-22.171,22.133
3.742,-22.297,22.259
3.755,-22.367,22.329
3.767,-22.429,22.39
3.778,-22.487,22.449
3.789,-22.547,22.508
3.801,-22.609,22.57
3.815,-22.679,22.64
3.83,-22.757,22.717
3.848,-22.853,22.812
3.876,-22.995,22.954
3.918,-23.207,23.166
3.936,-23.296,23.255
3.949,-23.361,23.319
3.961,-23.418,23.377
3.972,-23.478,23.435
3.985,-23.541,23.499
3.999,-23.614,23.571
