# Simulation 17 (Up to date)
# 498 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.514e-5,-4.514e-5
0.051,1.549e-4,-1.549e-4
0.061,3.277e-4,-3.277e-4
0.071,5.625e-4,-5.625e-4
0.081,8.59e-4,-8.59e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.002,-0.002
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.005,-0.005
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.006,-0.006
0.224,0.006,-0.006
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.007,-0.007
0.238,0.007,-0.007
0.241,0.008,-0.008
0.244,0.008,-0.008
0.248,0.009,-0.009
0.251,0.009,-0.009
0.255,0.01,-0.01
0.258,0.011,-0.011
0.261,0.012,-0.012
0.265,0.013,-0.013
0.269,0.014,-0.014
0.273,0.015,-0.015
0.277,0.016,-0.016
0.281,0.018,-0.018
0.286,0.02,-0.02
0.292,0.022,-0.022
0.298,0.024,-0.024
0.305,0.027,-0.027
0.314,0.031,-0.031
0.327,0.036,-0.036
0.347,0.043,-0.043
0.37,0.048,-0.048
0.377,0.048,-0.048
0.382,0.048,-0.048
0.387,0.048,-0.048
0.392,0.048,-0.048
0.396,0.047,-0.047
0.401,0.046,-0.046
0.405,0.045,-0.045
0.409,0.044,-0.044
0.412,0.042,-0.042
0.416,0.041,-0.041
0.42,0.039,-0.039
0.424,0.037,-0.037
0.428,0.035,-0.035
0.432,0.032,-0.032
0.436,0.029,-0.029
0.44,0.026,-0.026
0.444,0.023,-0.023
0.448,0.02,-0.02
0.452,0.016,-0.016
0.457,0.011,-0.011
0.461,0.006,-0.007
0.466,0.001,-0.001
0.471,-0.005,0.005
0.475,-0.009,0.009
0.48,-0.016,0.016
0.487,-0.025,0.025
0.496,-0.038,0.038
0.51,-0.058,0.058
0.53,-0.09,0.09
0.541,-0.11,0.11
0.549,-0.123,0.123
0.555,-0.134,0.134
0.561,-0.144,0.144
0.566,-0.154,0.154
0.572,-0.163,0.163
0.577,-0.173,0.173
0.582,-0.182,0.182
0.587,-0.191,0.191
0.592,-0.201,0.2
0.597,-0.21,0.21
0.603,-0.221,0.22
0.609,-0.231,0.231
0.615,-0.243,0.243
0.622,-0.256,0.256
0.629,-0.271,0.27
0.639,-0.289,0.289
0.653,-0.318,0.318
0.671,-0.355,0.355
0.687,-0.391,0.391
0.696,-0.412,0.411
0.702,-0.426,0.426
0.709,-0.443,0.443
0.715,-0.458,0.458
0.723,-0.48,0.479
0.729,-0.495,0.494
0.734,-0.51,0.509
0.74,-0.526,0.525
0.746,-0.543,0.542
0.752,-0.561,0.561
0.759,-0.582,0.582
0.768,-0.611,0.61
0.782,-0.654,0.653
0.802,-0.721,0.721
0.813,-0.756,0.756
0.821,-0.785,0.784
0.829,-0.811,0.81
0.836,-0.836,0.835
0.844,-0.862,0.861
0.85,-0.884,0.884
0.859,-0.915,0.914
0.868,-0.95,0.949
0.881,-0.995,0.995
0.9,-1.066,1.065
0.928,-1.176,1.175
0.939,-1.221,1.22
0.949,-1.263,1.262
0.96,-1.307,1.306
0.971,-1.358,1.357
0.989,-1.434,1.433
1.014,-1.552,1.551
1.033,-1.64,1.638
1.046,-1.704,1.703
1.06,-1.773,1.771
1.063,-1.786,1.784
1.067,-1.805,1.804
1.073,-1.835,1.833
1.082,-1.879,1.877
1.095,-1.947,1.945
1.115,-2.05,2.048
1.133,-2.143,2.141
1.147,-2.22,2.217
1.163,-2.31,2.308
1.187,-2.449,2.446
1.211,-2.587,2.584
1.224,-2.666,2.663
1.238,-2.746,2.743
1.242,-2.772,2.769
1.248,-2.81,2.807
1.258,-2.868,2.865
1.272,-2.956,2.953
1.289,-3.059,3.056
1.299,-3.128,3.124
1.303,-3.151,3.148
1.308,-3.187,3.183
1.317,-3.24,3.237
1.329,-3.322,3.318
1.348,-3.446,3.442
1.375,-3.635,3.631
1.398,-3.792,3.788
1.432,-4.032,4.027
1.458,-4.219,4.214
1.468,-4.296,4.291
1.484,-4.413,4.408
1.499,-4.532,4.527
1.515,-4.652,4.646
1.538,-4.834,4.829
1.571,-5.092,5.086
1.586,-5.21,5.204
1.606,-5.376,5.37
1.637,-5.631,5.625
1.648,-5.724,5.717
1.656,-5.794,5.787
1.668,-5.9,5.893
1.687,-6.061,6.053
1.704,-6.206,6.199
1.716,-6.318,6.311
1.729,-6.43,6.423
1.748,-6.6,6.592
1.776,-6.858,6.85
1.798,-7.062,7.053
1.821,-7.275,7.266
1.834,-7.398,7.389
1.847,-7.521,7.512
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.645,7.635
1.88,-7.828,7.818
1.894,-7.962,7.951
1.912,-8.125,8.114
1.938,-8.367,8.356
1.957,-8.536,8.525
1.978,-8.725,8.713
2.009,-9.004,8.992
2.031,-9.193,9.18
2.051,-9.365,9.353
2.081,-9.621,9.608
2.126,-9.998,9.984
2.145,-10.149,10.135
2.167,-10.331,10.317
2.2,-10.6,10.585
2.22,-10.761,10.746
2.248,-10.98,10.964
2.29,-11.302,11.286
2.31,-11.459,11.442
2.341,-11.691,11.674
2.36,-11.834,11.816
2.388,-12.044,12.026
2.417,-12.259,12.241
2.462,-12.577,12.558
2.512,-12.931,12.911
2.545,-13.163,13.142
2.587,-13.45,13.429
2.619,-13.666,13.644
2.667,-13.984,13.961
2.682,-14.088,14.065
2.699,-14.197,14.174
2.724,-14.359,14.336
2.762,-14.6,14.576
2.776,-14.687,14.662
2.786,-14.75,14.725
2.795,-14.809,14.784
2.805,-14.87,14.845
2.817,-14.943,14.918
2.834,-15.052,15.027
2.86,-15.214,15.188
2.873,-15.29,15.263
2.881,-15.343,15.317
2.889,-15.392,15.365
2.897,-15.439,15.412
2.905,-15.487,15.461
2.914,-15.541,15.514
2.925,-15.604,15.577
2.94,-15.696,15.669
2.964,-15.832,15.805
2.988,-15.974,15.946
3.003,-16.061,16.033
3.017,-16.14,16.112
3.027,-16.201,16.172
3.037,-16.257,16.228
3.047,-16.315,16.286
3.058,-16.379,16.35
3.074,-16.468,16.439
3.097,-16.601,16.571
3.121,-16.736,16.705
3.132,-16.799,16.769
3.142,-16.856,16.826
3.152,-16.913,16.882
3.163,-16.973,16.942
3.175,-17.034,17.003
3.187,-17.105,17.073
3.205,-17.2,17.168
3.232,-17.341,17.309
3.241,-17.394,17.361
3.249,-17.435,17.403
3.256,-17.473,17.44
3.263,-17.512,17.479
3.271,-17.555,17.522
3.281,-17.605,17.572
3.293,-17.669,17.636
3.311,-17.766,17.733
3.338,-17.911,17.877
3.351,-17.976,17.942
3.361,-18.03,17.996
3.371,-18.083,18.048
3.382,-18.138,18.104
3.394,-18.201,18.166
3.41,-18.281,18.246
3.434,-18.401,18.365
3.469,-18.579,18.543
3.484,-18.651,18.615
3.497,-18.714,18.678
3.509,-18.776,18.74
3.525,-18.856,18.819
3.549,-18.975,18.937
3.585,-19.151,19.113
3.6,-19.223,19.184
3.613,-19.288,19.249
3.629,-19.363,19.324
3.65,-19.465,19.426
3.683,-19.618,19.578
3.731,-19.844,19.803
3.763,-19.991,19.95
3.789,-20.112,20.071
3.817,-20.24,20.198
