# Simulation 27 (Up to date)
# 460 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,7.472e-5,-7.472e-5
0.051,2.584e-4,-2.584e-4
0.061,5.505e-4,-5.505e-4
0.071,9.491e-4,-9.491e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.005,-0.005
0.139,0.005,-0.005
0.149,0.006,-0.006
0.159,0.007,-0.007
0.169,0.007,-0.007
0.179,0.008,-0.008
0.189,0.009,-0.009
0.192,0.009,-0.009
0.196,0.009,-0.009
0.203,0.01,-0.01
0.209,0.01,-0.01
0.216,0.011,-0.011
0.224,0.011,-0.011
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.011,-0.011
0.234,0.012,-0.012
0.237,0.012,-0.012
0.24,0.012,-0.012
0.243,0.013,-0.013
0.248,0.014,-0.014
0.251,0.015,-0.015
0.254,0.015,-0.015
0.257,0.016,-0.016
0.26,0.017,-0.017
0.263,0.018,-0.018
0.267,0.019,-0.019
0.27,0.021,-0.021
0.273,0.022,-0.022
0.277,0.024,-0.024
0.281,0.025,-0.025
0.285,0.027,-0.027
0.289,0.029,-0.029
0.292,0.03,-0.03
0.296,0.032,-0.032
0.301,0.035,-0.035
0.308,0.038,-0.038
0.316,0.043,-0.043
0.328,0.048,-0.048
0.345,0.056,-0.056
0.37,0.063,-0.063
0.376,0.064,-0.064
0.381,0.065,-0.065
0.386,0.065,-0.065
0.39,0.065,-0.065
0.394,0.064,-0.064
0.398,0.064,-0.064
0.402,0.063,-0.063
0.406,0.062,-0.062
0.409,0.061,-0.061
0.413,0.06,-0.06
0.416,0.058,-0.058
0.42,0.057,-0.057
0.424,0.055,-0.055
0.427,0.053,-0.053
0.431,0.05,-0.051
0.434,0.048,-0.048
0.438,0.045,-0.045
0.442,0.042,-0.042
0.445,0.039,-0.039
0.449,0.036,-0.036
0.453,0.032,-0.032
0.457,0.027,-0.028
0.461,0.023,-0.023
0.465,0.018,-0.018
0.47,0.013,-0.013
0.475,0.006,-0.006
0.48,-4.98e-4,4.221e-4
0.485,-0.008,0.008
0.491,-0.017,0.017
0.498,-0.028,0.028
0.508,-0.043,0.043
0.521,-0.067,0.067
0.542,-0.106,0.105
0.551,-0.125,0.125
0.558,-0.139,0.139
0.564,-0.151,0.151
0.57,-0.162,0.162
0.575,-0.172,0.172
0.579,-0.182,0.182
0.584,-0.191,0.191
0.588,-0.2,0.2
0.592,-0.209,0.209
0.596,-0.218,0.218
0.601,-0.227,0.227
0.605,-0.236,0.235
0.609,-0.245,0.245
0.614,-0.254,0.254
0.619,-0.265,0.264
0.624,-0.276,0.275
0.63,-0.288,0.288
0.636,-0.302,0.302
0.644,-0.32,0.32
0.656,-0.347,0.347
0.671,-0.381,0.381
0.693,-0.435,0.434
0.702,-0.459,0.458
0.709,-0.477,0.476
0.715,-0.494,0.493
0.723,-0.517,0.517
0.729,-0.533,0.533
0.734,-0.55,0.55
0.74,-0.568,0.567
0.746,-0.586,0.586
0.752,-0.607,0.606
0.76,-0.631,0.63
0.77,-0.664,0.664
0.785,-0.716,0.715
0.808,-0.796,0.795
0.817,-0.828,0.827
0.825,-0.857,0.857
0.832,-0.886,0.885
0.84,-0.915,0.914
0.85,-0.953,0.952
0.86,-0.991,0.99
0.872,-1.04,1.039
0.891,-1.114,1.113
0.919,-1.231,1.23
0.931,-1.283,1.282
0.941,-1.327,1.326
0.95,-1.371,1.37
0.961,-1.418,1.417
0.973,-1.478,1.477
0.992,-1.571,1.57
1.021,-1.715,1.713
1.037,-1.802,1.8
1.055,-1.895,1.893
1.063,-1.938,1.936
1.075,-2.002,2.001
1.093,-2.102,2.1
1.12,-2.255,2.253
1.16,-2.495,2.492
1.211,-2.818,2.815
1.242,-3.023,3.02
1.284,-3.308,3.305
1.303,-3.442,3.439
1.332,-3.649,3.646
1.359,-3.848,3.844
1.39,-4.083,4.079
1.436,-4.447,4.442
1.468,-4.702,4.698
1.516,-5.098,5.093
1.532,-5.241,5.236
1.545,-5.347,5.342
1.559,-5.476,5.47
1.581,-5.672,5.666
1.597,-5.818,5.812
1.61,-5.932,5.926
1.623,-6.046,6.039
1.639,-6.197,6.191
1.656,-6.356,6.349
1.678,-6.566,6.559
1.692,-6.7,6.693
1.712,-6.895,6.888
1.743,-7.193,7.185
1.755,-7.314,7.306
1.773,-7.498,7.489
1.801,-7.777,7.769
1.815,-7.92,7.911
1.821,-7.987,7.978
1.831,-8.087,8.078
1.834,-8.123,8.113
1.839,-8.176,8.166
1.847,-8.258,8.249
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.394,8.384
1.877,-8.572,8.562
1.898,-8.788,8.778
1.93,-9.108,9.097
1.952,-9.324,9.313
1.984,-9.644,9.633
2.006,-9.861,9.849
2.04,-10.183,10.17
2.057,-10.351,10.338
2.084,-10.598,10.585
2.114,-10.88,10.867
2.134,-11.066,11.052
2.165,-11.342,11.327
2.185,-11.524,11.509
2.201,-11.663,11.648
2.224,-11.871,11.856
2.239,-12.004,11.988
2.249,-12.092,12.076
2.259,-12.179,12.163
2.275,-12.309,12.293
2.297,-12.503,12.487
2.306,-12.578,12.561
2.316,-12.662,12.645
2.331,-12.787,12.77
2.353,-12.974,12.956
2.367,-13.09,13.072
2.377,-13.175,13.157
2.387,-13.259,13.241
2.399,-13.358,13.339
2.417,-13.505,13.486
2.445,-13.723,13.704
2.461,-13.858,13.838
2.477,-13.982,13.962
2.498,-14.146,14.126
2.529,-14.391,14.37
2.556,-14.598,14.577
2.587,-14.84,14.819
2.623,-15.113,15.091
2.658,-15.375,15.352
2.708,-15.744,15.72
2.758,-16.106,16.082
2.798,-16.392,16.367
2.848,-16.743,16.717
2.898,-17.088,17.062
2.948,-17.428,17.401
2.966,-17.545,17.517
2.992,-17.718,17.69
3.027,-17.95,17.921
3.077,-18.276,18.246
3.127,-18.597,18.567
3.177,-18.913,18.882
3.227,-19.225,19.193
3.259,-19.425,19.392
3.291,-19.62,19.587
3.331,-19.86,19.826
3.357,-20.018,19.984
3.373,-20.115,20.08
3.392,-20.226,20.191
3.42,-20.392,20.356
3.462,-20.638,20.601
3.488,-20.787,20.75
3.521,-20.975,20.938
3.57,-21.254,21.216
3.62,-21.535,21.496
3.665,-21.785,21.745
3.707,-22.011,21.971
3.757,-22.282,22.24
3.782,-22.416,22.374
3.819,-22.617,22.575
3.869,-22.881,22.838
3.919,-23.143,23.099
3.969,-23.402,23.356
4.019,-23.658,23.612
4.069,-23.911,23.865
4.104,-24.087,24.04
4.126,-24.196,24.148
4.156,-24.343,24.295
4.201,-24.562,24.513
4.245,-24.776,24.726
4.274,-24.918,24.867
4.307,-25.075,25.024
4.355,-25.309,25.257
4.405,-25.547,25.495
4.447,-25.742,25.689
4.476,-25.879,25.825
4.513,-26.052,25.998
4.555,-26.243,26.188
4.586,-26.385,26.33
4.633,-26.598,26.542
4.681,-26.812,26.755
4.707,-26.928,26.87
4.732,-27.041,26.982
4.765,-27.19,27.131
4.815,-27.412,27.353
4.865,-27.633,27.573
4.915,-27.853,27.792
4.95,-28.004,27.942
4.977,-28.122,28.06
5.008,-28.255,28.192
5.048,-28.424,28.36
5.098,-28.636,28.571
5.148,-28.846,28.781
5.198,-29.054,28.988
5.248,-29.261,29.194
5.298,-29.467,29.399
5.348,-29.671,29.603
