# Simulation 34 (Up to date)
# 516 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.616e-5,-4.616e-5
0.051,1.58e-4,-1.58e-4
0.061,3.336e-4,-3.336e-4
0.071,5.726e-4,-5.726e-4
0.081,8.756e-4,-8.757e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.006,-0.006
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.007,-0.007
0.238,0.007,-0.007
0.241,0.008,-0.008
0.244,0.008,-0.008
0.248,0.009,-0.009
0.251,0.009,-0.009
0.255,0.01,-0.01
0.258,0.011,-0.011
0.262,0.012,-0.012
0.265,0.013,-0.013
0.269,0.014,-0.014
0.273,0.015,-0.015
0.277,0.016,-0.016
0.281,0.018,-0.018
0.285,0.02,-0.02
0.292,0.022,-0.022
0.297,0.024,-0.024
0.303,0.027,-0.027
0.31,0.03,-0.03
0.319,0.034,-0.034
0.332,0.039,-0.039
0.351,0.046,-0.046
0.365,0.049,-0.049
0.37,0.05,-0.05
0.377,0.051,-0.051
0.383,0.051,-0.051
0.389,0.051,-0.051
0.394,0.05,-0.05
0.398,0.05,-0.05
0.403,0.049,-0.049
0.407,0.047,-0.048
0.412,0.046,-0.046
0.416,0.045,-0.045
0.42,0.043,-0.043
0.424,0.041,-0.041
0.428,0.038,-0.038
0.432,0.036,-0.036
0.436,0.033,-0.033
0.44,0.03,-0.03
0.445,0.027,-0.027
0.449,0.023,-0.023
0.453,0.019,-0.019
0.458,0.015,-0.015
0.462,0.01,-0.01
0.467,0.005,-0.005
0.472,-4.175e-4,3.472e-4
0.475,-0.004,0.004
0.479,-0.01,0.009
0.485,-0.017,0.017
0.492,-0.027,0.027
0.5,-0.039,0.038
0.511,-0.056,0.056
0.528,-0.084,0.084
0.553,-0.129,0.129
0.566,-0.155,0.155
0.573,-0.169,0.169
0.58,-0.182,0.182
0.585,-0.193,0.193
0.59,-0.203,0.203
0.595,-0.213,0.213
0.6,-0.222,0.222
0.604,-0.232,0.232
0.609,-0.241,0.241
0.613,-0.25,0.25
0.617,-0.259,0.259
0.622,-0.268,0.268
0.627,-0.278,0.278
0.631,-0.288,0.288
0.636,-0.298,0.298
0.642,-0.31,0.31
0.648,-0.323,0.323
0.655,-0.339,0.338
0.666,-0.361,0.361
0.671,-0.373,0.373
0.679,-0.392,0.391
0.691,-0.42,0.42
0.702,-0.446,0.446
0.708,-0.462,0.462
0.714,-0.477,0.476
0.719,-0.491,0.49
0.723,-0.501,0.501
0.728,-0.515,0.514
0.733,-0.528,0.528
0.737,-0.542,0.542
0.742,-0.556,0.556
0.747,-0.571,0.571
0.752,-0.587,0.587
0.758,-0.605,0.604
0.764,-0.625,0.624
0.772,-0.65,0.649
0.783,-0.686,0.685
0.799,-0.742,0.741
0.82,-0.816,0.815
0.827,-0.84,0.839
0.833,-0.861,0.86
0.838,-0.88,0.88
0.843,-0.899,0.899
0.85,-0.925,0.924
0.855,-0.944,0.943
0.861,-0.964,0.963
0.866,-0.986,0.985
0.873,-1.012,1.011
0.882,-1.044,1.044
0.895,-1.094,1.093
0.914,-1.171,1.17
0.923,-1.207,1.206
0.929,-1.234,1.233
0.934,-1.258,1.257
0.94,-1.28,1.279
0.945,-1.302,1.301
0.949,-1.323,1.322
0.954,-1.346,1.344
0.959,-1.369,1.368
0.965,-1.394,1.393
0.971,-1.423,1.422
0.979,-1.459,1.457
0.989,-1.51,1.509
1.005,-1.589,1.588
1.02,-1.662,1.66
1.026,-1.695,1.693
1.032,-1.723,1.722
1.037,-1.75,1.748
1.042,-1.775,1.774
1.047,-1.801,1.799
1.052,-1.827,1.825
1.057,-1.855,1.853
1.063,-1.885,1.884
1.07,-1.923,1.922
1.08,-1.977,1.975
1.095,-2.058,2.056
1.113,-2.152,2.15
1.12,-2.193,2.191
1.126,-2.229,2.227
1.132,-2.264,2.262
1.138,-2.3,2.298
1.145,-2.338,2.336
1.152,-2.381,2.379
1.161,-2.435,2.433
1.175,-2.519,2.517
1.195,-2.646,2.644
1.205,-2.709,2.707
1.211,-2.746,2.744
1.218,-2.792,2.789
1.225,-2.836,2.834
1.232,-2.883,2.881
1.242,-2.945,2.943
1.254,-3.024,3.021
1.272,-3.144,3.141
1.281,-3.203,3.2
1.287,-3.247,3.244
1.293,-3.288,3.285
1.299,-3.327,3.324
1.303,-3.356,3.353
1.309,-3.398,3.395
1.316,-3.45,3.447
1.327,-3.523,3.52
1.342,-3.633,3.63
1.359,-3.761,3.758
1.367,-3.818,3.814
1.374,-3.869,3.865
1.381,-3.921,3.917
1.388,-3.977,3.973
1.397,-4.047,4.043
1.411,-4.153,4.149
1.432,-4.314,4.309
1.448,-4.441,4.437
1.461,-4.541,4.537
1.468,-4.598,4.594
1.479,-4.684,4.679
1.494,-4.814,4.809
1.518,-5.013,5.008
1.537,-5.172,5.167
1.554,-5.319,5.314
1.58,-5.543,5.537
1.618,-5.886,5.88
1.638,-6.063,6.057
1.656,-6.233,6.227
1.684,-6.492,6.486
1.711,-6.751,6.744
1.751,-7.148,7.14
1.787,-7.505,7.497
1.821,-7.857,7.848
1.834,-7.992,7.983
1.847,-8.127,8.118
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.262,8.253
1.88,-8.462,8.453
1.907,-8.741,8.731
1.942,-9.093,9.082
1.992,-9.582,9.571
2.031,-9.959,9.947
2.067,-10.296,10.283
2.091,-10.515,10.502
2.126,-10.84,10.826
2.135,-10.918,10.905
2.143,-10.99,10.976
2.151,-11.065,11.052
2.162,-11.162,11.148
2.178,-11.305,11.292
2.192,-11.427,11.413
2.2,-11.501,11.486
2.208,-11.57,11.555
2.217,-11.649,11.635
2.231,-11.763,11.748
2.25,-11.932,11.917
2.267,-12.071,12.056
2.28,-12.185,12.169
2.296,-12.323,12.307
2.321,-12.528,12.512
2.346,-12.737,12.721
2.362,-12.871,12.854
2.382,-13.031,13.014
2.412,-13.269,13.251
2.433,-13.438,13.42
2.447,-13.545,13.527
2.462,-13.663,13.645
2.484,-13.84,13.821
2.5,-13.965,13.947
2.512,-14.053,14.034
2.525,-14.151,14.132
2.544,-14.296,14.276
2.573,-14.511,14.491
2.588,-14.629,14.609
2.602,-14.73,14.709
2.618,-14.848,14.827
2.642,-15.023,15.002
2.674,-15.26,15.239
2.692,-15.386,15.365
2.715,-15.552,15.53
2.751,-15.798,15.775
2.762,-15.879,15.856
2.775,-15.968,15.945
2.792,-16.088,16.065
2.818,-16.268,16.244
2.846,-16.46,16.435
2.863,-16.572,16.547
2.877,-16.665,16.64
2.891,-16.758,16.734
2.908,-16.872,16.847
2.934,-17.041,17.016
2.953,-17.166,17.14
2.966,-17.249,17.223
2.98,-17.338,17.312
2.997,-17.451,17.425
3.024,-17.619,17.592
3.063,-17.868,17.841
3.084,-18.002,17.974
3.114,-18.188,18.159
3.159,-18.463,18.434
3.209,-18.765,18.735
3.24,-18.951,18.921
3.263,-19.085,19.054
3.296,-19.283,19.252
3.327,-19.461,19.429
3.372,-19.727,19.694
