# Simulation 39 (Up to date)
# 450 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.551e-5,-5.551e-5
0.051,1.922e-4,-1.922e-4
0.061,4.098e-4,-4.098e-4
0.071,7.066e-4,-7.066e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.005,-0.005
0.169,0.005,-0.005
0.179,0.006,-0.006
0.189,0.006,-0.006
0.192,0.007,-0.007
0.196,0.007,-0.007
0.203,0.007,-0.007
0.209,0.007,-0.007
0.216,0.008,-0.008
0.224,0.008,-0.008
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.009,-0.009
0.235,0.009,-0.009
0.238,0.009,-0.009
0.242,0.009,-0.009
0.245,0.01,-0.01
0.248,0.01,-0.01
0.252,0.011,-0.011
0.255,0.012,-0.012
0.259,0.013,-0.013
0.263,0.014,-0.014
0.266,0.015,-0.015
0.27,0.016,-0.016
0.274,0.017,-0.017
0.279,0.018,-0.018
0.283,0.02,-0.02
0.288,0.022,-0.022
0.292,0.023,-0.023
0.297,0.025,-0.025
0.303,0.028,-0.028
0.31,0.031,-0.031
0.318,0.034,-0.034
0.33,0.039,-0.039
0.348,0.045,-0.045
0.367,0.05,-0.05
0.37,0.05,-0.05
0.374,0.051,-0.051
0.38,0.051,-0.051
0.385,0.051,-0.051
0.391,0.051,-0.051
0.396,0.051,-0.051
0.401,0.05,-0.05
0.405,0.049,-0.049
0.41,0.048,-0.048
0.414,0.046,-0.046
0.418,0.044,-0.044
0.423,0.043,-0.043
0.427,0.04,-0.04
0.431,0.038,-0.038
0.435,0.035,-0.035
0.439,0.032,-0.033
0.444,0.029,-0.029
0.448,0.026,-0.026
0.453,0.022,-0.022
0.457,0.018,-0.018
0.462,0.013,-0.013
0.467,0.008,-0.008
0.472,0.002,-0.003
0.475,-9.942e-4,9.223e-4
0.48,-0.006,0.006
0.486,-0.015,0.015
0.494,-0.025,0.025
0.504,-0.04,0.04
0.52,-0.063,0.063
0.543,-0.102,0.102
0.558,-0.13,0.13
0.567,-0.147,0.147
0.575,-0.16,0.16
0.581,-0.173,0.173
0.588,-0.185,0.184
0.593,-0.196,0.196
0.599,-0.207,0.207
0.605,-0.218,0.218
0.611,-0.229,0.229
0.617,-0.241,0.241
0.623,-0.255,0.254
0.631,-0.27,0.269
0.64,-0.288,0.288
0.652,-0.314,0.313
0.671,-0.355,0.355
0.702,-0.428,0.428
0.711,-0.45,0.45
0.718,-0.469,0.469
0.723,-0.482,0.482
0.73,-0.5,0.5
0.736,-0.518,0.517
0.742,-0.536,0.536
0.749,-0.556,0.555
0.756,-0.577,0.577
0.765,-0.605,0.604
0.779,-0.647,0.647
0.799,-0.713,0.713
0.811,-0.75,0.749
0.819,-0.776,0.776
0.826,-0.8,0.8
0.832,-0.823,0.822
0.839,-0.846,0.845
0.846,-0.869,0.868
0.85,-0.883,0.883
0.856,-0.905,0.905
0.866,-0.938,0.937
0.879,-0.987,0.986
0.9,-1.063,1.062
0.912,-1.109,1.108
0.922,-1.146,1.145
0.931,-1.18,1.179
0.939,-1.215,1.214
0.949,-1.254,1.253
0.96,-1.302,1.301
0.977,-1.376,1.374
1.003,-1.489,1.488
1.015,-1.543,1.541
1.028,-1.601,1.599
1.044,-1.678,1.676
1.063,-1.766,1.764
1.091,-1.901,1.9
1.133,-2.114,2.112
1.162,-2.269,2.267
1.205,-2.51,2.508
1.211,-2.542,2.54
1.219,-2.59,2.587
1.232,-2.662,2.66
1.242,-2.721,2.718
1.257,-2.809,2.806
1.28,-2.944,2.941
1.294,-3.032,3.029
1.303,-3.087,3.084
1.317,-3.172,3.169
1.337,-3.301,3.298
1.357,-3.431,3.427
1.371,-3.525,3.521
1.392,-3.664,3.661
1.424,-3.878,3.874
1.468,-4.183,4.179
1.518,-4.544,4.539
1.568,-4.919,4.914
1.588,-5.072,5.066
1.604,-5.202,5.196
1.629,-5.401,5.395
1.656,-5.617,5.611
1.679,-5.804,5.797
1.713,-6.088,6.081
1.749,-6.403,6.396
1.799,-6.843,6.835
1.821,-7.037,7.029
1.834,-7.155,7.146
1.847,-7.273,7.264
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.391,7.382
1.88,-7.567,7.557
1.909,-7.827,7.817
1.953,-8.21,8.2
2.003,-8.637,8.626
2.053,-9.054,9.042
2.103,-9.461,9.448
2.153,-9.859,9.846
2.203,-10.249,10.235
2.253,-10.629,10.614
2.3,-10.978,10.963
2.347,-11.326,11.31
2.397,-11.684,11.667
2.425,-11.878,11.86
2.466,-12.164,12.146
2.5,-12.396,12.377
2.55,-12.732,12.713
2.6,-13.063,13.043
2.65,-13.387,13.366
2.673,-13.537,13.515
2.708,-13.759,13.737
2.731,-13.903,13.881
2.766,-14.118,14.095
2.804,-14.353,14.33
2.827,-14.49,14.466
2.861,-14.693,14.669
2.894,-14.889,14.864
2.907,-14.964,14.939
2.922,-15.052,15.027
2.945,-15.184,15.159
2.979,-15.38,15.354
2.992,-15.453,15.427
3.004,-15.523,15.496
3.017,-15.595,15.568
3.03,-15.671,15.644
3.047,-15.764,15.737
3.072,-15.902,15.875
3.095,-16.027,15.999
3.106,-16.088,16.06
3.116,-16.142,16.114
3.126,-16.194,16.165
3.135,-16.246,16.218
3.146,-16.304,16.275
3.159,-16.373,16.344
3.178,-16.476,16.446
3.197,-16.579,16.549
3.206,-16.626,16.596
3.214,-16.671,16.641
3.223,-16.719,16.689
3.234,-16.774,16.744
3.248,-16.846,16.816
3.269,-16.954,16.923
3.3,-17.114,17.083
3.31,-17.167,17.136
3.322,-17.225,17.193
3.335,-17.293,17.261
3.354,-17.388,17.356
3.382,-17.529,17.497
3.423,-17.74,17.706
3.446,-17.851,17.817
3.462,-17.931,17.897
3.486,-18.047,18.012
3.521,-18.218,18.183
3.571,-18.458,18.422
3.621,-18.694,18.658
3.654,-18.845,18.808
3.676,-18.946,18.908
3.707,-19.087,19.049
3.753,-19.298,19.259
3.77,-19.375,19.336
3.789,-19.461,19.422
3.814,-19.575,19.535
3.852,-19.744,19.703
3.902,-19.964,19.923
3.941,-20.134,20.093
3.991,-20.35,20.307
4.041,-20.563,20.519
4.091,-20.773,20.729
4.141,-20.981,20.936
4.191,-21.186,21.14
4.241,-21.389,21.343
4.283,-21.559,21.511
4.333,-21.759,21.711
4.383,-21.958,21.909
4.433,-22.154,22.105
4.483,-22.349,22.298
4.527,-22.519,22.467
4.576,-22.701,22.649
4.626,-22.89,22.836
4.676,-23.076,23.022
4.726,-23.262,23.207
4.776,-23.446,23.39
4.826,-23.628,23.571
4.876,-23.808,23.75
4.926,-23.985,23.927
4.976,-24.162,24.103
5.026,-24.336,24.277
5.076,-24.51,24.45
5.126,-24.683,24.621
5.176,-24.854,24.792
5.226,-25.025,24.962
5.276,-25.195,25.131
5.326,-25.364,25.299
5.376,-25.531,25.466
5.418,-25.674,25.608
5.459,-25.807,25.74
5.498,-25.935,25.868
5.535,-26.056,25.988
5.569,-26.168,26.1
5.607,-26.288,26.219
5.653,-26.434,26.364
5.697,-26.575,26.504
5.74,-26.71,26.639
5.782,-26.842,26.77
5.825,-26.974,26.901
5.867,-27.104,27.031
# Event APOGEE occurred at t=5.909 seconds
5.909,-27.235,27.161
