# Simulation 12 (Up to date)
# 486 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.738e-5,-4.738e-5
0.051,1.638e-4,-1.638e-4
0.061,3.494e-4,-3.494e-4
0.071,6.05e-4,-6.05e-4
0.081,9.322e-4,-9.322e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.007,-0.007
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.234,0.008,-0.008
0.237,0.008,-0.008
0.24,0.008,-0.008
0.244,0.009,-0.009
0.248,0.01,-0.01
0.251,0.01,-0.01
0.254,0.011,-0.011
0.258,0.012,-0.012
0.261,0.013,-0.013
0.264,0.013,-0.013
0.268,0.015,-0.015
0.271,0.016,-0.016
0.275,0.017,-0.017
0.278,0.018,-0.018
0.282,0.02,-0.02
0.286,0.022,-0.022
0.292,0.024,-0.024
0.297,0.026,-0.026
0.302,0.029,-0.029
0.307,0.031,-0.031
0.314,0.035,-0.035
0.322,0.039,-0.039
0.335,0.045,-0.045
0.355,0.052,-0.052
0.364,0.055,-0.055
0.37,0.056,-0.056
0.376,0.057,-0.057
0.381,0.057,-0.057
0.386,0.057,-0.057
0.39,0.057,-0.057
0.395,0.057,-0.057
0.399,0.056,-0.056
0.403,0.055,-0.055
0.406,0.054,-0.054
0.41,0.053,-0.053
0.414,0.052,-0.052
0.417,0.05,-0.05
0.42,0.048,-0.049
0.424,0.047,-0.047
0.427,0.045,-0.045
0.431,0.043,-0.043
0.434,0.04,-0.04
0.437,0.038,-0.038
0.44,0.035,-0.035
0.444,0.032,-0.032
0.447,0.029,-0.029
0.451,0.026,-0.026
0.454,0.022,-0.022
0.457,0.019,-0.019
0.461,0.014,-0.014
0.465,0.01,-0.01
0.469,0.005,-0.005
0.475,-0.003,0.003
0.48,-0.01,0.01
0.485,-0.018,0.017
0.491,-0.027,0.027
0.499,-0.04,0.04
0.511,-0.06,0.06
0.529,-0.092,0.092
0.54,-0.115,0.115
0.547,-0.129,0.128
0.553,-0.14,0.14
0.558,-0.151,0.151
0.563,-0.161,0.16
0.568,-0.17,0.17
0.572,-0.179,0.179
0.577,-0.188,0.188
0.581,-0.197,0.196
0.585,-0.205,0.205
0.589,-0.214,0.214
0.593,-0.223,0.222
0.598,-0.232,0.231
0.602,-0.241,0.241
0.607,-0.25,0.25
0.612,-0.261,0.26
0.617,-0.272,0.272
0.623,-0.284,0.284
0.629,-0.299,0.299
0.638,-0.318,0.317
0.651,-0.346,0.346
0.671,-0.394,0.394
0.683,-0.423,0.423
0.691,-0.444,0.443
0.697,-0.461,0.461
0.702,-0.474,0.474
0.708,-0.491,0.49
0.713,-0.506,0.506
0.718,-0.521,0.521
0.723,-0.535,0.535
0.728,-0.551,0.55
0.733,-0.567,0.566
0.739,-0.583,0.583
0.744,-0.602,0.601
0.75,-0.622,0.621
0.757,-0.645,0.645
0.767,-0.677,0.676
0.78,-0.726,0.725
0.801,-0.801,0.801
0.81,-0.834,0.834
0.817,-0.862,0.861
0.824,-0.887,0.887
0.83,-0.912,0.911
0.837,-0.936,0.936
0.843,-0.962,0.961
0.85,-0.988,0.987
0.858,-1.018,1.018
0.867,-1.054,1.053
0.879,-1.102,1.101
0.896,-1.175,1.174
0.923,-1.289,1.288
0.931,-1.328,1.327
0.939,-1.363,1.362
0.946,-1.397,1.396
0.954,-1.432,1.431
0.962,-1.472,1.471
0.973,-1.525,1.523
0.989,-1.605,1.604
1.013,-1.729,1.728
1.021,-1.771,1.77
1.028,-1.806,1.805
1.034,-1.839,1.837
1.04,-1.871,1.87
1.047,-1.904,1.903
1.053,-1.94,1.939
1.063,-1.992,1.99
1.077,-2.07,2.068
1.095,-2.167,2.165
1.101,-2.205,2.203
1.107,-2.239,2.237
1.113,-2.272,2.27
1.119,-2.305,2.303
1.125,-2.341,2.339
1.131,-2.381,2.379
1.139,-2.43,2.428
1.151,-2.501,2.499
1.168,-2.61,2.608
1.187,-2.73,2.728
1.197,-2.794,2.791
1.206,-2.854,2.851
1.211,-2.886,2.884
1.218,-2.936,2.933
1.228,-2.999,2.997
1.242,-3.092,3.089
1.263,-3.233,3.23
1.287,-3.4,3.397
1.299,-3.483,3.48
1.303,-3.514,3.511
1.31,-3.561,3.558
1.319,-3.632,3.629
1.334,-3.74,3.737
1.356,-3.905,3.901
1.38,-4.084,4.08
1.406,-4.283,4.279
1.444,-4.589,4.585
1.468,-4.782,4.777
1.504,-5.078,5.073
1.554,-5.508,5.503
1.604,-5.955,5.949
1.656,-6.44,6.434
1.706,-6.919,6.912
1.756,-7.415,7.407
1.806,-7.925,7.916
1.821,-8.081,8.073
1.83,-8.177,8.169
1.834,-8.218,8.209
1.84,-8.279,8.27
1.847,-8.355,8.347
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.493,8.484
1.88,-8.697,8.688
1.892,-8.826,8.816
1.903,-8.94,8.93
1.915,-9.066,9.057
1.929,-9.202,9.192
1.949,-9.404,9.394
1.979,-9.704,9.693
2.024,-10.145,10.134
2.074,-10.623,10.611
2.088,-10.751,10.738
2.102,-10.881,10.868
2.122,-11.075,11.062
2.141,-11.245,11.232
2.152,-11.345,11.331
2.163,-11.448,11.434
2.178,-11.578,11.564
2.199,-11.771,11.757
2.226,-12.012,11.998
2.246,-12.182,12.167
2.275,-12.434,12.419
2.297,-12.624,12.608
2.314,-12.767,12.751
2.339,-12.98,12.964
2.35,-13.071,13.055
2.36,-13.155,13.138
2.375,-13.279,13.263
2.397,-13.465,13.448
2.407,-13.546,13.529
2.418,-13.636,13.618
2.435,-13.769,13.751
2.459,-13.967,13.949
2.48,-14.132,14.114
2.511,-14.375,14.356
2.557,-14.734,14.715
2.607,-15.115,15.095
2.634,-15.319,15.298
2.675,-15.62,15.599
2.725,-15.984,15.962
2.775,-16.342,16.319
2.8,-16.516,16.492
2.82,-16.659,16.636
2.851,-16.873,16.849
2.865,-16.971,16.947
2.884,-17.1,17.075
2.912,-17.292,17.267
2.951,-17.549,17.523
2.975,-17.712,17.686
3.012,-17.953,17.926
3.041,-18.138,18.111
3.061,-18.271,18.244
3.092,-18.47,18.442
3.138,-18.763,18.734
3.187,-19.066,19.036
3.216,-19.242,19.212
3.259,-19.505,19.474
3.282,-19.642,19.611
3.316,-19.847,19.816
3.341,-19.995,19.963
3.363,-20.12,20.088
3.395,-20.306,20.273
3.422,-20.465,20.431
3.447,-20.605,20.571
3.483,-20.813,20.779
3.533,-21.094,21.059
3.579,-21.349,21.313
3.611,-21.522,21.485
3.63,-21.629,21.592
3.653,-21.753,21.715
3.687,-21.937,21.899
3.737,-22.205,22.167
3.753,-22.29,22.252
3.766,-22.362,22.323
3.78,-22.431,22.392
3.793,-22.502,22.463
3.809,-22.582,22.542
3.829,-22.688,22.648
3.86,-22.845,22.805
3.906,-23.08,23.039
3.938,-23.24,23.198
3.957,-23.335,23.293
3.976,-23.43,23.388
4,-23.548,23.506
4.035,-23.725,23.682
4.085,-23.972,23.928
4.135,-24.216,24.171
4.158,-24.327,24.282
