# Simulation 68 (Up to date)
# 511 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,7.85e-5,-7.85e-5
0.051,2.698e-4,-2.698e-4
0.061,5.71e-4,-5.71e-4
0.071,9.791e-4,-9.791e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.004,-0.004
0.122,0.004,-0.004
0.132,0.005,-0.005
0.139,0.005,-0.005
0.149,0.006,-0.006
0.159,0.007,-0.007
0.169,0.007,-0.007
0.179,0.008,-0.008
0.189,0.009,-0.009
0.192,0.009,-0.009
0.196,0.009,-0.009
0.203,0.01,-0.01
0.209,0.01,-0.01
0.216,0.011,-0.011
0.224,0.011,-0.011
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.012,-0.012
0.234,0.012,-0.012
0.237,0.012,-0.012
0.24,0.013,-0.013
0.242,0.013,-0.013
0.245,0.013,-0.013
0.248,0.014,-0.014
0.251,0.015,-0.015
0.254,0.016,-0.016
0.257,0.016,-0.016
0.26,0.017,-0.017
0.263,0.018,-0.018
0.266,0.019,-0.019
0.269,0.021,-0.021
0.272,0.022,-0.022
0.276,0.023,-0.023
0.279,0.025,-0.025
0.283,0.027,-0.027
0.287,0.029,-0.029
0.292,0.031,-0.031
0.297,0.034,-0.034
0.302,0.036,-0.036
0.308,0.04,-0.04
0.316,0.044,-0.044
0.327,0.05,-0.05
0.343,0.058,-0.058
0.367,0.065,-0.065
0.37,0.066,-0.066
0.375,0.067,-0.067
0.38,0.067,-0.067
0.384,0.067,-0.067
0.388,0.067,-0.067
0.392,0.067,-0.067
0.396,0.067,-0.067
0.4,0.066,-0.066
0.403,0.065,-0.065
0.407,0.064,-0.064
0.41,0.063,-0.063
0.414,0.061,-0.061
0.417,0.06,-0.06
0.42,0.058,-0.058
0.423,0.057,-0.057
0.426,0.055,-0.055
0.429,0.053,-0.053
0.432,0.05,-0.05
0.435,0.048,-0.048
0.439,0.046,-0.046
0.442,0.043,-0.043
0.445,0.04,-0.04
0.448,0.037,-0.037
0.451,0.034,-0.034
0.454,0.03,-0.03
0.457,0.027,-0.027
0.461,0.022,-0.023
0.464,0.018,-0.018
0.468,0.013,-0.013
0.472,0.007,-0.007
0.475,0.004,-0.004
0.479,-0.002,0.002
0.484,-0.01,0.01
0.491,-0.02,0.02
0.501,-0.036,0.036
0.515,-0.062,0.061
0.536,-0.102,0.102
0.544,-0.117,0.117
0.55,-0.13,0.129
0.556,-0.141,0.141
0.561,-0.151,0.151
0.565,-0.16,0.16
0.57,-0.169,0.169
0.574,-0.178,0.177
0.578,-0.186,0.186
0.582,-0.194,0.194
0.586,-0.202,0.202
0.59,-0.21,0.21
0.594,-0.218,0.218
0.597,-0.226,0.225
0.601,-0.234,0.234
0.605,-0.242,0.242
0.61,-0.251,0.25
0.614,-0.259,0.259
0.618,-0.269,0.268
0.623,-0.278,0.278
0.628,-0.289,0.289
0.634,-0.302,0.301
0.641,-0.316,0.316
0.65,-0.336,0.336
0.664,-0.367,0.366
0.671,-0.382,0.382
0.681,-0.406,0.405
0.689,-0.424,0.424
0.695,-0.439,0.438
0.702,-0.458,0.458
0.707,-0.47,0.47
0.711,-0.482,0.482
0.715,-0.494,0.494
0.72,-0.506,0.506
0.723,-0.516,0.515
0.727,-0.528,0.527
0.731,-0.54,0.54
0.736,-0.553,0.553
0.74,-0.567,0.567
0.745,-0.582,0.581
0.75,-0.598,0.598
0.756,-0.617,0.616
0.763,-0.639,0.639
0.772,-0.669,0.669
0.785,-0.716,0.716
0.806,-0.789,0.788
0.814,-0.819,0.818
0.82,-0.843,0.842
0.826,-0.865,0.865
0.832,-0.887,0.886
0.838,-0.907,0.907
0.843,-0.928,0.927
0.85,-0.954,0.953
0.856,-0.977,0.976
0.863,-1.003,1.002
0.871,-1.033,1.033
0.881,-1.075,1.074
0.897,-1.138,1.137
0.921,-1.237,1.235
0.931,-1.277,1.276
0.939,-1.313,1.312
0.947,-1.349,1.348
0.955,-1.387,1.386
0.964,-1.428,1.427
0.975,-1.478,1.477
0.99,-1.552,1.551
1.014,-1.667,1.665
1.028,-1.739,1.738
1.038,-1.789,1.787
1.047,-1.834,1.833
1.056,-1.882,1.88
1.063,-1.92,1.918
1.074,-1.978,1.976
1.09,-2.066,2.064
1.107,-2.156,2.154
1.119,-2.222,2.22
1.134,-2.31,2.308
1.157,-2.444,2.442
1.19,-2.641,2.639
1.211,-2.772,2.77
1.242,-2.969,2.966
1.268,-3.139,3.136
1.303,-3.373,3.37
1.353,-3.723,3.719
1.403,-4.086,4.082
1.428,-4.27,4.265
1.45,-4.444,4.44
1.464,-4.549,4.544
1.468,-4.582,4.578
1.474,-4.633,4.628
1.484,-4.709,4.704
1.498,-4.824,4.819
1.519,-4.993,4.987
1.542,-5.178,5.172
1.575,-5.462,5.456
1.625,-5.895,5.889
1.638,-6.005,5.998
1.65,-6.115,6.108
1.656,-6.168,6.161
1.665,-6.249,6.242
1.678,-6.371,6.364
1.689,-6.473,6.466
1.699,-6.559,6.551
1.709,-6.652,6.644
1.723,-6.783,6.776
1.744,-6.983,6.975
1.759,-7.127,7.119
1.77,-7.231,7.223
1.781,-7.342,7.334
1.798,-7.51,7.502
1.821,-7.741,7.731
1.834,-7.871,7.862
1.847,-8.002,7.993
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.133,8.123
1.88,-8.327,8.317
1.909,-8.615,8.604
1.943,-8.946,8.935
1.98,-9.296,9.284
2.001,-9.5,9.488
2.03,-9.765,9.752
2.041,-9.87,9.857
2.052,-9.963,9.951
2.064,-10.077,10.064
2.083,-10.246,10.233
2.099,-10.394,10.38
2.11,-10.493,10.479
2.123,-10.599,10.585
2.141,-10.758,10.744
2.168,-10.994,10.979
2.183,-11.123,11.109
2.198,-11.255,11.239
2.221,-11.45,11.434
2.247,-11.662,11.646
2.26,-11.774,11.757
2.278,-11.925,11.908
2.306,-12.149,12.133
2.325,-12.302,12.285
2.34,-12.424,12.407
2.36,-12.582,12.564
2.389,-12.816,12.798
2.402,-12.914,12.896
2.414,-13.008,12.99
2.428,-13.116,13.097
2.449,-13.277,13.258
2.48,-13.515,13.496
2.497,-13.638,13.618
2.514,-13.769,13.748
2.532,-13.901,13.881
2.557,-14.087,14.066
2.595,-14.363,14.341
2.61,-14.471,14.449
2.624,-14.571,14.549
2.639,-14.682,14.66
2.663,-14.847,14.824
2.698,-15.092,15.069
2.709,-15.167,15.144
2.72,-15.249,15.225
2.736,-15.353,15.329
2.758,-15.509,15.485
2.792,-15.736,15.711
2.804,-15.82,15.795
2.818,-15.909,15.884
2.835,-16.022,15.997
2.86,-16.191,16.165
2.886,-16.36,16.333
2.898,-16.433,16.407
2.909,-16.503,16.476
2.921,-16.587,16.56
2.941,-16.711,16.684
2.97,-16.897,16.869
2.985,-16.995,16.966
2.998,-17.073,17.045
3.01,-17.152,17.123
3.027,-17.252,17.223
3.051,-17.402,17.372
3.088,-17.624,17.594
3.102,-17.711,17.681
3.117,-17.802,17.772
3.139,-17.938,17.907
3.173,-18.14,18.108
3.195,-18.268,18.237
3.216,-18.394,18.361
3.234,-18.494,18.461
3.25,-18.591,18.558
3.27,-18.704,18.67
3.3,-18.872,18.838
3.34,-19.099,19.065
3.361,-19.213,19.178
3.378,-19.31,19.275
3.394,-19.395,19.36
3.41,-19.485,19.45
3.434,-19.62,19.584
3.471,-19.82,19.783
