# Simulation 98 (Up to date)
# 477 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.591e-5,-5.591e-5
0.051,1.943e-4,-1.943e-4
0.061,4.157e-4,-4.157e-4
0.071,7.189e-4,-7.189e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.005,-0.005
0.159,0.005,-0.005
0.169,0.006,-0.006
0.179,0.006,-0.006
0.189,0.007,-0.007
0.192,0.007,-0.007
0.196,0.007,-0.007
0.203,0.007,-0.007
0.209,0.008,-0.008
0.216,0.008,-0.008
0.224,0.008,-0.008
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.009,-0.009
0.234,0.009,-0.009
0.237,0.009,-0.009
0.241,0.01,-0.01
0.244,0.01,-0.01
0.248,0.011,-0.011
0.251,0.011,-0.011
0.255,0.012,-0.012
0.258,0.013,-0.013
0.261,0.014,-0.014
0.265,0.015,-0.015
0.268,0.016,-0.016
0.272,0.017,-0.017
0.276,0.019,-0.019
0.28,0.02,-0.02
0.285,0.022,-0.022
0.289,0.024,-0.024
0.292,0.025,-0.025
0.296,0.027,-0.027
0.302,0.029,-0.029
0.309,0.033,-0.033
0.318,0.037,-0.037
0.331,0.042,-0.042
0.352,0.049,-0.049
0.364,0.053,-0.053
0.37,0.054,-0.054
0.377,0.054,-0.054
0.383,0.055,-0.055
0.388,0.055,-0.055
0.393,0.054,-0.054
0.398,0.053,-0.053
0.403,0.053,-0.053
0.407,0.051,-0.051
0.411,0.05,-0.05
0.415,0.049,-0.049
0.419,0.047,-0.047
0.423,0.045,-0.045
0.426,0.043,-0.043
0.43,0.041,-0.041
0.434,0.039,-0.039
0.437,0.036,-0.036
0.441,0.033,-0.034
0.444,0.031,-0.031
0.448,0.028,-0.028
0.451,0.024,-0.024
0.455,0.021,-0.021
0.459,0.017,-0.017
0.463,0.013,-0.013
0.467,0.008,-0.008
0.471,0.003,-0.003
0.475,-0.002,0.002
0.48,-0.008,0.008
0.486,-0.016,0.016
0.492,-0.026,0.025
0.501,-0.039,0.039
0.514,-0.06,0.06
0.534,-0.094,0.094
0.546,-0.117,0.117
0.554,-0.131,0.131
0.561,-0.144,0.144
0.567,-0.155,0.155
0.572,-0.165,0.165
0.577,-0.175,0.175
0.582,-0.185,0.184
0.587,-0.194,0.194
0.592,-0.203,0.203
0.597,-0.212,0.212
0.601,-0.221,0.221
0.606,-0.231,0.231
0.611,-0.241,0.24
0.616,-0.251,0.25
0.622,-0.261,0.261
0.628,-0.273,0.273
0.634,-0.286,0.286
0.642,-0.301,0.301
0.652,-0.322,0.322
0.667,-0.353,0.353
0.671,-0.363,0.363
0.678,-0.378,0.377
0.688,-0.4,0.4
0.697,-0.421,0.421
0.702,-0.435,0.434
0.709,-0.451,0.45
0.715,-0.467,0.466
0.723,-0.488,0.488
0.729,-0.505,0.505
0.736,-0.523,0.523
0.743,-0.543,0.543
0.751,-0.567,0.566
0.761,-0.596,0.595
0.773,-0.633,0.632
0.791,-0.69,0.69
0.818,-0.78,0.78
0.831,-0.824,0.823
0.841,-0.858,0.857
0.85,-0.89,0.889
0.859,-0.922,0.922
0.869,-0.959,0.958
0.882,-1.004,1.003
0.9,-1.074,1.073
0.929,-1.184,1.183
0.947,-1.257,1.256
0.962,-1.323,1.321
0.977,-1.388,1.387
0.995,-1.467,1.466
1.022,-1.59,1.589
1.045,-1.698,1.697
1.057,-1.758,1.757
1.063,-1.787,1.786
1.072,-1.831,1.829
1.085,-1.897,1.895
1.105,-1.998,1.996
1.135,-2.155,2.153
1.147,-2.218,2.216
1.158,-2.281,2.279
1.171,-2.352,2.35
1.188,-2.448,2.445
1.211,-2.583,2.581
1.234,-2.722,2.72
1.242,-2.768,2.766
1.253,-2.838,2.835
1.271,-2.943,2.94
1.29,-3.066,3.062
1.303,-3.146,3.143
1.322,-3.268,3.265
1.351,-3.455,3.452
1.388,-3.708,3.704
1.433,-4.026,4.022
1.464,-4.246,4.241
1.468,-4.279,4.274
1.475,-4.328,4.323
1.485,-4.403,4.398
1.5,-4.517,4.512
1.523,-4.691,4.685
1.543,-4.846,4.84
1.573,-5.083,5.078
1.599,-5.301,5.295
1.622,-5.487,5.481
1.656,-5.773,5.766
1.679,-5.974,5.967
1.714,-6.28,6.273
1.731,-6.433,6.425
1.744,-6.548,6.54
1.761,-6.702,6.694
1.787,-6.938,6.929
1.801,-7.067,7.058
1.816,-7.215,7.206
1.821,-7.259,7.25
1.828,-7.326,7.317
1.834,-7.383,7.374
1.843,-7.469,7.46
1.847,-7.507,7.498
1.853,-7.565,7.556
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.631,7.622
1.87,-7.73,7.72
1.886,-7.877,7.867
1.909,-8.095,8.084
1.943,-8.401,8.39
1.981,-8.743,8.732
2.002,-8.929,8.917
2.03,-9.171,9.159
2.048,-9.329,9.316
2.063,-9.458,9.445
2.085,-9.649,9.636
2.111,-9.868,9.854
2.132,-10.044,10.031
2.164,-10.306,10.291
2.182,-10.452,10.437
2.199,-10.586,10.571
2.224,-10.786,10.771
2.237,-10.891,10.876
2.247,-10.968,10.952
2.257,-11.045,11.029
2.269,-11.145,11.129
2.289,-11.294,11.278
2.311,-11.464,11.447
2.329,-11.598,11.581
2.355,-11.798,11.78
2.395,-12.093,12.075
2.433,-12.374,12.355
2.483,-12.732,12.713
2.505,-12.886,12.866
2.534,-13.087,13.066
2.577,-13.384,13.362
2.592,-13.487,13.465
2.609,-13.599,13.577
2.633,-13.76,13.738
2.669,-13.999,13.976
2.679,-14.066,14.043
2.687,-14.12,14.097
2.695,-14.17,14.147
2.703,-14.22,14.197
2.712,-14.278,14.255
2.725,-14.364,14.34
2.745,-14.492,14.468
2.76,-14.586,14.562
2.77,-14.651,14.627
2.78,-14.713,14.688
2.791,-14.778,14.753
2.803,-14.854,14.829
2.821,-14.965,14.94
2.847,-15.131,15.105
2.872,-15.28,15.255
2.901,-15.459,15.433
2.945,-15.724,15.697
2.995,-16.015,15.987
3.045,-16.303,16.274
3.095,-16.586,16.556
3.145,-16.864,16.834
3.181,-17.063,17.032
3.22,-17.276,17.244
3.27,-17.544,17.511
3.32,-17.807,17.774
3.37,-18.066,18.031
3.413,-18.282,18.247
3.463,-18.532,18.496
3.513,-18.779,18.742
3.563,-19.022,18.985
3.596,-19.181,19.143
3.629,-19.342,19.304
3.66,-19.488,19.449
3.706,-19.705,19.665
3.722,-19.781,19.741
3.739,-19.859,19.818
3.759,-19.949,19.908
3.781,-20.049,20.008
3.803,-20.148,20.107
3.83,-20.271,20.229
3.871,-20.452,20.41
3.896,-20.562,20.519
3.911,-20.626,20.582
3.925,-20.687,20.644
3.94,-20.754,20.71
3.957,-20.831,20.787
3.984,-20.946,20.901
4.023,-21.117,21.071
4.045,-21.213,21.167
4.062,-21.285,21.239
4.078,-21.352,21.306
4.095,-21.422,21.375
4.113,-21.5,21.453
4.141,-21.616,21.569
4.184,-21.789,21.741
4.225,-21.96,21.911
4.273,-22.154,22.105
4.323,-22.353,22.303
4.373,-22.553,22.501
4.423,-22.75,22.698
4.454,-22.873,22.821
4.478,-22.963,22.91
4.505,-23.068,23.014
4.545,-23.22,23.166
4.595,-23.409,23.354
4.624,-23.517,23.462
4.653,-23.628,23.572
4.691,-23.771,23.714
