# Simulation 14 (Up to date)
# 432 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.158e-5,-4.158e-5
0.051,1.423e-4,-1.423e-4
0.061,3e-4,-3e-4
0.071,5.132e-4,-5.132e-4
0.081,7.809e-4,-7.809e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.001,-0.001
0.112,0.002,-0.002
0.122,0.002,-0.002
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.003,-0.003
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.004,-0.004
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.005,-0.005
0.203,0.005,-0.005
0.209,0.005,-0.005
0.216,0.006,-0.006
0.224,0.006,-0.006
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.006,-0.006
0.235,0.006,-0.006
0.239,0.007,-0.007
0.243,0.007,-0.007
0.248,0.008,-0.008
0.252,0.008,-0.008
0.256,0.009,-0.009
0.261,0.01,-0.01
0.265,0.011,-0.011
0.269,0.012,-0.012
0.274,0.013,-0.013
0.279,0.014,-0.014
0.285,0.016,-0.016
0.292,0.018,-0.018
0.299,0.02,-0.02
0.306,0.023,-0.023
0.316,0.026,-0.026
0.329,0.03,-0.03
0.348,0.036,-0.036
0.37,0.04,-0.04
0.381,0.04,-0.04
0.39,0.04,-0.04
0.397,0.039,-0.039
0.404,0.038,-0.038
0.411,0.037,-0.037
0.416,0.035,-0.035
0.422,0.033,-0.033
0.427,0.031,-0.031
0.432,0.029,-0.029
0.436,0.026,-0.026
0.441,0.023,-0.023
0.445,0.02,-0.02
0.45,0.017,-0.017
0.454,0.014,-0.014
0.459,0.01,-0.01
0.464,0.006,-0.006
0.468,0.001,-0.002
0.475,-0.005,0.005
0.48,-0.011,0.011
0.485,-0.017,0.017
0.491,-0.024,0.024
0.497,-0.032,0.032
0.505,-0.042,0.042
0.514,-0.055,0.055
0.527,-0.074,0.074
0.546,-0.106,0.106
0.567,-0.142,0.142
0.575,-0.155,0.155
0.581,-0.166,0.166
0.586,-0.176,0.176
0.592,-0.186,0.185
0.597,-0.195,0.194
0.601,-0.203,0.203
0.606,-0.212,0.212
0.611,-0.221,0.22
0.616,-0.229,0.229
0.621,-0.239,0.238
0.626,-0.248,0.248
0.632,-0.259,0.258
0.638,-0.27,0.27
0.645,-0.283,0.283
0.654,-0.3,0.3
0.667,-0.326,0.326
0.671,-0.333,0.333
0.677,-0.345,0.344
0.685,-0.362,0.361
0.697,-0.388,0.388
0.702,-0.398,0.398
0.709,-0.414,0.413
0.716,-0.431,0.431
0.723,-0.446,0.446
0.73,-0.463,0.463
0.737,-0.48,0.479
0.744,-0.498,0.497
0.751,-0.517,0.517
0.759,-0.54,0.539
0.769,-0.566,0.565
0.781,-0.6,0.6
0.799,-0.654,0.654
0.827,-0.738,0.738
0.835,-0.764,0.763
0.842,-0.787,0.786
0.85,-0.812,0.811
0.856,-0.832,0.831
0.863,-0.855,0.854
0.872,-0.881,0.881
0.882,-0.916,0.915
0.898,-0.97,0.969
0.922,-1.053,1.052
0.931,-1.087,1.086
0.939,-1.116,1.115
0.946,-1.144,1.143
0.954,-1.173,1.171
0.962,-1.203,1.202
0.97,-1.238,1.237
0.982,-1.284,1.282
0.998,-1.354,1.352
1.024,-1.462,1.46
1.032,-1.496,1.495
1.039,-1.527,1.525
1.045,-1.556,1.554
1.052,-1.586,1.584
1.059,-1.618,1.616
1.063,-1.634,1.633
1.069,-1.659,1.658
1.077,-1.697,1.695
1.089,-1.754,1.752
1.108,-1.842,1.84
1.117,-1.884,1.882
1.124,-1.918,1.916
1.131,-1.95,1.948
1.137,-1.983,1.981
1.144,-2.017,2.015
1.152,-2.057,2.054
1.161,-2.107,2.105
1.176,-2.185,2.182
1.198,-2.303,2.301
1.207,-2.352,2.349
1.211,-2.372,2.369
1.217,-2.402,2.399
1.225,-2.447,2.445
1.235,-2.502,2.499
1.242,-2.542,2.54
1.253,-2.603,2.6
1.269,-2.695,2.692
1.294,-2.836,2.833
1.303,-2.892,2.889
1.317,-2.976,2.973
1.338,-3.103,3.1
1.367,-3.283,3.279
1.41,-3.561,3.557
1.46,-3.895,3.891
1.468,-3.948,3.944
1.48,-4.029,4.024
1.497,-4.151,4.146
1.523,-4.337,4.332
1.563,-4.623,4.617
1.613,-4.999,4.992
1.656,-5.334,5.327
1.706,-5.736,5.728
1.756,-6.15,6.142
1.806,-6.579,6.57
1.821,-6.71,6.701
1.834,-6.825,6.815
1.847,-6.94,6.93
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.054,7.045
1.88,-7.225,7.215
1.894,-7.354,7.344
1.912,-7.503,7.492
1.938,-7.723,7.713
1.952,-7.841,7.83
1.968,-7.974,7.963
1.992,-8.171,8.16
2.017,-8.381,8.369
2.056,-8.689,8.677
2.098,-9.027,9.014
2.148,-9.413,9.399
2.198,-9.789,9.774
2.248,-10.156,10.141
2.298,-10.515,10.499
2.335,-10.772,10.755
2.385,-11.119,11.101
2.435,-11.458,11.439
2.458,-11.616,11.597
2.494,-11.851,11.831
2.512,-11.97,11.95
2.535,-12.121,12.101
2.571,-12.345,12.324
2.621,-12.66,12.638
2.671,-12.969,12.946
2.716,-13.246,13.223
2.766,-13.543,13.519
2.798,-13.731,13.706
2.83,-13.919,13.893
2.879,-14.196,14.17
2.929,-14.477,14.45
2.979,-14.753,14.725
3.029,-15.024,14.996
3.079,-15.291,15.262
3.121,-15.513,15.483
3.171,-15.771,15.74
3.221,-16.025,15.994
3.271,-16.276,16.243
3.321,-16.522,16.489
3.371,-16.765,16.731
3.421,-17.004,16.969
3.471,-17.24,17.204
3.521,-17.471,17.435
3.571,-17.7,17.662
3.621,-17.925,17.887
3.671,-18.148,18.109
3.721,-18.367,18.327
3.771,-18.583,18.542
3.821,-18.796,18.754
3.871,-19.006,18.964
3.921,-19.214,19.17
3.971,-19.419,19.374
4.021,-19.621,19.576
4.071,-19.822,19.776
4.121,-20.021,19.974
4.171,-20.217,20.17
4.214,-20.383,20.335
4.264,-20.574,20.525
4.314,-20.764,20.714
4.364,-20.952,20.901
4.414,-21.139,21.087
4.464,-21.324,21.271
4.514,-21.507,21.453
4.564,-21.688,21.633
4.595,-21.8,21.745
4.636,-21.943,21.887
4.686,-22.118,22.061
4.736,-22.292,22.234
4.779,-22.442,22.384
4.824,-22.596,22.538
4.874,-22.768,22.709
4.924,-22.939,22.878
4.974,-23.108,23.046
5.006,-23.217,23.155
5.036,-23.314,23.251
5.064,-23.406,23.344
5.092,-23.5,23.436
5.122,-23.597,23.533
5.152,-23.692,23.628
5.183,-23.791,23.726
5.229,-23.933,23.868
5.273,-24.072,24.005
5.319,-24.211,24.144
5.365,-24.353,24.285
5.407,-24.481,24.412
5.451,-24.615,24.546
5.496,-24.751,24.681
5.546,-24.901,24.83
5.596,-25.05,24.978
5.646,-25.197,25.125
5.696,-25.344,25.271
5.746,-25.49,25.415
5.796,-25.634,25.559
5.846,-25.777,25.701
# Event APOGEE occurred at t=5.896 seconds
5.896,-25.919,25.842
5.944,-26.055,25.978
5.991,-26.186,26.108
6.037,-26.314,26.235
6.083,-26.441,26.361
6.128,-26.568,26.487
6.175,-26.695,26.613
6.222,-26.823,26.741
6.269,-26.953,26.87
6.319,-27.088,27.004
6.369,-27.222,27.138
6.419,-27.356,27.271
6.469,-27.489,27.403
6.519,-27.621,27.534
6.569,-27.752,27.665
