# Simulation 87 (Up to date)
# 453 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.462e-5,-4.462e-5
0.051,1.541e-4,-1.541e-4
0.061,3.281e-4,-3.281e-4
0.071,5.665e-4,-5.665e-4
0.081,8.695e-4,-8.696e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.006,-0.006
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.007,-0.007
0.238,0.007,-0.007
0.241,0.008,-0.008
0.245,0.008,-0.008
0.248,0.009,-0.009
0.251,0.009,-0.009
0.255,0.01,-0.01
0.258,0.011,-0.011
0.262,0.012,-0.012
0.266,0.013,-0.013
0.27,0.014,-0.014
0.274,0.015,-0.015
0.278,0.016,-0.016
0.282,0.018,-0.018
0.287,0.02,-0.02
0.292,0.022,-0.022
0.297,0.024,-0.024
0.304,0.026,-0.026
0.311,0.029,-0.029
0.32,0.033,-0.033
0.335,0.039,-0.039
0.356,0.046,-0.046
0.366,0.047,-0.047
0.37,0.048,-0.048
0.376,0.049,-0.049
0.382,0.049,-0.049
0.387,0.049,-0.049
0.392,0.048,-0.048
0.396,0.047,-0.048
0.401,0.047,-0.047
0.405,0.046,-0.046
0.409,0.044,-0.044
0.413,0.043,-0.043
0.417,0.041,-0.041
0.42,0.039,-0.039
0.424,0.037,-0.037
0.428,0.035,-0.035
0.432,0.033,-0.033
0.435,0.03,-0.03
0.439,0.028,-0.028
0.443,0.025,-0.025
0.447,0.021,-0.022
0.45,0.018,-0.018
0.454,0.014,-0.014
0.458,0.01,-0.01
0.462,0.006,-0.006
0.466,0.002,-0.002
0.47,-0.003,0.003
0.475,-0.009,0.009
0.48,-0.015,0.015
0.484,-0.021,0.021
0.49,-0.028,0.028
0.495,-0.037,0.037
0.502,-0.047,0.047
0.511,-0.061,0.061
0.524,-0.083,0.083
0.544,-0.118,0.118
0.55,-0.129,0.129
0.555,-0.138,0.138
0.559,-0.147,0.147
0.564,-0.155,0.155
0.568,-0.163,0.162
0.572,-0.17,0.17
0.576,-0.177,0.177
0.58,-0.184,0.184
0.584,-0.191,0.191
0.587,-0.198,0.198
0.591,-0.205,0.205
0.595,-0.212,0.212
0.599,-0.219,0.219
0.603,-0.226,0.226
0.607,-0.234,0.233
0.611,-0.241,0.241
0.616,-0.249,0.249
0.62,-0.258,0.258
0.626,-0.267,0.267
0.632,-0.278,0.278
0.638,-0.291,0.29
0.648,-0.307,0.307
0.661,-0.334,0.333
0.671,-0.353,0.352
0.685,-0.382,0.382
0.694,-0.4,0.4
0.702,-0.418,0.418
0.708,-0.432,0.431
0.714,-0.445,0.444
0.719,-0.458,0.457
0.723,-0.468,0.467
0.728,-0.481,0.48
0.734,-0.494,0.494
0.739,-0.509,0.508
0.745,-0.524,0.523
0.751,-0.541,0.54
0.758,-0.56,0.56
0.766,-0.584,0.584
0.778,-0.619,0.618
0.796,-0.673,0.672
0.817,-0.74,0.739
0.827,-0.771,0.77
0.835,-0.798,0.798
0.844,-0.826,0.825
0.85,-0.846,0.846
0.859,-0.877,0.876
0.869,-0.912,0.911
0.883,-0.96,0.959
0.904,-1.034,1.033
0.935,-1.15,1.149
0.948,-1.2,1.199
0.961,-1.251,1.25
0.975,-1.308,1.307
0.994,-1.387,1.386
1.021,-1.51,1.508
1.039,-1.59,1.588
1.052,-1.647,1.645
1.063,-1.699,1.697
1.076,-1.76,1.759
1.094,-1.844,1.842
1.12,-1.972,1.97
1.135,-2.051,2.049
1.146,-2.107,2.105
1.157,-2.164,2.162
1.171,-2.235,2.233
1.191,-2.345,2.342
1.211,-2.458,2.455
1.228,-2.553,2.55
1.242,-2.635,2.632
1.263,-2.76,2.757
1.296,-2.952,2.949
1.303,-2.998,2.994
1.314,-3.067,3.063
1.331,-3.171,3.168
1.356,-3.332,3.328
1.394,-3.58,3.576
1.414,-3.717,3.713
1.445,-3.929,3.924
1.468,-4.093,4.088
1.503,-4.345,4.34
1.548,-4.678,4.672
1.568,-4.834,4.828
1.598,-5.072,5.066
1.638,-5.393,5.386
1.656,-5.536,5.529
1.682,-5.755,5.747
1.697,-5.877,5.87
1.713,-6.012,6.004
1.736,-6.215,6.207
1.747,-6.308,6.3
1.758,-6.402,6.394
1.773,-6.533,6.524
1.795,-6.731,6.722
1.811,-6.873,6.864
1.821,-6.965,6.955
1.834,-7.083,7.074
1.847,-7.202,7.193
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.321,7.312
1.88,-7.498,7.488
1.908,-7.753,7.743
1.94,-8.031,8.02
1.958,-8.193,8.182
1.986,-8.434,8.423
2.003,-8.58,8.568
2.025,-8.759,8.747
2.057,-9.025,9.013
2.082,-9.234,9.221
2.12,-9.543,9.53
2.167,-9.918,9.903
2.217,-10.305,10.29
2.267,-10.684,10.668
2.317,-11.055,11.038
2.367,-11.417,11.4
2.408,-11.707,11.689
2.458,-12.056,12.037
2.485,-12.237,12.218
2.524,-12.505,12.485
2.561,-12.753,12.732
2.611,-13.08,13.059
2.661,-13.401,13.379
2.711,-13.716,13.693
2.761,-14.025,14.001
2.811,-14.328,14.303
2.861,-14.625,14.6
2.889,-14.788,14.762
2.906,-14.885,14.859
2.926,-15.005,14.978
2.957,-15.182,15.155
2.981,-15.321,15.294
2.997,-15.407,15.379
3.012,-15.493,15.466
3.028,-15.58,15.552
3.046,-15.68,15.652
3.073,-15.829,15.8
3.114,-16.049,16.02
3.128,-16.124,16.095
3.141,-16.194,16.164
3.154,-16.268,16.238
3.172,-16.364,16.334
3.199,-16.508,16.477
3.228,-16.659,16.628
3.244,-16.742,16.71
3.259,-16.822,16.791
3.281,-16.936,16.904
3.315,-17.104,17.072
3.36,-17.333,17.299
3.41,-17.581,17.547
3.46,-17.826,17.791
3.51,-18.067,18.032
3.56,-18.306,18.269
3.61,-18.541,18.504
3.658,-18.767,18.729
3.708,-18.997,18.958
3.753,-19.199,19.16
3.776,-19.306,19.266
3.812,-19.464,19.423
3.862,-19.683,19.642
3.912,-19.9,19.858
3.962,-20.114,20.071
4.001,-20.281,20.237
4.051,-20.492,20.447
4.077,-20.599,20.554
4.114,-20.751,20.706
4.164,-20.955,20.909
4.214,-21.156,21.109
4.264,-21.356,21.308
4.314,-21.554,21.505
4.358,-21.728,21.679
4.408,-21.923,21.873
4.458,-22.116,22.064
4.506,-22.297,22.245
4.556,-22.485,22.432
4.606,-22.67,22.617
4.656,-22.854,22.799
4.706,-23.035,22.98
4.756,-23.215,23.159
4.803,-23.383,23.326
4.853,-23.561,23.503
4.903,-23.737,23.679
4.953,-23.912,23.853
5.003,-24.085,24.025
5.038,-24.205,24.144
5.084,-24.362,24.301
5.134,-24.53,24.468
5.184,-24.697,24.634
5.234,-24.863,24.799
5.284,-25.027,24.962
5.334,-25.19,25.125
5.384,-25.352,25.286
5.434,-25.513,25.446
5.484,-25.672,25.604
5.534,-25.83,25.761
5.584,-25.987,25.917
5.634,-26.142,26.071
5.684,-26.294,26.223
5.733,-26.445,26.373
5.782,-26.594,26.521
