# Simulation 10 (Up to date)
# 493 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,7.346e-5,-7.346e-5
0.051,2.571e-4,-2.571e-4
0.061,5.526e-4,-5.526e-4
0.071,9.573e-4,-9.573e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.004,-0.004
0.122,0.004,-0.004
0.132,0.005,-0.005
0.139,0.005,-0.005
0.149,0.006,-0.006
0.159,0.007,-0.007
0.169,0.007,-0.007
0.179,0.008,-0.008
0.189,0.009,-0.009
0.192,0.009,-0.009
0.196,0.009,-0.009
0.203,0.01,-0.01
0.209,0.01,-0.01
0.216,0.011,-0.011
0.224,0.011,-0.011
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.012,-0.012
0.234,0.012,-0.012
0.237,0.012,-0.012
0.24,0.013,-0.013
0.243,0.013,-0.013
0.248,0.014,-0.014
0.251,0.015,-0.015
0.254,0.015,-0.015
0.257,0.016,-0.016
0.26,0.017,-0.017
0.264,0.018,-0.018
0.267,0.019,-0.019
0.27,0.021,-0.021
0.274,0.022,-0.022
0.277,0.024,-0.024
0.281,0.025,-0.025
0.285,0.027,-0.027
0.292,0.03,-0.03
0.297,0.033,-0.033
0.302,0.035,-0.035
0.308,0.039,-0.039
0.316,0.042,-0.042
0.326,0.048,-0.048
0.342,0.055,-0.055
0.364,0.063,-0.063
0.37,0.064,-0.064
0.377,0.065,-0.065
0.382,0.066,-0.066
0.387,0.066,-0.066
0.392,0.066,-0.066
0.396,0.065,-0.065
0.4,0.065,-0.065
0.404,0.064,-0.064
0.408,0.063,-0.063
0.412,0.062,-0.062
0.416,0.06,-0.06
0.42,0.059,-0.059
0.423,0.057,-0.057
0.427,0.055,-0.055
0.43,0.053,-0.053
0.434,0.051,-0.051
0.437,0.048,-0.048
0.441,0.046,-0.046
0.444,0.043,-0.043
0.448,0.039,-0.04
0.452,0.036,-0.036
0.455,0.032,-0.032
0.459,0.028,-0.029
0.463,0.024,-0.024
0.467,0.02,-0.02
0.471,0.015,-0.015
0.475,0.009,-0.009
0.48,0.003,-0.003
0.485,-0.004,0.004
0.49,-0.012,0.012
0.496,-0.022,0.022
0.504,-0.035,0.035
0.515,-0.054,0.053
0.531,-0.084,0.084
0.556,-0.133,0.133
0.563,-0.149,0.149
0.57,-0.162,0.162
0.575,-0.175,0.174
0.581,-0.186,0.186
0.586,-0.197,0.197
0.59,-0.207,0.207
0.595,-0.218,0.218
0.6,-0.228,0.228
0.604,-0.238,0.238
0.609,-0.249,0.248
0.614,-0.259,0.259
0.619,-0.27,0.27
0.624,-0.281,0.281
0.629,-0.293,0.293
0.635,-0.306,0.306
0.641,-0.321,0.321
0.649,-0.339,0.339
0.659,-0.362,0.362
0.671,-0.392,0.392
0.689,-0.439,0.439
0.698,-0.463,0.463
0.702,-0.473,0.473
0.707,-0.488,0.487
0.714,-0.506,0.505
0.72,-0.524,0.523
0.723,-0.533,0.533
0.728,-0.547,0.547
0.734,-0.567,0.567
0.741,-0.59,0.589
0.749,-0.615,0.615
0.759,-0.647,0.647
0.771,-0.688,0.688
0.79,-0.753,0.752
0.817,-0.853,0.853
0.829,-0.898,0.897
0.838,-0.933,0.932
0.846,-0.965,0.964
0.85,-0.98,0.979
0.856,-1.003,1.002
0.864,-1.037,1.036
0.873,-1.073,1.072
0.884,-1.117,1.116
0.899,-1.18,1.179
0.922,-1.278,1.277
0.935,-1.335,1.334
0.943,-1.375,1.374
0.951,-1.411,1.409
0.959,-1.446,1.445
0.967,-1.484,1.483
0.976,-1.528,1.527
0.987,-1.586,1.585
1.005,-1.675,1.674
1.031,-1.813,1.812
1.053,-1.934,1.933
1.063,-1.99,1.988
1.078,-2.075,2.073
1.095,-2.171,2.169
1.12,-2.318,2.316
1.158,-2.547,2.545
1.174,-2.653,2.65
1.196,-2.796,2.794
1.211,-2.892,2.89
1.233,-3.039,3.036
1.242,-3.102,3.099
1.256,-3.197,3.194
1.276,-3.341,3.338
1.303,-3.53,3.527
1.336,-3.77,3.766
1.347,-3.855,3.852
1.36,-3.958,3.954
1.38,-4.114,4.11
1.396,-4.237,4.233
1.407,-4.319,4.315
1.417,-4.405,4.401
1.432,-4.519,4.515
1.453,-4.693,4.688
1.468,-4.817,4.813
1.491,-5.007,5.002
1.524,-5.297,5.292
1.553,-5.55,5.545
1.592,-5.899,5.894
1.642,-6.363,6.356
1.656,-6.492,6.485
1.676,-6.688,6.681
1.707,-6.988,6.981
1.742,-7.329,7.321
1.764,-7.555,7.547
1.795,-7.874,7.866
1.809,-8.024,8.015
1.821,-8.147,8.138
1.834,-8.285,8.276
1.847,-8.423,8.414
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.561,8.552
1.873,-8.698,8.688
1.884,-8.813,8.803
1.898,-8.957,8.947
1.919,-9.171,9.16
1.935,-9.333,9.322
1.947,-9.453,9.443
1.961,-9.601,9.59
1.983,-9.821,9.81
2.016,-10.147,10.135
2.039,-10.37,10.358
2.074,-10.701,10.689
2.104,-10.986,10.973
2.149,-11.406,11.392
2.174,-11.635,11.621
2.211,-11.975,11.96
2.236,-12.195,12.18
2.255,-12.362,12.347
2.283,-12.61,12.594
2.297,-12.725,12.709
2.308,-12.827,12.81
2.321,-12.935,12.919
2.338,-13.084,13.067
2.365,-13.305,13.288
2.376,-13.401,13.383
2.385,-13.472,13.455
2.393,-13.54,13.523
2.402,-13.612,13.594
2.412,-13.699,13.682
2.428,-13.83,13.812
2.452,-14.025,14.006
2.461,-14.1,14.081
2.47,-14.174,14.156
2.48,-14.258,14.239
2.495,-14.37,14.351
2.516,-14.537,14.518
2.537,-14.706,14.686
2.549,-14.8,14.78
2.561,-14.894,14.874
2.577,-15.013,14.993
2.599,-15.19,15.17
2.634,-15.453,15.431
2.654,-15.604,15.582
2.681,-15.806,15.784
2.722,-16.106,16.083
2.772,-16.469,16.445
2.816,-16.785,16.76
2.866,-17.136,17.11
2.916,-17.48,17.454
2.966,-17.819,17.793
3.001,-18.056,18.028
3.045,-18.345,18.317
3.095,-18.669,18.64
3.118,-18.814,18.784
3.141,-18.96,18.93
3.174,-19.172,19.142
3.224,-19.484,19.453
3.244,-19.602,19.571
3.266,-19.742,19.71
3.295,-19.915,19.883
3.338,-20.171,20.138
3.352,-20.251,20.218
3.363,-20.318,20.285
3.374,-20.387,20.353
3.387,-20.463,20.429
3.403,-20.557,20.523
3.427,-20.697,20.663
3.463,-20.906,20.871
3.475,-20.978,20.943
3.487,-21.043,21.007
3.498,-21.107,21.071
3.51,-21.174,21.138
3.524,-21.254,21.218
3.544,-21.368,21.332
3.575,-21.538,21.502
3.599,-21.669,21.632
3.613,-21.749,21.711
3.627,-21.823,21.785
3.64,-21.899,21.861
3.656,-21.982,21.944
3.674,-22.085,22.047
3.702,-22.239,22.2
3.745,-22.467,22.428
3.758,-22.537,22.497
3.769,-22.597,22.557
3.78,-22.654,22.614
3.79,-22.71,22.67
3.802,-22.77,22.729
3.814,-22.835,22.794
3.829,-22.91,22.869
3.848,-23.008,22.966
3.876,-23.153,23.111
3.911,-23.33,23.288
3.925,-23.399,23.357
3.937,-23.462,23.419
3.949,-23.523,23.48
3.962,-23.586,23.543
3.975,-23.653,23.609
3.99,-23.729,23.685
4.009,-23.823,23.779
4.037,-23.965,23.92
4.079,-24.176,24.13
4.109,-24.322,24.276
4.129,-24.421,24.375
