# Simulation 22 (Up to date)
# 447 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.698e-5,-5.699e-5
0.051,1.996e-4,-1.996e-4
0.061,4.3e-4,-4.3e-4
0.071,7.471e-4,-7.471e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.005,-0.005
0.159,0.005,-0.005
0.169,0.006,-0.006
0.179,0.006,-0.006
0.189,0.007,-0.007
0.192,0.007,-0.007
0.196,0.007,-0.007
0.203,0.008,-0.008
0.209,0.008,-0.008
0.216,0.008,-0.008
0.224,0.009,-0.009
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.009,-0.009
0.234,0.009,-0.009
0.238,0.01,-0.01
0.241,0.01,-0.01
0.245,0.011,-0.011
0.248,0.011,-0.011
0.252,0.012,-0.012
0.255,0.013,-0.013
0.259,0.013,-0.013
0.262,0.014,-0.014
0.266,0.016,-0.016
0.27,0.017,-0.017
0.274,0.018,-0.018
0.278,0.019,-0.019
0.283,0.021,-0.021
0.287,0.023,-0.023
0.292,0.025,-0.025
0.297,0.027,-0.027
0.303,0.029,-0.029
0.311,0.032,-0.032
0.32,0.036,-0.036
0.334,0.042,-0.042
0.354,0.049,-0.049
0.364,0.051,-0.051
0.37,0.052,-0.052
0.376,0.052,-0.053
0.381,0.053,-0.053
0.386,0.053,-0.053
0.39,0.052,-0.052
0.394,0.052,-0.052
0.398,0.051,-0.051
0.402,0.05,-0.05
0.406,0.049,-0.049
0.409,0.048,-0.048
0.413,0.047,-0.047
0.417,0.045,-0.045
0.42,0.043,-0.043
0.423,0.042,-0.042
0.427,0.04,-0.04
0.43,0.037,-0.037
0.434,0.035,-0.035
0.437,0.032,-0.032
0.441,0.03,-0.03
0.444,0.027,-0.027
0.448,0.023,-0.023
0.452,0.02,-0.02
0.456,0.016,-0.016
0.46,0.012,-0.012
0.464,0.007,-0.007
0.468,0.002,-0.002
0.475,-0.006,0.006
0.48,-0.013,0.013
0.487,-0.022,0.022
0.494,-0.033,0.033
0.506,-0.05,0.049
0.522,-0.076,0.076
0.537,-0.101,0.101
0.544,-0.113,0.113
0.55,-0.123,0.123
0.555,-0.132,0.132
0.56,-0.141,0.141
0.564,-0.149,0.149
0.569,-0.156,0.156
0.573,-0.164,0.163
0.577,-0.171,0.171
0.581,-0.178,0.178
0.585,-0.185,0.185
0.589,-0.192,0.192
0.593,-0.199,0.199
0.597,-0.206,0.206
0.602,-0.214,0.213
0.606,-0.221,0.221
0.611,-0.229,0.229
0.615,-0.237,0.237
0.621,-0.246,0.246
0.626,-0.256,0.256
0.633,-0.268,0.267
0.641,-0.282,0.281
0.652,-0.302,0.302
0.671,-0.338,0.337
0.683,-0.362,0.362
0.691,-0.377,0.377
0.697,-0.39,0.389
0.702,-0.402,0.401
0.707,-0.413,0.413
0.712,-0.424,0.424
0.717,-0.435,0.435
0.723,-0.45,0.45
0.728,-0.462,0.462
0.733,-0.475,0.474
0.738,-0.488,0.487
0.743,-0.502,0.502
0.749,-0.518,0.518
0.757,-0.538,0.537
0.766,-0.564,0.564
0.78,-0.605,0.605
0.801,-0.668,0.668
0.809,-0.693,0.692
0.817,-0.715,0.715
0.824,-0.738,0.737
0.832,-0.761,0.76
0.84,-0.786,0.785
0.85,-0.819,0.818
0.862,-0.858,0.857
0.88,-0.918,0.917
0.907,-1.011,1.01
0.923,-1.066,1.065
0.941,-1.134,1.133
0.968,-1.24,1.239
1.01,-1.408,1.407
1.06,-1.625,1.624
1.063,-1.64,1.639
1.068,-1.662,1.661
1.075,-1.696,1.694
1.086,-1.746,1.745
1.103,-1.824,1.822
1.128,-1.942,1.94
1.165,-2.127,2.125
1.186,-2.236,2.234
1.211,-2.37,2.367
1.242,-2.539,2.536
1.26,-2.637,2.634
1.279,-2.746,2.743
1.303,-2.885,2.882
1.339,-3.1,3.097
1.354,-3.189,3.185
1.375,-3.321,3.317
1.407,-3.523,3.519
1.421,-3.618,3.614
1.436,-3.714,3.71
1.458,-3.861,3.856
1.468,-3.926,3.921
1.481,-4.016,4.012
1.491,-4.083,4.079
1.501,-4.152,4.148
1.514,-4.241,4.236
1.533,-4.377,4.372
1.548,-4.487,4.481
1.559,-4.562,4.557
1.571,-4.65,4.645
1.589,-4.783,4.777
1.616,-4.986,4.979
1.656,-5.296,5.289
1.706,-5.693,5.685
1.756,-6.103,6.095
1.806,-6.526,6.517
1.821,-6.655,6.646
1.834,-6.768,6.759
1.847,-6.882,6.873
# Event BURNOUT occurred at t=1.86 seconds
1.86,-6.996,6.986
1.88,-7.164,7.155
1.903,-7.368,7.358
1.928,-7.573,7.562
1.964,-7.875,7.864
2.01,-8.247,8.236
2.06,-8.645,8.633
2.11,-9.033,9.02
2.16,-9.411,9.398
2.21,-9.781,9.766
2.26,-10.143,10.127
2.31,-10.496,10.48
2.348,-10.763,10.746
2.383,-11,10.983
2.404,-11.141,11.124
2.422,-11.262,11.245
2.449,-11.443,11.424
2.49,-11.709,11.69
2.512,-11.847,11.828
2.54,-12.026,12.007
2.582,-12.291,12.271
2.606,-12.442,12.421
2.633,-12.608,12.587
2.674,-12.855,12.833
2.724,-13.153,13.131
2.74,-13.249,13.226
2.752,-13.318,13.295
2.765,-13.391,13.368
2.784,-13.5,13.477
2.803,-13.614,13.59
2.814,-13.675,13.651
2.826,-13.741,13.717
2.84,-13.825,13.8
2.862,-13.95,13.925
2.896,-14.134,14.109
2.908,-14.202,14.177
2.922,-14.281,14.255
2.943,-14.397,14.371
2.976,-14.571,14.544
3,-14.701,14.674
3.028,-14.853,14.826
3.071,-15.079,15.05
3.094,-15.197,15.169
3.121,-15.339,15.309
3.163,-15.548,15.518
3.197,-15.721,15.691
3.214,-15.806,15.776
3.239,-15.929,15.898
3.275,-16.111,16.079
3.325,-16.351,16.318
3.375,-16.59,16.557
3.425,-16.825,16.791
3.475,-17.057,17.022
3.525,-17.286,17.25
3.575,-17.512,17.475
3.625,-17.735,17.697
3.675,-17.955,17.917
3.725,-18.172,18.133
3.775,-18.387,18.347
3.825,-18.598,18.557
3.875,-18.806,18.764
3.925,-19.011,18.969
3.97,-19.197,19.153
4.02,-19.399,19.355
4.07,-19.599,19.554
4.12,-19.797,19.751
4.14,-19.873,19.826
4.157,-19.942,19.896
4.18,-20.027,19.981
4.213,-20.155,20.107
4.263,-20.344,20.296
4.313,-20.532,20.482
4.363,-20.717,20.667
4.413,-20.901,20.85
4.463,-21.083,21.031
4.513,-21.263,21.21
4.563,-21.441,21.388
4.613,-21.617,21.563
4.663,-21.792,21.737
4.713,-21.966,21.91
4.763,-22.138,22.081
4.813,-22.309,22.252
4.863,-22.479,22.42
4.913,-22.646,22.587
4.944,-22.747,22.687
4.975,-22.85,22.789
5.02,-22.996,22.935
5.07,-23.157,23.095
5.12,-23.316,23.254
5.17,-23.474,23.41
5.22,-23.63,23.566
5.27,-23.785,23.72
5.32,-23.938,23.872
5.37,-24.091,24.024
5.42,-24.242,24.174
5.47,-24.392,24.323
5.52,-24.541,24.471
5.57,-24.688,24.618
5.62,-24.835,24.764
5.67,-24.98,24.909
5.72,-25.125,25.052
5.77,-25.268,25.195
5.82,-25.411,25.337
# Event APOGEE occurred at t=5.87 seconds
5.87,-25.552,25.478
5.92,-25.693,25.618
