# Simulation 82 (Up to date)
# 463 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.416e-5,-4.416e-5
0.051,1.552e-4,-1.552e-4
0.061,3.364e-4,-3.364e-4
0.071,5.912e-4,-5.912e-4
0.081,9.239e-4,-9.239e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.005,-0.005
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.007,-0.007
0.209,0.007,-0.007
0.216,0.007,-0.007
0.224,0.008,-0.008
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.234,0.008,-0.008
0.237,0.008,-0.008
0.24,0.009,-0.009
0.243,0.009,-0.009
0.248,0.01,-0.01
0.251,0.011,-0.011
0.254,0.011,-0.011
0.257,0.012,-0.012
0.261,0.013,-0.013
0.264,0.014,-0.014
0.267,0.015,-0.015
0.271,0.016,-0.016
0.274,0.017,-0.017
0.278,0.019,-0.019
0.282,0.02,-0.02
0.286,0.022,-0.022
0.292,0.025,-0.025
0.297,0.027,-0.027
0.302,0.03,-0.03
0.308,0.032,-0.033
0.315,0.036,-0.036
0.325,0.041,-0.041
0.34,0.047,-0.047
0.362,0.055,-0.055
0.37,0.057,-0.057
0.376,0.057,-0.058
0.382,0.058,-0.058
0.387,0.058,-0.058
0.392,0.058,-0.058
0.396,0.057,-0.057
0.4,0.057,-0.057
0.404,0.056,-0.056
0.408,0.055,-0.055
0.412,0.054,-0.054
0.416,0.052,-0.052
0.419,0.051,-0.051
0.423,0.049,-0.049
0.426,0.047,-0.047
0.43,0.045,-0.045
0.433,0.043,-0.043
0.436,0.04,-0.04
0.44,0.037,-0.038
0.443,0.035,-0.035
0.447,0.032,-0.032
0.45,0.028,-0.028
0.453,0.025,-0.025
0.457,0.021,-0.021
0.461,0.017,-0.017
0.464,0.013,-0.013
0.468,0.008,-0.008
0.472,0.003,-0.003
0.475,-7.319e-4,6.542e-4
0.479,-0.006,0.006
0.484,-0.014,0.013
0.49,-0.022,0.022
0.496,-0.032,0.032
0.505,-0.047,0.047
0.518,-0.07,0.069
0.537,-0.106,0.106
0.549,-0.132,0.132
0.557,-0.148,0.148
0.564,-0.161,0.161
0.569,-0.173,0.173
0.574,-0.184,0.184
0.579,-0.195,0.195
0.584,-0.205,0.205
0.589,-0.215,0.215
0.593,-0.225,0.225
0.598,-0.235,0.235
0.602,-0.245,0.245
0.607,-0.255,0.255
0.612,-0.266,0.266
0.617,-0.278,0.277
0.623,-0.29,0.29
0.629,-0.305,0.304
0.637,-0.322,0.322
0.647,-0.347,0.347
0.663,-0.385,0.385
0.671,-0.406,0.405
0.683,-0.438,0.437
0.692,-0.462,0.462
0.702,-0.489,0.489
0.708,-0.508,0.507
0.715,-0.527,0.526
0.723,-0.551,0.551
0.73,-0.573,0.572
0.738,-0.597,0.597
0.746,-0.626,0.625
0.758,-0.665,0.664
0.776,-0.726,0.725
0.802,-0.821,0.82
0.813,-0.863,0.862
0.823,-0.899,0.898
0.832,-0.934,0.934
0.842,-0.971,0.971
0.85,-1.004,1.003
0.863,-1.054,1.053
0.879,-1.12,1.119
0.903,-1.223,1.222
0.938,-1.378,1.377
0.949,-1.428,1.427
0.959,-1.479,1.477
0.973,-1.545,1.544
0.993,-1.647,1.645
1.024,-1.805,1.804
1.039,-1.889,1.887
1.057,-1.988,1.986
1.063,-2.02,2.018
1.072,-2.067,2.066
1.084,-2.14,2.138
1.099,-2.225,2.223
1.11,-2.293,2.291
1.123,-2.371,2.369
1.143,-2.49,2.488
1.172,-2.675,2.673
1.192,-2.803,2.801
1.211,-2.932,2.929
1.242,-3.142,3.139
1.289,-3.47,3.467
1.303,-3.576,3.572
1.325,-3.736,3.733
1.35,-3.924,3.921
1.37,-4.077,4.073
1.388,-4.221,4.217
1.416,-4.442,4.437
1.428,-4.541,4.536
1.437,-4.61,4.606
1.445,-4.677,4.672
1.454,-4.75,4.746
1.468,-4.87,4.865
1.489,-5.051,5.046
1.5,-5.143,5.137
1.509,-5.219,5.214
1.517,-5.293,5.287
1.527,-5.375,5.369
1.54,-5.489,5.483
1.559,-5.662,5.656
1.573,-5.788,5.782
1.582,-5.872,5.866
1.592,-5.957,5.95
1.603,-6.059,6.053
1.619,-6.215,6.208
1.644,-6.452,6.445
1.656,-6.567,6.56
1.67,-6.699,6.691
1.686,-6.855,6.847
1.71,-7.092,7.085
1.746,-7.456,7.448
1.796,-7.976,7.967
1.821,-8.246,8.236
1.834,-8.386,8.376
1.847,-8.526,8.516
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.666,8.655
1.88,-8.873,8.863
1.909,-9.181,9.171
1.953,-9.634,9.623
2.003,-10.139,10.127
2.053,-10.631,10.618
2.103,-11.111,11.097
2.153,-11.58,11.566
2.203,-12.038,12.023
2.253,-12.487,12.47
2.303,-12.925,12.908
2.333,-13.186,13.169
2.373,-13.526,13.508
2.423,-13.941,13.923
2.454,-14.195,14.176
2.501,-14.57,14.55
2.528,-14.789,14.768
2.57,-15.111,15.09
2.62,-15.495,15.473
2.67,-15.871,15.848
2.72,-16.239,16.215
2.77,-16.6,16.576
2.797,-16.794,16.769
2.819,-16.952,16.927
2.853,-17.187,17.161
2.901,-17.523,17.496
2.912,-17.598,17.571
2.929,-17.71,17.683
2.954,-17.877,17.85
2.968,-17.97,17.942
2.978,-18.04,18.012
2.988,-18.105,18.077
2.998,-18.171,18.143
3.009,-18.245,18.216
3.025,-18.355,18.326
3.05,-18.518,18.49
3.061,-18.585,18.556
3.069,-18.642,18.613
3.078,-18.697,18.668
3.086,-18.752,18.723
3.096,-18.811,18.782
3.106,-18.879,18.85
3.122,-18.976,18.946
3.144,-19.119,19.089
3.167,-19.257,19.226
3.179,-19.334,19.303
3.19,-19.406,19.375
3.202,-19.479,19.448
3.216,-19.562,19.531
3.235,-19.681,19.649
3.263,-19.858,19.826
3.293,-20.039,20.006
3.312,-20.155,20.122
3.335,-20.289,20.255
3.368,-20.488,20.454
3.418,-20.78,20.746
3.468,-21.069,21.033
3.518,-21.354,21.317
3.568,-21.635,21.598
3.618,-21.912,21.874
3.668,-22.185,22.147
3.702,-22.365,22.326
3.751,-22.633,22.593
3.797,-22.877,22.836
3.821,-22.999,22.958
3.84,-23.101,23.059
3.86,-23.207,23.165
3.889,-23.354,23.311
3.932,-23.572,23.529
3.982,-23.824,23.78
4.032,-24.074,24.03
4.072,-24.272,24.227
4.122,-24.519,24.472
4.172,-24.762,24.714
4.199,-24.892,24.844
4.235,-25.065,25.016
4.285,-25.298,25.249
4.335,-25.53,25.481
4.379,-25.735,25.685
4.401,-25.837,25.786
4.42,-25.925,25.874
4.445,-26.04,25.988
4.483,-26.211,26.159
4.533,-26.438,26.385
4.555,-26.537,26.484
4.573,-26.62,26.567
4.592,-26.703,26.649
4.612,-26.79,26.736
4.634,-26.887,26.832
4.661,-27.005,26.95
4.702,-27.181,27.125
4.739,-27.342,27.285
4.761,-27.437,27.38
4.784,-27.535,27.478
4.814,-27.663,27.606
4.859,-27.855,27.797
4.909,-28.068,28.008
4.959,-28.278,28.218
5.009,-28.487,28.426
5.043,-28.629,28.567
5.089,-28.817,28.755
5.139,-29.021,28.958
