# Simulation 50 (Up to date)
# 443 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.646e-5,-4.646e-5
0.051,1.58e-4,-1.58e-4
0.061,3.319e-4,-3.319e-4
0.071,5.677e-4,-5.677e-4
0.081,8.661e-4,-8.661e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.002,-0.002
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.005,-0.005
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.006,-0.006
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.007,-0.007
0.238,0.007,-0.007
0.241,0.008,-0.008
0.244,0.008,-0.008
0.248,0.009,-0.009
0.251,0.009,-0.009
0.255,0.01,-0.01
0.258,0.011,-0.011
0.262,0.012,-0.012
0.265,0.013,-0.013
0.269,0.014,-0.014
0.273,0.015,-0.015
0.277,0.016,-0.016
0.281,0.018,-0.018
0.285,0.019,-0.019
0.292,0.022,-0.022
0.297,0.024,-0.024
0.303,0.027,-0.027
0.31,0.03,-0.03
0.318,0.033,-0.033
0.329,0.038,-0.038
0.346,0.044,-0.044
0.37,0.05,-0.05
0.378,0.051,-0.051
0.384,0.052,-0.052
0.39,0.051,-0.051
0.395,0.051,-0.051
0.4,0.05,-0.05
0.404,0.049,-0.05
0.409,0.048,-0.048
0.413,0.047,-0.047
0.417,0.045,-0.045
0.421,0.043,-0.044
0.426,0.041,-0.041
0.43,0.039,-0.039
0.434,0.036,-0.036
0.439,0.033,-0.034
0.443,0.03,-0.03
0.447,0.027,-0.027
0.452,0.023,-0.023
0.457,0.018,-0.018
0.462,0.014,-0.014
0.466,0.008,-0.009
0.471,0.003,-0.003
0.475,-0.001,0.001
0.48,-0.008,0.008
0.486,-0.015,0.015
0.492,-0.024,0.024
0.499,-0.034,0.034
0.507,-0.047,0.047
0.518,-0.065,0.065
0.535,-0.095,0.095
0.561,-0.144,0.143
0.569,-0.16,0.16
0.576,-0.174,0.174
0.582,-0.188,0.187
0.588,-0.2,0.2
0.594,-0.213,0.213
0.6,-0.225,0.225
0.606,-0.238,0.237
0.612,-0.251,0.251
0.618,-0.265,0.265
0.625,-0.28,0.28
0.633,-0.299,0.298
0.644,-0.322,0.321
0.659,-0.357,0.357
0.671,-0.388,0.388
0.69,-0.436,0.436
0.702,-0.469,0.469
0.715,-0.505,0.505
0.723,-0.53,0.529
0.733,-0.559,0.559
0.742,-0.589,0.588
0.753,-0.621,0.621
0.764,-0.659,0.659
0.78,-0.714,0.713
0.804,-0.799,0.798
0.835,-0.915,0.914
0.85,-0.975,0.974
0.873,-1.069,1.068
0.897,-1.168,1.167
0.929,-1.312,1.31
0.972,-1.512,1.511
1.004,-1.673,1.672
1.052,-1.93,1.928
1.063,-1.989,1.987
1.079,-2.078,2.077
1.103,-2.217,2.215
1.138,-2.427,2.425
1.165,-2.593,2.591
1.205,-2.851,2.849
1.211,-2.89,2.888
1.22,-2.949,2.946
1.233,-3.038,3.035
1.242,-3.098,3.095
1.255,-3.189,3.186
1.275,-3.328,3.325
1.303,-3.525,3.522
1.345,-3.831,3.828
1.395,-4.215,4.211
1.445,-4.615,4.611
1.462,-4.759,4.755
1.468,-4.808,4.803
1.477,-4.881,4.877
1.49,-4.992,4.988
1.504,-5.115,5.11
1.519,-5.238,5.233
1.54,-5.426,5.421
1.572,-5.713,5.708
1.587,-5.85,5.844
1.609,-6.05,6.044
1.642,-6.356,6.349
1.656,-6.488,6.481
1.677,-6.688,6.681
1.702,-6.937,6.93
1.727,-7.183,7.176
1.74,-7.312,7.304
1.75,-7.416,7.408
1.762,-7.536,7.528
1.779,-7.718,7.709
1.793,-7.863,7.854
1.803,-7.966,7.958
1.815,-8.085,8.076
1.821,-8.153,8.144
1.831,-8.255,8.247
1.834,-8.291,8.282
1.839,-8.344,8.335
1.847,-8.429,8.42
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.568,8.559
1.872,-8.693,8.683
1.887,-8.855,8.845
1.91,-9.096,9.086
1.926,-9.261,9.25
1.939,-9.395,9.385
1.958,-9.583,9.572
1.986,-9.861,9.85
2.001,-10.016,10.004
2.021,-10.214,10.203
2.052,-10.508,10.496
2.068,-10.669,10.657
2.086,-10.839,10.826
2.113,-11.089,11.076
2.132,-11.266,11.252
2.145,-11.386,11.372
2.16,-11.531,11.517
2.18,-11.713,11.699
2.21,-11.983,11.968
2.229,-12.151,12.136
2.24,-12.248,12.233
2.251,-12.348,12.333
2.266,-12.483,12.468
2.29,-12.684,12.668
2.303,-12.796,12.78
2.315,-12.899,12.883
2.332,-13.053,13.037
2.359,-13.282,13.265
2.374,-13.402,13.385
2.387,-13.512,13.495
2.403,-13.646,13.628
2.427,-13.845,13.827
2.464,-14.14,14.122
2.484,-14.299,14.281
2.509,-14.501,14.482
2.547,-14.801,14.781
2.597,-15.188,15.167
2.634,-15.465,15.444
2.684,-15.839,15.817
2.718,-16.09,16.068
2.768,-16.452,16.429
2.784,-16.569,16.545
2.8,-16.679,16.655
2.818,-16.812,16.788
2.847,-17.012,16.987
2.889,-17.307,17.282
2.905,-17.416,17.391
2.92,-17.523,17.497
2.936,-17.632,17.606
2.958,-17.777,17.75
2.99,-17.991,17.964
3.018,-18.177,18.15
3.046,-18.359,18.331
3.088,-18.629,18.601
3.138,-18.95,18.921
3.163,-19.115,19.085
3.186,-19.256,19.226
3.22,-19.465,19.435
3.27,-19.772,19.741
3.316,-20.051,20.019
3.366,-20.349,20.317
3.416,-20.645,20.611
3.466,-20.936,20.902
3.516,-21.224,21.188
3.539,-21.354,21.319
3.558,-21.46,21.424
3.584,-21.608,21.572
3.624,-21.829,21.792
3.652,-21.984,21.947
3.694,-22.216,22.178
3.744,-22.487,22.448
3.794,-22.754,22.714
3.844,-23.016,22.975
3.894,-23.276,23.235
3.944,-23.533,23.491
3.994,-23.787,23.744
4.041,-24.026,23.982
4.091,-24.275,24.231
4.141,-24.523,24.478
4.191,-24.767,24.721
4.241,-25.009,24.963
4.291,-25.249,25.202
4.341,-25.487,25.438
4.391,-25.721,25.672
4.434,-25.92,25.87
4.484,-26.149,26.099
4.534,-26.377,26.326
4.566,-26.52,26.468
4.596,-26.658,26.605
4.638,-26.85,26.796
4.688,-27.074,27.02
4.731,-27.263,27.209
4.75,-27.346,27.291
4.765,-27.415,27.36
4.781,-27.483,27.427
4.797,-27.552,27.496
4.814,-27.625,27.569
4.835,-27.715,27.659
4.866,-27.85,27.793
4.914,-28.051,27.993
4.959,-28.242,28.183
4.992,-28.379,28.32
5.013,-28.466,28.406
5.034,-28.555,28.495
5.06,-28.662,28.602
5.093,-28.8,28.74
5.142,-29.005,28.943
5.192,-29.211,29.149
5.239,-29.405,29.342
5.271,-29.534,29.47
5.301,-29.655,29.591
5.332,-29.782,29.717
5.371,-29.936,29.871
5.418,-30.123,30.057
5.468,-30.32,30.254
5.518,-30.516,30.448
5.568,-30.71,30.642
5.618,-30.904,30.835
5.668,-31.096,31.026
5.718,-31.287,31.216
5.768,-31.476,31.405
# Event APOGEE occurred at t=5.818 seconds
5.818,-31.666,31.593
5.868,-31.853,31.78
5.918,-32.04,31.966
