# Simulation 102 (Up to date)
# 470 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.798e-5,-5.798e-5
0.051,1.978e-4,-1.978e-4
0.061,4.166e-4,-4.166e-4
0.071,7.136e-4,-7.136e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.005,-0.005
0.169,0.005,-0.005
0.179,0.006,-0.006
0.189,0.006,-0.006
0.192,0.007,-0.007
0.196,0.007,-0.007
0.203,0.007,-0.007
0.209,0.008,-0.008
0.216,0.008,-0.008
0.224,0.008,-0.008
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.009,-0.009
0.234,0.009,-0.009
0.238,0.009,-0.009
0.241,0.009,-0.009
0.244,0.01,-0.01
0.248,0.011,-0.011
0.251,0.011,-0.011
0.255,0.012,-0.012
0.258,0.013,-0.013
0.261,0.014,-0.014
0.265,0.015,-0.015
0.268,0.016,-0.016
0.272,0.017,-0.017
0.276,0.018,-0.018
0.28,0.02,-0.02
0.284,0.021,-0.021
0.288,0.023,-0.023
0.292,0.025,-0.025
0.297,0.027,-0.027
0.302,0.029,-0.029
0.308,0.032,-0.032
0.315,0.035,-0.035
0.324,0.04,-0.04
0.337,0.045,-0.045
0.357,0.053,-0.053
0.367,0.055,-0.055
0.37,0.056,-0.056
0.374,0.057,-0.057
0.38,0.057,-0.057
0.385,0.057,-0.057
0.39,0.057,-0.057
0.394,0.057,-0.057
0.398,0.056,-0.056
0.402,0.056,-0.056
0.406,0.055,-0.055
0.41,0.054,-0.054
0.414,0.052,-0.052
0.417,0.051,-0.051
0.421,0.049,-0.049
0.424,0.047,-0.047
0.428,0.045,-0.045
0.431,0.043,-0.043
0.435,0.041,-0.041
0.438,0.038,-0.038
0.442,0.035,-0.035
0.445,0.032,-0.032
0.449,0.029,-0.029
0.453,0.025,-0.026
0.457,0.022,-0.022
0.46,0.017,-0.017
0.465,0.013,-0.013
0.469,0.008,-0.008
0.475,-4.866e-5,-2.106e-5
0.48,-0.007,0.007
0.486,-0.015,0.015
0.493,-0.026,0.025
0.502,-0.04,0.04
0.516,-0.063,0.063
0.537,-0.101,0.101
0.547,-0.121,0.121
0.555,-0.135,0.135
0.561,-0.148,0.148
0.567,-0.16,0.16
0.573,-0.171,0.171
0.578,-0.181,0.181
0.583,-0.192,0.192
0.588,-0.202,0.202
0.593,-0.213,0.212
0.598,-0.223,0.223
0.603,-0.234,0.234
0.609,-0.245,0.245
0.614,-0.257,0.257
0.62,-0.27,0.269
0.627,-0.284,0.283
0.634,-0.3,0.3
0.644,-0.321,0.321
0.658,-0.353,0.353
0.671,-0.385,0.384
0.689,-0.431,0.43
0.698,-0.452,0.452
0.702,-0.464,0.464
0.709,-0.483,0.482
0.715,-0.501,0.501
0.723,-0.524,0.524
0.73,-0.544,0.544
0.737,-0.566,0.566
0.745,-0.592,0.592
0.755,-0.624,0.623
0.769,-0.67,0.669
0.789,-0.741,0.74
0.82,-0.853,0.853
0.833,-0.902,0.902
0.846,-0.953,0.952
0.85,-0.967,0.966
0.855,-0.988,0.987
0.863,-1.019,1.018
0.875,-1.067,1.067
0.893,-1.142,1.141
0.92,-1.258,1.257
0.939,-1.344,1.343
0.955,-1.417,1.416
0.975,-1.513,1.512
1.005,-1.663,1.662
1.023,-1.755,1.754
1.036,-1.824,1.822
1.05,-1.895,1.894
1.063,-1.968,1.966
1.083,-2.078,2.077
1.1,-2.175,2.173
1.111,-2.239,2.237
1.123,-2.31,2.308
1.139,-2.405,2.403
1.163,-2.552,2.55
1.194,-2.743,2.741
1.211,-2.856,2.853
1.237,-3.028,3.026
1.242,-3.06,3.058
1.249,-3.109,3.106
1.26,-3.182,3.179
1.276,-3.293,3.29
1.3,-3.463,3.46
1.303,-3.482,3.478
1.307,-3.51,3.507
1.313,-3.553,3.549
1.322,-3.617,3.614
1.335,-3.715,3.712
1.355,-3.861,3.857
1.378,-4.034,4.03
1.413,-4.3,4.296
1.425,-4.397,4.393
1.436,-4.48,4.476
1.447,-4.574,4.57
1.465,-4.716,4.712
1.468,-4.743,4.739
1.473,-4.784,4.779
1.48,-4.845,4.84
1.488,-4.905,4.9
1.494,-4.959,4.955
1.501,-5.014,5.01
1.508,-5.076,5.071
1.517,-5.153,5.148
1.531,-5.269,5.264
1.551,-5.446,5.44
1.561,-5.526,5.52
1.568,-5.59,5.585
1.575,-5.653,5.648
1.583,-5.722,5.716
1.592,-5.809,5.803
1.607,-5.94,5.934
1.628,-6.138,6.132
1.638,-6.223,6.217
1.647,-6.307,6.301
1.656,-6.395,6.389
1.67,-6.528,6.521
1.691,-6.729,6.722
1.708,-6.889,6.882
1.719,-6.995,6.988
1.729,-7.096,7.089
1.742,-7.224,7.217
1.761,-7.418,7.411
1.784,-7.647,7.639
1.798,-7.799,7.791
1.821,-8.034,8.025
1.834,-8.17,8.161
1.847,-8.306,8.297
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.443,8.434
1.88,-8.646,8.636
1.9,-8.858,8.848
1.92,-9.057,9.047
1.949,-9.354,9.343
1.972,-9.579,9.568
1.988,-9.736,9.725
2.012,-9.969,9.958
2.046,-10.297,10.285
2.067,-10.498,10.486
2.094,-10.748,10.735
2.134,-11.116,11.103
2.152,-11.281,11.267
2.178,-11.513,11.5
2.216,-11.857,11.843
2.24,-12.068,12.053
2.276,-12.373,12.358
2.306,-12.632,12.616
2.336,-12.888,12.872
2.382,-13.266,13.249
2.406,-13.459,13.442
2.441,-13.745,13.727
2.461,-13.905,13.887
2.481,-14.062,14.044
2.511,-14.295,14.277
2.546,-14.573,14.553
2.563,-14.698,14.678
2.587,-14.883,14.864
2.614,-15.089,15.069
2.63,-15.204,15.183
2.647,-15.334,15.313
2.673,-15.529,15.507
2.708,-15.785,15.764
2.722,-15.881,15.859
2.733,-15.965,15.943
2.745,-16.051,16.029
2.76,-16.158,16.135
2.783,-16.317,16.294
2.801,-16.445,16.421
2.813,-16.525,16.502
2.825,-16.615,16.591
2.843,-16.736,16.713
2.869,-16.917,16.893
2.908,-17.185,17.16
2.934,-17.361,17.336
2.953,-17.487,17.461
2.976,-17.637,17.612
3.01,-17.861,17.835
3.033,-18.014,17.988
3.046,-18.095,18.068
3.057,-18.171,18.144
3.072,-18.268,18.24
3.094,-18.411,18.384
3.125,-18.604,18.576
3.139,-18.697,18.668
3.154,-18.79,18.762
3.172,-18.905,18.876
3.2,-19.075,19.046
3.241,-19.328,19.298
3.291,-19.631,19.6
3.338,-19.912,19.88
3.388,-20.207,20.175
3.438,-20.498,20.465
3.488,-20.784,20.75
3.538,-21.067,21.032
3.588,-21.346,21.31
3.638,-21.621,21.585
3.688,-21.893,21.856
3.738,-22.162,22.124
3.788,-22.426,22.387
3.838,-22.687,22.647
3.888,-22.944,22.904
3.927,-23.143,23.102
3.977,-23.395,23.354
4.027,-23.645,23.602
4.077,-23.892,23.849
4.127,-24.137,24.092
4.177,-24.379,24.334
4.227,-24.618,24.573
4.277,-24.856,24.809
4.327,-25.09,25.043
4.377,-25.322,25.274
4.427,-25.552,25.503
4.477,-25.779,25.729
4.527,-26.005,25.954
4.577,-26.228,26.176
4.627,-26.449,26.397
4.677,-26.668,26.615
4.727,-26.886,26.832
4.777,-27.101,27.046
