# Simulation 73 (Up to date)
# 493 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.753e-5,-5.753e-5
0.051,1.987e-4,-1.987e-4
0.061,4.232e-4,-4.232e-4
0.071,7.31e-4,-7.31e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.005,-0.005
0.159,0.005,-0.005
0.169,0.006,-0.006
0.179,0.006,-0.006
0.189,0.007,-0.007
0.192,0.007,-0.007
0.196,0.007,-0.007
0.203,0.008,-0.008
0.209,0.008,-0.008
0.216,0.008,-0.008
0.224,0.009,-0.009
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.009,-0.009
0.234,0.009,-0.009
0.237,0.01,-0.01
0.241,0.01,-0.01
0.244,0.01,-0.01
0.248,0.011,-0.011
0.251,0.012,-0.012
0.255,0.012,-0.012
0.258,0.013,-0.013
0.261,0.014,-0.014
0.265,0.015,-0.015
0.268,0.016,-0.016
0.272,0.018,-0.018
0.276,0.019,-0.019
0.279,0.02,-0.02
0.284,0.022,-0.022
0.288,0.024,-0.024
0.292,0.026,-0.026
0.297,0.028,-0.028
0.302,0.03,-0.03
0.309,0.033,-0.033
0.316,0.037,-0.037
0.326,0.041,-0.041
0.341,0.048,-0.048
0.363,0.055,-0.055
0.37,0.057,-0.057
0.377,0.058,-0.058
0.382,0.058,-0.058
0.388,0.058,-0.058
0.392,0.058,-0.058
0.397,0.058,-0.058
0.401,0.057,-0.057
0.405,0.056,-0.056
0.409,0.055,-0.055
0.412,0.054,-0.054
0.416,0.052,-0.052
0.42,0.051,-0.051
0.423,0.049,-0.049
0.427,0.047,-0.047
0.43,0.045,-0.045
0.434,0.043,-0.043
0.437,0.04,-0.04
0.441,0.038,-0.038
0.444,0.035,-0.035
0.448,0.032,-0.032
0.451,0.028,-0.028
0.455,0.025,-0.025
0.459,0.021,-0.021
0.462,0.017,-0.017
0.466,0.012,-0.012
0.47,0.008,-0.008
0.475,0.001,-0.001
0.479,-0.004,0.004
0.484,-0.011,0.01
0.488,-0.018,0.017
0.494,-0.025,0.025
0.499,-0.035,0.035
0.506,-0.047,0.046
0.516,-0.063,0.063
0.53,-0.09,0.09
0.552,-0.133,0.133
0.559,-0.147,0.147
0.564,-0.159,0.159
0.57,-0.17,0.17
0.574,-0.18,0.18
0.579,-0.19,0.189
0.583,-0.199,0.199
0.587,-0.208,0.208
0.591,-0.217,0.216
0.596,-0.225,0.225
0.6,-0.234,0.234
0.604,-0.243,0.243
0.608,-0.252,0.252
0.612,-0.261,0.261
0.617,-0.271,0.271
0.622,-0.282,0.282
0.627,-0.294,0.294
0.634,-0.308,0.307
0.641,-0.325,0.325
0.652,-0.35,0.35
0.671,-0.394,0.393
0.691,-0.443,0.443
0.699,-0.465,0.465
0.702,-0.473,0.472
0.706,-0.484,0.484
0.713,-0.502,0.502
0.719,-0.519,0.519
0.723,-0.531,0.531
0.729,-0.549,0.548
0.735,-0.566,0.566
0.741,-0.585,0.584
0.747,-0.605,0.605
0.755,-0.628,0.628
0.763,-0.656,0.655
0.774,-0.693,0.693
0.791,-0.751,0.751
0.816,-0.842,0.841
0.824,-0.87,0.87
0.831,-0.894,0.894
0.837,-0.917,0.916
0.843,-0.938,0.937
0.85,-0.966,0.965
0.856,-0.988,0.987
0.862,-1.013,1.012
0.871,-1.044,1.043
0.883,-1.091,1.09
0.901,-1.164,1.163
0.915,-1.219,1.218
0.925,-1.262,1.26
0.934,-1.301,1.3
0.944,-1.343,1.342
0.954,-1.39,1.389
0.967,-1.448,1.447
0.987,-1.538,1.537
1.015,-1.676,1.675
1.046,-1.83,1.828
1.063,-1.917,1.915
1.088,-2.051,2.049
1.107,-2.15,2.148
1.135,-2.303,2.301
1.164,-2.469,2.467
1.184,-2.587,2.585
1.211,-2.751,2.748
1.242,-2.943,2.94
1.259,-3.051,3.048
1.285,-3.217,3.213
1.3,-3.318,3.315
1.303,-3.336,3.333
1.307,-3.364,3.361
1.313,-3.406,3.403
1.323,-3.469,3.466
1.337,-3.565,3.561
1.358,-3.71,3.706
1.373,-3.82,3.817
1.391,-3.946,3.942
1.417,-4.138,4.134
1.437,-4.283,4.279
1.451,-4.386,4.381
1.468,-4.518,4.513
1.494,-4.718,4.713
1.503,-4.789,4.785
1.514,-4.873,4.868
1.53,-5.001,4.995
1.55,-5.165,5.16
1.559,-5.242,5.236
1.568,-5.315,5.309
1.578,-5.398,5.392
1.593,-5.52,5.514
1.615,-5.707,5.701
1.622,-5.771,5.765
1.628,-5.824,5.818
1.634,-5.874,5.868
1.64,-5.926,5.92
1.647,-5.985,5.978
1.656,-6.065,6.058
1.67,-6.186,6.179
1.679,-6.264,6.257
1.684,-6.315,6.308
1.69,-6.362,6.355
1.695,-6.407,6.4
1.7,-6.454,6.447
1.705,-6.506,6.499
1.713,-6.573,6.566
1.724,-6.675,6.668
1.74,-6.829,6.822
1.747,-6.895,6.887
1.753,-6.953,6.945
1.759,-7.009,7.002
1.766,-7.068,7.06
1.773,-7.136,7.128
1.783,-7.233,7.224
1.798,-7.378,7.37
1.812,-7.508,7.499
1.818,-7.569,7.56
1.821,-7.599,7.59
1.826,-7.644,7.635
1.831,-7.701,7.693
1.834,-7.727,7.718
1.838,-7.765,7.756
1.844,-7.823,7.814
1.847,-7.856,7.847
1.852,-7.905,7.896
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.984,7.975
1.872,-8.102,8.093
1.885,-8.233,8.223
1.897,-8.344,8.334
1.912,-8.486,8.476
1.934,-8.696,8.686
1.967,-9.008,8.997
1.988,-9.201,9.19
1.999,-9.3,9.289
2.011,-9.414,9.403
2.03,-9.583,9.572
2.039,-9.664,9.653
2.047,-9.733,9.721
2.055,-9.803,9.791
2.065,-9.894,9.882
2.08,-10.029,10.016
2.099,-10.196,10.183
2.108,-10.273,10.261
2.117,-10.349,10.336
2.127,-10.435,10.422
2.142,-10.561,10.548
2.164,-10.749,10.736
2.178,-10.872,10.858
2.191,-10.976,10.961
2.206,-11.1,11.085
2.228,-11.284,11.269
2.262,-11.557,11.542
2.286,-11.753,11.737
2.317,-12,11.984
2.348,-12.243,12.227
2.366,-12.377,12.36
2.391,-12.576,12.559
2.43,-12.87,12.853
2.48,-13.242,13.224
2.501,-13.394,13.376
2.521,-13.536,13.517
2.55,-13.746,13.726
2.574,-13.92,13.9
2.611,-14.179,14.158
2.661,-14.525,14.504
2.711,-14.864,14.842
2.761,-15.198,15.175
2.787,-15.37,15.346
2.826,-15.624,15.6
2.844,-15.74,15.716
2.862,-15.855,15.831
2.889,-16.027,16.003
2.908,-16.143,16.118
2.924,-16.246,16.221
2.949,-16.4,16.375
2.986,-16.629,16.603
3.006,-16.752,16.726
3.029,-16.892,16.865
3.064,-17.099,17.071
3.114,-17.394,17.366
3.164,-17.686,17.656
3.214,-17.972,17.942
3.264,-18.255,18.224
3.314,-18.534,18.502
3.364,-18.809,18.777
3.414,-19.08,19.047
3.456,-19.305,19.271
3.506,-19.568,19.533
3.556,-19.827,19.792
3.606,-20.084,20.048
3.656,-20.338,20.301
3.686,-20.489,20.451
3.716,-20.637,20.599
3.761,-20.858,20.819
3.791,-21.003,20.963
3.835,-21.218,21.178
3.885,-21.458,21.417
3.917,-21.609,21.568
3.965,-21.835,21.793
