# Simulation 25 (Up to date)
# 511 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,7.253e-5,-7.253e-5
0.051,2.49e-4,-2.49e-4
0.061,5.266e-4,-5.266e-4
0.071,9.025e-4,-9.025e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.004,-0.005
0.139,0.005,-0.005
0.149,0.006,-0.006
0.159,0.006,-0.006
0.169,0.007,-0.007
0.179,0.007,-0.007
0.189,0.008,-0.008
0.192,0.008,-0.008
0.196,0.009,-0.009
0.203,0.009,-0.009
0.209,0.009,-0.009
0.216,0.01,-0.01
0.224,0.01,-0.01
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.011,-0.011
0.234,0.011,-0.011
0.237,0.011,-0.011
0.239,0.012,-0.012
0.242,0.012,-0.012
0.245,0.012,-0.012
0.248,0.013,-0.013
0.251,0.014,-0.014
0.254,0.015,-0.015
0.257,0.015,-0.015
0.259,0.016,-0.016
0.262,0.017,-0.017
0.265,0.018,-0.018
0.269,0.02,-0.02
0.272,0.021,-0.021
0.275,0.022,-0.022
0.279,0.024,-0.024
0.282,0.026,-0.026
0.286,0.027,-0.027
0.292,0.03,-0.03
0.297,0.033,-0.033
0.302,0.036,-0.036
0.308,0.039,-0.039
0.315,0.043,-0.043
0.325,0.048,-0.048
0.34,0.056,-0.056
0.362,0.064,-0.064
0.37,0.066,-0.066
0.376,0.067,-0.067
0.381,0.068,-0.068
0.385,0.068,-0.068
0.39,0.068,-0.068
0.394,0.068,-0.068
0.398,0.067,-0.067
0.401,0.066,-0.066
0.405,0.065,-0.065
0.409,0.064,-0.064
0.412,0.063,-0.063
0.416,0.062,-0.062
0.419,0.06,-0.06
0.422,0.058,-0.058
0.426,0.057,-0.057
0.429,0.054,-0.054
0.432,0.052,-0.052
0.436,0.05,-0.05
0.439,0.047,-0.047
0.442,0.044,-0.044
0.446,0.041,-0.041
0.449,0.038,-0.038
0.452,0.034,-0.034
0.456,0.031,-0.031
0.46,0.026,-0.027
0.463,0.022,-0.022
0.467,0.017,-0.017
0.471,0.012,-0.012
0.475,0.007,-0.007
0.48,1.79e-4,-2.569e-4
0.485,-0.007,0.007
0.491,-0.017,0.016
0.498,-0.028,0.028
0.507,-0.045,0.045
0.522,-0.071,0.071
0.543,-0.114,0.114
0.552,-0.132,0.132
0.558,-0.146,0.146
0.564,-0.158,0.158
0.569,-0.169,0.169
0.574,-0.18,0.18
0.579,-0.19,0.19
0.583,-0.199,0.199
0.587,-0.209,0.209
0.591,-0.218,0.218
0.596,-0.227,0.227
0.6,-0.236,0.236
0.604,-0.246,0.246
0.608,-0.255,0.255
0.613,-0.266,0.265
0.618,-0.276,0.276
0.623,-0.288,0.288
0.628,-0.301,0.3
0.635,-0.316,0.315
0.643,-0.335,0.334
0.655,-0.364,0.364
0.671,-0.402,0.402
0.686,-0.441,0.441
0.694,-0.462,0.462
0.702,-0.485,0.485
0.708,-0.502,0.501
0.713,-0.518,0.517
0.719,-0.534,0.534
0.723,-0.547,0.547
0.729,-0.565,0.564
0.735,-0.584,0.583
0.741,-0.604,0.604
0.748,-0.628,0.628
0.757,-0.658,0.657
0.769,-0.701,0.7
0.788,-0.768,0.767
0.806,-0.835,0.834
0.815,-0.868,0.867
0.822,-0.896,0.896
0.829,-0.923,0.923
0.836,-0.95,0.949
0.843,-0.977,0.976
0.85,-1.004,1.003
0.858,-1.037,1.036
0.869,-1.08,1.079
0.885,-1.146,1.145
0.909,-1.248,1.247
0.919,-1.293,1.292
0.927,-1.331,1.33
0.935,-1.367,1.366
0.943,-1.403,1.402
0.951,-1.442,1.441
0.961,-1.488,1.487
0.975,-1.559,1.558
0.997,-1.668,1.667
1.008,-1.725,1.724
1.018,-1.778,1.777
1.03,-1.84,1.838
1.046,-1.927,1.925
1.063,-2.021,2.02
1.089,-2.167,2.166
1.12,-2.347,2.345
1.143,-2.491,2.489
1.179,-2.715,2.713
1.2,-2.849,2.847
1.211,-2.922,2.92
1.228,-3.032,3.03
1.242,-3.129,3.126
1.264,-3.277,3.274
1.282,-3.409,3.406
1.303,-3.556,3.553
1.334,-3.78,3.777
1.346,-3.873,3.87
1.36,-3.975,3.971
1.38,-4.13,4.126
1.396,-4.253,4.249
1.407,-4.335,4.331
1.419,-4.432,4.427
1.437,-4.579,4.575
1.465,-4.804,4.799
1.468,-4.828,4.823
1.472,-4.864,4.86
1.479,-4.92,4.915
1.489,-5.003,4.998
1.504,-5.128,5.124
1.526,-5.32,5.315
1.56,-5.614,5.608
1.61,-6.063,6.057
1.656,-6.49,6.483
1.706,-6.97,6.963
1.756,-7.467,7.459
1.806,-7.978,7.969
1.821,-8.134,8.125
1.834,-8.27,8.261
1.847,-8.407,8.397
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.543,8.533
1.88,-8.746,8.736
1.893,-8.888,8.878
1.91,-9.061,9.051
1.935,-9.317,9.306
1.946,-9.427,9.416
1.958,-9.544,9.533
1.975,-9.717,9.706
2.002,-9.975,9.963
2.015,-10.106,10.094
2.035,-10.302,10.29
2.057,-10.512,10.499
2.073,-10.661,10.648
2.097,-10.883,10.87
2.132,-11.212,11.199
2.155,-11.42,11.406
2.189,-11.728,11.714
2.2,-11.832,11.817
2.214,-11.949,11.934
2.233,-12.124,12.109
2.247,-12.246,12.231
2.258,-12.338,12.322
2.269,-12.436,12.42
2.285,-12.571,12.555
2.308,-12.772,12.756
2.343,-13.067,13.05
2.393,-13.484,13.466
2.443,-13.891,13.873
2.464,-14.061,14.042
2.496,-14.312,14.293
2.543,-14.68,14.66
2.557,-14.791,14.771
2.578,-14.95,14.929
2.609,-15.186,15.165
2.624,-15.304,15.283
2.636,-15.394,15.372
2.648,-15.484,15.462
2.663,-15.593,15.571
2.685,-15.755,15.733
2.699,-15.858,15.835
2.709,-15.932,15.909
2.721,-16.017,15.994
2.738,-16.143,16.119
2.764,-16.33,16.306
2.782,-16.459,16.435
2.795,-16.555,16.531
2.809,-16.654,16.63
2.828,-16.785,16.761
2.856,-16.981,16.956
2.881,-17.15,17.125
2.894,-17.239,17.213
2.907,-17.326,17.3
2.922,-17.435,17.408
2.946,-17.596,17.57
2.981,-17.831,17.803
2.994,-17.917,17.89
3.007,-18.004,17.977
3.023,-18.109,18.081
3.047,-18.265,18.237
3.083,-18.498,18.469
3.094,-18.568,18.539
3.104,-18.633,18.604
3.114,-18.699,18.669
3.126,-18.772,18.743
3.141,-18.867,18.837
3.163,-19.008,18.977
3.196,-19.217,19.186
3.208,-19.295,19.264
3.219,-19.36,19.329
3.228,-19.42,19.389
3.238,-19.48,19.448
3.248,-19.543,19.511
3.26,-19.615,19.583
3.278,-19.722,19.69
3.304,-19.882,19.85
3.318,-19.962,19.929
3.33,-20.034,20.001
3.342,-20.108,20.075
3.356,-20.191,20.157
3.372,-20.285,20.251
3.39,-20.394,20.36
3.417,-20.555,20.521
3.457,-20.794,20.759
3.469,-20.865,20.829
3.48,-20.926,20.89
3.49,-20.983,20.948
3.5,-21.042,21.006
3.511,-21.104,21.068
3.525,-21.184,21.147
3.546,-21.303,21.266
3.578,-21.481,21.444
3.594,-21.573,21.536
3.608,-21.648,21.61
3.62,-21.718,21.68
3.633,-21.789,21.751
3.647,-21.868,21.829
3.664,-21.962,21.924
3.689,-22.103,22.064
