# Simulation 45 (Up to date)
# 450 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.69e-5,-5.69e-5
0.051,1.968e-4,-1.969e-4
0.061,4.198e-4,-4.198e-4
0.071,7.263e-4,-7.263e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.005,-0.005
0.159,0.005,-0.005
0.169,0.006,-0.006
0.179,0.006,-0.006
0.189,0.007,-0.007
0.192,0.007,-0.007
0.196,0.007,-0.007
0.203,0.008,-0.008
0.209,0.008,-0.008
0.216,0.008,-0.008
0.224,0.009,-0.009
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.009,-0.009
0.234,0.009,-0.009
0.237,0.01,-0.01
0.241,0.01,-0.01
0.244,0.01,-0.01
0.248,0.011,-0.011
0.251,0.012,-0.012
0.255,0.013,-0.013
0.258,0.013,-0.013
0.261,0.014,-0.014
0.265,0.015,-0.015
0.269,0.016,-0.016
0.272,0.018,-0.018
0.276,0.019,-0.019
0.28,0.021,-0.021
0.284,0.022,-0.022
0.289,0.024,-0.024
0.292,0.026,-0.026
0.297,0.028,-0.028
0.302,0.03,-0.03
0.309,0.033,-0.033
0.316,0.037,-0.037
0.327,0.041,-0.041
0.343,0.048,-0.048
0.366,0.055,-0.055
0.37,0.056,-0.056
0.375,0.056,-0.056
0.381,0.057,-0.057
0.386,0.057,-0.057
0.39,0.057,-0.057
0.395,0.056,-0.056
0.399,0.056,-0.056
0.402,0.055,-0.055
0.406,0.054,-0.054
0.41,0.053,-0.053
0.414,0.051,-0.051
0.417,0.05,-0.05
0.421,0.048,-0.048
0.424,0.046,-0.046
0.428,0.044,-0.044
0.432,0.042,-0.042
0.435,0.039,-0.039
0.439,0.037,-0.037
0.442,0.034,-0.034
0.446,0.031,-0.031
0.45,0.027,-0.027
0.453,0.024,-0.024
0.457,0.02,-0.02
0.461,0.015,-0.015
0.465,0.011,-0.011
0.47,0.006,-0.006
0.475,-9.976e-4,9.243e-4
0.48,-0.008,0.008
0.486,-0.015,0.015
0.492,-0.025,0.025
0.5,-0.037,0.037
0.511,-0.055,0.055
0.529,-0.085,0.085
0.542,-0.109,0.109
0.549,-0.123,0.122
0.555,-0.134,0.134
0.56,-0.144,0.144
0.565,-0.153,0.153
0.57,-0.163,0.162
0.575,-0.171,0.171
0.579,-0.18,0.18
0.584,-0.189,0.189
0.588,-0.198,0.197
0.593,-0.206,0.206
0.597,-0.215,0.215
0.602,-0.224,0.224
0.607,-0.234,0.234
0.612,-0.244,0.244
0.617,-0.255,0.255
0.623,-0.267,0.267
0.63,-0.281,0.281
0.639,-0.298,0.298
0.652,-0.325,0.325
0.671,-0.367,0.367
0.686,-0.402,0.401
0.694,-0.422,0.421
0.702,-0.44,0.44
0.708,-0.457,0.456
0.714,-0.472,0.472
0.72,-0.488,0.487
0.723,-0.496,0.495
0.727,-0.508,0.508
0.733,-0.524,0.524
0.739,-0.541,0.541
0.746,-0.56,0.56
0.753,-0.581,0.581
0.761,-0.607,0.606
0.773,-0.644,0.644
0.791,-0.702,0.701
0.812,-0.773,0.772
0.819,-0.8,0.799
0.826,-0.823,0.823
0.833,-0.845,0.845
0.839,-0.867,0.866
0.845,-0.888,0.887
0.85,-0.906,0.906
0.857,-0.93,0.929
0.864,-0.956,0.955
0.873,-0.987,0.986
0.884,-1.031,1.03
0.902,-1.098,1.097
0.923,-1.179,1.178
0.93,-1.207,1.206
0.936,-1.231,1.23
0.942,-1.254,1.253
0.947,-1.277,1.276
0.952,-1.301,1.299
0.958,-1.325,1.324
0.965,-1.353,1.352
0.972,-1.387,1.386
0.983,-1.434,1.433
0.998,-1.506,1.504
1.021,-1.615,1.614
1.028,-1.648,1.646
1.034,-1.677,1.676
1.04,-1.706,1.704
1.046,-1.734,1.733
1.052,-1.764,1.763
1.059,-1.799,1.797
1.063,-1.817,1.816
1.069,-1.845,1.844
1.077,-1.888,1.886
1.09,-1.952,1.95
1.103,-2.017,2.015
1.111,-2.058,2.056
1.118,-2.098,2.096
1.126,-2.14,2.139
1.135,-2.189,2.187
1.146,-2.252,2.25
1.164,-2.349,2.347
1.19,-2.497,2.495
1.202,-2.569,2.567
1.211,-2.622,2.619
1.225,-2.702,2.699
1.242,-2.807,2.804
1.268,-2.968,2.965
1.303,-3.187,3.184
1.353,-3.513,3.51
1.403,-3.855,3.851
1.424,-4.006,4.002
1.457,-4.238,4.233
1.468,-4.322,4.318
1.485,-4.45,4.445
1.511,-4.645,4.64
1.55,-4.945,4.94
1.585,-5.227,5.221
1.635,-5.636,5.63
1.656,-5.809,5.802
1.687,-6.072,6.065
1.733,-6.479,6.471
1.755,-6.669,6.662
1.787,-6.96,6.952
1.813,-7.21,7.201
1.821,-7.28,7.272
1.834,-7.402,7.393
1.847,-7.525,7.516
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.647,7.638
1.88,-7.829,7.82
1.909,-8.099,8.089
1.953,-8.496,8.486
2.003,-8.939,8.928
2.053,-9.371,9.359
2.103,-9.793,9.78
2.153,-10.205,10.192
2.203,-10.608,10.594
2.253,-11.003,10.988
2.299,-11.358,11.342
2.317,-11.496,11.48
2.344,-11.7,11.684
2.377,-11.948,11.931
2.412,-12.205,12.187
2.443,-12.43,12.412
2.458,-12.538,12.519
2.481,-12.698,12.68
2.502,-12.845,12.826
2.514,-12.931,12.912
2.527,-13.022,13.003
2.545,-13.146,13.126
2.572,-13.33,13.311
2.61,-13.592,13.572
2.642,-13.805,13.784
2.69,-14.12,14.098
2.74,-14.444,14.421
2.79,-14.761,14.738
2.84,-15.074,15.05
2.866,-15.237,15.213
2.905,-15.48,15.454
2.955,-15.781,15.755
2.989,-15.977,15.951
3.038,-16.268,16.241
3.088,-16.556,16.528
3.128,-16.782,16.754
3.178,-17.063,17.034
3.221,-17.301,17.271
3.271,-17.574,17.543
3.321,-17.844,17.812
3.371,-18.109,18.077
3.408,-18.306,18.273
3.448,-18.51,18.476
3.498,-18.765,18.73
3.548,-19.017,18.982
3.597,-19.263,19.227
3.647,-19.51,19.473
3.697,-19.754,19.716
3.747,-19.994,19.955
3.786,-20.176,20.137
3.829,-20.379,20.34
3.879,-20.611,20.57
3.926,-20.824,20.783
3.976,-21.051,21.009
4.026,-21.275,21.232
4.076,-21.496,21.452
4.126,-21.714,21.669
4.176,-21.93,21.884
4.226,-22.143,22.096
4.276,-22.354,22.307
4.326,-22.562,22.514
4.376,-22.768,22.719
4.426,-22.973,22.923
4.476,-23.175,23.125
4.526,-23.376,23.325
4.576,-23.576,23.523
4.608,-23.701,23.649
4.656,-23.888,23.835
4.706,-24.082,24.027
4.756,-24.274,24.219
4.806,-24.465,24.409
4.856,-24.655,24.598
4.906,-24.844,24.786
4.949,-25.005,24.947
4.971,-25.087,25.029
4.995,-25.173,25.114
5.021,-25.269,25.209
5.057,-25.399,25.339
5.107,-25.578,25.518
5.157,-25.756,25.694
5.207,-25.932,25.87
5.257,-26.107,26.044
5.307,-26.281,26.217
5.357,-26.454,26.389
5.407,-26.626,26.56
5.457,-26.797,26.73
5.507,-26.966,26.899
5.557,-27.135,27.067
5.607,-27.303,27.234
5.657,-27.469,27.399
5.707,-27.633,27.563
5.757,-27.797,27.726
5.805,-27.952,27.88
5.851,-28.103,28.03
