# Simulation 104 (Up to date)
# 463 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.01e-5,-5.01e-5
0.051,1.73e-4,-1.73e-4
0.061,3.677e-4,-3.677e-4
0.071,6.326e-4,-6.326e-4
0.081,9.665e-4,-9.665e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.007,-0.007
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.235,0.008,-0.008
0.239,0.008,-0.008
0.242,0.009,-0.009
0.248,0.009,-0.009
0.252,0.01,-0.01
0.256,0.011,-0.011
0.26,0.011,-0.012
0.264,0.012,-0.012
0.268,0.014,-0.014
0.272,0.015,-0.015
0.277,0.016,-0.016
0.281,0.018,-0.018
0.286,0.019,-0.019
0.292,0.021,-0.021
0.298,0.023,-0.023
0.305,0.026,-0.026
0.313,0.029,-0.029
0.325,0.033,-0.033
0.342,0.039,-0.039
0.37,0.045,-0.045
0.378,0.045,-0.045
0.385,0.045,-0.045
0.391,0.045,-0.045
0.397,0.044,-0.044
0.402,0.043,-0.043
0.408,0.042,-0.042
0.413,0.04,-0.04
0.417,0.039,-0.039
0.422,0.037,-0.037
0.427,0.034,-0.034
0.431,0.032,-0.032
0.436,0.029,-0.029
0.44,0.026,-0.026
0.445,0.023,-0.023
0.45,0.02,-0.02
0.454,0.016,-0.016
0.459,0.012,-0.012
0.464,0.007,-0.007
0.469,0.002,-0.002
0.475,-0.005,0.004
0.481,-0.011,0.011
0.487,-0.019,0.019
0.495,-0.029,0.029
0.505,-0.042,0.041
0.519,-0.062,0.062
0.541,-0.096,0.096
0.552,-0.114,0.114
0.56,-0.127,0.127
0.566,-0.138,0.138
0.572,-0.148,0.148
0.577,-0.157,0.157
0.582,-0.166,0.166
0.587,-0.174,0.174
0.592,-0.182,0.182
0.596,-0.19,0.19
0.601,-0.198,0.198
0.606,-0.207,0.207
0.611,-0.216,0.216
0.617,-0.226,0.226
0.623,-0.238,0.238
0.632,-0.253,0.253
0.645,-0.277,0.276
0.664,-0.314,0.314
0.671,-0.329,0.329
0.681,-0.35,0.349
0.689,-0.367,0.366
0.696,-0.382,0.382
0.702,-0.397,0.397
0.708,-0.413,0.412
0.715,-0.429,0.428
0.723,-0.449,0.448
0.731,-0.469,0.468
0.74,-0.493,0.492
0.752,-0.525,0.525
0.77,-0.577,0.576
0.796,-0.657,0.656
0.807,-0.689,0.688
0.817,-0.721,0.721
0.83,-0.76,0.76
0.85,-0.826,0.826
0.881,-0.93,0.929
0.926,-1.096,1.095
0.974,-1.284,1.282
0.993,-1.362,1.361
1.015,-1.461,1.46
1.05,-1.615,1.613
1.063,-1.677,1.675
1.079,-1.754,1.752
1.104,-1.873,1.871
1.126,-1.98,1.978
1.137,-2.035,2.033
1.147,-2.09,2.087
1.159,-2.152,2.15
1.177,-2.248,2.246
1.204,-2.395,2.392
1.211,-2.437,2.434
1.221,-2.493,2.491
1.232,-2.552,2.55
1.242,-2.611,2.609
1.258,-2.701,2.698
1.281,-2.838,2.835
1.295,-2.92,2.917
1.303,-2.97,2.967
1.315,-3.046,3.042
1.334,-3.161,3.157
1.359,-3.322,3.319
1.376,-3.432,3.428
1.402,-3.599,3.595
1.423,-3.741,3.737
1.448,-3.911,3.907
1.468,-4.05,4.045
1.498,-4.261,4.256
1.537,-4.543,4.538
1.587,-4.92,4.914
1.613,-5.125,5.119
1.653,-5.441,5.434
1.656,-5.468,5.461
1.661,-5.509,5.502
1.669,-5.571,5.564
1.68,-5.664,5.657
1.697,-5.806,5.798
1.723,-6.021,6.014
1.761,-6.351,6.343
1.811,-6.792,6.783
1.821,-6.878,6.869
1.834,-6.995,6.986
1.847,-7.113,7.103
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.23,7.221
1.88,-7.405,7.395
1.909,-7.664,7.654
1.953,-8.045,8.034
2.003,-8.469,8.457
2.053,-8.882,8.869
2.103,-9.285,9.271
2.153,-9.678,9.664
2.189,-9.959,9.944
2.239,-10.337,10.321
2.289,-10.707,10.69
2.339,-11.068,11.051
2.389,-11.422,11.403
2.425,-11.674,11.655
2.475,-12.015,11.995
2.493,-12.131,12.111
2.514,-12.273,12.253
2.546,-12.485,12.464
2.576,-12.678,12.657
2.588,-12.761,12.739
2.601,-12.845,12.823
2.62,-12.96,12.938
2.647,-13.131,13.108
2.657,-13.197,13.175
2.668,-13.266,13.243
2.682,-13.35,13.327
2.702,-13.476,13.453
2.732,-13.664,13.64
2.748,-13.758,13.734
2.763,-13.849,13.825
2.778,-13.938,13.914
2.795,-14.044,14.019
2.822,-14.201,14.175
2.845,-14.335,14.309
2.857,-14.407,14.381
2.869,-14.475,14.448
2.881,-14.545,14.519
2.896,-14.63,14.603
2.917,-14.756,14.729
2.95,-14.944,14.916
2.962,-15.008,14.98
2.971,-15.063,15.035
2.981,-15.118,15.09
2.992,-15.176,15.147
3.004,-15.244,15.215
3.023,-15.345,15.316
3.05,-15.497,15.467
3.062,-15.558,15.529
3.071,-15.606,15.576
3.079,-15.649,15.62
3.086,-15.692,15.662
3.094,-15.735,15.704
3.103,-15.78,15.75
3.113,-15.836,15.805
3.128,-15.919,15.888
3.151,-16.043,16.011
3.161,-16.098,16.066
3.17,-16.141,16.109
3.177,-16.179,16.148
3.184,-16.216,16.184
3.191,-16.252,16.22
3.198,-16.289,16.257
3.206,-16.329,16.297
3.214,-16.374,16.342
3.226,-16.434,16.401
3.244,-16.522,16.49
3.27,-16.655,16.622
3.285,-16.732,16.698
3.298,-16.796,16.763
3.311,-16.86,16.826
3.322,-16.919,16.885
3.334,-16.979,16.945
3.347,-17.044,17.009
3.363,-17.122,17.088
3.386,-17.24,17.205
3.422,-17.414,17.379
3.435,-17.479,17.443
3.446,-17.534,17.498
3.457,-17.586,17.549
3.469,-17.642,17.605
3.483,-17.71,17.673
3.505,-17.811,17.774
3.537,-17.962,17.925
3.567,-18.1,18.061
3.587,-18.195,18.156
3.609,-18.298,18.258
3.643,-18.451,18.411
3.693,-18.677,18.636
3.732,-18.852,18.811
3.778,-19.055,19.013
3.82,-19.235,19.192
3.841,-19.329,19.285
3.867,-19.438,19.394
3.905,-19.6,19.556
3.929,-19.702,19.657
3.951,-19.797,19.752
3.977,-19.903,19.857
4.01,-20.037,19.991
4.059,-20.236,20.189
4.109,-20.437,20.389
4.142,-20.569,20.521
4.161,-20.645,20.596
4.182,-20.73,20.681
4.215,-20.857,20.807
4.263,-21.046,20.996
4.312,-21.238,21.187
4.362,-21.429,21.377
4.397,-21.559,21.506
4.446,-21.742,21.689
4.489,-21.9,21.846
4.539,-22.082,22.027
4.589,-22.262,22.206
4.639,-22.441,22.384
4.689,-22.619,22.561
4.739,-22.795,22.737
4.789,-22.97,22.911
4.839,-23.144,23.083
4.888,-23.311,23.25
4.922,-23.427,23.365
4.961,-23.558,23.495
5.011,-23.724,23.66
5.061,-23.889,23.824
5.111,-24.053,23.988
5.161,-24.216,24.15
5.211,-24.379,24.312
5.261,-24.54,24.472
5.311,-24.7,24.631
