# Simulation 61 (Up to date)
# 473 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.711e-5,-4.711e-5
0.051,1.624e-4,-1.624e-4
0.061,3.446e-4,-3.446e-4
0.071,5.924e-4,-5.924e-4
0.081,9.048e-4,-9.049e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.007,-0.007
0.238,0.008,-0.008
0.241,0.008,-0.008
0.245,0.008,-0.008
0.248,0.009,-0.009
0.251,0.01,-0.01
0.255,0.01,-0.01
0.259,0.011,-0.011
0.262,0.012,-0.012
0.266,0.013,-0.013
0.27,0.014,-0.014
0.274,0.015,-0.015
0.278,0.017,-0.017
0.282,0.018,-0.018
0.287,0.02,-0.02
0.292,0.022,-0.022
0.297,0.024,-0.024
0.304,0.027,-0.027
0.311,0.03,-0.03
0.319,0.033,-0.033
0.332,0.038,-0.038
0.351,0.045,-0.045
0.37,0.049,-0.049
0.377,0.05,-0.05
0.383,0.05,-0.05
0.388,0.05,-0.05
0.393,0.05,-0.05
0.397,0.049,-0.049
0.401,0.049,-0.049
0.405,0.048,-0.048
0.409,0.047,-0.047
0.413,0.045,-0.045
0.417,0.044,-0.044
0.42,0.042,-0.042
0.424,0.04,-0.04
0.428,0.038,-0.038
0.431,0.036,-0.036
0.435,0.034,-0.034
0.438,0.031,-0.031
0.442,0.028,-0.028
0.445,0.025,-0.025
0.449,0.022,-0.022
0.453,0.019,-0.019
0.457,0.015,-0.015
0.46,0.011,-0.011
0.464,0.007,-0.007
0.469,0.002,-0.002
0.475,-0.006,0.006
0.48,-0.012,0.012
0.485,-0.02,0.02
0.492,-0.029,0.029
0.5,-0.041,0.041
0.511,-0.059,0.059
0.528,-0.088,0.088
0.543,-0.115,0.114
0.55,-0.128,0.128
0.556,-0.139,0.139
0.562,-0.15,0.149
0.567,-0.159,0.159
0.572,-0.169,0.168
0.577,-0.178,0.177
0.581,-0.186,0.186
0.586,-0.195,0.195
0.591,-0.204,0.204
0.595,-0.213,0.213
0.6,-0.222,0.222
0.605,-0.232,0.231
0.61,-0.242,0.241
0.616,-0.252,0.252
0.622,-0.265,0.265
0.629,-0.279,0.279
0.639,-0.299,0.299
0.654,-0.329,0.329
0.671,-0.366,0.366
0.684,-0.395,0.395
0.692,-0.415,0.415
0.699,-0.432,0.432
0.702,-0.439,0.439
0.706,-0.45,0.449
0.712,-0.466,0.465
0.719,-0.482,0.482
0.723,-0.494,0.493
0.729,-0.511,0.511
0.737,-0.532,0.531
0.745,-0.555,0.555
0.755,-0.585,0.585
0.771,-0.632,0.631
0.794,-0.704,0.704
0.807,-0.747,0.747
0.816,-0.777,0.776
0.824,-0.803,0.803
0.831,-0.828,0.828
0.839,-0.853,0.853
0.847,-0.879,0.879
0.85,-0.891,0.89
0.855,-0.909,0.908
0.863,-0.935,0.934
0.874,-0.975,0.974
0.892,-1.037,1.036
0.917,-1.133,1.132
0.929,-1.177,1.176
0.939,-1.218,1.217
0.95,-1.261,1.26
0.962,-1.312,1.311
0.979,-1.384,1.383
1.004,-1.497,1.495
1.025,-1.592,1.59
1.038,-1.649,1.648
1.05,-1.707,1.706
1.063,-1.767,1.766
1.082,-1.859,1.858
1.111,-2.002,2
1.122,-2.062,2.059
1.132,-2.112,2.11
1.141,-2.163,2.161
1.152,-2.222,2.22
1.169,-2.312,2.31
1.193,-2.45,2.448
1.202,-2.497,2.494
1.211,-2.551,2.549
1.22,-2.604,2.602
1.233,-2.681,2.678
1.242,-2.731,2.729
1.255,-2.808,2.805
1.269,-2.894,2.891
1.279,-2.952,2.949
1.288,-3.008,3.005
1.298,-3.07,3.067
1.303,-3.104,3.101
1.311,-3.156,3.153
1.323,-3.235,3.232
1.34,-3.344,3.341
1.349,-3.401,3.397
1.357,-3.454,3.451
1.366,-3.515,3.512
1.379,-3.602,3.598
1.398,-3.733,3.729
1.414,-3.844,3.84
1.425,-3.917,3.912
1.435,-3.992,3.987
1.449,-4.088,4.084
1.468,-4.227,4.222
1.494,-4.42,4.415
1.507,-4.52,4.515
1.526,-4.663,4.657
1.554,-4.88,4.875
1.571,-5.013,5.007
1.591,-5.175,5.169
1.622,-5.423,5.416
1.649,-5.649,5.642
1.656,-5.708,5.701
1.667,-5.797,5.79
1.682,-5.933,5.925
1.706,-6.138,6.13
1.742,-6.453,6.445
1.766,-6.672,6.664
1.799,-6.979,6.97
1.818,-7.156,7.147
1.821,-7.182,7.173
1.825,-7.222,7.213
1.834,-7.305,7.296
1.847,-7.428,7.419
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.551,7.541
1.877,-7.711,7.701
1.903,-7.949,7.939
1.933,-8.229,8.218
1.951,-8.387,8.376
1.977,-8.622,8.61
2.017,-8.967,8.955
2.037,-9.145,9.133
2.055,-9.301,9.288
2.083,-9.531,9.518
2.109,-9.748,9.734
2.136,-9.974,9.96
2.177,-10.307,10.293
2.227,-10.702,10.687
2.265,-10.996,10.98
2.315,-11.374,11.358
2.337,-11.535,11.518
2.359,-11.702,11.684
2.393,-11.949,11.931
2.43,-12.215,12.197
2.478,-12.547,12.528
2.511,-12.773,12.753
2.56,-13.106,13.086
2.58,-13.243,13.222
2.611,-13.447,13.425
2.645,-13.673,13.651
2.664,-13.791,13.768
2.685,-13.928,13.905
2.717,-14.131,14.108
2.734,-14.237,14.214
2.745,-14.305,14.281
2.755,-14.368,14.344
2.767,-14.443,14.419
2.785,-14.555,14.53
2.812,-14.72,14.696
2.825,-14.796,14.771
2.835,-14.86,14.835
2.846,-14.924,14.898
2.858,-14.995,14.969
2.873,-15.087,15.061
2.897,-15.225,15.199
2.932,-15.43,15.403
2.945,-15.506,15.479
2.958,-15.583,15.555
2.975,-15.679,15.651
3,-15.822,15.794
3.038,-16.035,16.006
3.066,-16.193,16.164
3.108,-16.427,16.397
3.136,-16.578,16.548
3.177,-16.802,16.771
3.216,-17.006,16.974
3.266,-17.269,17.237
3.316,-17.529,17.495
3.351,-17.708,17.674
3.401,-17.96,17.926
3.451,-18.211,18.175
3.48,-18.355,18.319
3.523,-18.571,18.534
3.556,-18.731,18.693
3.581,-18.847,18.81
3.599,-18.935,18.897
3.617,-19.021,18.983
3.645,-19.151,19.112
3.686,-19.343,19.303
3.705,-19.431,19.391
3.723,-19.516,19.476
3.75,-19.638,19.597
3.789,-19.818,19.777
3.839,-20.045,20.003
3.861,-20.143,20.101
3.888,-20.262,20.219
3.928,-20.44,20.396
3.978,-20.658,20.614
4.012,-20.807,20.762
4.062,-21.023,20.977
4.112,-21.236,21.189
4.162,-21.446,21.398
4.212,-21.653,21.605
4.262,-21.859,21.809
4.312,-22.061,22.011
4.362,-22.262,22.211
4.411,-22.456,22.404
4.461,-22.651,22.599
4.49,-22.762,22.709
4.523,-22.892,22.838
4.552,-23.005,22.951
4.58,-23.113,23.058
4.622,-23.274,23.218
4.672,-23.464,23.408
4.702,-23.578,23.521
4.736,-23.703,23.646
