# Simulation 96 (Up to date)
# 459 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.111e-5,-5.112e-5
0.051,1.759e-4,-1.759e-4
0.061,3.733e-4,-3.733e-4
0.071,6.425e-4,-6.425e-4
0.081,9.838e-4,-9.838e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.005,-0.005
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.007,-0.007
0.209,0.007,-0.007
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.235,0.008,-0.008
0.239,0.008,-0.008
0.243,0.009,-0.009
0.248,0.009,-0.009
0.252,0.01,-0.01
0.256,0.011,-0.011
0.261,0.012,-0.012
0.265,0.013,-0.013
0.269,0.014,-0.014
0.274,0.015,-0.015
0.278,0.016,-0.016
0.283,0.018,-0.018
0.289,0.02,-0.02
0.292,0.021,-0.021
0.297,0.023,-0.023
0.304,0.025,-0.025
0.311,0.027,-0.027
0.32,0.031,-0.031
0.334,0.036,-0.036
0.355,0.042,-0.042
0.37,0.044,-0.044
0.377,0.045,-0.045
0.383,0.045,-0.045
0.389,0.044,-0.045
0.394,0.044,-0.044
0.399,0.043,-0.043
0.403,0.042,-0.042
0.408,0.041,-0.041
0.412,0.04,-0.04
0.416,0.038,-0.038
0.421,0.036,-0.036
0.425,0.034,-0.034
0.43,0.032,-0.032
0.435,0.029,-0.029
0.44,0.026,-0.026
0.445,0.022,-0.022
0.45,0.018,-0.018
0.456,0.013,-0.013
0.462,0.008,-0.008
0.467,0.003,-0.003
0.475,-0.005,0.005
0.481,-0.012,0.012
0.488,-0.02,0.02
0.495,-0.029,0.029
0.504,-0.04,0.04
0.515,-0.055,0.055
0.531,-0.08,0.08
0.553,-0.114,0.114
0.56,-0.127,0.126
0.567,-0.137,0.137
0.573,-0.147,0.147
0.578,-0.156,0.156
0.583,-0.165,0.165
0.589,-0.174,0.174
0.594,-0.183,0.182
0.599,-0.191,0.191
0.604,-0.2,0.2
0.61,-0.209,0.209
0.615,-0.219,0.218
0.621,-0.228,0.228
0.627,-0.239,0.238
0.633,-0.25,0.25
0.64,-0.263,0.263
0.65,-0.279,0.279
0.663,-0.303,0.303
0.671,-0.319,0.319
0.683,-0.343,0.343
0.696,-0.368,0.368
0.702,-0.382,0.381
0.709,-0.397,0.396
0.715,-0.411,0.41
0.723,-0.429,0.429
0.728,-0.442,0.442
0.734,-0.455,0.455
0.739,-0.469,0.468
0.745,-0.483,0.482
0.751,-0.498,0.498
0.757,-0.515,0.514
0.764,-0.534,0.533
0.772,-0.557,0.556
0.783,-0.588,0.587
0.799,-0.636,0.636
0.823,-0.711,0.711
0.831,-0.737,0.736
0.838,-0.758,0.758
0.844,-0.778,0.778
0.85,-0.797,0.796
0.856,-0.816,0.815
0.863,-0.837,0.837
0.87,-0.861,0.861
0.879,-0.891,0.89
0.892,-0.936,0.936
0.913,-1.006,1.005
0.93,-1.071,1.07
0.942,-1.114,1.113
0.953,-1.155,1.154
0.964,-1.198,1.197
0.975,-1.243,1.242
0.988,-1.296,1.294
1.007,-1.377,1.375
1.036,-1.502,1.501
1.046,-1.544,1.543
1.054,-1.582,1.581
1.063,-1.621,1.62
1.074,-1.673,1.671
1.092,-1.752,1.75
1.117,-1.874,1.872
1.129,-1.93,1.928
1.139,-1.982,1.98
1.15,-2.038,2.036
1.165,-2.112,2.11
1.187,-2.226,2.223
1.199,-2.292,2.29
1.211,-2.356,2.354
1.221,-2.411,2.408
1.234,-2.481,2.478
1.242,-2.525,2.523
1.254,-2.592,2.59
1.272,-2.695,2.692
1.282,-2.751,2.748
1.291,-2.802,2.799
1.3,-2.856,2.853
1.303,-2.875,2.872
1.308,-2.904,2.9
1.315,-2.947,2.944
1.326,-3.013,3.01
1.342,-3.113,3.11
1.358,-3.212,3.208
1.368,-3.276,3.272
1.378,-3.337,3.333
1.389,-3.406,3.402
1.405,-3.508,3.504
1.429,-3.664,3.66
1.444,-3.765,3.761
1.457,-3.854,3.85
1.468,-3.928,3.924
1.484,-4.041,4.036
1.509,-4.213,4.208
1.53,-4.365,4.36
1.546,-4.481,4.476
1.57,-4.658,4.652
1.606,-4.929,4.923
1.642,-5.208,5.201
1.656,-5.315,5.308
1.676,-5.478,5.471
1.707,-5.726,5.719
1.753,-6.11,6.102
1.803,-6.539,6.53
1.821,-6.696,6.687
1.834,-6.811,6.802
1.847,-6.925,6.916
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.04,7.031
1.88,-7.21,7.201
1.909,-7.463,7.453
1.942,-7.749,7.739
1.99,-8.144,8.133
2.04,-8.551,8.539
2.09,-8.948,8.935
2.14,-9.336,9.322
2.19,-9.715,9.701
2.24,-10.085,10.07
2.29,-10.446,10.431
2.34,-10.8,10.783
2.374,-11.038,11.021
2.424,-11.378,11.36
2.474,-11.712,11.693
2.524,-12.038,12.019
2.574,-12.357,12.337
2.624,-12.67,12.649
2.674,-12.977,12.955
2.691,-13.08,13.058
2.704,-13.16,13.138
2.721,-13.26,13.238
2.746,-13.409,13.386
2.76,-13.496,13.472
2.771,-13.558,13.535
2.781,-13.616,13.592
2.791,-13.676,13.652
2.803,-13.745,13.721
2.821,-13.848,13.824
2.849,-14.002,13.977
2.861,-14.074,14.049
2.874,-14.145,14.12
2.889,-14.228,14.203
2.911,-14.352,14.326
2.944,-14.537,14.51
2.994,-14.808,14.781
3.014,-14.913,14.886
3.043,-15.069,15.041
3.078,-15.252,15.224
3.09,-15.316,15.287
3.102,-15.377,15.348
3.115,-15.444,15.415
3.134,-15.544,15.514
3.163,-15.692,15.663
3.179,-15.775,15.745
3.192,-15.842,15.812
3.205,-15.908,15.877
3.22,-15.98,15.95
3.239,-16.074,16.043
3.267,-16.214,16.183
3.309,-16.418,16.386
3.332,-16.53,16.498
3.367,-16.697,16.664
3.41,-16.9,16.867
3.46,-17.134,17.099
3.51,-17.364,17.329
3.56,-17.591,17.555
3.605,-17.793,17.756
3.655,-18.016,17.978
3.705,-18.235,18.196
3.72,-18.3,18.261
3.738,-18.38,18.341
3.766,-18.499,18.459
3.808,-18.676,18.636
3.833,-18.777,18.737
3.855,-18.873,18.832
3.881,-18.981,18.939
3.913,-19.114,19.072
3.962,-19.312,19.269
3.984,-19.403,19.359
4.016,-19.53,19.486
4.063,-19.719,19.674
4.113,-19.916,19.87
4.163,-20.111,20.065
4.213,-20.304,20.257
4.263,-20.495,20.447
4.31,-20.671,20.623
4.335,-20.766,20.716
4.373,-20.906,20.856
4.423,-21.088,21.038
4.467,-21.249,21.197
4.509,-21.402,21.349
4.559,-21.582,21.529
4.609,-21.761,21.707
4.659,-21.939,21.884
4.688,-22.038,21.983
4.716,-22.138,22.082
4.752,-22.261,22.204
4.802,-22.431,22.374
4.852,-22.601,22.543
4.902,-22.77,22.711
4.952,-22.937,22.878
5,-23.098,23.037
5.029,-23.191,23.13
5.072,-23.331,23.269
5.122,-23.493,23.43
5.172,-23.653,23.59
5.222,-23.812,23.748
5.272,-23.97,23.905
5.322,-24.127,24.061
5.372,-24.283,24.216
5.422,-24.438,24.371
5.472,-24.592,24.524
