# Simulation 5 (Up to date)
# 496 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.2e-5,-4.2e-5
0.051,1.447e-4,-1.447e-4
0.061,3.078e-4,-3.078e-4
0.071,5.335e-4,-5.335e-4
0.081,8.247e-4,-8.247e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.002,-0.002
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.005,-0.005
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.006,-0.006
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.235,0.007,-0.007
0.238,0.007,-0.007
0.242,0.008,-0.008
0.245,0.008,-0.008
0.248,0.009,-0.009
0.252,0.009,-0.009
0.255,0.01,-0.01
0.259,0.011,-0.011
0.263,0.012,-0.012
0.267,0.013,-0.013
0.271,0.014,-0.014
0.275,0.015,-0.015
0.279,0.016,-0.016
0.283,0.018,-0.018
0.288,0.02,-0.02
0.292,0.021,-0.021
0.297,0.023,-0.023
0.303,0.025,-0.025
0.31,0.028,-0.028
0.318,0.031,-0.031
0.328,0.035,-0.035
0.343,0.041,-0.041
0.367,0.047,-0.047
0.37,0.048,-0.048
0.375,0.049,-0.049
0.382,0.049,-0.049
0.388,0.049,-0.049
0.393,0.049,-0.049
0.398,0.048,-0.048
0.403,0.048,-0.048
0.407,0.047,-0.047
0.411,0.045,-0.045
0.415,0.044,-0.044
0.419,0.042,-0.043
0.423,0.041,-0.041
0.427,0.039,-0.039
0.43,0.037,-0.037
0.434,0.035,-0.035
0.438,0.032,-0.032
0.441,0.03,-0.03
0.445,0.027,-0.027
0.448,0.024,-0.024
0.452,0.021,-0.021
0.455,0.017,-0.018
0.459,0.014,-0.014
0.463,0.01,-0.01
0.467,0.006,-0.006
0.471,8.69e-4,-9.404e-4
0.475,-0.004,0.004
0.48,-0.01,0.01
0.485,-0.017,0.017
0.491,-0.025,0.025
0.497,-0.035,0.035
0.507,-0.049,0.049
0.52,-0.072,0.071
0.541,-0.108,0.108
0.551,-0.128,0.128
0.559,-0.142,0.142
0.565,-0.155,0.154
0.571,-0.165,0.165
0.576,-0.176,0.175
0.581,-0.185,0.185
0.586,-0.195,0.195
0.591,-0.204,0.204
0.595,-0.213,0.213
0.6,-0.222,0.222
0.604,-0.232,0.231
0.609,-0.241,0.241
0.614,-0.251,0.251
0.619,-0.261,0.261
0.625,-0.273,0.272
0.631,-0.285,0.285
0.638,-0.3,0.3
0.647,-0.319,0.319
0.661,-0.349,0.348
0.671,-0.371,0.37
0.686,-0.405,0.404
0.694,-0.425,0.424
0.702,-0.445,0.444
0.708,-0.46,0.459
0.714,-0.475,0.474
0.719,-0.49,0.489
0.723,-0.5,0.5
0.729,-0.516,0.515
0.734,-0.532,0.532
0.741,-0.55,0.55
0.747,-0.571,0.57
0.755,-0.595,0.594
0.766,-0.627,0.627
0.782,-0.678,0.678
0.805,-0.757,0.756
0.814,-0.787,0.786
0.822,-0.813,0.813
0.829,-0.838,0.838
0.836,-0.863,0.863
0.844,-0.889,0.889
0.85,-0.912,0.911
0.859,-0.944,0.943
0.87,-0.984,0.984
0.887,-1.047,1.046
0.912,-1.143,1.142
0.924,-1.19,1.189
0.933,-1.227,1.226
0.941,-1.262,1.261
0.949,-1.298,1.297
0.958,-1.336,1.335
0.971,-1.392,1.391
0.99,-1.477,1.476
1.008,-1.562,1.56
1.019,-1.613,1.611
1.03,-1.667,1.665
1.044,-1.735,1.733
1.063,-1.827,1.826
1.091,-1.971,1.969
1.103,-2.035,2.033
1.116,-2.104,2.102
1.136,-2.21,2.208
1.165,-2.374,2.371
1.178,-2.448,2.446
1.193,-2.535,2.532
1.211,-2.644,2.641
1.239,-2.812,2.809
1.242,-2.832,2.83
1.247,-2.863,2.86
1.254,-2.909,2.907
1.265,-2.98,2.977
1.281,-3.078,3.075
1.303,-3.224,3.221
1.326,-3.379,3.376
1.335,-3.44,3.437
1.344,-3.501,3.498
1.355,-3.572,3.569
1.37,-3.68,3.676
1.394,-3.844,3.84
1.402,-3.906,3.902
1.411,-3.966,3.962
1.419,-4.031,4.027
1.431,-4.114,4.109
1.447,-4.239,4.235
1.468,-4.395,4.39
1.475,-4.452,4.447
1.482,-4.503,4.498
1.489,-4.555,4.55
1.496,-4.611,4.606
1.505,-4.683,4.678
1.519,-4.79,4.785
1.539,-4.948,4.943
1.546,-5.006,5
1.553,-5.062,5.056
1.56,-5.122,5.116
1.569,-5.193,5.188
1.582,-5.302,5.296
1.602,-5.467,5.461
1.613,-5.563,5.557
1.623,-5.652,5.646
1.636,-5.76,5.754
1.656,-5.935,5.929
1.682,-6.164,6.156
1.695,-6.287,6.28
1.716,-6.475,6.467
1.747,-6.76,6.753
1.766,-6.937,6.929
1.792,-7.191,7.182
1.821,-7.469,7.46
1.834,-7.597,7.588
1.847,-7.725,7.716
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.853,7.843
1.88,-8.043,8.033
1.909,-8.325,8.315
1.951,-8.726,8.715
2.001,-9.187,9.175
2.051,-9.637,9.625
2.101,-10.078,10.065
2.151,-10.508,10.494
2.201,-10.929,10.914
2.251,-11.34,11.325
2.279,-11.565,11.549
2.289,-11.649,11.633
2.298,-11.718,11.701
2.307,-11.786,11.769
2.319,-11.883,11.866
2.337,-12.028,12.011
2.35,-12.129,12.112
2.36,-12.201,12.183
2.369,-12.272,12.255
2.379,-12.353,12.336
2.394,-12.469,12.451
2.417,-12.641,12.623
2.436,-12.785,12.766
2.449,-12.886,12.867
2.464,-12.998,12.979
2.487,-13.164,13.145
2.52,-13.411,13.391
2.532,-13.497,13.477
2.543,-13.573,13.553
2.554,-13.654,13.634
2.571,-13.774,13.754
2.596,-13.954,13.932
2.604,-14.013,13.992
2.612,-14.068,14.047
2.62,-14.124,14.103
2.629,-14.186,14.164
2.64,-14.263,14.241
2.657,-14.377,14.355
2.682,-14.548,14.525
2.694,-14.634,14.611
2.705,-14.707,14.685
2.716,-14.782,14.759
2.729,-14.867,14.844
2.747,-14.989,14.965
2.774,-15.17,15.146
2.815,-15.438,15.414
2.865,-15.762,15.736
2.907,-16.03,16.004
2.957,-16.344,16.317
2.978,-16.473,16.445
2.992,-16.561,16.533
3.006,-16.649,16.621
3.028,-16.781,16.753
3.057,-16.957,16.929
3.068,-17.024,16.995
3.08,-17.09,17.061
3.092,-17.163,17.134
3.107,-17.255,17.225
3.13,-17.392,17.362
3.15,-17.512,17.481
3.161,-17.575,17.544
3.171,-17.632,17.601
3.181,-17.688,17.658
3.191,-17.748,17.717
3.203,-17.817,17.786
3.219,-17.911,17.88
3.244,-18.05,18.019
3.272,-18.21,18.178
3.289,-18.301,18.269
3.305,-18.395,18.362
3.324,-18.499,18.466
3.345,-18.615,18.582
3.376,-18.789,18.755
3.423,-19.046,19.011
3.448,-19.18,19.145
3.465,-19.272,19.237
3.48,-19.353,19.317
3.495,-19.433,19.397
3.513,-19.525,19.489
3.539,-19.661,19.625
3.566,-19.804,19.767
3.584,-19.895,19.857
3.603,-19.997,19.959
3.629,-20.128,20.09
3.656,-20.271,20.232
3.698,-20.483,20.444
3.72,-20.597,20.557
3.748,-20.735,20.694
