# Simulation 29 (Up to date)
# 467 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,6.596e-5,-6.596e-5
0.051,2.28e-4,-2.28e-4
0.061,4.854e-4,-4.854e-4
0.071,8.377e-4,-8.377e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.004,-0.004
0.139,0.005,-0.005
0.149,0.005,-0.005
0.159,0.006,-0.006
0.169,0.007,-0.007
0.179,0.007,-0.007
0.189,0.008,-0.008
0.192,0.008,-0.008
0.196,0.008,-0.008
0.203,0.009,-0.009
0.209,0.009,-0.009
0.216,0.009,-0.009
0.224,0.01,-0.01
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.01,-0.01
0.234,0.01,-0.01
0.238,0.011,-0.011
0.241,0.011,-0.011
0.245,0.012,-0.012
0.248,0.012,-0.012
0.251,0.013,-0.013
0.255,0.014,-0.014
0.259,0.015,-0.015
0.262,0.016,-0.016
0.266,0.017,-0.017
0.27,0.018,-0.018
0.274,0.019,-0.019
0.278,0.021,-0.021
0.282,0.022,-0.022
0.287,0.024,-0.024
0.292,0.026,-0.026
0.297,0.029,-0.029
0.303,0.031,-0.031
0.311,0.034,-0.034
0.32,0.038,-0.038
0.333,0.044,-0.044
0.353,0.051,-0.051
0.366,0.054,-0.054
0.37,0.055,-0.055
0.376,0.055,-0.055
0.382,0.056,-0.056
0.387,0.056,-0.056
0.392,0.055,-0.056
0.397,0.055,-0.055
0.401,0.054,-0.054
0.406,0.053,-0.053
0.41,0.052,-0.052
0.414,0.051,-0.051
0.418,0.049,-0.049
0.422,0.047,-0.047
0.426,0.045,-0.045
0.43,0.043,-0.043
0.434,0.04,-0.041
0.438,0.038,-0.038
0.442,0.035,-0.035
0.446,0.032,-0.032
0.45,0.028,-0.028
0.454,0.024,-0.024
0.459,0.02,-0.02
0.464,0.015,-0.015
0.469,0.01,-0.01
0.475,0.002,-0.002
0.481,-0.005,0.005
0.488,-0.015,0.014
0.497,-0.027,0.027
0.511,-0.047,0.047
0.531,-0.08,0.08
0.548,-0.11,0.11
0.557,-0.126,0.126
0.565,-0.139,0.139
0.571,-0.151,0.151
0.577,-0.163,0.163
0.583,-0.174,0.173
0.589,-0.184,0.184
0.594,-0.195,0.195
0.6,-0.205,0.205
0.606,-0.216,0.216
0.611,-0.227,0.227
0.617,-0.238,0.238
0.623,-0.25,0.25
0.629,-0.263,0.263
0.636,-0.277,0.277
0.644,-0.293,0.293
0.655,-0.315,0.315
0.671,-0.35,0.35
0.69,-0.394,0.394
0.697,-0.41,0.41
0.702,-0.423,0.422
0.707,-0.436,0.436
0.713,-0.45,0.45
0.718,-0.464,0.464
0.723,-0.478,0.478
0.728,-0.493,0.493
0.734,-0.51,0.509
0.741,-0.528,0.527
0.748,-0.549,0.548
0.756,-0.575,0.575
0.768,-0.611,0.611
0.785,-0.668,0.667
0.811,-0.756,0.755
0.822,-0.792,0.791
0.831,-0.823,0.822
0.839,-0.853,0.852
0.85,-0.893,0.892
0.86,-0.928,0.927
0.87,-0.968,0.967
0.884,-1.02,1.019
0.905,-1.101,1.1
0.936,-1.229,1.228
0.948,-1.281,1.28
0.96,-1.333,1.332
0.973,-1.39,1.389
0.99,-1.469,1.467
1.015,-1.59,1.588
1.039,-1.707,1.706
1.053,-1.776,1.774
1.063,-1.827,1.825
1.078,-1.905,1.903
1.101,-2.024,2.022
1.135,-2.21,2.208
1.146,-2.276,2.274
1.158,-2.344,2.342
1.169,-2.409,2.407
1.18,-2.475,2.473
1.194,-2.556,2.554
1.211,-2.664,2.662
1.227,-2.767,2.764
1.234,-2.809,2.806
1.242,-2.859,2.857
1.248,-2.895,2.892
1.253,-2.932,2.929
1.26,-2.975,2.972
1.269,-3.033,3.03
1.283,-3.122,3.119
1.303,-3.255,3.252
1.31,-3.302,3.299
1.317,-3.347,3.343
1.323,-3.392,3.389
1.33,-3.443,3.439
1.339,-3.505,3.502
1.353,-3.6,3.596
1.373,-3.744,3.74
1.383,-3.815,3.811
1.391,-3.873,3.869
1.399,-3.931,3.927
1.407,-3.995,3.991
1.419,-4.082,4.078
1.437,-4.215,4.211
1.455,-4.352,4.348
1.465,-4.431,4.426
1.468,-4.452,4.447
1.472,-4.484,4.479
1.478,-4.532,4.527
1.487,-4.604,4.6
1.501,-4.714,4.709
1.522,-4.881,4.876
1.537,-5.005,5
1.552,-5.131,5.125
1.575,-5.321,5.315
1.605,-5.575,5.569
1.625,-5.749,5.742
1.656,-6.022,6.015
1.69,-6.332,6.325
1.712,-6.533,6.526
1.745,-6.839,6.831
1.758,-6.964,6.956
1.773,-7.106,7.098
1.795,-7.321,7.312
1.821,-7.57,7.561
1.834,-7.699,7.69
1.847,-7.828,7.818
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.956,7.947
1.88,-8.148,8.138
1.896,-8.311,8.301
1.917,-8.512,8.502
1.949,-8.81,8.8
1.981,-9.109,9.098
2.011,-9.391,9.379
2.057,-9.806,9.793
2.087,-10.076,10.063
2.133,-10.475,10.461
2.183,-10.901,10.887
2.233,-11.318,11.303
2.261,-11.543,11.527
2.302,-11.874,11.858
2.344,-12.211,12.194
2.372,-12.425,12.407
2.413,-12.741,12.723
2.436,-12.92,12.902
2.455,-13.059,13.04
2.483,-13.265,13.245
2.517,-13.514,13.494
2.538,-13.67,13.65
2.571,-13.902,13.882
2.619,-14.244,14.223
2.637,-14.369,14.348
2.651,-14.467,14.445
2.667,-14.578,14.556
2.692,-14.745,14.722
2.707,-14.849,14.826
2.719,-14.93,14.907
2.731,-15.012,14.989
2.746,-15.11,15.086
2.768,-15.256,15.232
2.801,-15.473,15.449
2.82,-15.597,15.572
2.84,-15.73,15.705
2.871,-15.928,15.902
2.918,-16.221,16.195
2.968,-16.531,16.504
2.992,-16.675,16.648
3.014,-16.813,16.786
3.049,-17.018,16.99
3.066,-17.122,17.094
3.078,-17.195,17.166
3.09,-17.262,17.233
3.101,-17.332,17.303
3.116,-17.417,17.388
3.137,-17.544,17.514
3.155,-17.649,17.619
3.166,-17.712,17.682
3.177,-17.772,17.742
3.188,-17.835,17.805
3.2,-17.906,17.875
3.217,-18,17.969
3.241,-18.139,18.107
3.276,-18.332,18.3
3.295,-18.436,18.404
3.317,-18.555,18.523
3.341,-18.687,18.654
3.375,-18.876,18.842
3.399,-19.007,18.973
3.412,-19.073,19.038
3.425,-19.145,19.111
3.443,-19.24,19.205
3.47,-19.38,19.345
3.51,-19.589,19.553
3.56,-19.845,19.809
3.59,-19.997,19.96
3.635,-20.223,20.185
3.685,-20.472,20.433
3.735,-20.718,20.678
3.785,-20.961,20.92
3.824,-21.152,21.111
3.856,-21.302,21.26
3.904,-21.524,21.482
3.954,-21.755,21.712
4.004,-21.984,21.939
4.054,-22.21,22.165
4.08,-22.326,22.281
4.119,-22.5,22.454
4.169,-22.721,22.674
4.219,-22.94,22.893
4.269,-23.157,23.108
4.319,-23.371,23.321
4.349,-23.499,23.449
4.377,-23.616,23.566
4.419,-23.791,23.74
4.469,-23.998,23.946
4.508,-24.159,24.106
4.545,-24.312,24.258
4.595,-24.516,24.462
4.645,-24.719,24.664
4.683,-24.87,24.815
4.706,-24.964,24.908
4.727,-25.047,24.991
4.749,-25.131,25.074
4.771,-25.22,25.162
4.804,-25.344,25.287
4.852,-25.53,25.472
