# Simulation 64 (Up to date)
# 478 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.457e-5,-5.457e-5
0.051,1.863e-4,-1.863e-4
0.061,3.926e-4,-3.926e-4
0.071,6.727e-4,-6.727e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.005,-0.005
0.169,0.005,-0.005
0.179,0.006,-0.006
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.007,-0.007
0.209,0.007,-0.007
0.216,0.007,-0.007
0.224,0.008,-0.008
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.235,0.008,-0.008
0.238,0.009,-0.009
0.242,0.009,-0.009
0.245,0.009,-0.009
0.248,0.01,-0.01
0.252,0.011,-0.011
0.255,0.011,-0.011
0.259,0.012,-0.012
0.263,0.013,-0.013
0.267,0.014,-0.014
0.271,0.015,-0.015
0.275,0.017,-0.017
0.279,0.018,-0.018
0.283,0.02,-0.02
0.288,0.021,-0.021
0.292,0.023,-0.023
0.297,0.025,-0.025
0.303,0.027,-0.027
0.31,0.03,-0.03
0.319,0.034,-0.034
0.332,0.039,-0.039
0.352,0.046,-0.046
0.364,0.048,-0.048
0.37,0.049,-0.049
0.377,0.05,-0.05
0.383,0.05,-0.05
0.388,0.05,-0.05
0.394,0.049,-0.049
0.398,0.049,-0.049
0.403,0.048,-0.048
0.407,0.047,-0.047
0.412,0.045,-0.045
0.416,0.044,-0.044
0.42,0.042,-0.042
0.424,0.04,-0.04
0.428,0.038,-0.038
0.432,0.036,-0.036
0.435,0.033,-0.033
0.439,0.03,-0.03
0.443,0.028,-0.028
0.447,0.024,-0.025
0.45,0.021,-0.021
0.454,0.018,-0.018
0.458,0.014,-0.014
0.463,0.009,-0.01
0.467,0.005,-0.005
0.472,-5.786e-4,5.1e-4
0.475,-0.005,0.005
0.48,-0.011,0.011
0.486,-0.019,0.019
0.494,-0.029,0.029
0.504,-0.044,0.044
0.519,-0.068,0.068
0.543,-0.107,0.107
0.552,-0.123,0.123
0.559,-0.136,0.136
0.565,-0.148,0.147
0.571,-0.158,0.157
0.576,-0.167,0.167
0.581,-0.176,0.176
0.586,-0.185,0.185
0.591,-0.193,0.193
0.595,-0.202,0.202
0.6,-0.21,0.21
0.604,-0.219,0.219
0.609,-0.228,0.228
0.615,-0.238,0.238
0.62,-0.248,0.248
0.627,-0.261,0.26
0.634,-0.275,0.275
0.645,-0.296,0.296
0.661,-0.328,0.327
0.671,-0.348,0.348
0.686,-0.38,0.38
0.699,-0.411,0.41
0.702,-0.417,0.417
0.706,-0.427,0.427
0.712,-0.442,0.442
0.72,-0.461,0.461
0.723,-0.468,0.468
0.727,-0.479,0.479
0.733,-0.495,0.495
0.74,-0.513,0.513
0.747,-0.532,0.531
0.754,-0.551,0.551
0.762,-0.574,0.574
0.771,-0.602,0.602
0.786,-0.645,0.645
0.807,-0.712,0.712
0.823,-0.766,0.765
0.833,-0.799,0.798
0.842,-0.829,0.828
0.85,-0.855,0.855
0.859,-0.886,0.885
0.868,-0.917,0.916
0.878,-0.952,0.951
0.89,-0.994,0.993
0.908,-1.06,1.059
0.935,-1.162,1.161
0.945,-1.203,1.202
0.954,-1.24,1.239
0.962,-1.274,1.273
0.971,-1.309,1.308
0.98,-1.347,1.346
0.99,-1.391,1.39
1.004,-1.455,1.453
1.026,-1.553,1.551
1.04,-1.619,1.618
1.049,-1.664,1.662
1.058,-1.704,1.703
1.063,-1.729,1.727
1.071,-1.766,1.764
1.081,-1.818,1.816
1.097,-1.896,1.895
1.121,-2.017,2.015
1.134,-2.084,2.082
1.144,-2.138,2.135
1.154,-2.19,2.188
1.165,-2.249,2.247
1.179,-2.325,2.323
1.199,-2.442,2.439
1.211,-2.508,2.506
1.226,-2.593,2.59
1.236,-2.654,2.652
1.242,-2.69,2.687
1.251,-2.743,2.74
1.264,-2.823,2.82
1.285,-2.945,2.942
1.303,-3.059,3.056
1.319,-3.159,3.156
1.336,-3.266,3.262
1.361,-3.43,3.426
1.39,-3.625,3.621
1.404,-3.719,3.715
1.424,-3.86,3.856
1.455,-4.077,4.072
1.468,-4.171,4.166
1.485,-4.296,4.291
1.511,-4.488,4.483
1.545,-4.746,4.74
1.595,-5.139,5.133
1.645,-5.547,5.54
1.656,-5.641,5.634
1.673,-5.783,5.776
1.698,-5.998,5.991
1.724,-6.228,6.22
1.763,-6.567,6.559
1.78,-6.722,6.714
1.793,-6.838,6.829
1.81,-6.995,6.986
1.821,-7.101,7.092
1.834,-7.223,7.213
1.847,-7.344,7.335
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.465,7.456
1.88,-7.646,7.636
1.909,-7.913,7.903
1.932,-8.126,8.115
1.968,-8.44,8.429
2.01,-8.808,8.796
2.039,-9.057,9.044
2.06,-9.24,9.227
2.093,-9.512,9.499
2.105,-9.608,9.595
2.121,-9.74,9.726
2.145,-9.936,9.921
2.16,-10.058,10.043
2.173,-10.162,10.147
2.189,-10.286,10.272
2.212,-10.472,10.456
2.232,-10.632,10.616
2.244,-10.724,10.708
2.257,-10.823,10.807
2.277,-10.972,10.955
2.299,-11.142,11.125
2.31,-11.227,11.21
2.322,-11.314,11.297
2.337,-11.423,11.406
2.359,-11.587,11.569
2.392,-11.828,11.81
2.41,-11.961,11.943
2.426,-12.077,12.058
2.441,-12.187,12.168
2.463,-12.337,12.318
2.495,-12.561,12.542
2.507,-12.647,12.628
2.523,-12.756,12.736
2.547,-12.918,12.898
2.567,-13.06,13.039
2.599,-13.27,13.248
2.623,-13.434,13.412
2.66,-13.677,13.655
2.694,-13.894,13.871
2.714,-14.023,14
2.733,-14.147,14.124
2.762,-14.332,14.308
2.805,-14.605,14.581
2.832,-14.772,14.747
2.849,-14.873,14.848
2.868,-14.986,14.96
2.894,-15.145,15.119
2.934,-15.381,15.354
2.95,-15.478,15.451
2.965,-15.567,15.54
2.98,-15.656,15.628
2.998,-15.763,15.735
3.026,-15.923,15.895
3.067,-16.16,16.132
3.087,-16.274,16.245
3.11,-16.405,16.376
3.145,-16.599,16.569
3.195,-16.875,16.844
3.245,-17.147,17.115
3.295,-17.415,17.382
3.345,-17.679,17.646
3.395,-17.941,17.906
3.445,-18.199,18.164
3.495,-18.453,18.417
3.512,-18.539,18.503
3.536,-18.658,18.622
3.572,-18.836,18.799
3.608,-19.01,18.973
3.646,-19.196,19.158
3.696,-19.438,19.399
3.738,-19.643,19.603
3.788,-19.879,19.839
3.803,-19.947,19.906
3.816,-20.009,19.968
3.831,-20.077,20.036
3.849,-20.161,20.119
3.877,-20.286,20.244
3.918,-20.473,20.43
3.935,-20.551,20.508
3.953,-20.628,20.585
3.971,-20.71,20.667
3.99,-20.796,20.752
4.012,-20.897,20.852
4.046,-21.047,21.002
4.096,-21.268,21.222
4.111,-21.336,21.29
4.129,-21.413,21.367
4.156,-21.529,21.482
4.196,-21.702,21.654
4.229,-21.842,21.794
4.279,-22.05,22.002
4.329,-22.26,22.21
4.377,-22.46,22.409
4.406,-22.58,22.529
4.436,-22.701,22.65
4.481,-22.88,22.828
4.531,-23.079,23.026
4.567,-23.221,23.167
4.598,-23.344,23.29
4.627,-23.457,23.403
4.657,-23.575,23.52
