# Simulation 43 (Up to date)
# 483 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.458e-5,-5.458e-5
0.051,1.889e-4,-1.889e-4
0.061,4.026e-4,-4.026e-4
0.071,6.938e-4,-6.939e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.005,-0.005
0.169,0.005,-0.005
0.179,0.006,-0.006
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.007,-0.007
0.203,0.007,-0.007
0.209,0.007,-0.007
0.216,0.008,-0.008
0.224,0.008,-0.008
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.235,0.009,-0.009
0.238,0.009,-0.009
0.242,0.009,-0.009
0.248,0.01,-0.01
0.252,0.011,-0.011
0.256,0.012,-0.012
0.26,0.012,-0.012
0.264,0.013,-0.013
0.268,0.015,-0.015
0.272,0.016,-0.016
0.276,0.017,-0.017
0.281,0.019,-0.019
0.286,0.02,-0.02
0.292,0.022,-0.022
0.298,0.024,-0.024
0.304,0.027,-0.027
0.311,0.03,-0.03
0.321,0.033,-0.033
0.334,0.038,-0.038
0.355,0.045,-0.045
0.367,0.047,-0.047
0.37,0.047,-0.047
0.374,0.048,-0.048
0.38,0.048,-0.048
0.386,0.048,-0.048
0.391,0.048,-0.048
0.395,0.047,-0.047
0.4,0.047,-0.047
0.404,0.046,-0.046
0.408,0.044,-0.044
0.413,0.043,-0.043
0.417,0.041,-0.042
0.421,0.04,-0.04
0.425,0.038,-0.038
0.429,0.035,-0.035
0.434,0.033,-0.033
0.438,0.03,-0.03
0.442,0.027,-0.027
0.447,0.023,-0.023
0.452,0.019,-0.019
0.457,0.014,-0.015
0.462,0.009,-0.009
0.468,0.004,-0.004
0.475,-0.004,0.004
0.482,-0.012,0.012
0.49,-0.023,0.023
0.502,-0.038,0.038
0.519,-0.062,0.062
0.544,-0.103,0.103
0.555,-0.121,0.121
0.564,-0.136,0.135
0.571,-0.148,0.148
0.578,-0.161,0.16
0.585,-0.172,0.172
0.591,-0.184,0.184
0.598,-0.195,0.195
0.605,-0.207,0.207
0.611,-0.22,0.22
0.618,-0.233,0.232
0.626,-0.246,0.246
0.634,-0.262,0.262
0.643,-0.28,0.28
0.656,-0.306,0.306
0.671,-0.336,0.336
0.693,-0.384,0.384
0.702,-0.405,0.404
0.709,-0.422,0.421
0.716,-0.438,0.437
0.723,-0.456,0.456
0.729,-0.472,0.471
0.735,-0.488,0.487
0.741,-0.504,0.504
0.748,-0.522,0.522
0.755,-0.543,0.542
0.764,-0.568,0.567
0.776,-0.605,0.605
0.795,-0.663,0.663
0.812,-0.716,0.715
0.821,-0.746,0.745
0.829,-0.773,0.772
0.837,-0.799,0.798
0.845,-0.825,0.825
0.85,-0.842,0.841
0.858,-0.868,0.867
0.868,-0.903,0.902
0.882,-0.953,0.952
0.904,-1.029,1.028
0.929,-1.123,1.122
0.941,-1.171,1.17
0.953,-1.218,1.217
0.966,-1.268,1.267
0.978,-1.319,1.318
0.992,-1.38,1.379
1.014,-1.474,1.473
1.046,-1.62,1.618
1.057,-1.668,1.667
1.063,-1.697,1.696
1.073,-1.742,1.74
1.084,-1.795,1.793
1.099,-1.868,1.867
1.123,-1.981,1.979
1.149,-2.114,2.112
1.165,-2.195,2.193
1.18,-2.276,2.274
1.202,-2.393,2.391
1.211,-2.441,2.438
1.224,-2.513,2.51
1.234,-2.57,2.567
1.242,-2.612,2.609
1.25,-2.659,2.657
1.26,-2.711,2.709
1.274,-2.79,2.787
1.294,-2.91,2.907
1.303,-2.96,2.957
1.311,-3.01,3.007
1.32,-3.062,3.058
1.33,-3.121,3.118
1.344,-3.206,3.202
1.364,-3.335,3.332
1.386,-3.472,3.468
1.402,-3.574,3.57
1.425,-3.728,3.724
1.46,-3.957,3.953
1.468,-4.013,4.009
1.48,-4.098,4.093
1.499,-4.227,4.222
1.514,-4.332,4.327
1.536,-4.49,4.485
1.57,-4.734,4.728
1.595,-4.917,4.911
1.632,-5.198,5.192
1.656,-5.387,5.38
1.693,-5.677,5.67
1.71,-5.818,5.811
1.736,-6.032,6.024
1.749,-6.138,6.13
1.762,-6.248,6.24
1.779,-6.387,6.379
1.804,-6.599,6.59
1.821,-6.744,6.735
1.834,-6.857,6.848
1.847,-6.97,6.961
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.083,7.074
1.88,-7.251,7.241
1.894,-7.378,7.368
1.913,-7.539,7.529
1.942,-7.778,7.768
1.97,-8.004,7.993
1.985,-8.128,8.117
2.004,-8.288,8.276
2.034,-8.524,8.512
2.044,-8.602,8.59
2.055,-8.687,8.675
2.068,-8.795,8.782
2.089,-8.955,8.942
2.12,-9.192,9.179
2.13,-9.263,9.249
2.139,-9.332,9.318
2.149,-9.411,9.397
2.165,-9.53,9.516
2.189,-9.706,9.692
2.205,-9.823,9.809
2.219,-9.925,9.91
2.236,-10.053,10.038
2.263,-10.243,10.228
2.297,-10.48,10.464
2.342,-10.799,10.782
2.392,-11.139,11.121
2.423,-11.341,11.323
2.468,-11.64,11.621
2.482,-11.731,11.712
2.493,-11.8,11.781
2.504,-11.868,11.849
2.519,-11.968,11.949
2.542,-12.116,12.096
2.55,-12.166,12.146
2.557,-12.21,12.19
2.565,-12.26,12.24
2.575,-12.322,12.302
2.59,-12.414,12.393
2.613,-12.551,12.53
2.624,-12.62,12.599
2.633,-12.673,12.652
2.641,-12.724,12.702
2.65,-12.776,12.754
2.659,-12.834,12.812
2.674,-12.921,12.899
2.695,-13.051,13.029
2.708,-13.128,13.105
2.72,-13.196,13.173
2.733,-13.272,13.25
2.752,-13.384,13.361
2.781,-13.55,13.526
2.802,-13.67,13.646
2.819,-13.768,13.743
2.844,-13.909,13.885
2.882,-14.119,14.094
2.894,-14.184,14.159
2.905,-14.244,14.218
2.917,-14.31,14.284
2.935,-14.409,14.383
2.963,-14.557,14.531
2.979,-14.641,14.614
2.992,-14.714,14.687
3.007,-14.791,14.763
3.025,-14.889,14.861
3.053,-15.035,15.007
3.095,-15.251,15.222
3.119,-15.377,15.348
3.142,-15.49,15.46
3.169,-15.626,15.597
3.21,-15.829,15.799
3.23,-15.926,15.895
3.248,-16.016,15.985
3.27,-16.124,16.092
3.303,-16.283,16.251
3.325,-16.389,16.357
3.344,-16.476,16.444
3.364,-16.571,16.538
3.394,-16.711,16.677
3.435,-16.897,16.863
3.473,-17.071,17.036
3.523,-17.297,17.262
3.573,-17.52,17.483
3.623,-17.739,17.701
3.673,-17.954,17.916
3.716,-18.141,18.102
3.737,-18.226,18.187
3.765,-18.345,18.305
3.807,-18.521,18.481
3.857,-18.728,18.687
3.877,-18.811,18.77
3.896,-18.887,18.846
3.915,-18.967,18.925
3.936,-19.05,19.007
3.96,-19.143,19.1
3.995,-19.281,19.238
4.045,-19.475,19.431
4.063,-19.544,19.5
4.079,-19.606,19.561
4.094,-19.666,19.621
4.11,-19.728,19.683
4.13,-19.804,19.758
4.159,-19.917,19.871
4.203,-20.085,20.038
4.253,-20.275,20.227
4.287,-20.403,20.355
4.314,-20.506,20.458
4.339,-20.597,20.548
4.362,-20.681,20.631
4.383,-20.758,20.708
4.404,-20.831,20.781
4.425,-20.909,20.858
4.457,-21.022,20.971
4.506,-21.191,21.139
