# Simulation 28 (Up to date)
# 446 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.822e-5,-4.822e-5
0.051,1.663e-4,-1.663e-4
0.061,3.531e-4,-3.531e-4
0.071,6.066e-4,-6.066e-4
0.081,9.251e-4,-9.251e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.235,0.007,-0.007
0.238,0.008,-0.008
0.242,0.008,-0.008
0.248,0.009,-0.009
0.252,0.01,-0.01
0.255,0.01,-0.01
0.259,0.011,-0.011
0.263,0.012,-0.012
0.267,0.013,-0.013
0.271,0.014,-0.014
0.275,0.015,-0.015
0.28,0.017,-0.017
0.284,0.018,-0.018
0.289,0.02,-0.02
0.292,0.021,-0.021
0.296,0.023,-0.023
0.302,0.025,-0.025
0.309,0.028,-0.028
0.317,0.031,-0.031
0.327,0.035,-0.035
0.343,0.041,-0.041
0.366,0.047,-0.047
0.37,0.047,-0.047
0.375,0.048,-0.048
0.382,0.048,-0.048
0.387,0.048,-0.048
0.392,0.048,-0.048
0.397,0.048,-0.048
0.401,0.047,-0.047
0.405,0.046,-0.046
0.409,0.045,-0.045
0.413,0.043,-0.043
0.417,0.042,-0.042
0.421,0.04,-0.04
0.425,0.038,-0.038
0.428,0.036,-0.036
0.432,0.034,-0.034
0.436,0.032,-0.032
0.44,0.029,-0.029
0.444,0.026,-0.026
0.447,0.023,-0.023
0.451,0.019,-0.019
0.456,0.015,-0.016
0.46,0.011,-0.011
0.464,0.007,-0.007
0.469,0.001,-0.002
0.475,-0.005,0.005
0.481,-0.013,0.012
0.487,-0.021,0.021
0.496,-0.033,0.033
0.509,-0.051,0.051
0.527,-0.081,0.081
0.545,-0.111,0.111
0.554,-0.126,0.126
0.561,-0.139,0.138
0.567,-0.15,0.15
0.573,-0.161,0.161
0.579,-0.172,0.172
0.585,-0.183,0.182
0.591,-0.193,0.193
0.597,-0.204,0.204
0.603,-0.216,0.215
0.609,-0.227,0.227
0.616,-0.24,0.239
0.622,-0.253,0.253
0.63,-0.268,0.267
0.639,-0.285,0.284
0.65,-0.307,0.307
0.667,-0.343,0.342
0.671,-0.351,0.35
0.677,-0.363,0.363
0.685,-0.382,0.382
0.698,-0.412,0.411
0.702,-0.421,0.42
0.708,-0.434,0.434
0.716,-0.456,0.455
0.723,-0.473,0.472
0.731,-0.493,0.493
0.739,-0.515,0.515
0.748,-0.539,0.538
0.757,-0.566,0.566
0.769,-0.599,0.599
0.784,-0.645,0.645
0.807,-0.717,0.717
0.834,-0.809,0.808
0.845,-0.844,0.843
0.85,-0.862,0.861
0.858,-0.889,0.888
0.869,-0.927,0.927
0.884,-0.981,0.98
0.906,-1.065,1.064
0.935,-1.177,1.176
0.954,-1.255,1.254
0.977,-1.35,1.349
1.011,-1.501,1.499
1.063,-1.746,1.744
1.113,-1.997,1.995
1.151,-2.199,2.197
1.201,-2.478,2.476
1.211,-2.536,2.533
1.226,-2.624,2.621
1.242,-2.717,2.715
1.266,-2.861,2.858
1.283,-2.966,2.963
1.3,-3.074,3.071
1.303,-3.092,3.089
1.307,-3.119,3.116
1.314,-3.16,3.157
1.323,-3.222,3.219
1.338,-3.316,3.313
1.351,-3.404,3.401
1.364,-3.491,3.488
1.383,-3.615,3.611
1.411,-3.805,3.801
1.441,-4.017,4.013
1.468,-4.211,4.207
1.497,-4.424,4.419
1.515,-4.557,4.552
1.541,-4.76,4.754
1.561,-4.918,4.913
1.587,-5.12,5.114
1.625,-5.43,5.424
1.647,-5.609,5.603
1.656,-5.687,5.681
1.67,-5.805,5.798
1.683,-5.916,5.91
1.694,-6.007,6
1.706,-6.114,6.106
1.724,-6.274,6.267
1.752,-6.519,6.511
1.769,-6.672,6.664
1.782,-6.792,6.784
1.801,-6.964,6.955
1.821,-7.148,7.139
1.834,-7.27,7.261
1.847,-7.392,7.382
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.513,7.504
1.88,-7.694,7.685
1.909,-7.962,7.952
1.953,-8.357,8.346
2.003,-8.797,8.785
2.053,-9.225,9.212
2.103,-9.643,9.63
2.148,-10.015,10.001
2.17,-10.192,10.178
2.203,-10.454,10.44
2.233,-10.691,10.676
2.246,-10.793,10.778
2.258,-10.88,10.864
2.274,-11.004,10.989
2.299,-11.19,11.174
2.313,-11.296,11.279
2.324,-11.378,11.361
2.335,-11.463,11.447
2.35,-11.575,11.558
2.373,-11.741,11.724
2.407,-11.987,11.969
2.437,-12.201,12.182
2.482,-12.517,12.498
2.532,-12.862,12.842
2.582,-13.2,13.179
2.632,-13.531,13.51
2.682,-13.856,13.834
2.732,-14.174,14.151
2.782,-14.487,14.463
2.832,-14.795,14.77
2.874,-15.051,15.026
2.924,-15.349,15.323
2.968,-15.61,15.584
3.018,-15.899,15.871
3.068,-16.182,16.153
3.097,-16.342,16.313
3.109,-16.41,16.381
3.123,-16.485,16.455
3.141,-16.587,16.557
3.168,-16.738,16.708
3.209,-16.961,16.93
3.228,-17.065,17.034
3.249,-17.175,17.143
3.278,-17.329,17.297
3.305,-17.473,17.44
3.344,-17.672,17.638
3.394,-17.928,17.894
3.413,-18.03,17.995
3.429,-18.107,18.072
3.442,-18.178,18.143
3.457,-18.251,18.216
3.476,-18.349,18.314
3.505,-18.496,18.46
3.527,-18.607,18.57
3.539,-18.662,18.626
3.548,-18.711,18.674
3.558,-18.756,18.719
3.568,-18.804,18.768
3.579,-18.86,18.823
3.594,-18.931,18.894
3.616,-19.037,18.999
3.649,-19.195,19.156
3.675,-19.316,19.278
3.69,-19.387,19.348
3.703,-19.451,19.412
3.717,-19.517,19.478
3.735,-19.601,19.561
3.762,-19.726,19.686
3.802,-19.913,19.872
3.852,-20.144,20.102
3.897,-20.348,20.305
3.947,-20.573,20.53
3.997,-20.796,20.752
4.038,-20.98,20.935
4.063,-21.085,21.04
4.087,-21.191,21.146
4.119,-21.325,21.279
4.166,-21.524,21.477
4.216,-21.734,21.687
4.253,-21.89,21.841
4.275,-21.983,21.935
4.3,-22.085,22.036
4.33,-22.212,22.162
4.376,-22.401,22.351
4.426,-22.606,22.554
4.455,-22.722,22.67
4.489,-22.86,22.808
4.525,-23.003,22.95
4.566,-23.163,23.11
4.602,-23.305,23.251
4.63,-23.414,23.359
4.673,-23.577,23.521
4.723,-23.766,23.71
4.773,-23.955,23.898
4.822,-24.14,24.082
4.872,-24.327,24.268
4.922,-24.512,24.452
4.972,-24.696,24.635
5.022,-24.878,24.817
5.072,-25.059,24.996
5.122,-25.237,25.174
5.172,-25.414,25.35
5.222,-25.59,25.525
5.272,-25.763,25.698
5.322,-25.936,25.869
5.372,-26.106,26.039
5.422,-26.276,26.208
5.472,-26.444,26.375
5.522,-26.611,26.541
5.572,-26.777,26.707
5.622,-26.942,26.871
5.672,-27.106,27.034
5.722,-27.269,27.196
5.772,-27.431,27.357
5.822,-27.592,27.517
# Event APOGEE occurred at t=5.872 seconds
5.872,-27.751,27.676
5.921,-27.906,27.83
