# Simulation 57 (Up to date)
# 464 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.901e-5,-4.901e-5
0.051,1.706e-4,-1.706e-4
0.061,3.654e-4,-3.654e-4
0.071,6.325e-4,-6.325e-4
0.081,9.711e-4,-9.712e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.007,-0.007
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.235,0.008,-0.008
0.238,0.008,-0.008
0.242,0.009,-0.009
0.248,0.009,-0.009
0.252,0.01,-0.01
0.256,0.011,-0.011
0.26,0.012,-0.012
0.264,0.013,-0.013
0.268,0.014,-0.014
0.272,0.015,-0.015
0.276,0.016,-0.016
0.281,0.018,-0.018
0.286,0.019,-0.019
0.292,0.021,-0.021
0.298,0.024,-0.024
0.304,0.026,-0.026
0.311,0.029,-0.029
0.32,0.032,-0.032
0.333,0.037,-0.037
0.354,0.043,-0.043
0.37,0.046,-0.046
0.378,0.047,-0.047
0.384,0.047,-0.047
0.39,0.047,-0.047
0.395,0.047,-0.047
0.4,0.046,-0.046
0.405,0.045,-0.045
0.41,0.044,-0.044
0.414,0.042,-0.042
0.418,0.04,-0.04
0.422,0.039,-0.039
0.426,0.037,-0.037
0.43,0.034,-0.035
0.434,0.032,-0.032
0.438,0.03,-0.03
0.442,0.027,-0.027
0.446,0.024,-0.024
0.45,0.021,-0.021
0.454,0.017,-0.017
0.458,0.013,-0.013
0.462,0.009,-0.009
0.467,0.005,-0.005
0.471,-4.675e-4,3.99e-4
0.475,-0.004,0.004
0.48,-0.011,0.011
0.486,-0.018,0.018
0.493,-0.028,0.028
0.503,-0.041,0.041
0.517,-0.061,0.061
0.538,-0.095,0.095
0.548,-0.112,0.112
0.555,-0.124,0.124
0.561,-0.135,0.135
0.567,-0.145,0.145
0.573,-0.155,0.155
0.578,-0.164,0.164
0.583,-0.173,0.173
0.588,-0.182,0.182
0.593,-0.191,0.19
0.598,-0.2,0.199
0.603,-0.209,0.209
0.608,-0.218,0.218
0.614,-0.228,0.228
0.619,-0.238,0.238
0.625,-0.249,0.248
0.632,-0.26,0.26
0.639,-0.274,0.273
0.648,-0.29,0.29
0.661,-0.315,0.315
0.671,-0.335,0.335
0.686,-0.366,0.366
0.694,-0.383,0.383
0.702,-0.401,0.401
0.708,-0.414,0.413
0.713,-0.427,0.427
0.719,-0.442,0.441
0.723,-0.451,0.451
0.729,-0.465,0.465
0.736,-0.484,0.484
0.745,-0.508,0.507
0.757,-0.541,0.54
0.775,-0.593,0.593
0.803,-0.676,0.675
0.821,-0.732,0.732
0.835,-0.779,0.778
0.85,-0.827,0.826
0.869,-0.891,0.89
0.892,-0.971,0.97
0.926,-1.097,1.096
0.938,-1.146,1.145
0.948,-1.186,1.185
0.957,-1.223,1.222
0.968,-1.267,1.266
0.984,-1.334,1.333
1.007,-1.438,1.436
1.021,-1.501,1.5
1.03,-1.543,1.541
1.039,-1.581,1.58
1.047,-1.62,1.618
1.056,-1.662,1.661
1.063,-1.696,1.694
1.074,-1.746,1.745
1.089,-1.824,1.822
1.106,-1.908,1.906
1.116,-1.956,1.954
1.124,-2.001,1.999
1.133,-2.046,2.044
1.143,-2.097,2.095
1.155,-2.164,2.162
1.173,-2.267,2.265
1.201,-2.426,2.423
1.211,-2.482,2.479
1.224,-2.557,2.554
1.242,-2.665,2.662
1.269,-2.83,2.828
1.284,-2.925,2.922
1.297,-3.005,3.002
1.303,-3.043,3.039
1.312,-3.1,3.097
1.325,-3.187,3.184
1.345,-3.32,3.316
1.357,-3.4,3.396
1.368,-3.475,3.471
1.381,-3.563,3.559
1.401,-3.696,3.692
1.43,-3.901,3.897
1.441,-3.978,3.974
1.452,-4.062,4.057
1.468,-4.18,4.175
1.492,-4.36,4.355
1.502,-4.437,4.432
1.513,-4.517,4.512
1.528,-4.638,4.633
1.552,-4.823,4.818
1.564,-4.918,4.913
1.579,-5.043,5.037
1.603,-5.233,5.226
1.624,-5.408,5.402
1.648,-5.614,5.607
1.656,-5.68,5.674
1.668,-5.78,5.773
1.685,-5.932,5.925
1.704,-6.099,6.091
1.732,-6.353,6.345
1.775,-6.743,6.734
1.784,-6.831,6.822
1.794,-6.918,6.909
1.805,-7.027,7.018
1.821,-7.175,7.166
1.834,-7.299,7.29
1.847,-7.424,7.414
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.548,7.539
1.878,-7.721,7.711
1.905,-7.976,7.966
1.924,-8.152,8.142
1.953,-8.413,8.402
1.975,-8.615,8.603
2.008,-8.913,8.901
2.029,-9.094,9.082
2.046,-9.239,9.227
2.071,-9.454,9.442
2.097,-9.681,9.668
2.116,-9.836,9.823
2.143,-10.066,10.052
2.179,-10.361,10.346
2.229,-10.763,10.748
2.27,-11.082,11.066
2.299,-11.308,11.292
2.316,-11.443,11.426
2.343,-11.644,11.627
2.358,-11.759,11.741
2.375,-11.883,11.865
2.399,-12.067,12.049
2.43,-12.295,12.276
2.477,-12.631,12.611
2.498,-12.781,12.762
2.517,-12.917,12.898
2.546,-13.12,13.099
2.557,-13.198,13.178
2.568,-13.272,13.252
2.579,-13.353,13.332
2.595,-13.459,13.438
2.618,-13.618,13.596
2.638,-13.752,13.73
2.65,-13.831,13.81
2.662,-13.91,13.888
2.678,-14.019,13.997
2.703,-14.183,14.16
2.728,-14.343,14.32
2.761,-14.558,14.535
2.811,-14.876,14.852
2.861,-15.19,15.164
2.895,-15.402,15.376
2.945,-15.705,15.678
2.995,-16.003,15.976
3.045,-16.297,16.269
3.091,-16.563,16.534
3.141,-16.849,16.819
3.191,-17.13,17.099
3.211,-17.24,17.208
3.233,-17.359,17.328
3.266,-17.537,17.505
3.294,-17.689,17.656
3.307,-17.759,17.726
3.319,-17.827,17.794
3.334,-17.907,17.874
3.355,-18.021,17.987
3.387,-18.19,18.156
3.401,-18.263,18.229
3.412,-18.322,18.287
3.425,-18.385,18.35
3.439,-18.46,18.425
3.461,-18.57,18.535
3.493,-18.734,18.698
3.541,-18.977,18.941
3.578,-19.161,19.124
3.616,-19.348,19.31
3.657,-19.546,19.507
3.697,-19.743,19.704
3.747,-19.983,19.943
3.766,-20.071,20.031
3.787,-20.168,20.128
3.816,-20.305,20.264
3.86,-20.508,20.466
3.888,-20.637,20.594
3.93,-20.829,20.785
3.98,-21.054,21.01
4.03,-21.277,21.233
4.08,-21.498,21.452
4.116,-21.653,21.607
4.149,-21.796,21.749
4.199,-22.008,21.961
4.249,-22.219,22.171
4.299,-22.428,22.379
4.349,-22.635,22.584
4.399,-22.839,22.788
4.434,-22.98,22.928
4.476,-23.153,23.101
4.523,-23.341,23.288
4.573,-23.542,23.488
4.623,-23.74,23.685
4.649,-23.844,23.789
4.675,-23.943,23.887
4.703,-24.052,23.996
4.738,-24.185,24.129
4.777,-24.335,24.277
4.827,-24.523,24.465
4.877,-24.709,24.65
4.927,-24.894,24.834
4.977,-25.077,25.016
5.027,-25.26,25.198
5.077,-25.441,25.378
5.127,-25.62,25.557
5.177,-25.798,25.734
