# Simulation 100 (Up to date)
# 483 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,2.753e-5,-2.753e-5
0.051,9.444e-5,-9.444e-5
0.061,1.998e-4,-1.998e-4
0.071,3.436e-4,-3.436e-4
0.081,5.263e-4,-5.264e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,7.742e-4,-7.743e-4
0.102,0.001,-0.001
0.112,0.001,-0.001
0.122,0.002,-0.002
0.132,0.002,-0.002
0.139,0.002,-0.002
0.149,0.002,-0.002
0.159,0.002,-0.002
0.169,0.003,-0.003
0.179,0.003,-0.003
0.189,0.003,-0.003
0.192,0.003,-0.003
0.196,0.003,-0.003
0.203,0.004,-0.004
0.209,0.004,-0.004
0.216,0.004,-0.004
0.224,0.004,-0.004
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.004,-0.004
0.235,0.004,-0.004
0.239,0.005,-0.005
0.243,0.005,-0.005
0.248,0.006,-0.006
0.252,0.006,-0.006
0.256,0.007,-0.007
0.26,0.007,-0.007
0.264,0.008,-0.008
0.268,0.009,-0.009
0.273,0.01,-0.01
0.277,0.012,-0.012
0.282,0.013,-0.013
0.287,0.015,-0.015
0.292,0.016,-0.016
0.298,0.018,-0.018
0.305,0.02,-0.02
0.312,0.023,-0.023
0.322,0.027,-0.027
0.337,0.031,-0.031
0.36,0.037,-0.037
0.37,0.038,-0.038
0.378,0.039,-0.039
0.385,0.039,-0.039
0.391,0.038,-0.038
0.396,0.038,-0.038
0.402,0.037,-0.037
0.406,0.036,-0.036
0.411,0.034,-0.034
0.416,0.033,-0.033
0.42,0.031,-0.031
0.424,0.029,-0.029
0.429,0.026,-0.026
0.433,0.024,-0.024
0.437,0.021,-0.021
0.442,0.018,-0.018
0.446,0.015,-0.015
0.45,0.011,-0.012
0.455,0.008,-0.008
0.459,0.003,-0.003
0.464,-0.001,0.001
0.47,-0.007,0.007
0.475,-0.013,0.013
0.481,-0.02,0.02
0.489,-0.03,0.03
0.499,-0.043,0.043
0.515,-0.065,0.065
0.538,-0.1,0.1
0.55,-0.12,0.12
0.558,-0.135,0.135
0.566,-0.148,0.148
0.573,-0.161,0.161
0.58,-0.173,0.173
0.587,-0.185,0.185
0.594,-0.198,0.198
0.601,-0.211,0.211
0.609,-0.226,0.225
0.617,-0.241,0.24
0.625,-0.257,0.256
0.635,-0.275,0.275
0.647,-0.298,0.298
0.664,-0.334,0.334
0.671,-0.349,0.349
0.681,-0.372,0.371
0.695,-0.403,0.403
0.702,-0.42,0.42
0.71,-0.44,0.439
0.717,-0.458,0.458
0.723,-0.473,0.473
0.73,-0.492,0.492
0.737,-0.512,0.511
0.745,-0.533,0.533
0.753,-0.558,0.557
0.764,-0.589,0.588
0.78,-0.637,0.637
0.803,-0.713,0.712
0.816,-0.756,0.755
0.825,-0.786,0.786
0.833,-0.814,0.813
0.841,-0.84,0.839
0.85,-0.871,0.87
0.858,-0.9,0.899
0.868,-0.935,0.934
0.882,-0.984,0.984
0.902,-1.06,1.06
0.925,-1.149,1.148
0.935,-1.188,1.186
0.943,-1.223,1.222
0.952,-1.259,1.258
0.961,-1.298,1.296
0.971,-1.341,1.339
0.983,-1.396,1.395
1.002,-1.481,1.479
1.03,-1.612,1.611
1.041,-1.669,1.668
1.052,-1.722,1.72
1.063,-1.775,1.774
1.074,-1.83,1.828
1.087,-1.894,1.892
1.106,-1.992,1.99
1.134,-2.143,2.141
1.144,-2.199,2.197
1.154,-2.251,2.249
1.164,-2.307,2.305
1.176,-2.377,2.374
1.194,-2.483,2.48
1.211,-2.585,2.582
1.226,-2.675,2.672
1.237,-2.744,2.741
1.242,-2.773,2.77
1.249,-2.817,2.814
1.26,-2.884,2.881
1.276,-2.985,2.982
1.3,-3.14,3.136
1.303,-3.159,3.155
1.307,-3.187,3.184
1.314,-3.23,3.227
1.324,-3.296,3.292
1.339,-3.395,3.391
1.361,-3.546,3.543
1.394,-3.779,3.775
1.423,-3.99,3.986
1.451,-4.194,4.19
1.468,-4.322,4.317
1.494,-4.517,4.512
1.531,-4.806,4.801
1.568,-5.105,5.099
1.618,-5.521,5.515
1.632,-5.64,5.634
1.643,-5.741,5.735
1.656,-5.851,5.844
1.675,-6.018,6.011
1.689,-6.143,6.136
1.699,-6.234,6.227
1.71,-6.333,6.326
1.724,-6.457,6.449
1.744,-6.645,6.637
1.768,-6.861,6.853
1.787,-7.045,7.037
1.816,-7.325,7.316
1.821,-7.369,7.36
1.828,-7.435,7.426
1.834,-7.495,7.485
1.843,-7.584,7.574
1.847,-7.62,7.611
1.853,-7.675,7.666
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.746,7.736
1.871,-7.851,7.842
1.88,-7.936,7.926
1.887,-8.008,7.998
1.895,-8.083,8.073
1.905,-8.172,8.162
1.919,-8.306,8.296
1.94,-8.505,8.495
1.948,-8.582,8.571
1.957,-8.662,8.651
1.967,-8.755,8.744
1.982,-8.894,8.883
2.005,-9.101,9.089
2.018,-9.21,9.198
2.028,-9.306,9.293
2.041,-9.417,9.405
2.06,-9.583,9.571
2.088,-9.83,9.817
2.106,-9.99,9.977
2.13,-10.193,10.179
2.166,-10.492,10.478
2.216,-10.906,10.891
2.266,-11.31,11.295
2.316,-11.706,11.69
2.366,-12.094,12.077
2.416,-12.474,12.456
2.466,-12.846,12.827
2.486,-12.993,12.974
2.508,-13.158,13.139
2.542,-13.403,13.383
2.553,-13.481,13.461
2.564,-13.56,13.539
2.579,-13.663,13.643
2.601,-13.817,13.796
2.633,-14.039,14.017
2.646,-14.133,14.111
2.662,-14.238,14.216
2.683,-14.386,14.364
2.715,-14.606,14.583
2.735,-14.736,14.712
2.75,-14.834,14.811
2.766,-14.942,14.919
2.79,-15.103,15.079
2.819,-15.293,15.269
2.836,-15.4,15.375
2.855,-15.521,15.496
2.883,-15.702,15.676
2.897,-15.791,15.765
2.907,-15.856,15.83
2.918,-15.923,15.896
2.93,-16,15.973
2.948,-16.11,16.083
2.974,-16.274,16.247
3.002,-16.442,16.415
3.019,-16.545,16.518
3.033,-16.633,16.605
3.049,-16.726,16.698
3.068,-16.845,16.817
3.098,-17.024,16.995
3.142,-17.287,17.258
3.156,-17.365,17.335
3.169,-17.443,17.413
3.184,-17.531,17.501
3.206,-17.653,17.622
3.237,-17.834,17.802
3.267,-18.001,17.969
3.284,-18.094,18.062
3.299,-18.183,18.15
3.317,-18.281,18.248
3.34,-18.41,18.377
3.375,-18.603,18.569
3.391,-18.692,18.658
3.402,-18.752,18.718
3.412,-18.807,18.773
3.423,-18.867,18.832
3.436,-18.937,18.902
3.455,-19.034,18.999
3.482,-19.178,19.143
3.502,-19.282,19.246
3.514,-19.348,19.312
3.527,-19.414,19.378
3.54,-19.485,19.449
3.557,-19.571,19.534
3.58,-19.691,19.654
3.614,-19.871,19.833
3.641,-20.008,19.97
3.654,-20.074,20.036
3.666,-20.136,20.098
3.681,-20.211,20.173
3.703,-20.319,20.28
3.735,-20.48,20.44
3.777,-20.684,20.644
3.827,-20.926,20.885
3.846,-21.018,20.977
3.863,-21.098,21.057
3.88,-21.183,21.141
3.902,-21.285,21.243
3.933,-21.437,21.394
3.974,-21.628,21.585
4.024,-21.863,21.818
4.052,-21.995,21.95
4.071,-22.083,22.038
4.089,-22.164,22.119
4.107,-22.246,22.201
4.13,-22.35,22.304
4.165,-22.503,22.457
4.215,-22.725,22.677
4.265,-22.944,22.896
4.301,-23.1,23.052
