# Simulation 86 (Up to date)
# 428 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.378e-5,-4.378e-5
0.051,1.5e-4,-1.5e-4
0.061,3.17e-4,-3.17e-4
0.071,5.447e-4,-5.447e-4
0.081,8.338e-4,-8.338e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.002,-0.002
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.003,-0.003
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.005,-0.005
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.006,-0.006
0.224,0.006,-0.006
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.235,0.007,-0.007
0.24,0.007,-0.007
0.244,0.008,-0.008
0.248,0.008,-0.008
0.252,0.009,-0.009
0.257,0.009,-0.009
0.261,0.01,-0.01
0.266,0.011,-0.011
0.271,0.012,-0.012
0.276,0.014,-0.014
0.281,0.015,-0.015
0.287,0.017,-0.017
0.292,0.018,-0.018
0.299,0.02,-0.02
0.307,0.023,-0.023
0.316,0.026,-0.026
0.33,0.03,-0.03
0.351,0.036,-0.036
0.37,0.039,-0.039
0.379,0.039,-0.039
0.385,0.039,-0.039
0.391,0.039,-0.039
0.397,0.038,-0.038
0.402,0.037,-0.037
0.407,0.036,-0.036
0.412,0.034,-0.034
0.417,0.033,-0.033
0.422,0.031,-0.031
0.427,0.028,-0.028
0.432,0.026,-0.026
0.437,0.023,-0.023
0.442,0.019,-0.02
0.448,0.016,-0.016
0.454,0.011,-0.011
0.46,0.006,-0.006
0.467,6.424e-6,-7.494e-5
0.475,-0.008,0.008
0.485,-0.018,0.018
0.5,-0.034,0.034
0.521,-0.061,0.061
0.548,-0.098,0.097
0.559,-0.114,0.114
0.569,-0.128,0.128
0.578,-0.142,0.142
0.587,-0.155,0.155
0.595,-0.169,0.169
0.604,-0.183,0.183
0.615,-0.2,0.2
0.627,-0.221,0.221
0.646,-0.254,0.254
0.671,-0.301,0.301
0.697,-0.354,0.353
0.702,-0.365,0.365
0.71,-0.383,0.382
0.723,-0.413,0.412
0.739,-0.451,0.451
0.759,-0.501,0.501
0.788,-0.581,0.581
0.832,-0.712,0.711
0.85,-0.767,0.766
0.876,-0.854,0.854
0.916,-0.993,0.992
0.953,-1.13,1.129
1.003,-1.33,1.328
1.053,-1.545,1.543
1.063,-1.589,1.588
1.078,-1.657,1.655
1.1,-1.761,1.759
1.134,-1.923,1.921
1.184,-2.176,2.174
1.211,-2.321,2.318
1.231,-2.43,2.427
1.242,-2.491,2.488
1.257,-2.576,2.573
1.28,-2.706,2.703
1.297,-2.809,2.805
1.303,-2.843,2.84
1.312,-2.896,2.892
1.325,-2.974,2.971
1.345,-3.093,3.09
1.374,-3.276,3.273
1.392,-3.388,3.384
1.416,-3.547,3.543
1.442,-3.716,3.712
1.454,-3.794,3.79
1.468,-3.891,3.887
1.49,-4.039,4.034
1.505,-4.147,4.142
1.517,-4.228,4.223
1.528,-4.311,4.306
1.544,-4.427,4.422
1.568,-4.604,4.598
1.597,-4.818,4.812
1.637,-5.122,5.116
1.656,-5.272,5.265
1.685,-5.5,5.493
1.709,-5.696,5.688
1.73,-5.867,5.86
1.761,-6.13,6.122
1.798,-6.439,6.43
1.821,-6.643,6.634
1.834,-6.757,6.748
1.847,-6.871,6.862
# Event BURNOUT occurred at t=1.86 seconds
1.86,-6.985,6.976
1.88,-7.155,7.146
1.906,-7.383,7.373
1.946,-7.719,7.708
1.98,-8.003,7.992
2.03,-8.407,8.396
2.055,-8.61,8.598
2.094,-8.909,8.896
2.129,-9.182,9.168
2.179,-9.557,9.543
2.229,-9.923,9.909
2.279,-10.281,10.265
2.329,-10.63,10.614
2.379,-10.972,10.955
2.429,-11.305,11.287
2.448,-11.43,11.412
2.467,-11.551,11.533
2.495,-11.731,11.712
2.514,-11.853,11.833
2.526,-11.927,11.908
2.537,-11.997,11.978
2.549,-12.076,12.056
2.567,-12.187,12.167
2.594,-12.353,12.332
2.609,-12.443,12.423
2.62,-12.513,12.493
2.631,-12.581,12.56
2.644,-12.656,12.635
2.662,-12.762,12.741
2.689,-12.92,12.898
2.699,-12.979,12.957
2.708,-13.031,13.009
2.717,-13.084,13.061
2.726,-13.141,13.118
2.738,-13.211,13.188
2.756,-13.316,13.293
2.783,-13.472,13.448
2.793,-13.524,13.501
2.801,-13.571,13.548
2.809,-13.617,13.593
2.817,-13.663,13.639
2.826,-13.713,13.689
2.837,-13.773,13.749
2.854,-13.863,13.839
2.878,-13.997,13.972
2.891,-14.067,14.042
2.901,-14.12,14.095
2.91,-14.17,14.145
2.919,-14.219,14.193
2.929,-14.269,14.243
2.939,-14.326,14.3
2.953,-14.4,14.374
2.973,-14.51,14.483
2.997,-14.638,14.611
3.008,-14.691,14.664
3.017,-14.742,14.715
3.028,-14.796,14.768
3.04,-14.857,14.83
3.056,-14.941,14.913
3.081,-15.066,15.038
3.118,-15.253,15.224
3.133,-15.327,15.298
3.147,-15.401,15.372
3.164,-15.486,15.457
3.19,-15.614,15.584
3.229,-15.803,15.772
3.245,-15.884,15.853
3.262,-15.962,15.931
3.281,-16.055,16.024
3.31,-16.194,16.162
3.354,-16.399,16.367
3.392,-16.575,16.542
3.42,-16.7,16.666
3.46,-16.885,16.851
3.51,-17.11,17.075
3.552,-17.295,17.26
3.602,-17.514,17.478
3.652,-17.73,17.693
3.702,-17.943,17.905
3.752,-18.153,18.113
3.802,-18.359,18.319
3.852,-18.563,18.522
3.899,-18.751,18.709
3.949,-18.95,18.908
3.986,-19.099,19.056
4.036,-19.291,19.248
4.086,-19.483,19.438
4.123,-19.624,19.579
4.167,-19.79,19.744
4.217,-19.977,19.93
4.267,-20.163,20.115
4.317,-20.346,20.297
4.346,-20.45,20.402
4.369,-20.535,20.486
4.398,-20.636,20.587
4.441,-20.786,20.736
4.491,-20.959,20.908
4.54,-21.128,21.076
4.562,-21.204,21.152
4.584,-21.281,21.229
4.613,-21.379,21.326
4.655,-21.524,21.47
4.705,-21.693,21.638
4.743,-21.818,21.762
4.781,-21.944,21.888
4.83,-22.103,22.046
4.88,-22.265,22.207
4.93,-22.425,22.366
4.98,-22.583,22.524
5.03,-22.741,22.681
5.08,-22.898,22.837
5.13,-23.053,22.991
5.18,-23.207,23.145
5.23,-23.36,23.297
5.28,-23.512,23.448
5.33,-23.662,23.597
5.38,-23.811,23.745
5.43,-23.958,23.892
5.48,-24.104,24.037
5.53,-24.249,24.181
5.58,-24.392,24.323
5.63,-24.535,24.465
5.678,-24.671,24.6
5.725,-24.801,24.73
5.771,-24.93,24.858
5.816,-25.055,24.982
5.861,-25.178,25.105
# Event APOGEE occurred at t=5.905 seconds
5.905,-25.3,25.225
5.949,-25.42,25.345
5.993,-25.539,25.464
6.037,-25.658,25.582
6.082,-25.778,25.701
6.127,-25.898,25.82
6.173,-26.021,25.942
6.219,-26.145,26.065
6.267,-26.27,26.19
6.314,-26.395,26.314
6.361,-26.518,26.437
6.41,-26.646,26.564
6.46,-26.775,26.692
6.505,-26.891,26.808
6.543,-26.987,26.903
6.574,-27.067,26.983
6.613,-27.163,27.078
6.66,-27.281,27.195
6.7,-27.38,27.293
6.748,-27.496,27.409
6.798,-27.617,27.529
6.848,-27.736,27.648
