# Simulation 60 (Up to date)
# 478 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.717e-5,-4.717e-5
0.051,1.623e-4,-1.623e-4
0.061,3.447e-4,-3.447e-4
0.071,5.95e-4,-5.95e-4
0.081,9.148e-4,-9.148e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.235,0.008,-0.008
0.238,0.008,-0.008
0.242,0.008,-0.008
0.245,0.009,-0.009
0.248,0.009,-0.009
0.252,0.01,-0.01
0.256,0.011,-0.011
0.259,0.011,-0.011
0.263,0.012,-0.012
0.267,0.013,-0.013
0.272,0.015,-0.015
0.276,0.016,-0.016
0.281,0.017,-0.017
0.286,0.019,-0.019
0.292,0.021,-0.021
0.298,0.024,-0.024
0.305,0.026,-0.026
0.314,0.03,-0.03
0.326,0.034,-0.034
0.344,0.04,-0.04
0.37,0.045,-0.045
0.379,0.046,-0.046
0.386,0.046,-0.046
0.392,0.046,-0.046
0.398,0.045,-0.045
0.404,0.044,-0.044
0.409,0.042,-0.042
0.414,0.041,-0.041
0.419,0.039,-0.039
0.423,0.037,-0.037
0.427,0.035,-0.035
0.432,0.033,-0.033
0.436,0.03,-0.03
0.44,0.028,-0.028
0.444,0.025,-0.025
0.448,0.022,-0.022
0.452,0.018,-0.018
0.456,0.015,-0.015
0.46,0.011,-0.011
0.464,0.007,-0.007
0.469,0.002,-0.002
0.475,-0.005,0.004
0.48,-0.011,0.011
0.487,-0.018,0.018
0.494,-0.028,0.028
0.503,-0.041,0.041
0.518,-0.062,0.062
0.539,-0.097,0.097
0.549,-0.113,0.112
0.556,-0.125,0.124
0.562,-0.136,0.135
0.568,-0.146,0.146
0.574,-0.156,0.156
0.58,-0.166,0.166
0.585,-0.175,0.175
0.591,-0.185,0.185
0.596,-0.196,0.195
0.602,-0.206,0.206
0.608,-0.217,0.217
0.615,-0.229,0.229
0.622,-0.241,0.241
0.629,-0.255,0.255
0.638,-0.272,0.271
0.649,-0.293,0.293
0.666,-0.327,0.327
0.671,-0.338,0.338
0.679,-0.355,0.355
0.69,-0.379,0.379
0.697,-0.397,0.396
0.702,-0.407,0.407
0.708,-0.422,0.422
0.714,-0.436,0.436
0.72,-0.451,0.45
0.723,-0.46,0.459
0.728,-0.473,0.473
0.734,-0.489,0.488
0.74,-0.505,0.505
0.747,-0.524,0.523
0.754,-0.545,0.544
0.764,-0.573,0.572
0.778,-0.616,0.616
0.799,-0.684,0.683
0.809,-0.713,0.712
0.816,-0.736,0.736
0.822,-0.758,0.757
0.829,-0.779,0.778
0.835,-0.799,0.798
0.841,-0.82,0.819
0.85,-0.849,0.849
0.858,-0.875,0.874
0.868,-0.911,0.91
0.884,-0.966,0.965
0.908,-1.053,1.052
0.915,-1.08,1.079
0.921,-1.104,1.103
0.927,-1.127,1.126
0.933,-1.15,1.149
0.938,-1.173,1.172
0.944,-1.197,1.196
0.951,-1.224,1.223
0.959,-1.257,1.256
0.97,-1.306,1.305
0.988,-1.382,1.38
0.998,-1.428,1.427
1.005,-1.46,1.458
1.011,-1.488,1.487
1.017,-1.515,1.514
1.023,-1.543,1.541
1.03,-1.571,1.57
1.037,-1.603,1.601
1.045,-1.64,1.639
1.056,-1.693,1.691
1.063,-1.724,1.723
1.073,-1.772,1.771
1.088,-1.846,1.844
1.11,-1.954,1.952
1.121,-2.008,2.006
1.131,-2.056,2.054
1.14,-2.106,2.104
1.151,-2.165,2.163
1.167,-2.25,2.248
1.191,-2.382,2.379
1.211,-2.495,2.493
1.224,-2.567,2.565
1.237,-2.642,2.64
1.242,-2.674,2.671
1.25,-2.721,2.718
1.262,-2.793,2.79
1.281,-2.902,2.899
1.294,-2.983,2.98
1.303,-3.04,3.036
1.316,-3.121,3.117
1.335,-3.245,3.241
1.363,-3.422,3.418
1.378,-3.521,3.517
1.4,-3.671,3.667
1.434,-3.903,3.899
1.446,-3.987,3.983
1.461,-4.089,4.085
1.468,-4.141,4.136
1.479,-4.219,4.214
1.495,-4.335,4.33
1.506,-4.414,4.409
1.517,-4.494,4.489
1.53,-4.594,4.589
1.55,-4.746,4.741
1.577,-4.948,4.943
1.589,-5.043,5.037
1.604,-5.163,5.157
1.627,-5.346,5.34
1.649,-5.521,5.515
1.656,-5.581,5.574
1.667,-5.67,5.663
1.683,-5.805,5.799
1.708,-6.011,6.004
1.732,-6.214,6.207
1.767,-6.525,6.517
1.817,-6.971,6.962
1.821,-7.004,6.995
1.827,-7.054,7.045
1.834,-7.122,7.113
1.847,-7.241,7.232
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.359,7.35
1.88,-7.535,7.526
1.896,-7.683,7.673
1.919,-7.89,7.88
1.934,-8.013,8.003
1.943,-8.097,8.087
1.953,-8.187,8.176
1.968,-8.31,8.299
1.989,-8.494,8.483
2.006,-8.637,8.626
2.019,-8.749,8.737
2.035,-8.881,8.869
2.059,-9.077,9.065
2.095,-9.368,9.355
2.145,-9.768,9.754
2.195,-10.159,10.144
2.245,-10.541,10.526
2.295,-10.915,10.899
2.316,-11.074,11.058
2.349,-11.311,11.294
2.361,-11.398,11.381
2.378,-11.522,11.505
2.404,-11.707,11.689
2.423,-11.84,11.822
2.441,-11.969,11.951
2.469,-12.161,12.143
2.511,-12.446,12.426
2.561,-12.781,12.761
2.595,-13.004,12.983
2.645,-13.328,13.307
2.658,-13.413,13.391
2.677,-13.539,13.517
2.704,-13.711,13.688
2.715,-13.778,13.755
2.727,-13.855,13.832
2.745,-13.966,13.943
2.772,-14.132,14.108
2.787,-14.219,14.195
2.798,-14.286,14.262
2.808,-14.35,14.326
2.821,-14.431,14.407
2.841,-14.552,14.528
2.872,-14.733,14.708
2.889,-14.836,14.81
2.91,-14.958,14.932
2.941,-15.138,15.112
2.987,-15.406,15.38
3.021,-15.6,15.572
3.069,-15.869,15.841
3.119,-16.145,16.116
3.134,-16.227,16.198
3.145,-16.285,16.255
3.155,-16.337,16.308
3.166,-16.396,16.366
3.182,-16.482,16.452
3.207,-16.612,16.581
3.226,-16.711,16.681
3.237,-16.774,16.743
3.248,-16.83,16.799
3.259,-16.887,16.856
3.27,-16.946,16.915
3.283,-17.013,16.982
3.3,-17.101,17.069
3.325,-17.232,17.199
3.363,-17.425,17.392
3.383,-17.527,17.494
3.403,-17.624,17.59
3.426,-17.739,17.705
3.461,-17.91,17.876
3.511,-18.154,18.118
3.536,-18.279,18.243
3.575,-18.465,18.429
3.625,-18.702,18.664
3.665,-18.885,18.847
3.715,-19.115,19.076
3.748,-19.269,19.229
3.789,-19.45,19.41
3.827,-19.623,19.583
3.869,-19.809,19.767
3.919,-20.027,19.985
3.969,-20.242,20.199
4.019,-20.455,20.411
4.069,-20.666,20.621
4.119,-20.874,20.828
4.169,-21.079,21.033
4.219,-21.282,21.235
4.269,-21.483,21.435
4.319,-21.682,21.634
4.369,-21.88,21.83
4.419,-22.076,22.025
4.469,-22.269,22.218
4.519,-22.461,22.409
