# Simulation 52 (Up to date)
# 458 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,7.204e-5,-7.204e-5
0.051,2.512e-4,-2.512e-4
0.061,5.388e-4,-5.388e-4
0.071,9.338e-4,-9.338e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.005,-0.005
0.139,0.005,-0.005
0.149,0.006,-0.006
0.159,0.007,-0.007
0.169,0.007,-0.007
0.179,0.008,-0.008
0.189,0.009,-0.009
0.192,0.009,-0.009
0.196,0.009,-0.009
0.203,0.01,-0.01
0.209,0.01,-0.01
0.216,0.01,-0.01
0.224,0.011,-0.011
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.011,-0.011
0.234,0.012,-0.012
0.237,0.012,-0.012
0.241,0.012,-0.012
0.244,0.013,-0.013
0.248,0.014,-0.014
0.251,0.014,-0.014
0.255,0.015,-0.015
0.258,0.016,-0.016
0.261,0.017,-0.017
0.265,0.018,-0.018
0.268,0.019,-0.019
0.272,0.021,-0.021
0.276,0.022,-0.022
0.28,0.024,-0.024
0.284,0.025,-0.025
0.288,0.027,-0.027
0.292,0.029,-0.029
0.297,0.031,-0.031
0.303,0.034,-0.034
0.309,0.037,-0.037
0.318,0.041,-0.041
0.331,0.047,-0.047
0.35,0.054,-0.054
0.361,0.058,-0.058
0.37,0.059,-0.059
0.376,0.06,-0.06
0.382,0.061,-0.061
0.387,0.061,-0.061
0.391,0.06,-0.06
0.396,0.06,-0.06
0.4,0.059,-0.059
0.404,0.058,-0.058
0.408,0.057,-0.057
0.412,0.056,-0.056
0.416,0.054,-0.054
0.42,0.052,-0.052
0.424,0.051,-0.051
0.427,0.048,-0.049
0.431,0.046,-0.046
0.435,0.044,-0.044
0.438,0.041,-0.041
0.442,0.038,-0.038
0.446,0.035,-0.035
0.449,0.032,-0.032
0.453,0.028,-0.028
0.457,0.025,-0.025
0.461,0.02,-0.02
0.466,0.015,-0.015
0.47,0.01,-0.01
0.475,0.004,-0.004
0.481,-0.003,0.003
0.488,-0.013,0.013
0.497,-0.026,0.026
0.511,-0.048,0.048
0.532,-0.083,0.083
0.544,-0.103,0.103
0.552,-0.118,0.118
0.558,-0.131,0.131
0.565,-0.142,0.142
0.571,-0.153,0.153
0.576,-0.164,0.163
0.581,-0.174,0.174
0.587,-0.184,0.184
0.592,-0.194,0.194
0.597,-0.205,0.204
0.603,-0.215,0.215
0.609,-0.227,0.226
0.615,-0.239,0.239
0.622,-0.252,0.252
0.629,-0.268,0.268
0.639,-0.288,0.287
0.654,-0.318,0.318
0.671,-0.356,0.356
0.687,-0.393,0.393
0.696,-0.415,0.414
0.702,-0.431,0.43
0.709,-0.449,0.448
0.716,-0.468,0.468
0.723,-0.486,0.486
0.731,-0.51,0.51
0.742,-0.539,0.539
0.756,-0.581,0.581
0.777,-0.647,0.646
0.809,-0.751,0.75
0.824,-0.803,0.802
0.843,-0.868,0.867
0.85,-0.895,0.894
0.861,-0.935,0.935
0.878,-0.998,0.997
0.903,-1.096,1.095
0.924,-1.184,1.183
0.937,-1.238,1.237
0.95,-1.293,1.291
0.964,-1.357,1.355
0.986,-1.455,1.454
0.996,-1.503,1.502
1.004,-1.54,1.539
1.011,-1.574,1.573
1.018,-1.608,1.607
1.025,-1.643,1.642
1.034,-1.682,1.681
1.044,-1.731,1.73
1.059,-1.806,1.804
1.063,-1.827,1.825
1.069,-1.858,1.856
1.079,-1.905,1.904
1.089,-1.957,1.955
1.097,-1.999,1.997
1.104,-2.038,2.036
1.111,-2.077,2.075
1.118,-2.116,2.114
1.126,-2.157,2.155
1.134,-2.205,2.203
1.146,-2.271,2.269
1.163,-2.372,2.37
1.186,-2.504,2.502
1.195,-2.559,2.556
1.204,-2.611,2.609
1.211,-2.655,2.653
1.221,-2.717,2.714
1.234,-2.799,2.796
1.242,-2.845,2.843
1.253,-2.916,2.913
1.27,-3.024,3.021
1.281,-3.092,3.089
1.291,-3.155,3.152
1.303,-3.237,3.234
1.32,-3.348,3.345
1.344,-3.517,3.514
1.352,-3.572,3.568
1.36,-3.626,3.623
1.369,-3.691,3.687
1.383,-3.787,3.783
1.404,-3.933,3.93
1.418,-4.038,4.034
1.433,-4.143,4.139
1.454,-4.3,4.296
1.468,-4.408,4.404
1.489,-4.573,4.568
1.522,-4.826,4.821
1.56,-5.137,5.132
1.61,-5.554,5.548
1.656,-5.949,5.943
1.706,-6.396,6.389
1.756,-6.858,6.85
1.802,-7.294,7.285
1.821,-7.479,7.47
1.834,-7.606,7.597
1.847,-7.733,7.724
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.86,7.851
1.88,-8.05,8.041
1.909,-8.331,8.321
1.933,-8.559,8.549
1.948,-8.7,8.689
1.97,-8.908,8.897
2.004,-9.216,9.205
2.024,-9.393,9.382
2.045,-9.588,9.576
2.078,-9.876,9.863
2.103,-10.096,10.083
2.141,-10.422,10.408
2.191,-10.842,10.828
2.228,-11.144,11.13
2.256,-11.369,11.354
2.275,-11.523,11.508
2.302,-11.74,11.724
2.343,-12.06,12.044
2.357,-12.169,12.153
2.378,-12.332,12.315
2.409,-12.573,12.555
2.437,-12.783,12.765
2.458,-12.934,12.916
2.474,-13.058,13.04
2.5,-13.243,13.224
2.533,-13.487,13.467
2.552,-13.621,13.602
2.579,-13.82,13.8
2.621,-14.114,14.093
2.644,-14.272,14.251
2.669,-14.447,14.425
2.696,-14.63,14.608
2.737,-14.902,14.879
2.75,-14.992,14.97
2.762,-15.074,15.051
2.774,-15.153,15.13
2.788,-15.242,15.218
2.807,-15.368,15.344
2.835,-15.555,15.531
2.845,-15.618,15.593
2.853,-15.672,15.648
2.862,-15.725,15.701
2.871,-15.784,15.759
2.882,-15.854,15.829
2.898,-15.957,15.932
2.923,-16.112,16.087
2.948,-16.266,16.24
2.964,-16.368,16.342
2.98,-16.467,16.44
2.999,-16.585,16.558
3.028,-16.76,16.733
3.071,-17.021,16.993
3.12,-17.314,17.285
3.167,-17.587,17.558
3.217,-17.875,17.845
3.25,-18.061,18.031
3.299,-18.338,18.306
3.326,-18.485,18.453
3.366,-18.704,18.672
3.416,-18.976,18.942
3.466,-19.243,19.209
3.516,-19.508,19.473
3.549,-19.681,19.646
3.598,-19.939,19.903
3.632,-20.112,20.075
3.651,-20.205,20.168
3.668,-20.294,20.257
3.695,-20.428,20.39
3.735,-20.627,20.588
3.785,-20.871,20.832
3.835,-21.113,21.073
3.885,-21.353,21.312
3.927,-21.553,21.511
3.977,-21.788,21.745
4.027,-22.019,21.976
4.077,-22.248,22.204
4.127,-22.474,22.429
4.177,-22.697,22.652
4.227,-22.919,22.872
4.277,-23.138,23.091
4.327,-23.353,23.305
4.372,-23.545,23.496
4.422,-23.757,23.707
4.472,-23.967,23.917
4.522,-24.176,24.125
4.572,-24.382,24.33
4.616,-24.561,24.508
4.666,-24.763,24.709
4.716,-24.962,24.907
4.766,-25.159,25.104
4.816,-25.355,25.299
4.851,-25.494,25.437
4.883,-25.617,25.56
4.93,-25.8,25.742
4.98,-25.993,25.934
5.03,-26.184,26.124
5.08,-26.373,26.313
5.119,-26.518,26.457
5.149,-26.632,26.57
5.182,-26.754,26.692
5.224,-26.907,26.844
5.274,-27.089,27.026
5.324,-27.27,27.205
5.374,-27.449,27.384
5.424,-27.627,27.561
5.474,-27.803,27.737
