# Simulation 6 (Up to date)
# 514 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.892e-5,-4.892e-5
0.051,1.683e-4,-1.683e-4
0.061,3.566e-4,-3.566e-4
0.071,6.13e-4,-6.13e-4
0.081,9.369e-4,-9.37e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.008,-0.008
0.238,0.008,-0.008
0.241,0.008,-0.008
0.245,0.009,-0.009
0.248,0.009,-0.009
0.251,0.01,-0.01
0.255,0.011,-0.011
0.258,0.011,-0.011
0.262,0.012,-0.012
0.265,0.013,-0.013
0.269,0.014,-0.014
0.273,0.016,-0.016
0.277,0.017,-0.017
0.281,0.018,-0.018
0.286,0.02,-0.02
0.292,0.023,-0.023
0.298,0.025,-0.025
0.304,0.028,-0.028
0.312,0.031,-0.031
0.322,0.035,-0.035
0.337,0.041,-0.041
0.36,0.048,-0.048
0.37,0.05,-0.05
0.377,0.05,-0.05
0.383,0.05,-0.05
0.388,0.05,-0.05
0.393,0.05,-0.05
0.398,0.049,-0.049
0.403,0.048,-0.048
0.407,0.047,-0.047
0.411,0.046,-0.046
0.416,0.044,-0.044
0.42,0.042,-0.042
0.424,0.04,-0.04
0.428,0.038,-0.038
0.432,0.035,-0.036
0.436,0.033,-0.033
0.44,0.03,-0.03
0.444,0.027,-0.027
0.448,0.023,-0.023
0.452,0.02,-0.02
0.456,0.016,-0.016
0.461,0.011,-0.011
0.465,0.006,-0.006
0.47,0.001,-0.001
0.475,-0.005,0.005
0.48,-0.011,0.011
0.486,-0.019,0.019
0.492,-0.027,0.027
0.499,-0.038,0.038
0.508,-0.052,0.052
0.522,-0.075,0.074
0.543,-0.111,0.111
0.55,-0.124,0.124
0.556,-0.135,0.135
0.562,-0.145,0.145
0.567,-0.155,0.155
0.572,-0.164,0.164
0.576,-0.173,0.173
0.581,-0.181,0.181
0.585,-0.19,0.19
0.59,-0.199,0.198
0.595,-0.207,0.207
0.599,-0.216,0.216
0.604,-0.226,0.225
0.609,-0.235,0.235
0.615,-0.246,0.245
0.62,-0.257,0.257
0.627,-0.27,0.27
0.635,-0.286,0.285
0.645,-0.307,0.307
0.661,-0.341,0.34
0.671,-0.362,0.362
0.685,-0.395,0.395
0.694,-0.415,0.415
0.702,-0.436,0.436
0.708,-0.452,0.452
0.714,-0.467,0.467
0.72,-0.482,0.482
0.723,-0.492,0.491
0.728,-0.506,0.505
0.734,-0.521,0.521
0.739,-0.537,0.537
0.745,-0.555,0.554
0.751,-0.574,0.573
0.758,-0.596,0.596
0.767,-0.625,0.624
0.781,-0.669,0.668
0.801,-0.737,0.737
0.813,-0.779,0.778
0.821,-0.806,0.806
0.828,-0.831,0.83
0.834,-0.853,0.852
0.84,-0.875,0.874
0.846,-0.897,0.896
0.85,-0.911,0.91
0.856,-0.932,0.932
0.863,-0.96,0.959
0.873,-0.994,0.994
0.887,-1.048,1.047
0.908,-1.13,1.129
0.919,-1.177,1.176
0.928,-1.214,1.213
0.937,-1.249,1.248
0.945,-1.285,1.284
0.954,-1.324,1.323
0.965,-1.373,1.371
0.981,-1.447,1.446
1.005,-1.563,1.561
1.016,-1.611,1.61
1.025,-1.658,1.657
1.035,-1.708,1.706
1.048,-1.769,1.768
1.063,-1.846,1.844
1.086,-1.964,1.962
1.1,-2.037,2.035
1.111,-2.097,2.095
1.12,-2.149,2.147
1.13,-2.202,2.2
1.14,-2.264,2.261
1.155,-2.35,2.348
1.178,-2.484,2.481
1.19,-2.553,2.551
1.198,-2.607,2.605
1.207,-2.66,2.657
1.211,-2.684,2.681
1.217,-2.72,2.717
1.226,-2.775,2.772
1.237,-2.846,2.844
1.242,-2.876,2.873
1.249,-2.92,2.917
1.26,-2.987,2.984
1.275,-3.089,3.086
1.284,-3.144,3.141
1.291,-3.194,3.191
1.299,-3.245,3.242
1.303,-3.272,3.268
1.309,-3.312,3.308
1.318,-3.372,3.369
1.331,-3.465,3.461
1.351,-3.605,3.601
1.365,-3.706,3.702
1.374,-3.766,3.762
1.382,-3.821,3.817
1.39,-3.88,3.876
1.399,-3.949,3.945
1.413,-4.053,4.049
1.435,-4.213,4.208
1.448,-4.308,4.303
1.458,-4.388,4.383
1.468,-4.465,4.46
1.483,-4.582,4.577
1.505,-4.76,4.754
1.522,-4.891,4.886
1.546,-5.091,5.085
1.583,-5.399,5.393
1.605,-5.586,5.579
1.638,-5.871,5.864
1.656,-6.032,6.025
1.683,-6.277,6.27
1.698,-6.41,6.403
1.711,-6.533,6.525
1.731,-6.718,6.711
1.755,-6.947,6.939
1.769,-7.078,7.07
1.787,-7.256,7.247
1.815,-7.526,7.517
1.821,-7.588,7.579
1.83,-7.682,7.672
1.834,-7.717,7.708
1.839,-7.771,7.762
1.847,-7.847,7.838
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.977,7.967
1.88,-8.17,8.16
1.893,-8.304,8.293
1.911,-8.472,8.462
1.937,-8.723,8.712
1.945,-8.803,8.791
1.954,-8.89,8.879
1.968,-9.021,9.009
1.987,-9.194,9.182
1.994,-9.26,9.248
2.001,-9.324,9.312
2.008,-9.393,9.38
2.018,-9.486,9.474
2.034,-9.625,9.613
2.053,-9.798,9.785
2.062,-9.881,9.868
2.071,-9.962,9.949
2.082,-10.059,10.046
2.098,-10.204,10.19
2.123,-10.418,10.404
2.136,-10.533,10.519
2.15,-10.652,10.638
2.171,-10.829,10.814
2.202,-11.091,11.076
2.217,-11.222,11.207
2.241,-11.417,11.402
2.276,-11.706,11.69
2.312,-11.989,11.972
2.362,-12.383,12.365
2.412,-12.769,12.75
2.462,-13.146,13.126
2.512,-13.515,13.495
2.536,-13.69,13.67
2.571,-13.949,13.928
2.584,-14.042,14.021
2.595,-14.117,14.096
2.606,-14.194,14.173
2.622,-14.302,14.28
2.645,-14.462,14.44
2.659,-14.561,14.539
2.672,-14.651,14.629
2.689,-14.766,14.743
2.714,-14.936,14.913
2.752,-15.189,15.165
2.798,-15.493,15.469
2.848,-15.818,15.792
2.869,-15.954,15.929
2.892,-16.098,16.071
2.9,-16.151,16.125
2.908,-16.199,16.173
2.916,-16.25,16.223
2.925,-16.307,16.28
2.937,-16.378,16.351
2.954,-16.484,16.457
2.98,-16.643,16.615
2.991,-16.708,16.68
3,-16.763,16.735
3.009,-16.815,16.787
3.017,-16.865,16.837
3.025,-16.915,16.887
3.034,-16.968,16.94
3.044,-17.03,17.001
3.058,-17.11,17.081
3.078,-17.229,17.2
3.108,-17.407,17.377
3.12,-17.479,17.45
3.132,-17.55,17.52
3.146,-17.629,17.598
3.163,-17.729,17.698
3.19,-17.878,17.847
3.229,-18.1,18.068
3.279,-18.378,18.345
3.329,-18.651,18.618
3.379,-18.921,18.887
3.429,-19.187,19.152
3.457,-19.332,19.296
3.477,-19.436,19.4
3.499,-19.549,19.513
3.53,-19.708,19.671
3.577,-19.944,19.907
3.598,-20.05,20.013
3.617,-20.148,20.11
