# Simulation 20 (Up to date)
# 437 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.515e-5,-5.515e-5
0.051,1.891e-4,-1.891e-4
0.061,4.002e-4,-4.002e-4
0.071,6.885e-4,-6.885e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.005,-0.005
0.169,0.005,-0.005
0.179,0.006,-0.006
0.189,0.006,-0.006
0.192,0.007,-0.007
0.196,0.007,-0.007
0.203,0.007,-0.007
0.209,0.007,-0.007
0.216,0.008,-0.008
0.224,0.008,-0.008
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.234,0.009,-0.009
0.237,0.009,-0.009
0.24,0.009,-0.009
0.243,0.01,-0.01
0.248,0.011,-0.011
0.251,0.011,-0.011
0.254,0.012,-0.012
0.257,0.013,-0.013
0.26,0.014,-0.014
0.263,0.014,-0.014
0.267,0.016,-0.016
0.27,0.017,-0.017
0.273,0.018,-0.018
0.277,0.019,-0.019
0.28,0.021,-0.021
0.284,0.022,-0.022
0.288,0.024,-0.024
0.292,0.026,-0.026
0.296,0.028,-0.028
0.301,0.031,-0.031
0.307,0.033,-0.033
0.313,0.037,-0.037
0.32,0.041,-0.041
0.331,0.046,-0.046
0.348,0.053,-0.053
0.37,0.06,-0.06
0.376,0.062,-0.062
0.381,0.062,-0.062
0.386,0.062,-0.062
0.39,0.062,-0.062
0.394,0.062,-0.062
0.398,0.062,-0.062
0.402,0.061,-0.061
0.405,0.06,-0.06
0.409,0.059,-0.059
0.412,0.058,-0.058
0.415,0.057,-0.057
0.419,0.055,-0.055
0.422,0.054,-0.054
0.425,0.052,-0.052
0.428,0.05,-0.05
0.432,0.048,-0.048
0.435,0.045,-0.045
0.438,0.043,-0.043
0.442,0.04,-0.04
0.445,0.037,-0.037
0.448,0.034,-0.034
0.452,0.031,-0.031
0.455,0.027,-0.027
0.459,0.023,-0.023
0.462,0.019,-0.019
0.466,0.014,-0.014
0.47,0.009,-0.009
0.475,0.002,-0.002
0.479,-0.004,0.004
0.484,-0.011,0.011
0.489,-0.019,0.019
0.495,-0.028,0.028
0.502,-0.041,0.041
0.513,-0.059,0.059
0.528,-0.088,0.088
0.547,-0.126,0.126
0.553,-0.14,0.14
0.559,-0.152,0.152
0.564,-0.163,0.163
0.569,-0.173,0.173
0.573,-0.183,0.183
0.578,-0.193,0.192
0.582,-0.202,0.202
0.586,-0.211,0.211
0.59,-0.22,0.22
0.594,-0.229,0.229
0.598,-0.238,0.238
0.603,-0.248,0.247
0.607,-0.257,0.257
0.611,-0.267,0.267
0.616,-0.278,0.278
0.621,-0.289,0.289
0.627,-0.302,0.302
0.634,-0.317,0.317
0.642,-0.336,0.336
0.654,-0.365,0.365
0.671,-0.407,0.407
0.689,-0.453,0.452
0.697,-0.475,0.475
0.702,-0.49,0.489
0.709,-0.509,0.509
0.715,-0.528,0.527
0.723,-0.552,0.551
0.73,-0.572,0.572
0.736,-0.594,0.593
0.744,-0.618,0.617
0.752,-0.646,0.646
0.763,-0.683,0.682
0.779,-0.738,0.737
0.802,-0.824,0.824
0.82,-0.894,0.893
0.831,-0.937,0.937
0.842,-0.977,0.977
0.85,-1.011,1.011
0.861,-1.055,1.055
0.874,-1.109,1.109
0.893,-1.193,1.192
0.923,-1.323,1.322
0.94,-1.403,1.402
0.954,-1.473,1.472
0.969,-1.548,1.547
0.986,-1.632,1.631
1.011,-1.762,1.761
1.048,-1.965,1.964
1.059,-2.029,2.028
1.063,-2.05,2.048
1.068,-2.081,2.079
1.077,-2.128,2.126
1.089,-2.199,2.197
1.107,-2.308,2.306
1.124,-2.411,2.409
1.144,-2.531,2.528
1.172,-2.716,2.713
1.211,-2.972,2.969
1.242,-3.185,3.182
1.289,-3.516,3.513
1.303,-3.622,3.619
1.325,-3.785,3.781
1.357,-4.034,4.03
1.406,-4.42,4.416
1.456,-4.831,4.826
1.468,-4.929,4.924
1.486,-5.079,5.074
1.501,-5.212,5.207
1.52,-5.38,5.375
1.549,-5.637,5.632
1.563,-5.766,5.76
1.584,-5.961,5.956
1.616,-6.261,6.255
1.639,-6.479,6.473
1.656,-6.644,6.637
1.681,-6.895,6.888
1.72,-7.278,7.271
1.77,-7.795,7.787
1.821,-8.343,8.334
1.834,-8.485,8.475
1.847,-8.626,8.617
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.768,8.758
1.88,-8.978,8.968
1.901,-9.209,9.199
1.933,-9.539,9.528
1.98,-10.024,10.013
2.023,-10.459,10.446
2.073,-10.952,10.939
2.123,-11.434,11.42
2.173,-11.904,11.89
2.223,-12.364,12.349
2.268,-12.773,12.757
2.318,-13.215,13.198
2.368,-13.646,13.629
2.418,-14.07,14.051
2.459,-14.407,14.388
2.492,-14.681,14.662
2.518,-14.889,14.869
2.55,-15.15,15.129
2.599,-15.534,15.512
2.626,-15.739,15.718
2.653,-15.945,15.923
2.668,-16.06,16.038
2.69,-16.231,16.208
2.724,-16.484,16.461
2.752,-16.687,16.663
2.793,-16.987,16.963
2.815,-17.147,17.122
2.848,-17.384,17.359
2.897,-17.734,17.708
2.944,-18.057,18.03
2.98,-18.303,18.275
3.03,-18.642,18.613
3.067,-18.89,18.862
3.113,-19.193,19.163
3.163,-19.517,19.487
3.204,-19.78,19.749
3.254,-20.097,20.065
3.275,-20.229,20.196
3.307,-20.425,20.392
3.354,-20.716,20.683
3.377,-20.853,20.819
3.41,-21.058,21.023
3.46,-21.358,21.323
3.51,-21.654,21.618
3.526,-21.747,21.711
3.543,-21.847,21.811
3.565,-21.973,21.936
3.598,-22.16,22.122
3.647,-22.438,22.399
3.672,-22.581,22.542
3.701,-22.744,22.704
3.744,-22.986,22.946
3.794,-23.262,23.221
3.83,-23.456,23.415
3.847,-23.551,23.51
3.863,-23.638,23.596
3.885,-23.753,23.71
3.917,-23.924,23.881
3.96,-24.15,24.106
3.98,-24.257,24.213
4.004,-24.381,24.337
4.037,-24.553,24.508
4.087,-24.81,24.764
4.137,-25.067,25.02
4.159,-25.179,25.132
4.18,-25.288,25.24
4.213,-25.45,25.402
4.261,-25.691,25.642
4.311,-25.937,25.888
4.361,-26.181,26.131
4.411,-26.423,26.371
4.461,-26.663,26.61
4.51,-26.898,26.845
4.56,-27.135,27.081
4.61,-27.369,27.315
4.647,-27.538,27.483
4.678,-27.685,27.629
4.726,-27.903,27.846
4.776,-28.13,28.072
4.826,-28.355,28.297
4.876,-28.578,28.519
4.926,-28.799,28.739
4.976,-29.019,28.958
5.026,-29.236,29.174
5.076,-29.451,29.389
5.126,-29.665,29.602
5.176,-29.878,29.813
5.226,-30.089,30.024
5.276,-30.298,30.232
5.326,-30.507,30.44
5.376,-30.714,30.647
5.426,-30.92,30.852
5.476,-31.125,31.056
5.526,-31.328,31.258
5.576,-31.53,31.459
5.62,-31.707,31.636
5.67,-31.906,31.834
5.72,-32.104,32.031
5.77,-32.3,32.226
# Event APOGEE occurred at t=5.82 seconds
5.82,-32.495,32.421
5.87,-32.689,32.614
5.92,-32.883,32.806
5.97,-33.075,32.998
6.02,-33.266,33.188
6.07,-33.457,33.378
6.12,-33.646,33.567
6.17,-33.835,33.755
6.22,-34.023,33.942
6.27,-34.21,34.128
6.32,-34.396,34.314
