# Simulation 69 (Up to date)
# 474 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.919e-5,-4.919e-5
0.051,1.692e-4,-1.692e-4
0.061,3.586e-4,-3.586e-4
0.071,6.156e-4,-6.156e-4
0.081,9.39e-4,-9.39e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.235,0.008,-0.008
0.238,0.008,-0.008
0.242,0.008,-0.008
0.248,0.009,-0.009
0.252,0.01,-0.01
0.256,0.01,-0.01
0.259,0.011,-0.011
0.263,0.012,-0.012
0.268,0.013,-0.013
0.272,0.014,-0.014
0.276,0.016,-0.016
0.281,0.017,-0.017
0.286,0.019,-0.019
0.292,0.021,-0.021
0.298,0.023,-0.023
0.304,0.026,-0.026
0.312,0.029,-0.029
0.322,0.032,-0.032
0.336,0.037,-0.037
0.357,0.044,-0.044
0.37,0.046,-0.046
0.379,0.047,-0.047
0.385,0.047,-0.047
0.391,0.047,-0.047
0.397,0.046,-0.046
0.402,0.045,-0.045
0.406,0.044,-0.044
0.411,0.043,-0.043
0.416,0.042,-0.042
0.42,0.04,-0.04
0.424,0.038,-0.038
0.429,0.036,-0.036
0.433,0.033,-0.033
0.437,0.031,-0.031
0.441,0.028,-0.028
0.446,0.025,-0.025
0.45,0.021,-0.021
0.455,0.017,-0.017
0.459,0.013,-0.013
0.464,0.008,-0.009
0.469,0.003,-0.003
0.475,-0.003,0.003
0.481,-0.01,0.01
0.487,-0.018,0.018
0.495,-0.028,0.028
0.505,-0.042,0.042
0.521,-0.065,0.065
0.543,-0.103,0.103
0.56,-0.131,0.131
0.569,-0.149,0.149
0.577,-0.164,0.163
0.584,-0.177,0.177
0.591,-0.19,0.19
0.598,-0.203,0.203
0.605,-0.216,0.216
0.612,-0.229,0.229
0.618,-0.242,0.242
0.625,-0.256,0.256
0.633,-0.271,0.271
0.641,-0.289,0.288
0.651,-0.31,0.309
0.666,-0.341,0.341
0.671,-0.352,0.351
0.678,-0.368,0.368
0.69,-0.393,0.393
0.702,-0.423,0.423
0.713,-0.45,0.45
0.723,-0.476,0.475
0.731,-0.497,0.496
0.738,-0.517,0.517
0.746,-0.538,0.538
0.754,-0.561,0.561
0.763,-0.587,0.587
0.774,-0.621,0.62
0.791,-0.673,0.672
0.816,-0.755,0.754
0.83,-0.8,0.799
0.84,-0.836,0.835
0.85,-0.87,0.869
0.86,-0.905,0.904
0.872,-0.948,0.947
0.891,-1.015,1.014
0.918,-1.119,1.118
0.931,-1.167,1.166
0.94,-1.207,1.206
0.95,-1.246,1.245
0.96,-1.287,1.286
0.975,-1.35,1.349
0.997,-1.448,1.446
1.006,-1.487,1.486
1.014,-1.524,1.523
1.023,-1.564,1.563
1.034,-1.613,1.611
1.049,-1.685,1.684
1.063,-1.749,1.748
1.082,-1.842,1.841
1.092,-1.888,1.886
1.1,-1.93,1.929
1.109,-1.974,1.972
1.12,-2.031,2.029
1.136,-2.119,2.117
1.161,-2.252,2.25
1.17,-2.301,2.298
1.178,-2.343,2.34
1.186,-2.384,2.382
1.194,-2.428,2.426
1.203,-2.48,2.478
1.211,-2.525,2.523
1.223,-2.592,2.59
1.242,-2.701,2.699
1.255,-2.777,2.774
1.264,-2.832,2.829
1.272,-2.88,2.877
1.28,-2.928,2.925
1.289,-2.981,2.978
1.3,-3.049,3.045
1.303,-3.069,3.066
1.308,-3.099,3.096
1.315,-3.145,3.142
1.326,-3.214,3.211
1.342,-3.319,3.316
1.367,-3.48,3.476
1.376,-3.54,3.536
1.384,-3.595,3.591
1.393,-3.652,3.648
1.403,-3.72,3.716
1.418,-3.824,3.82
1.441,-3.982,3.978
1.451,-4.046,4.042
1.459,-4.108,4.104
1.468,-4.171,4.166
1.478,-4.242,4.238
1.493,-4.35,4.346
1.515,-4.515,4.51
1.528,-4.61,4.605
1.539,-4.691,4.686
1.551,-4.784,4.779
1.569,-4.925,4.92
1.597,-5.14,5.134
1.629,-5.399,5.393
1.647,-5.541,5.534
1.656,-5.615,5.609
1.67,-5.728,5.722
1.69,-5.899,5.892
1.705,-6.024,6.017
1.723,-6.179,6.172
1.751,-6.415,6.408
1.784,-6.711,6.703
1.796,-6.815,6.807
1.814,-6.973,6.965
1.821,-7.042,7.033
1.834,-7.16,7.152
1.847,-7.279,7.27
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.398,7.389
1.88,-7.574,7.565
1.909,-7.836,7.826
1.944,-8.144,8.133
1.964,-8.32,8.309
1.994,-8.58,8.569
2.018,-8.779,8.768
2.053,-9.074,9.062
2.095,-9.413,9.401
2.124,-9.648,9.635
2.168,-9.994,9.98
2.196,-10.215,10.201
2.239,-10.543,10.528
2.261,-10.709,10.694
2.294,-10.956,10.94
2.31,-11.075,11.059
2.329,-11.214,11.198
2.358,-11.42,11.403
2.378,-11.566,11.549
2.391,-11.653,11.636
2.404,-11.746,11.729
2.423,-11.885,11.867
2.453,-12.09,12.072
2.465,-12.172,12.154
2.482,-12.292,12.274
2.509,-12.471,12.452
2.538,-12.666,12.646
2.581,-12.953,12.933
2.631,-13.278,13.257
2.674,-13.554,13.532
2.711,-13.783,13.761
2.732,-13.916,13.893
2.764,-14.113,14.09
2.812,-14.404,14.38
2.842,-14.582,14.558
2.887,-14.846,14.821
2.917,-15.021,14.995
2.962,-15.278,15.252
2.986,-15.413,15.387
3.007,-15.531,15.504
3.037,-15.702,15.675
3.083,-15.956,15.928
3.122,-16.167,16.139
3.148,-16.307,16.278
3.173,-16.436,16.407
3.209,-16.628,16.598
3.259,-16.887,16.856
3.309,-17.141,17.109
3.359,-17.391,17.359
3.386,-17.524,17.491
3.426,-17.721,17.688
3.476,-17.964,17.93
3.526,-18.203,18.168
3.559,-18.356,18.32
3.584,-18.472,18.436
3.617,-18.626,18.589
3.667,-18.854,18.816
3.685,-18.933,18.895
3.702,-19.011,18.973
3.721,-19.098,19.06
3.75,-19.23,19.191
3.794,-19.425,19.385
3.844,-19.644,19.604
3.869,-19.752,19.711
3.889,-19.838,19.797
3.909,-19.921,19.88
3.931,-20.014,19.972
3.962,-20.143,20.1
4.008,-20.334,20.292
4.026,-20.407,20.364
4.042,-20.476,20.433
4.06,-20.547,20.504
4.077,-20.619,20.574
4.094,-20.689,20.645
4.112,-20.765,20.721
4.138,-20.87,20.825
4.176,-21.026,20.981
4.218,-21.197,21.15
4.237,-21.273,21.226
4.253,-21.337,21.29
4.268,-21.396,21.349
4.282,-21.449,21.401
4.295,-21.499,21.451
4.308,-21.549,21.501
4.322,-21.603,21.555
4.339,-21.669,21.621
4.363,-21.761,21.712
4.4,-21.899,21.849
4.442,-22.059,22.009
4.466,-22.147,22.096
4.489,-22.231,22.181
4.513,-22.323,22.272
4.539,-22.421,22.369
4.567,-22.524,22.472
4.605,-22.666,22.613
4.655,-22.85,22.796
4.678,-22.931,22.878
4.698,-23.003,22.949
4.717,-23.072,23.017
4.737,-23.144,23.089
4.76,-23.224,23.169
