# Simulation 63 (Up to date)
# 470 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.612e-5,-4.612e-5
0.051,1.588e-4,-1.588e-4
0.061,3.373e-4,-3.373e-4
0.071,5.831e-4,-5.831e-4
0.081,8.982e-4,-8.982e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.008,-0.008
0.237,0.008,-0.008
0.24,0.008,-0.008
0.244,0.009,-0.009
0.248,0.009,-0.009
0.251,0.01,-0.01
0.254,0.011,-0.011
0.258,0.011,-0.011
0.261,0.012,-0.012
0.265,0.013,-0.013
0.268,0.014,-0.014
0.272,0.016,-0.016
0.276,0.017,-0.017
0.279,0.018,-0.018
0.284,0.02,-0.02
0.288,0.022,-0.022
0.292,0.023,-0.023
0.297,0.026,-0.026
0.303,0.028,-0.028
0.309,0.031,-0.031
0.317,0.035,-0.035
0.328,0.04,-0.04
0.344,0.046,-0.046
0.37,0.053,-0.053
0.378,0.054,-0.054
0.384,0.055,-0.055
0.389,0.055,-0.055
0.395,0.055,-0.055
0.399,0.054,-0.054
0.404,0.053,-0.053
0.408,0.052,-0.052
0.412,0.051,-0.051
0.416,0.049,-0.049
0.42,0.048,-0.048
0.424,0.046,-0.046
0.428,0.044,-0.044
0.432,0.041,-0.041
0.435,0.039,-0.039
0.439,0.036,-0.036
0.443,0.033,-0.033
0.447,0.03,-0.03
0.45,0.027,-0.027
0.454,0.024,-0.024
0.458,0.02,-0.02
0.462,0.016,-0.016
0.466,0.011,-0.011
0.47,0.006,-0.006
0.475,-8.947e-5,1.43e-5
0.48,-0.006,0.006
0.484,-0.013,0.013
0.49,-0.02,0.02
0.495,-0.029,0.029
0.502,-0.04,0.04
0.511,-0.055,0.055
0.525,-0.078,0.078
0.544,-0.117,0.116
0.558,-0.143,0.143
0.565,-0.159,0.159
0.572,-0.173,0.173
0.578,-0.185,0.185
0.583,-0.197,0.197
0.588,-0.208,0.208
0.593,-0.219,0.218
0.598,-0.229,0.229
0.603,-0.239,0.239
0.607,-0.25,0.25
0.612,-0.261,0.26
0.617,-0.271,0.271
0.622,-0.283,0.282
0.627,-0.294,0.294
0.633,-0.307,0.307
0.639,-0.322,0.321
0.647,-0.338,0.338
0.656,-0.36,0.36
0.671,-0.396,0.396
0.694,-0.453,0.453
0.702,-0.476,0.475
0.712,-0.502,0.502
0.718,-0.521,0.521
0.723,-0.535,0.534
0.728,-0.551,0.55
0.733,-0.566,0.565
0.738,-0.581,0.58
0.743,-0.596,0.595
0.748,-0.611,0.61
0.753,-0.627,0.626
0.758,-0.643,0.643
0.763,-0.662,0.661
0.77,-0.683,0.683
0.777,-0.71,0.71
0.789,-0.751,0.75
0.806,-0.813,0.813
0.821,-0.869,0.869
0.828,-0.899,0.898
0.835,-0.924,0.923
0.841,-0.947,0.946
0.847,-0.969,0.968
0.85,-0.983,0.982
0.855,-1.003,1.002
0.861,-1.025,1.024
0.866,-1.047,1.046
0.872,-1.07,1.07
0.878,-1.096,1.095
0.886,-1.124,1.123
0.894,-1.16,1.159
0.907,-1.213,1.212
0.927,-1.296,1.295
0.936,-1.336,1.335
0.943,-1.366,1.365
0.948,-1.393,1.392
0.954,-1.419,1.417
0.96,-1.444,1.443
0.965,-1.471,1.47
0.971,-1.5,1.499
0.978,-1.533,1.532
0.986,-1.574,1.573
0.998,-1.634,1.632
1.016,-1.725,1.724
1.042,-1.861,1.859
1.054,-1.923,1.922
1.063,-1.974,1.972
1.073,-2.03,2.028
1.085,-2.092,2.09
1.099,-2.173,2.171
1.121,-2.296,2.294
1.152,-2.485,2.483
1.166,-2.57,2.568
1.182,-2.666,2.663
1.205,-2.813,2.811
1.211,-2.853,2.851
1.22,-2.914,2.911
1.234,-3.006,3.003
1.242,-3.057,3.054
1.254,-3.135,3.132
1.269,-3.24,3.237
1.293,-3.401,3.397
1.303,-3.474,3.47
1.319,-3.585,3.582
1.329,-3.659,3.655
1.339,-3.728,3.725
1.349,-3.806,3.802
1.363,-3.913,3.909
1.385,-4.076,4.073
1.399,-4.188,4.184
1.41,-4.273,4.269
1.423,-4.372,4.368
1.442,-4.521,4.517
1.468,-4.731,4.726
1.488,-4.891,4.886
1.517,-5.137,5.132
1.555,-5.462,5.456
1.591,-5.781,5.775
1.622,-6.059,6.052
1.656,-6.378,6.371
1.684,-6.638,6.631
1.702,-6.819,6.812
1.731,-7.094,7.086
1.773,-7.516,7.508
1.785,-7.631,7.623
1.796,-7.75,7.741
1.814,-7.929,7.92
1.821,-8.006,7.997
1.834,-8.142,8.133
1.847,-8.279,8.27
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.415,8.406
1.872,-8.54,8.531
1.88,-8.622,8.613
1.888,-8.702,8.692
1.897,-8.794,8.785
1.91,-8.932,8.922
1.931,-9.136,9.126
1.94,-9.232,9.221
1.949,-9.32,9.31
1.959,-9.422,9.411
1.975,-9.573,9.562
1.997,-9.798,9.786
2.009,-9.904,9.893
2.02,-10.01,9.999
2.034,-10.148,10.136
2.055,-10.352,10.339
2.072,-10.511,10.498
2.082,-10.599,10.587
2.092,-10.689,10.676
2.103,-10.799,10.786
2.121,-10.963,10.95
2.148,-11.207,11.193
2.161,-11.323,11.309
2.175,-11.452,11.438
2.197,-11.643,11.629
2.229,-11.927,11.912
2.247,-12.082,12.067
2.274,-12.314,12.298
2.312,-12.634,12.618
2.356,-13.001,12.984
2.387,-13.261,13.244
2.435,-13.645,13.627
2.485,-14.041,14.022
2.528,-14.38,14.361
2.578,-14.762,14.742
2.628,-15.136,15.115
2.676,-15.489,15.467
2.726,-15.849,15.827
2.762,-16.105,16.083
2.78,-16.229,16.206
2.805,-16.408,16.384
2.843,-16.672,16.648
2.858,-16.773,16.749
2.872,-16.871,16.846
2.889,-16.982,16.957
2.914,-17.149,17.123
2.951,-17.396,17.37
2.967,-17.504,17.478
2.992,-17.667,17.64
3.029,-17.908,17.88
3.079,-18.228,18.2
3.129,-18.544,18.515
3.179,-18.855,18.826
3.225,-19.138,19.107
3.275,-19.439,19.408
3.315,-19.68,19.648
3.365,-19.975,19.942
3.405,-20.207,20.174
3.431,-20.353,20.32
3.469,-20.571,20.536
3.508,-20.794,20.76
3.545,-20.997,20.962
3.595,-21.275,21.239
3.636,-21.504,21.467
3.661,-21.636,21.599
3.69,-21.793,21.755
3.734,-22.025,21.986
3.784,-22.287,22.248
3.817,-22.458,22.419
3.843,-22.595,22.555
3.881,-22.79,22.749
3.921,-22.996,22.954
3.971,-23.249,23.207
4.021,-23.5,23.457
4.055,-23.67,23.626
4.089,-23.835,23.791
4.139,-24.078,24.033
4.189,-24.319,24.273
4.233,-24.531,24.485
4.283,-24.769,24.721
4.333,-25.003,24.955
4.383,-25.235,25.186
4.431,-25.452,25.402
4.481,-25.678,25.628
4.531,-25.903,25.851
4.581,-26.126,26.074
4.631,-26.348,26.295
4.675,-26.543,26.489
4.725,-26.762,26.708
4.775,-26.98,26.924
