# Simulation 30 (Up to date)
# 513 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,6.807e-5,-6.807e-5
0.051,2.361e-4,-2.361e-4
0.061,5.051e-4,-5.051e-4
0.071,8.776e-4,-8.776e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.005,-0.005
0.139,0.005,-0.005
0.149,0.006,-0.006
0.159,0.006,-0.006
0.169,0.007,-0.007
0.179,0.008,-0.008
0.189,0.008,-0.008
0.192,0.009,-0.009
0.196,0.009,-0.009
0.203,0.009,-0.009
0.209,0.01,-0.01
0.216,0.01,-0.01
0.224,0.011,-0.011
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.011,-0.011
0.234,0.011,-0.011
0.236,0.012,-0.012
0.239,0.012,-0.012
0.242,0.012,-0.012
0.245,0.013,-0.013
0.248,0.014,-0.014
0.251,0.014,-0.014
0.254,0.015,-0.015
0.256,0.016,-0.016
0.259,0.017,-0.017
0.262,0.018,-0.018
0.265,0.019,-0.019
0.268,0.02,-0.02
0.272,0.022,-0.022
0.275,0.023,-0.023
0.278,0.025,-0.025
0.282,0.026,-0.026
0.286,0.028,-0.028
0.292,0.031,-0.031
0.296,0.034,-0.034
0.301,0.037,-0.037
0.307,0.04,-0.04
0.314,0.043,-0.043
0.322,0.048,-0.048
0.335,0.055,-0.055
0.353,0.064,-0.064
0.367,0.068,-0.068
0.37,0.069,-0.069
0.374,0.07,-0.07
0.379,0.07,-0.071
0.383,0.071,-0.071
0.387,0.071,-0.071
0.391,0.071,-0.071
0.395,0.071,-0.071
0.398,0.07,-0.07
0.402,0.07,-0.07
0.405,0.069,-0.069
0.408,0.068,-0.068
0.411,0.067,-0.067
0.414,0.066,-0.066
0.417,0.064,-0.064
0.42,0.063,-0.063
0.423,0.061,-0.061
0.426,0.06,-0.06
0.429,0.058,-0.058
0.432,0.056,-0.056
0.435,0.053,-0.053
0.437,0.051,-0.051
0.44,0.049,-0.049
0.443,0.046,-0.046
0.446,0.043,-0.043
0.449,0.04,-0.04
0.452,0.037,-0.037
0.455,0.033,-0.033
0.458,0.03,-0.03
0.462,0.026,-0.026
0.465,0.021,-0.021
0.468,0.017,-0.017
0.472,0.012,-0.012
0.475,0.007,-0.007
0.479,0.001,-0.001
0.484,-0.006,0.006
0.489,-0.014,0.014
0.495,-0.025,0.025
0.503,-0.039,0.039
0.515,-0.062,0.062
0.533,-0.098,0.098
0.543,-0.12,0.119
0.55,-0.134,0.134
0.556,-0.147,0.146
0.561,-0.158,0.158
0.566,-0.168,0.168
0.57,-0.178,0.178
0.574,-0.187,0.187
0.578,-0.196,0.196
0.582,-0.205,0.205
0.586,-0.214,0.214
0.59,-0.223,0.222
0.594,-0.231,0.231
0.598,-0.24,0.24
0.602,-0.249,0.249
0.606,-0.258,0.258
0.61,-0.267,0.267
0.615,-0.277,0.277
0.619,-0.288,0.288
0.625,-0.3,0.299
0.63,-0.313,0.313
0.637,-0.329,0.329
0.647,-0.35,0.35
0.661,-0.384,0.383
0.671,-0.409,0.409
0.687,-0.449,0.448
0.695,-0.471,0.471
0.702,-0.491,0.49
0.708,-0.508,0.508
0.714,-0.525,0.524
0.719,-0.541,0.54
0.723,-0.551,0.551
0.728,-0.568,0.567
0.734,-0.584,0.584
0.739,-0.601,0.601
0.745,-0.62,0.619
0.751,-0.64,0.64
0.758,-0.664,0.664
0.768,-0.697,0.697
0.783,-0.748,0.747
0.805,-0.826,0.826
0.812,-0.854,0.854
0.819,-0.878,0.877
0.825,-0.9,0.899
0.83,-0.92,0.92
0.836,-0.94,0.94
0.841,-0.961,0.96
0.847,-0.982,0.981
0.85,-0.995,0.994
0.855,-1.014,1.013
0.862,-1.039,1.039
0.87,-1.069,1.069
0.88,-1.109,1.108
0.895,-1.169,1.168
0.918,-1.263,1.262
0.926,-1.298,1.296
0.933,-1.327,1.326
0.94,-1.354,1.353
0.946,-1.381,1.38
0.952,-1.409,1.408
0.958,-1.438,1.437
0.965,-1.471,1.47
0.974,-1.513,1.511
0.988,-1.576,1.575
1.007,-1.673,1.672
1.023,-1.748,1.747
1.034,-1.805,1.804
1.045,-1.862,1.86
1.057,-1.926,1.925
1.063,-1.955,1.954
1.071,-1.999,1.997
1.084,-2.065,2.064
1.103,-2.167,2.165
1.131,-2.323,2.321
1.147,-2.414,2.411
1.161,-2.497,2.495
1.174,-2.577,2.575
1.189,-2.669,2.667
1.211,-2.803,2.801
1.242,-3.001,2.998
1.26,-3.121,3.118
1.28,-3.252,3.249
1.303,-3.404,3.401
1.337,-3.639,3.635
1.387,-3.997,3.993
1.402,-4.111,4.107
1.422,-4.258,4.254
1.442,-4.409,4.405
1.451,-4.48,4.476
1.461,-4.553,4.549
1.468,-4.611,4.606
1.479,-4.699,4.694
1.496,-4.831,4.826
1.508,-4.93,4.924
1.518,-5.008,5.003
1.528,-5.09,5.084
1.54,-5.194,5.188
1.559,-5.352,5.346
1.575,-5.486,5.479
1.583,-5.554,5.548
1.591,-5.619,5.613
1.599,-5.691,5.684
1.61,-5.785,5.778
1.626,-5.927,5.92
1.647,-6.106,6.099
1.656,-6.19,6.183
1.666,-6.276,6.269
1.676,-6.374,6.366
1.692,-6.521,6.514
1.716,-6.745,6.738
1.728,-6.86,6.852
1.741,-6.976,6.968
1.759,-7.152,7.144
1.787,-7.42,7.412
1.804,-7.589,7.58
1.821,-7.759,7.75
1.834,-7.89,7.881
1.847,-8.021,8.012
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.152,8.142
1.876,-8.315,8.305
1.888,-8.433,8.422
1.903,-8.581,8.571
1.926,-8.802,8.791
1.948,-9.01,8.998
1.967,-9.197,9.185
1.985,-9.359,9.347
2.01,-9.601,9.588
2.028,-9.763,9.75
2.038,-9.851,9.838
2.048,-9.943,9.93
2.061,-10.062,10.049
2.081,-10.238,10.225
2.11,-10.501,10.487
2.123,-10.617,10.603
2.136,-10.73,10.716
2.154,-10.887,10.872
2.181,-11.119,11.104
2.208,-11.341,11.325
2.226,-11.499,11.483
2.244,-11.643,11.626
2.27,-11.856,11.839
2.282,-11.952,11.936
2.29,-12.021,12.005
2.298,-12.087,12.07
2.307,-12.158,12.141
2.32,-12.263,12.246
2.34,-12.42,12.402
2.348,-12.481,12.463
2.355,-12.535,12.517
2.362,-12.594,12.576
2.372,-12.672,12.654
2.387,-12.788,12.77
2.41,-12.961,12.942
2.419,-13.032,13.013
2.428,-13.1,13.081
2.437,-13.171,13.152
2.449,-13.258,13.238
2.466,-13.387,13.367
2.492,-13.579,13.559
2.504,-13.67,13.65
2.516,-13.754,13.733
2.528,-13.844,13.823
2.545,-13.966,13.945
2.57,-14.148,14.126
2.594,-14.317,14.295
2.611,-14.434,14.412
2.629,-14.56,14.538
2.656,-14.748,14.725
2.696,-15.025,15.001
2.716,-15.155,15.131
2.745,-15.349,15.325
2.769,-15.508,15.483
2.804,-15.744,15.719
2.834,-15.936,15.91
2.861,-16.109,16.083
2.902,-16.367,16.34
2.921,-16.482,16.455
2.939,-16.597,16.569
2.964,-16.753,16.725
3.002,-16.986,16.957
3.024,-17.121,17.092
3.044,-17.238,17.209
3.068,-17.384,17.354
3.105,-17.601,17.57
3.139,-17.799,17.769
3.189,-18.088,18.056
3.21,-18.209,18.177
3.235,-18.347,18.314
3.271,-18.551,18.518
