# Simulation 23 (Up to date)
# 488 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.242e-5,-5.242e-5
0.051,1.799e-4,-1.799e-4
0.061,3.818e-4,-3.818e-4
0.071,6.607e-4,-6.607e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.005,-0.005
0.169,0.005,-0.005
0.179,0.006,-0.006
0.189,0.006,-0.006
0.192,0.007,-0.007
0.196,0.007,-0.007
0.203,0.007,-0.007
0.209,0.007,-0.007
0.216,0.008,-0.008
0.224,0.008,-0.008
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.234,0.009,-0.009
0.237,0.009,-0.009
0.24,0.009,-0.009
0.243,0.01,-0.01
0.248,0.011,-0.011
0.251,0.011,-0.011
0.254,0.012,-0.012
0.258,0.013,-0.013
0.261,0.014,-0.014
0.264,0.015,-0.015
0.268,0.016,-0.016
0.271,0.017,-0.017
0.275,0.018,-0.018
0.279,0.02,-0.02
0.283,0.021,-0.021
0.287,0.023,-0.023
0.292,0.025,-0.025
0.297,0.028,-0.028
0.302,0.03,-0.03
0.309,0.033,-0.033
0.317,0.037,-0.037
0.328,0.042,-0.042
0.345,0.049,-0.049
0.37,0.056,-0.056
0.376,0.057,-0.057
0.381,0.057,-0.057
0.386,0.057,-0.058
0.391,0.057,-0.057
0.395,0.057,-0.057
0.399,0.056,-0.056
0.403,0.055,-0.055
0.407,0.054,-0.054
0.411,0.053,-0.053
0.415,0.051,-0.051
0.418,0.05,-0.05
0.422,0.048,-0.048
0.425,0.046,-0.046
0.428,0.044,-0.044
0.432,0.042,-0.042
0.435,0.04,-0.04
0.439,0.037,-0.037
0.442,0.034,-0.034
0.445,0.031,-0.031
0.449,0.028,-0.028
0.452,0.025,-0.025
0.455,0.021,-0.021
0.459,0.017,-0.018
0.463,0.013,-0.013
0.466,0.009,-0.009
0.471,0.004,-0.004
0.475,-0.002,0.002
0.48,-0.009,0.009
0.485,-0.016,0.016
0.491,-0.025,0.025
0.499,-0.038,0.037
0.51,-0.057,0.057
0.527,-0.087,0.087
0.541,-0.113,0.113
0.548,-0.127,0.127
0.554,-0.138,0.138
0.559,-0.149,0.148
0.564,-0.158,0.158
0.569,-0.167,0.167
0.573,-0.176,0.176
0.577,-0.184,0.184
0.581,-0.192,0.192
0.585,-0.201,0.2
0.589,-0.209,0.208
0.593,-0.217,0.216
0.597,-0.225,0.225
0.601,-0.233,0.233
0.606,-0.241,0.241
0.61,-0.25,0.25
0.615,-0.26,0.26
0.62,-0.27,0.27
0.625,-0.281,0.281
0.632,-0.294,0.294
0.639,-0.311,0.31
0.651,-0.335,0.335
0.668,-0.373,0.373
0.671,-0.38,0.38
0.675,-0.39,0.39
0.682,-0.406,0.406
0.691,-0.428,0.428
0.699,-0.447,0.447
0.702,-0.456,0.455
0.707,-0.469,0.468
0.713,-0.484,0.484
0.718,-0.499,0.498
0.723,-0.513,0.512
0.728,-0.527,0.526
0.733,-0.541,0.541
0.738,-0.556,0.556
0.743,-0.572,0.571
0.748,-0.588,0.588
0.754,-0.606,0.606
0.761,-0.627,0.627
0.768,-0.653,0.652
0.779,-0.689,0.688
0.795,-0.745,0.744
0.819,-0.831,0.831
0.829,-0.866,0.865
0.837,-0.897,0.896
0.845,-0.928,0.927
0.85,-0.946,0.945
0.857,-0.974,0.973
0.866,-1.007,1.006
0.875,-1.042,1.041
0.885,-1.081,1.08
0.897,-1.131,1.13
0.916,-1.207,1.206
0.944,-1.326,1.325
0.961,-1.401,1.4
0.973,-1.459,1.458
0.986,-1.516,1.515
0.999,-1.582,1.58
1.02,-1.681,1.68
1.05,-1.836,1.834
1.063,-1.902,1.9
1.082,-2.001,1.999
1.11,-2.154,2.153
1.152,-2.395,2.393
1.202,-2.694,2.692
1.211,-2.749,2.746
1.224,-2.831,2.828
1.242,-2.945,2.942
1.269,-3.119,3.116
1.303,-3.348,3.345
1.353,-3.695,3.692
1.39,-3.965,3.961
1.44,-4.34,4.336
1.468,-4.556,4.551
1.51,-4.888,4.883
1.56,-5.3,5.295
1.61,-5.729,5.723
1.656,-6.14,6.133
1.706,-6.597,6.59
1.756,-7.07,7.062
1.806,-7.557,7.548
1.821,-7.706,7.697
1.834,-7.836,7.827
1.847,-7.966,7.957
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.097,8.087
1.88,-8.29,8.281
1.9,-8.492,8.482
1.93,-8.78,8.769
1.941,-8.884,8.874
1.951,-8.984,8.974
1.965,-9.119,9.109
1.986,-9.32,9.309
1.995,-9.403,9.391
2.004,-9.483,9.471
2.015,-9.583,9.572
2.031,-9.733,9.721
2.05,-9.905,9.893
2.06,-9.996,9.984
2.072,-10.103,10.091
2.09,-10.263,10.25
2.116,-10.499,10.486
2.131,-10.626,10.613
2.148,-10.779,10.765
2.175,-11.006,10.992
2.186,-11.104,11.09
2.196,-11.189,11.174
2.207,-11.28,11.265
2.223,-11.416,11.401
2.245,-11.597,11.582
2.254,-11.67,11.655
2.263,-11.746,11.73
2.275,-11.85,11.834
2.295,-12.004,11.988
2.314,-12.164,12.148
2.326,-12.257,12.241
2.338,-12.356,12.339
2.355,-12.491,12.474
2.38,-12.691,12.674
2.403,-12.871,12.853
2.42,-13.001,12.984
2.438,-13.139,13.121
2.465,-13.344,13.326
2.506,-13.648,13.629
2.536,-13.874,13.854
2.556,-14.018,13.998
2.585,-14.231,14.211
2.595,-14.308,14.288
2.605,-14.373,14.353
2.615,-14.448,14.428
2.631,-14.56,14.539
2.654,-14.727,14.706
2.668,-14.82,14.799
2.687,-14.953,14.932
2.715,-15.151,15.129
2.758,-15.444,15.421
2.801,-15.736,15.712
2.82,-15.863,15.839
2.848,-16.049,16.025
2.89,-16.325,16.3
2.94,-16.647,16.621
2.977,-16.882,16.856
3.025,-17.185,17.158
3.053,-17.356,17.329
3.07,-17.463,17.435
3.088,-17.572,17.544
3.112,-17.716,17.688
3.148,-17.93,17.901
3.164,-18.026,17.997
3.177,-18.102,18.072
3.189,-18.173,18.143
3.201,-18.248,18.218
3.217,-18.338,18.308
3.24,-18.473,18.442
3.274,-18.673,18.642
3.286,-18.745,18.714
3.297,-18.805,18.774
3.307,-18.862,18.83
3.317,-18.92,18.888
3.329,-18.986,18.954
3.343,-19.069,19.037
3.365,-19.192,19.159
3.399,-19.375,19.342
3.423,-19.509,19.476
3.44,-19.604,19.571
3.458,-19.7,19.666
3.477,-19.806,19.772
3.501,-19.938,19.903
3.538,-20.134,20.099
3.588,-20.401,20.365
3.605,-20.489,20.453
3.621,-20.573,20.537
3.644,-20.692,20.656
3.678,-20.87,20.832
3.728,-21.124,21.086
3.758,-21.276,21.237
3.781,-21.389,21.35
3.807,-21.523,21.483
3.847,-21.722,21.681
3.874,-21.855,21.814
3.892,-21.943,21.902
3.909,-22.025,21.984
3.926,-22.106,22.064
3.943,-22.188,22.146
3.963,-22.28,22.238
3.992,-22.418,22.376
4.015,-22.527,22.484
4.028,-22.589,22.546
4.04,-22.643,22.6
4.05,-22.694,22.65
4.061,-22.744,22.7
4.073,-22.798,22.754
4.086,-22.861,22.817
4.103,-22.941,22.896
4.128,-23.06,23.015
4.166,-23.237,23.192
4.189,-23.342,23.297
4.209,-23.434,23.388
