# Simulation 70 (Up to date)
# 452 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,7.092e-5,-7.092e-5
0.051,2.457e-4,-2.457e-4
0.061,5.239e-4,-5.239e-4
0.071,9.039e-4,-9.039e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.005,-0.005
0.139,0.005,-0.005
0.149,0.006,-0.006
0.159,0.006,-0.006
0.169,0.007,-0.007
0.179,0.008,-0.008
0.189,0.008,-0.008
0.192,0.008,-0.008
0.196,0.009,-0.009
0.203,0.009,-0.009
0.209,0.01,-0.01
0.216,0.01,-0.01
0.224,0.01,-0.01
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.011,-0.011
0.234,0.011,-0.011
0.237,0.012,-0.012
0.24,0.012,-0.012
0.244,0.012,-0.012
0.248,0.013,-0.013
0.251,0.014,-0.014
0.255,0.015,-0.015
0.258,0.016,-0.016
0.261,0.017,-0.017
0.265,0.018,-0.018
0.268,0.019,-0.019
0.272,0.02,-0.02
0.276,0.021,-0.021
0.28,0.023,-0.023
0.284,0.025,-0.025
0.288,0.027,-0.027
0.292,0.028,-0.028
0.297,0.031,-0.031
0.303,0.033,-0.033
0.309,0.036,-0.036
0.317,0.04,-0.04
0.328,0.045,-0.045
0.344,0.052,-0.052
0.37,0.059,-0.059
0.377,0.06,-0.06
0.383,0.061,-0.061
0.388,0.061,-0.061
0.393,0.061,-0.061
0.398,0.06,-0.06
0.403,0.06,-0.06
0.407,0.059,-0.059
0.411,0.057,-0.057
0.415,0.056,-0.056
0.419,0.054,-0.054
0.423,0.053,-0.053
0.426,0.051,-0.051
0.43,0.049,-0.049
0.434,0.046,-0.047
0.437,0.044,-0.044
0.441,0.041,-0.041
0.444,0.039,-0.039
0.448,0.036,-0.036
0.452,0.032,-0.032
0.455,0.029,-0.029
0.459,0.025,-0.025
0.463,0.021,-0.021
0.467,0.016,-0.016
0.471,0.011,-0.011
0.475,0.007,-0.007
0.48,3.236e-6,-8.182e-5
0.486,-0.008,0.008
0.492,-0.017,0.017
0.501,-0.03,0.03
0.514,-0.051,0.051
0.533,-0.085,0.085
0.544,-0.106,0.106
0.552,-0.12,0.119
0.558,-0.131,0.131
0.563,-0.142,0.142
0.568,-0.152,0.152
0.573,-0.162,0.162
0.578,-0.171,0.171
0.583,-0.181,0.18
0.587,-0.19,0.19
0.592,-0.199,0.199
0.597,-0.208,0.208
0.601,-0.218,0.218
0.606,-0.228,0.228
0.612,-0.239,0.239
0.618,-0.252,0.251
0.624,-0.266,0.266
0.633,-0.285,0.285
0.646,-0.314,0.313
0.666,-0.359,0.359
0.671,-0.371,0.371
0.678,-0.389,0.389
0.686,-0.408,0.408
0.692,-0.425,0.425
0.698,-0.441,0.441
0.702,-0.452,0.452
0.708,-0.467,0.467
0.713,-0.483,0.483
0.719,-0.5,0.5
0.723,-0.513,0.512
0.729,-0.532,0.532
0.736,-0.554,0.554
0.745,-0.581,0.581
0.756,-0.619,0.618
0.774,-0.678,0.677
0.797,-0.759,0.759
0.805,-0.788,0.788
0.812,-0.814,0.814
0.819,-0.839,0.839
0.825,-0.865,0.864
0.832,-0.891,0.89
0.84,-0.919,0.918
0.85,-0.958,0.957
0.862,-1.003,1.002
0.879,-1.073,1.072
0.905,-1.182,1.181
0.915,-1.225,1.224
0.923,-1.257,1.256
0.929,-1.286,1.285
0.935,-1.314,1.313
0.941,-1.342,1.341
0.947,-1.371,1.369
0.954,-1.402,1.401
0.962,-1.441,1.439
0.974,-1.5,1.499
0.992,-1.591,1.589
1.002,-1.641,1.64
1.009,-1.678,1.677
1.016,-1.714,1.713
1.023,-1.751,1.749
1.03,-1.79,1.788
1.039,-1.835,1.833
1.05,-1.894,1.892
1.063,-1.965,1.964
1.083,-2.074,2.073
1.099,-2.165,2.163
1.11,-2.231,2.229
1.122,-2.304,2.302
1.14,-2.408,2.406
1.165,-2.568,2.566
1.194,-2.751,2.748
1.211,-2.862,2.859
1.237,-3.033,3.03
1.242,-3.069,3.066
1.25,-3.124,3.121
1.262,-3.207,3.204
1.28,-3.334,3.331
1.297,-3.453,3.45
1.303,-3.496,3.493
1.312,-3.561,3.558
1.325,-3.659,3.656
1.346,-3.81,3.806
1.375,-4.032,4.028
1.41,-4.304,4.3
1.46,-4.707,4.703
1.468,-4.776,4.771
1.48,-4.879,4.874
1.499,-5.036,5.031
1.527,-5.275,5.27
1.569,-5.644,5.638
1.609,-6.009,6.002
1.652,-6.408,6.401
1.656,-6.446,6.439
1.662,-6.503,6.496
1.671,-6.588,6.581
1.684,-6.718,6.71
1.693,-6.803,6.796
1.702,-6.886,6.878
1.711,-6.981,6.973
1.726,-7.124,7.116
1.748,-7.342,7.334
1.759,-7.459,7.451
1.769,-7.559,7.55
1.78,-7.67,7.661
1.796,-7.838,7.829
1.821,-8.098,8.089
1.834,-8.235,8.226
1.847,-8.373,8.363
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.51,8.5
1.88,-8.714,8.704
1.909,-9.017,9.007
1.953,-9.463,9.452
2.003,-9.959,9.947
2.053,-10.444,10.431
2.103,-10.917,10.904
2.153,-11.381,11.367
2.203,-11.834,11.819
2.241,-12.171,12.156
2.291,-12.607,12.591
2.341,-13.034,13.017
2.391,-13.453,13.435
2.433,-13.802,13.784
2.483,-14.206,14.187
2.505,-14.378,14.358
2.537,-14.632,14.612
2.555,-14.775,14.755
2.572,-14.906,14.885
2.597,-15.1,15.079
2.635,-15.389,15.367
2.685,-15.764,15.742
2.729,-16.089,16.065
2.779,-16.453,16.429
2.801,-16.612,16.588
2.816,-16.718,16.693
2.838,-16.875,16.85
2.871,-17.108,17.083
2.921,-17.454,17.428
2.971,-17.795,17.768
3.021,-18.131,18.103
3.071,-18.461,18.432
3.121,-18.786,18.756
3.161,-19.041,19.01
3.211,-19.358,19.327
3.261,-19.671,19.639
3.307,-19.956,19.923
3.344,-20.182,20.149
3.394,-20.483,20.449
3.442,-20.768,20.733
3.472,-20.939,20.904
3.502,-21.117,21.081
3.548,-21.38,21.343
3.598,-21.663,21.626
3.623,-21.8,21.762
3.652,-21.963,21.924
3.695,-22.204,22.165
3.745,-22.479,22.439
3.764,-22.585,22.545
3.789,-22.72,22.679
3.827,-22.921,22.88
3.877,-23.186,23.144
3.927,-23.448,23.405
3.977,-23.707,23.663
4.027,-23.964,23.919
4.077,-24.218,24.172
4.127,-24.469,24.423
4.177,-24.718,24.671
4.227,-24.965,24.917
4.257,-25.112,25.064
4.286,-25.251,25.201
4.329,-25.456,25.406
4.379,-25.693,25.643
4.429,-25.929,25.877
4.465,-26.1,26.048
4.493,-26.232,26.179
4.52,-26.356,26.303
4.56,-26.542,26.489
4.61,-26.773,26.718
4.647,-26.939,26.884
4.67,-27.044,26.988
4.695,-27.157,27.101
4.727,-27.301,27.245
4.776,-27.516,27.459
4.826,-27.736,27.678
4.876,-27.955,27.896
4.926,-28.172,28.112
4.976,-28.388,28.328
5.026,-28.603,28.541
5.076,-28.816,28.754
5.126,-29.027,28.964
5.176,-29.237,29.173
5.226,-29.445,29.38
5.268,-29.622,29.557
5.318,-29.827,29.76
5.368,-30.03,29.963
5.418,-30.231,30.163
5.468,-30.431,30.363
5.518,-30.63,30.561
5.568,-30.828,30.758
5.618,-31.025,30.954
5.668,-31.221,31.149
