# Simulation 66 (Up to date)
# 466 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.853e-5,-5.853e-5
0.051,2.035e-4,-2.035e-4
0.061,4.365e-4,-4.365e-4
0.071,7.594e-4,-7.594e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.005,-0.005
0.159,0.006,-0.006
0.169,0.006,-0.006
0.179,0.007,-0.007
0.189,0.007,-0.007
0.192,0.007,-0.007
0.196,0.008,-0.008
0.203,0.008,-0.008
0.209,0.008,-0.008
0.216,0.009,-0.009
0.224,0.009,-0.009
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.01,-0.01
0.234,0.01,-0.01
0.237,0.01,-0.01
0.24,0.011,-0.011
0.243,0.011,-0.011
0.248,0.012,-0.012
0.251,0.013,-0.013
0.254,0.013,-0.013
0.258,0.014,-0.014
0.261,0.015,-0.015
0.264,0.016,-0.016
0.268,0.017,-0.017
0.271,0.019,-0.019
0.275,0.02,-0.02
0.279,0.021,-0.021
0.283,0.023,-0.023
0.287,0.025,-0.025
0.292,0.027,-0.027
0.297,0.03,-0.03
0.303,0.032,-0.032
0.309,0.035,-0.035
0.318,0.039,-0.039
0.33,0.045,-0.045
0.349,0.053,-0.053
0.36,0.056,-0.056
0.367,0.057,-0.057
0.37,0.058,-0.058
0.375,0.058,-0.058
0.38,0.059,-0.059
0.385,0.059,-0.059
0.389,0.059,-0.059
0.393,0.058,-0.058
0.397,0.057,-0.057
0.401,0.057,-0.057
0.405,0.056,-0.056
0.408,0.054,-0.054
0.412,0.053,-0.053
0.416,0.052,-0.052
0.419,0.05,-0.05
0.423,0.048,-0.048
0.426,0.046,-0.046
0.43,0.044,-0.044
0.433,0.041,-0.041
0.437,0.039,-0.039
0.44,0.036,-0.036
0.444,0.033,-0.033
0.447,0.029,-0.029
0.451,0.026,-0.026
0.455,0.022,-0.022
0.459,0.018,-0.018
0.463,0.013,-0.013
0.467,0.008,-0.008
0.472,0.002,-0.002
0.475,-0.002,0.002
0.479,-0.008,0.007
0.485,-0.016,0.016
0.493,-0.027,0.027
0.503,-0.044,0.044
0.519,-0.07,0.07
0.542,-0.111,0.111
0.549,-0.123,0.123
0.555,-0.134,0.134
0.56,-0.144,0.144
0.565,-0.153,0.153
0.57,-0.162,0.162
0.574,-0.171,0.171
0.579,-0.179,0.179
0.583,-0.187,0.187
0.587,-0.196,0.196
0.591,-0.204,0.204
0.596,-0.212,0.212
0.6,-0.221,0.221
0.605,-0.23,0.229
0.61,-0.239,0.239
0.615,-0.249,0.249
0.621,-0.26,0.26
0.627,-0.273,0.272
0.635,-0.288,0.288
0.646,-0.311,0.311
0.663,-0.347,0.347
0.671,-0.364,0.363
0.682,-0.388,0.388
0.689,-0.405,0.405
0.696,-0.421,0.42
0.702,-0.437,0.436
0.707,-0.45,0.45
0.713,-0.465,0.465
0.719,-0.48,0.48
0.723,-0.492,0.491
0.729,-0.509,0.509
0.736,-0.529,0.528
0.744,-0.552,0.552
0.755,-0.584,0.583
0.771,-0.633,0.633
0.795,-0.711,0.71
0.812,-0.766,0.765
0.823,-0.802,0.802
0.832,-0.836,0.835
0.842,-0.869,0.868
0.85,-0.898,0.897
0.861,-0.939,0.938
0.878,-0.998,0.997
0.902,-1.091,1.09
0.922,-1.167,1.166
0.933,-1.215,1.214
0.945,-1.262,1.261
0.957,-1.314,1.312
0.971,-1.375,1.374
0.991,-1.466,1.465
1.021,-1.608,1.606
1.034,-1.666,1.664
1.043,-1.713,1.711
1.053,-1.759,1.757
1.063,-1.808,1.806
1.074,-1.864,1.862
1.09,-1.941,1.939
1.113,-2.06,2.058
1.129,-2.143,2.141
1.139,-2.195,2.193
1.148,-2.245,2.243
1.157,-2.299,2.296
1.169,-2.363,2.361
1.186,-2.461,2.459
1.211,-2.606,2.604
1.223,-2.676,2.674
1.232,-2.731,2.729
1.242,-2.791,2.788
1.252,-2.853,2.85
1.267,-2.945,2.942
1.29,-3.086,3.083
1.303,-3.167,3.164
1.312,-3.226,3.223
1.322,-3.288,3.285
1.333,-3.363,3.359
1.35,-3.476,3.473
1.376,-3.65,3.646
1.386,-3.721,3.717
1.396,-3.789,3.785
1.407,-3.867,3.863
1.424,-3.985,3.981
1.45,-4.166,4.162
1.463,-4.263,4.258
1.468,-4.3,4.296
1.476,-4.357,4.353
1.487,-4.443,4.439
1.505,-4.574,4.569
1.531,-4.773,4.768
1.547,-4.898,4.893
1.569,-5.072,5.066
1.598,-5.307,5.301
1.643,-5.67,5.664
1.656,-5.782,5.776
1.676,-5.952,5.945
1.706,-6.211,6.204
1.727,-6.4,6.392
1.735,-6.471,6.464
1.744,-6.546,6.539
1.755,-6.641,6.633
1.77,-6.784,6.776
1.794,-7.001,6.993
1.805,-7.101,7.093
1.816,-7.202,7.193
1.821,-7.249,7.24
1.828,-7.319,7.31
1.834,-7.371,7.362
1.842,-7.449,7.44
1.847,-7.494,7.485
1.854,-7.561,7.552
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.616,7.607
1.869,-7.699,7.69
1.882,-7.822,7.813
1.9,-7.99,7.98
1.928,-8.239,8.229
1.957,-8.5,8.489
2,-8.884,8.872
2.05,-9.313,9.301
2.1,-9.733,9.72
2.136,-10.023,10.01
2.186,-10.427,10.413
2.202,-10.555,10.541
2.221,-10.706,10.692
2.25,-10.93,10.915
2.269,-11.076,11.06
2.297,-11.291,11.275
2.313,-11.413,11.397
2.337,-11.59,11.574
2.373,-11.852,11.835
2.404,-12.08,12.063
2.451,-12.416,12.398
2.501,-12.767,12.748
2.515,-12.868,12.849
2.537,-13.018,12.999
2.549,-13.096,13.077
2.558,-13.159,13.139
2.567,-13.222,13.202
2.578,-13.295,13.275
2.594,-13.4,13.38
2.617,-13.556,13.535
2.64,-13.704,13.683
2.656,-13.807,13.785
2.674,-13.923,13.901
2.701,-14.096,14.074
2.741,-14.352,14.329
2.791,-14.665,14.642
2.841,-14.972,14.948
2.891,-15.274,15.249
2.924,-15.469,15.443
2.97,-15.738,15.711
3.02,-16.026,15.998
3.07,-16.309,16.281
3.12,-16.587,16.559
3.17,-16.861,16.832
3.22,-17.131,17.101
3.27,-17.398,17.367
3.297,-17.542,17.511
3.338,-17.758,17.725
3.362,-17.88,17.847
3.383,-17.986,17.954
3.412,-18.138,18.105
3.457,-18.363,18.329
3.507,-18.61,18.576
3.557,-18.854,18.819
3.607,-19.096,19.059
3.628,-19.194,19.157
3.657,-19.335,19.298
3.702,-19.546,19.508
3.728,-19.669,19.631
3.768,-19.853,19.814
3.818,-20.082,20.042
3.865,-20.297,20.256
3.915,-20.52,20.478
3.965,-20.74,20.698
4.015,-20.959,20.916
4.065,-21.174,21.13
4.107,-21.352,21.308
4.157,-21.562,21.517
4.207,-21.77,21.724
4.251,-21.95,21.903
4.276,-22.053,22.006
4.312,-22.201,22.154
4.362,-22.404,22.356
4.392,-22.526,22.477
4.438,-22.706,22.656
4.48,-22.872,22.822
4.53,-23.066,23.015
4.58,-23.259,23.207
4.63,-23.45,23.397
4.68,-23.639,23.586
4.73,-23.827,23.773
4.78,-24.013,23.958
4.83,-24.198,24.142
4.88,-24.381,24.324
4.93,-24.562,24.504
4.98,-24.742,24.683
5.025,-24.901,24.841
5.065,-25.041,24.981
