# Simulation 31 (Up to date)
# 486 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,3.86e-5,-3.86e-5
0.051,1.331e-4,-1.331e-4
0.061,2.832e-4,-2.832e-4
0.071,4.891e-4,-4.891e-4
0.081,7.52e-4,-7.52e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.001,-0.001
0.112,0.002,-0.002
0.122,0.002,-0.002
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.003,-0.003
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.004,-0.004
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.005,-0.005
0.203,0.005,-0.005
0.209,0.005,-0.005
0.216,0.006,-0.006
0.224,0.006,-0.006
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.006,-0.006
0.234,0.006,-0.006
0.237,0.006,-0.006
0.24,0.007,-0.007
0.243,0.007,-0.007
0.248,0.008,-0.008
0.251,0.009,-0.009
0.254,0.009,-0.009
0.257,0.01,-0.01
0.26,0.011,-0.011
0.263,0.012,-0.012
0.267,0.013,-0.013
0.27,0.014,-0.014
0.274,0.015,-0.015
0.277,0.017,-0.017
0.281,0.018,-0.018
0.285,0.02,-0.02
0.292,0.023,-0.023
0.297,0.025,-0.025
0.303,0.028,-0.028
0.309,0.031,-0.031
0.317,0.035,-0.035
0.328,0.04,-0.04
0.344,0.046,-0.046
0.37,0.054,-0.054
0.377,0.055,-0.055
0.383,0.055,-0.055
0.388,0.055,-0.055
0.393,0.055,-0.055
0.398,0.054,-0.054
0.402,0.054,-0.054
0.406,0.053,-0.053
0.41,0.051,-0.051
0.414,0.05,-0.05
0.417,0.049,-0.049
0.421,0.047,-0.047
0.424,0.045,-0.045
0.428,0.043,-0.043
0.431,0.041,-0.041
0.435,0.039,-0.039
0.438,0.036,-0.036
0.441,0.034,-0.034
0.444,0.031,-0.031
0.448,0.028,-0.028
0.451,0.025,-0.025
0.454,0.021,-0.021
0.457,0.018,-0.018
0.461,0.014,-0.014
0.464,0.01,-0.01
0.468,0.006,-0.006
0.471,8.783e-4,-9.493e-4
0.475,-0.004,0.004
0.479,-0.009,0.009
0.483,-0.016,0.016
0.488,-0.023,0.023
0.493,-0.031,0.031
0.499,-0.041,0.041
0.507,-0.055,0.055
0.519,-0.076,0.076
0.536,-0.11,0.109
0.548,-0.134,0.134
0.555,-0.149,0.149
0.561,-0.161,0.161
0.566,-0.172,0.171
0.57,-0.181,0.181
0.574,-0.191,0.19
0.578,-0.199,0.199
0.582,-0.208,0.208
0.586,-0.216,0.216
0.59,-0.224,0.224
0.594,-0.232,0.232
0.597,-0.24,0.24
0.601,-0.248,0.248
0.605,-0.256,0.256
0.608,-0.264,0.264
0.612,-0.273,0.273
0.617,-0.282,0.282
0.621,-0.292,0.291
0.626,-0.302,0.302
0.631,-0.314,0.314
0.638,-0.329,0.329
0.646,-0.348,0.348
0.659,-0.377,0.377
0.671,-0.406,0.406
0.685,-0.443,0.442
0.693,-0.462,0.462
0.699,-0.479,0.479
0.702,-0.487,0.486
0.706,-0.498,0.498
0.712,-0.514,0.513
0.717,-0.53,0.53
0.723,-0.547,0.547
0.729,-0.565,0.565
0.735,-0.585,0.585
0.743,-0.608,0.607
0.751,-0.636,0.635
0.763,-0.673,0.673
0.777,-0.723,0.723
0.799,-0.802,0.801
0.832,-0.925,0.925
0.841,-0.96,0.959
0.85,-0.997,0.996
0.858,-1.029,1.028
0.866,-1.061,1.06
0.875,-1.096,1.095
0.885,-1.138,1.137
0.899,-1.195,1.194
0.919,-1.284,1.283
0.933,-1.347,1.346
0.942,-1.385,1.384
0.949,-1.418,1.417
0.956,-1.45,1.449
0.963,-1.484,1.482
0.97,-1.52,1.518
0.978,-1.562,1.56
0.99,-1.617,1.616
1.006,-1.703,1.702
1.031,-1.835,1.833
1.039,-1.879,1.877
1.047,-1.919,1.918
1.054,-1.959,1.957
1.063,-2.007,2.006
1.072,-2.059,2.057
1.086,-2.132,2.131
1.105,-2.245,2.243
1.124,-2.354,2.352
1.136,-2.426,2.424
1.148,-2.499,2.497
1.163,-2.591,2.588
1.182,-2.716,2.713
1.211,-2.902,2.899
1.229,-3.022,3.02
1.242,-3.109,3.106
1.255,-3.2,3.197
1.275,-3.338,3.335
1.298,-3.495,3.492
1.303,-3.534,3.531
1.311,-3.593,3.589
1.323,-3.681,3.678
1.341,-3.817,3.813
1.366,-4.003,3.999
1.378,-4.097,4.094
1.393,-4.207,4.203
1.414,-4.374,4.37
1.429,-4.496,4.492
1.438,-4.563,4.558
1.445,-4.626,4.621
1.453,-4.693,4.689
1.464,-4.783,4.779
1.468,-4.814,4.809
1.473,-4.86,4.855
1.482,-4.929,4.924
1.494,-5.033,5.028
1.502,-5.104,5.099
1.51,-5.172,5.167
1.519,-5.25,5.245
1.533,-5.365,5.36
1.552,-5.54,5.534
1.567,-5.669,5.663
1.581,-5.799,5.794
1.603,-5.998,5.992
1.636,-6.303,6.296
1.656,-6.494,6.488
1.686,-6.786,6.779
1.732,-7.236,7.228
1.761,-7.53,7.522
1.804,-7.98,7.971
1.821,-8.158,8.15
1.834,-8.296,8.287
1.847,-8.434,8.425
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.572,8.563
1.88,-8.778,8.768
1.907,-9.067,9.057
1.949,-9.493,9.482
1.987,-9.877,9.865
2.037,-10.369,10.357
2.087,-10.85,10.837
2.137,-11.32,11.306
2.173,-11.649,11.635
2.203,-11.92,11.906
2.248,-12.321,12.306
2.275,-12.559,12.543
2.299,-12.77,12.754
2.335,-13.083,13.066
2.354,-13.239,13.222
2.376,-13.424,13.407
2.409,-13.699,13.681
2.425,-13.835,13.817
2.44,-13.958,13.94
2.46,-14.118,14.1
2.49,-14.357,14.338
2.509,-14.514,14.494
2.526,-14.644,14.624
2.545,-14.797,14.777
2.575,-15.025,15.005
2.619,-15.362,15.341
2.642,-15.538,15.516
2.661,-15.681,15.659
2.684,-15.854,15.832
2.718,-16.111,16.088
2.735,-16.231,16.208
2.746,-16.312,16.289
2.756,-16.388,16.365
2.768,-16.474,16.45
2.786,-16.597,16.573
2.811,-16.781,16.757
2.832,-16.929,16.904
2.847,-17.03,17.005
2.862,-17.134,17.109
2.884,-17.289,17.264
2.917,-17.52,17.494
2.933,-17.624,17.598
2.946,-17.715,17.689
2.96,-17.812,17.786
2.982,-17.956,17.929
3.014,-18.171,18.143
3.038,-18.329,18.301
3.069,-18.529,18.5
3.114,-18.825,18.796
3.163,-19.135,19.105
3.209,-19.425,19.395
3.233,-19.572,19.541
3.265,-19.771,19.74
3.314,-20.066,20.034
3.364,-20.365,20.332
3.393,-20.535,20.502
3.436,-20.788,20.754
3.472,-20.998,20.963
3.503,-21.175,21.14
3.549,-21.438,21.402
3.582,-21.623,21.586
3.626,-21.867,21.83
3.676,-22.142,22.104
3.726,-22.413,22.374
3.776,-22.681,22.641
3.826,-22.945,22.905
3.876,-23.206,23.165
3.907,-23.363,23.321
3.942,-23.546,23.503
3.992,-23.799,23.755
4.012,-23.899,23.856
4.033,-24.003,23.959
4.06,-24.137,24.092
4.1,-24.337,24.292
4.141,-24.54,24.494
4.167,-24.666,24.62
4.188,-24.769,24.722
4.207,-24.861,24.814
4.228,-24.96,24.913
4.256,-25.093,25.045
4.298,-25.291,25.243
4.348,-25.525,25.476
4.378,-25.663,25.613
4.4,-25.767,25.717
4.421,-25.865,25.814
