# Simulation 46 (Up to date)
# 488 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,6.763e-5,-6.763e-5
0.051,2.329e-4,-2.329e-4
0.061,4.941e-4,-4.941e-4
0.071,8.503e-4,-8.503e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.004,-0.004
0.139,0.005,-0.005
0.149,0.005,-0.005
0.159,0.006,-0.006
0.169,0.007,-0.007
0.179,0.007,-0.007
0.189,0.008,-0.008
0.192,0.008,-0.008
0.196,0.008,-0.008
0.203,0.009,-0.009
0.209,0.009,-0.009
0.216,0.009,-0.009
0.224,0.01,-0.01
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.01,-0.01
0.234,0.011,-0.011
0.237,0.011,-0.011
0.241,0.011,-0.011
0.244,0.012,-0.012
0.248,0.012,-0.012
0.251,0.013,-0.013
0.255,0.014,-0.014
0.258,0.015,-0.015
0.261,0.016,-0.016
0.265,0.017,-0.017
0.269,0.018,-0.018
0.272,0.019,-0.019
0.276,0.021,-0.021
0.28,0.022,-0.022
0.285,0.024,-0.024
0.289,0.026,-0.026
0.292,0.027,-0.027
0.296,0.029,-0.029
0.302,0.031,-0.032
0.309,0.035,-0.035
0.317,0.039,-0.039
0.33,0.044,-0.044
0.349,0.051,-0.051
0.362,0.055,-0.055
0.37,0.056,-0.056
0.376,0.057,-0.057
0.382,0.057,-0.057
0.387,0.057,-0.057
0.392,0.057,-0.057
0.397,0.056,-0.056
0.401,0.056,-0.056
0.405,0.055,-0.055
0.409,0.053,-0.053
0.413,0.052,-0.052
0.417,0.05,-0.05
0.421,0.049,-0.049
0.425,0.047,-0.047
0.429,0.044,-0.044
0.432,0.042,-0.042
0.436,0.04,-0.04
0.44,0.037,-0.037
0.444,0.034,-0.034
0.447,0.031,-0.031
0.451,0.027,-0.027
0.455,0.023,-0.023
0.459,0.019,-0.019
0.463,0.015,-0.015
0.468,0.01,-0.01
0.472,0.005,-0.005
0.475,0.001,-0.001
0.479,-0.004,0.004
0.485,-0.012,0.012
0.491,-0.02,0.02
0.499,-0.032,0.032
0.509,-0.048,0.048
0.525,-0.074,0.074
0.548,-0.115,0.115
0.555,-0.127,0.127
0.56,-0.138,0.138
0.566,-0.148,0.148
0.57,-0.157,0.157
0.575,-0.165,0.165
0.579,-0.173,0.173
0.584,-0.181,0.181
0.588,-0.189,0.189
0.592,-0.197,0.197
0.596,-0.205,0.204
0.6,-0.212,0.212
0.604,-0.22,0.22
0.609,-0.228,0.228
0.613,-0.237,0.237
0.618,-0.246,0.246
0.623,-0.256,0.255
0.629,-0.267,0.266
0.635,-0.279,0.279
0.643,-0.295,0.295
0.656,-0.32,0.319
0.671,-0.351,0.351
0.682,-0.375,0.374
0.688,-0.389,0.389
0.694,-0.402,0.402
0.699,-0.414,0.413
0.702,-0.422,0.421
0.706,-0.433,0.432
0.711,-0.444,0.444
0.715,-0.455,0.455
0.72,-0.467,0.467
0.723,-0.476,0.475
0.728,-0.488,0.488
0.733,-0.502,0.502
0.738,-0.518,0.517
0.745,-0.536,0.535
0.752,-0.558,0.557
0.762,-0.589,0.588
0.778,-0.636,0.636
0.801,-0.711,0.71
0.809,-0.737,0.737
0.816,-0.76,0.759
0.822,-0.78,0.78
0.828,-0.8,0.8
0.834,-0.82,0.819
0.84,-0.84,0.839
0.846,-0.861,0.86
0.85,-0.875,0.874
0.856,-0.895,0.894
0.865,-0.925,0.924
0.877,-0.966,0.966
0.894,-1.031,1.03
0.914,-1.105,1.104
0.923,-1.137,1.136
0.93,-1.166,1.165
0.937,-1.194,1.193
0.944,-1.223,1.221
0.951,-1.253,1.252
0.96,-1.288,1.287
0.97,-1.332,1.331
0.985,-1.4,1.399
1.009,-1.505,1.504
1.02,-1.556,1.555
1.029,-1.598,1.597
1.038,-1.638,1.636
1.046,-1.68,1.678
1.057,-1.728,1.726
1.063,-1.759,1.757
1.073,-1.806,1.804
1.087,-1.877,1.876
1.109,-1.987,1.986
1.121,-2.05,2.048
1.132,-2.104,2.102
1.142,-2.16,2.158
1.155,-2.229,2.227
1.173,-2.331,2.328
1.2,-2.487,2.484
1.211,-2.548,2.545
1.223,-2.617,2.614
1.231,-2.665,2.662
1.238,-2.709,2.706
1.242,-2.731,2.728
1.248,-2.764,2.761
1.256,-2.814,2.811
1.268,-2.889,2.886
1.287,-3.004,3.001
1.297,-3.067,3.064
1.303,-3.103,3.1
1.31,-3.15,3.147
1.318,-3.196,3.193
1.325,-3.247,3.244
1.335,-3.31,3.307
1.349,-3.405,3.402
1.371,-3.55,3.546
1.38,-3.611,3.607
1.387,-3.663,3.659
1.395,-3.714,3.71
1.403,-3.771,3.767
1.414,-3.845,3.841
1.43,-3.957,3.953
1.45,-4.101,4.097
1.459,-4.167,4.162
1.468,-4.232,4.227
1.476,-4.294,4.29
1.487,-4.37,4.366
1.502,-4.486,4.481
1.525,-4.662,4.657
1.533,-4.726,4.721
1.541,-4.787,4.782
1.55,-4.853,4.847
1.56,-4.937,4.931
1.576,-5.064,5.058
1.601,-5.258,5.252
1.611,-5.345,5.339
1.624,-5.447,5.441
1.642,-5.602,5.595
1.656,-5.718,5.712
1.677,-5.896,5.889
1.708,-6.166,6.159
1.755,-6.582,6.574
1.805,-7.041,7.032
1.821,-7.194,7.185
1.834,-7.316,7.307
1.847,-7.439,7.43
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.562,7.553
1.88,-7.744,7.735
1.909,-8.015,8.005
1.953,-8.412,8.402
2.003,-8.856,8.845
2.053,-9.289,9.277
2.103,-9.711,9.698
2.153,-10.124,10.11
2.203,-10.527,10.513
2.253,-10.921,10.906
2.303,-11.306,11.29
2.353,-11.683,11.667
2.392,-11.977,11.96
2.418,-12.164,12.146
2.456,-12.44,12.421
2.487,-12.658,12.64
2.533,-12.982,12.962
2.566,-13.209,13.188
2.616,-13.543,13.523
2.646,-13.741,13.72
2.69,-14.033,14.011
2.739,-14.35,14.327
2.779,-14.6,14.576
2.829,-14.912,14.887
2.879,-15.217,15.192
2.929,-15.518,15.492
2.975,-15.792,15.766
3.025,-16.083,16.056
3.075,-16.37,16.342
3.097,-16.493,16.464
3.118,-16.612,16.583
3.149,-16.789,16.759
3.161,-16.855,16.825
3.174,-16.924,16.894
3.189,-17.006,16.976
3.211,-17.128,17.098
3.245,-17.31,17.279
3.295,-17.576,17.544
3.32,-17.707,17.675
3.337,-17.795,17.763
3.353,-17.878,17.846
3.37,-17.972,17.939
3.397,-18.111,18.077
3.437,-18.318,18.284
3.456,-18.412,18.378
3.472,-18.495,18.46
3.49,-18.582,18.547
3.512,-18.691,18.656
3.544,-18.852,18.816
3.593,-19.092,19.055
3.612,-19.18,19.143
3.63,-19.268,19.23
3.652,-19.374,19.336
3.685,-19.532,19.494
3.734,-19.767,19.728
3.751,-19.849,19.809
3.766,-19.92,19.88
3.785,-20.005,19.965
3.813,-20.132,20.092
3.854,-20.321,20.28
3.904,-20.545,20.503
3.932,-20.672,20.629
3.949,-20.747,20.705
3.965,-20.816,20.774
3.986,-20.909,20.866
4.017,-21.048,21.004
4.064,-21.254,21.209
4.114,-21.47,21.425
4.164,-21.684,21.638
4.191,-21.798,21.752
4.212,-21.885,21.838
4.231,-21.966,21.918
4.251,-22.047,21.999
4.274,-22.14,22.092
4.308,-22.279,22.23
