# Simulation 54 (Up to date)
# 425 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,6.857e-5,-6.857e-5
0.051,2.364e-4,-2.364e-4
0.061,5.026e-4,-5.026e-4
0.071,8.678e-4,-8.678e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.003,-0.003
0.122,0.004,-0.004
0.132,0.004,-0.004
0.139,0.005,-0.005
0.149,0.006,-0.006
0.159,0.006,-0.006
0.169,0.007,-0.007
0.179,0.007,-0.007
0.189,0.008,-0.008
0.192,0.008,-0.008
0.196,0.009,-0.009
0.203,0.009,-0.009
0.209,0.009,-0.009
0.216,0.01,-0.01
0.224,0.01,-0.01
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.011,-0.011
0.234,0.011,-0.011
0.237,0.011,-0.011
0.24,0.012,-0.012
0.243,0.012,-0.012
0.248,0.013,-0.013
0.251,0.014,-0.014
0.254,0.015,-0.015
0.258,0.015,-0.015
0.261,0.016,-0.016
0.264,0.017,-0.017
0.268,0.019,-0.019
0.271,0.02,-0.02
0.275,0.021,-0.021
0.279,0.023,-0.023
0.283,0.024,-0.024
0.287,0.026,-0.026
0.292,0.029,-0.029
0.297,0.031,-0.031
0.303,0.034,-0.034
0.309,0.037,-0.037
0.317,0.041,-0.041
0.328,0.046,-0.046
0.345,0.053,-0.053
0.37,0.06,-0.06
0.376,0.061,-0.061
0.382,0.062,-0.062
0.387,0.062,-0.062
0.391,0.062,-0.062
0.395,0.061,-0.061
0.4,0.061,-0.061
0.404,0.06,-0.06
0.407,0.059,-0.059
0.411,0.058,-0.058
0.415,0.056,-0.056
0.419,0.055,-0.055
0.422,0.053,-0.053
0.426,0.051,-0.051
0.43,0.049,-0.049
0.433,0.046,-0.046
0.437,0.044,-0.044
0.441,0.041,-0.041
0.444,0.038,-0.038
0.448,0.034,-0.034
0.452,0.031,-0.031
0.456,0.027,-0.027
0.46,0.022,-0.023
0.464,0.018,-0.018
0.469,0.013,-0.013
0.475,0.005,-0.005
0.48,-0.002,0.002
0.486,-0.01,0.01
0.492,-0.02,0.02
0.501,-0.032,0.032
0.512,-0.052,0.052
0.53,-0.083,0.083
0.547,-0.116,0.115
0.555,-0.131,0.131
0.562,-0.144,0.144
0.568,-0.156,0.156
0.573,-0.167,0.167
0.579,-0.179,0.178
0.584,-0.19,0.189
0.589,-0.201,0.2
0.595,-0.212,0.212
0.6,-0.223,0.223
0.606,-0.235,0.235
0.612,-0.247,0.247
0.618,-0.261,0.26
0.625,-0.275,0.275
0.633,-0.293,0.293
0.643,-0.315,0.315
0.658,-0.349,0.349
0.671,-0.381,0.38
0.691,-0.43,0.43
0.702,-0.459,0.459
0.712,-0.486,0.486
0.723,-0.518,0.517
0.733,-0.546,0.546
0.743,-0.578,0.578
0.756,-0.618,0.618
0.774,-0.676,0.676
0.801,-0.768,0.767
0.84,-0.91,0.909
0.85,-0.946,0.946
0.865,-1.003,1.002
0.886,-1.09,1.089
0.898,-1.136,1.135
0.908,-1.178,1.177
0.92,-1.228,1.227
0.938,-1.305,1.304
0.965,-1.425,1.423
0.978,-1.486,1.484
0.989,-1.538,1.537
1,-1.593,1.592
1.013,-1.658,1.657
1.033,-1.758,1.756
1.063,-1.913,1.911
1.081,-2.011,2.01
1.109,-2.164,2.162
1.143,-2.356,2.354
1.193,-2.656,2.653
1.211,-2.769,2.766
1.238,-2.942,2.939
1.242,-2.966,2.963
1.248,-3.002,3
1.256,-3.057,3.054
1.268,-3.14,3.138
1.287,-3.267,3.264
1.303,-3.375,3.372
1.321,-3.502,3.499
1.349,-3.697,3.694
1.39,-4,3.996
1.417,-4.204,4.2
1.458,-4.52,4.515
1.468,-4.602,4.597
1.483,-4.726,4.721
1.507,-4.915,4.911
1.542,-5.206,5.201
1.592,-5.636,5.63
1.632,-5.997,5.991
1.656,-6.213,6.207
1.677,-6.411,6.405
1.709,-6.714,6.707
1.728,-6.887,6.88
1.74,-7.007,6.999
1.756,-7.163,7.155
1.78,-7.4,7.392
1.799,-7.593,7.585
1.821,-7.811,7.803
1.834,-7.944,7.936
1.847,-8.078,8.069
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.21,8.201
1.88,-8.408,8.398
1.909,-8.7,8.69
1.953,-9.131,9.12
2.003,-9.61,9.599
2.053,-10.078,10.066
2.103,-10.534,10.522
2.153,-10.98,10.967
2.203,-11.415,11.401
2.253,-11.84,11.825
2.303,-12.255,12.24
2.353,-12.662,12.646
2.403,-13.06,13.043
2.453,-13.449,13.431
2.503,-13.831,13.812
2.553,-14.204,14.185
2.603,-14.57,14.55
2.653,-14.928,14.907
2.703,-15.279,15.257
2.729,-15.459,15.437
2.754,-15.636,15.614
2.793,-15.899,15.876
2.843,-16.233,16.209
2.863,-16.367,16.343
2.894,-16.567,16.542
2.919,-16.726,16.701
2.956,-16.962,16.936
2.984,-17.141,17.115
3.027,-17.407,17.38
3.077,-17.714,17.686
3.108,-17.904,17.876
3.135,-18.066,18.038
3.176,-18.307,18.277
3.226,-18.6,18.57
3.276,-18.888,18.857
3.326,-19.172,19.14
3.376,-19.451,19.418
3.413,-19.659,19.626
3.436,-19.785,19.751
3.464,-19.936,19.902
3.505,-20.16,20.126
3.522,-20.253,20.218
3.537,-20.333,20.298
3.552,-20.413,20.377
3.569,-20.502,20.466
3.591,-20.611,20.576
3.622,-20.774,20.738
3.667,-21.007,20.97
3.683,-21.085,21.048
3.698,-21.161,21.124
3.714,-21.243,21.205
3.734,-21.345,21.306
3.763,-21.496,21.458
3.808,-21.721,21.682
3.825,-21.805,21.765
3.841,-21.885,21.845
3.859,-21.97,21.93
3.882,-22.084,22.044
3.917,-22.254,22.213
3.967,-22.494,22.452
4.017,-22.731,22.688
4.067,-22.966,22.923
4.117,-23.198,23.154
4.167,-23.428,23.383
4.217,-23.656,23.61
4.267,-23.883,23.836
4.317,-24.107,24.059
4.367,-24.328,24.28
4.417,-24.547,24.498
4.467,-24.764,24.714
4.517,-24.979,24.928
4.567,-25.192,25.14
4.617,-25.403,25.35
4.667,-25.612,25.559
4.717,-25.819,25.764
4.767,-26.023,25.968
4.817,-26.227,26.171
4.867,-26.428,26.372
4.917,-26.628,26.571
4.967,-26.827,26.769
5.017,-27.024,26.965
5.067,-27.22,27.16
5.117,-27.413,27.352
5.167,-27.605,27.544
5.217,-27.796,27.733
5.267,-27.985,27.922
5.317,-28.172,28.108
5.367,-28.358,28.294
5.417,-28.543,28.478
5.467,-28.727,28.661
5.517,-28.91,28.843
5.567,-29.091,29.023
5.617,-29.272,29.203
5.667,-29.451,29.381
5.717,-29.629,29.558
5.767,-29.805,29.734
5.817,-29.981,29.909
# Event APOGEE occurred at t=5.866 seconds
5.866,-30.15,30.077
5.913,-30.314,30.241
5.96,-30.477,30.403
6.007,-30.64,30.565
6.055,-30.803,30.728
6.104,-30.97,30.894
6.154,-31.14,31.063
6.204,-31.308,31.231
6.254,-31.476,31.398
6.304,-31.644,31.564
6.354,-31.81,31.73
6.404,-31.974,31.894
6.454,-32.138,32.057
6.504,-32.301,32.219
6.554,-32.463,32.38
6.604,-32.623,32.539
6.654,-32.782,32.698
6.704,-32.941,32.855
6.754,-33.097,33.012
6.804,-33.253,33.167
6.854,-33.408,33.321
# Event EJECTION_CHARGE occurred at t=6.86 seconds
6.86,-33.426,33.338
