# Simulation 7 (Up to date)
# 500 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.249e-5,-5.249e-5
0.051,1.824e-4,-1.824e-4
0.061,3.9e-4,-3.9e-4
0.071,6.747e-4,-6.747e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.005,-0.005
0.169,0.005,-0.005
0.179,0.006,-0.006
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.007,-0.007
0.203,0.007,-0.007
0.209,0.007,-0.007
0.216,0.008,-0.008
0.224,0.008,-0.008
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.234,0.008,-0.008
0.238,0.009,-0.009
0.241,0.009,-0.009
0.244,0.01,-0.01
0.248,0.01,-0.01
0.251,0.011,-0.011
0.255,0.012,-0.012
0.258,0.012,-0.012
0.262,0.013,-0.013
0.265,0.014,-0.014
0.269,0.015,-0.015
0.273,0.017,-0.017
0.277,0.018,-0.018
0.28,0.019,-0.019
0.285,0.021,-0.021
0.289,0.023,-0.023
0.292,0.024,-0.024
0.296,0.026,-0.026
0.302,0.028,-0.028
0.308,0.031,-0.031
0.315,0.034,-0.034
0.324,0.038,-0.038
0.337,0.044,-0.044
0.357,0.051,-0.051
0.37,0.054,-0.054
0.376,0.055,-0.055
0.381,0.055,-0.055
0.386,0.056,-0.056
0.39,0.055,-0.055
0.394,0.055,-0.055
0.398,0.054,-0.054
0.402,0.054,-0.054
0.406,0.053,-0.053
0.409,0.052,-0.052
0.412,0.051,-0.051
0.416,0.049,-0.049
0.419,0.048,-0.048
0.423,0.046,-0.046
0.426,0.044,-0.044
0.429,0.042,-0.042
0.432,0.04,-0.04
0.436,0.037,-0.037
0.439,0.035,-0.035
0.442,0.032,-0.032
0.446,0.029,-0.029
0.449,0.026,-0.026
0.453,0.022,-0.022
0.457,0.019,-0.019
0.46,0.014,-0.015
0.464,0.01,-0.01
0.469,0.005,-0.005
0.475,-0.003,0.003
0.48,-0.01,0.01
0.487,-0.019,0.019
0.494,-0.031,0.031
0.506,-0.049,0.049
0.524,-0.079,0.079
0.537,-0.103,0.103
0.545,-0.117,0.117
0.551,-0.128,0.128
0.556,-0.138,0.138
0.561,-0.148,0.148
0.566,-0.157,0.156
0.57,-0.165,0.165
0.574,-0.173,0.173
0.579,-0.181,0.181
0.583,-0.189,0.189
0.587,-0.197,0.197
0.591,-0.205,0.205
0.595,-0.213,0.213
0.599,-0.221,0.221
0.604,-0.229,0.229
0.608,-0.238,0.238
0.613,-0.248,0.247
0.619,-0.258,0.258
0.625,-0.27,0.27
0.632,-0.285,0.285
0.643,-0.307,0.306
0.659,-0.34,0.339
0.671,-0.367,0.367
0.681,-0.39,0.389
0.688,-0.407,0.406
0.694,-0.422,0.422
0.702,-0.442,0.441
0.707,-0.455,0.455
0.712,-0.469,0.469
0.717,-0.482,0.482
0.723,-0.498,0.498
0.728,-0.512,0.512
0.733,-0.527,0.526
0.738,-0.542,0.542
0.744,-0.559,0.558
0.75,-0.578,0.577
0.757,-0.6,0.599
0.766,-0.629,0.629
0.78,-0.675,0.675
0.8,-0.746,0.745
0.81,-0.778,0.777
0.816,-0.801,0.8
0.822,-0.821,0.82
0.827,-0.839,0.838
0.832,-0.856,0.855
0.836,-0.873,0.872
0.841,-0.89,0.889
0.846,-0.907,0.906
0.85,-0.922,0.922
0.855,-0.941,0.94
0.861,-0.962,0.961
0.868,-0.988,0.988
0.879,-1.028,1.027
0.895,-1.089,1.088
0.907,-1.138,1.137
0.914,-1.166,1.166
0.92,-1.191,1.19
0.926,-1.214,1.213
0.931,-1.236,1.235
0.936,-1.258,1.257
0.941,-1.281,1.28
0.947,-1.305,1.304
0.953,-1.331,1.33
0.959,-1.36,1.359
0.967,-1.397,1.396
0.978,-1.45,1.449
0.996,-1.531,1.53
1.012,-1.609,1.608
1.019,-1.645,1.644
1.025,-1.676,1.675
1.031,-1.705,1.703
1.037,-1.733,1.732
1.042,-1.762,1.76
1.048,-1.792,1.79
1.055,-1.825,1.824
1.063,-1.866,1.864
1.075,-1.925,1.923
1.092,-2.016,2.014
1.107,-2.094,2.092
1.115,-2.14,2.138
1.123,-2.183,2.181
1.131,-2.227,2.225
1.139,-2.274,2.272
1.149,-2.332,2.33
1.165,-2.421,2.419
1.188,-2.557,2.555
1.2,-2.634,2.632
1.211,-2.699,2.697
1.223,-2.77,2.767
1.239,-2.872,2.87
1.242,-2.891,2.889
1.246,-2.919,2.917
1.253,-2.962,2.959
1.263,-3.026,3.023
1.278,-3.123,3.12
1.29,-3.202,3.199
1.303,-3.287,3.284
1.322,-3.418,3.415
1.35,-3.612,3.608
1.361,-3.685,3.681
1.376,-3.792,3.788
1.398,-3.955,3.951
1.414,-4.067,4.063
1.437,-4.237,4.233
1.468,-4.476,4.472
1.515,-4.847,4.842
1.56,-5.212,5.206
1.61,-5.635,5.629
1.656,-6.039,6.033
1.706,-6.492,6.485
1.756,-6.96,6.952
1.806,-7.444,7.436
1.821,-7.592,7.583
1.834,-7.721,7.712
1.847,-7.851,7.842
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.98,7.971
1.88,-8.172,8.162
1.909,-8.457,8.447
1.947,-8.82,8.809
1.997,-9.287,9.276
2.031,-9.606,9.594
2.049,-9.762,9.75
2.066,-9.916,9.904
2.091,-10.144,10.132
2.13,-10.482,10.469
2.144,-10.606,10.593
2.164,-10.774,10.761
2.193,-11.024,11.01
2.225,-11.285,11.27
2.261,-11.583,11.568
2.311,-11.988,11.972
2.361,-12.383,12.367
2.411,-12.771,12.754
2.445,-13.028,13.01
2.462,-13.156,13.138
2.487,-13.346,13.327
2.526,-13.628,13.608
2.539,-13.727,13.708
2.554,-13.836,13.817
2.577,-13.999,13.979
2.611,-14.24,14.22
2.624,-14.334,14.313
2.636,-14.416,14.395
2.648,-14.504,14.483
2.665,-14.62,14.599
2.69,-14.793,14.771
2.71,-14.93,14.908
2.723,-15.015,14.992
2.734,-15.093,15.07
2.747,-15.177,15.154
2.763,-15.285,15.263
2.787,-15.447,15.424
2.801,-15.541,15.517
2.812,-15.611,15.588
2.823,-15.68,15.656
2.834,-15.756,15.732
2.849,-15.854,15.83
2.872,-16,15.975
2.907,-16.217,16.192
2.923,-16.318,16.293
2.937,-16.408,16.382
2.952,-16.505,16.479
2.973,-16.635,16.609
3.004,-16.829,16.802
3.051,-17.116,17.088
3.078,-17.275,17.248
3.096,-17.381,17.352
3.115,-17.493,17.465
3.143,-17.661,17.632
3.186,-17.91,17.88
3.235,-18.189,18.159
3.25,-18.275,18.245
3.265,-18.356,18.326
3.286,-18.477,18.446
3.318,-18.657,18.625
3.336,-18.755,18.723
3.353,-18.848,18.816
3.374,-18.965,18.933
3.406,-19.139,19.106
3.426,-19.242,19.209
3.443,-19.336,19.303
3.462,-19.439,19.405
3.491,-19.592,19.557
3.534,-19.819,19.783
3.549,-19.9,19.864
3.564,-19.975,19.94
3.581,-20.066,20.03
3.608,-20.201,20.165
3.648,-20.403,20.366
3.681,-20.57,20.532
3.709,-20.709,20.671
3.735,-20.84,20.802
3.756,-20.945,20.906
3.781,-21.069,21.03
3.819,-21.255,21.215
3.848,-21.398,21.357
3.867,-21.492,21.451
3.885,-21.578,21.538
