# Simulation 36 (Up to date)
# 470 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.903e-5,-4.903e-5
0.051,1.698e-4,-1.698e-4
0.061,3.622e-4,-3.622e-4
0.071,6.255e-4,-6.256e-4
0.081,9.598e-4,-9.599e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.007,-0.007
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.235,0.008,-0.008
0.238,0.008,-0.008
0.242,0.009,-0.009
0.245,0.009,-0.009
0.248,0.009,-0.009
0.252,0.01,-0.01
0.255,0.011,-0.011
0.259,0.012,-0.012
0.262,0.013,-0.013
0.266,0.014,-0.014
0.27,0.015,-0.015
0.274,0.016,-0.016
0.278,0.017,-0.017
0.282,0.019,-0.019
0.287,0.02,-0.021
0.292,0.022,-0.022
0.297,0.025,-0.025
0.303,0.027,-0.027
0.31,0.03,-0.03
0.319,0.033,-0.033
0.33,0.038,-0.038
0.348,0.045,-0.045
0.37,0.05,-0.05
0.377,0.051,-0.051
0.383,0.051,-0.051
0.388,0.051,-0.051
0.393,0.051,-0.051
0.398,0.05,-0.05
0.402,0.049,-0.049
0.406,0.048,-0.048
0.41,0.047,-0.047
0.414,0.046,-0.046
0.418,0.044,-0.044
0.421,0.043,-0.043
0.425,0.041,-0.041
0.428,0.039,-0.039
0.432,0.037,-0.037
0.435,0.034,-0.034
0.439,0.032,-0.032
0.442,0.029,-0.029
0.446,0.026,-0.027
0.449,0.023,-0.024
0.452,0.02,-0.02
0.456,0.017,-0.017
0.46,0.013,-0.013
0.464,0.009,-0.009
0.468,0.004,-0.004
0.472,-0.001,0.001
0.475,-0.005,0.005
0.479,-0.01,0.01
0.485,-0.018,0.018
0.492,-0.028,0.028
0.502,-0.043,0.043
0.518,-0.067,0.067
0.541,-0.107,0.107
0.549,-0.121,0.121
0.555,-0.133,0.133
0.561,-0.144,0.144
0.567,-0.154,0.154
0.572,-0.164,0.164
0.577,-0.173,0.173
0.582,-0.183,0.183
0.587,-0.192,0.192
0.592,-0.202,0.201
0.597,-0.211,0.211
0.603,-0.221,0.221
0.608,-0.232,0.232
0.614,-0.243,0.243
0.62,-0.255,0.255
0.627,-0.268,0.268
0.635,-0.283,0.283
0.644,-0.302,0.302
0.659,-0.332,0.332
0.671,-0.358,0.358
0.687,-0.395,0.394
0.695,-0.413,0.412
0.702,-0.429,0.429
0.708,-0.444,0.444
0.714,-0.459,0.458
0.719,-0.473,0.473
0.723,-0.483,0.483
0.728,-0.498,0.498
0.734,-0.514,0.514
0.741,-0.532,0.531
0.748,-0.552,0.551
0.756,-0.576,0.575
0.766,-0.607,0.607
0.782,-0.657,0.656
0.806,-0.733,0.733
0.816,-0.765,0.765
0.823,-0.79,0.79
0.83,-0.813,0.813
0.836,-0.835,0.834
0.842,-0.856,0.855
0.85,-0.882,0.881
0.857,-0.905,0.905
0.865,-0.933,0.932
0.875,-0.968,0.967
0.89,-1.022,1.021
0.913,-1.106,1.105
0.925,-1.152,1.151
0.934,-1.191,1.19
0.944,-1.229,1.228
0.954,-1.269,1.268
0.965,-1.315,1.314
0.978,-1.373,1.372
0.999,-1.463,1.462
1.029,-1.602,1.6
1.05,-1.701,1.7
1.063,-1.763,1.762
1.082,-1.858,1.856
1.111,-2.004,2.002
1.138,-2.143,2.141
1.148,-2.198,2.196
1.159,-2.255,2.252
1.174,-2.34,2.338
1.197,-2.471,2.469
1.211,-2.55,2.548
1.221,-2.606,2.603
1.23,-2.662,2.659
1.242,-2.731,2.728
1.258,-2.828,2.825
1.283,-2.977,2.974
1.297,-3.061,3.058
1.303,-3.1,3.097
1.312,-3.16,3.157
1.327,-3.251,3.248
1.348,-3.39,3.386
1.377,-3.581,3.578
1.39,-3.667,3.663
1.405,-3.772,3.768
1.428,-3.931,3.927
1.442,-4.029,4.025
1.453,-4.106,4.101
1.465,-4.193,4.189
1.468,-4.212,4.207
1.472,-4.239,4.235
1.477,-4.28,4.276
1.486,-4.342,4.338
1.499,-4.436,4.432
1.513,-4.544,4.54
1.528,-4.654,4.649
1.55,-4.821,4.816
1.583,-5.076,5.071
1.632,-5.471,5.465
1.656,-5.667,5.661
1.692,-5.967,5.96
1.742,-6.398,6.39
1.769,-6.636,6.628
1.809,-7.001,6.992
1.821,-7.109,7.1
1.834,-7.229,7.22
1.847,-7.349,7.34
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.47,7.46
1.88,-7.648,7.639
1.895,-7.786,7.777
1.916,-7.974,7.964
1.947,-8.251,8.241
1.962,-8.381,8.371
1.984,-8.575,8.564
1.996,-8.68,8.669
2.007,-8.775,8.764
2.024,-8.916,8.905
2.049,-9.126,9.114
2.061,-9.232,9.22
2.073,-9.326,9.314
2.086,-9.438,9.426
2.107,-9.605,9.593
2.134,-9.83,9.817
2.146,-9.925,9.912
2.161,-10.041,10.027
2.182,-10.213,10.199
2.215,-10.468,10.454
2.264,-10.844,10.829
2.314,-11.22,11.204
2.341,-11.421,11.404
2.374,-11.664,11.647
2.4,-11.849,11.832
2.417,-11.969,11.952
2.437,-12.117,12.099
2.469,-12.337,12.319
2.498,-12.539,12.521
2.526,-12.731,12.712
2.565,-12.997,12.977
2.615,-13.331,13.31
2.651,-13.569,13.548
2.701,-13.891,13.869
2.74,-14.136,14.113
2.79,-14.449,14.425
2.84,-14.756,14.732
2.89,-15.057,15.032
2.94,-15.354,15.328
2.99,-15.647,15.62
3.022,-15.834,15.807
3.053,-16.006,15.979
3.098,-16.262,16.234
3.128,-16.428,16.399
3.167,-16.645,16.615
3.217,-16.916,16.886
3.267,-17.184,17.153
3.317,-17.447,17.415
3.355,-17.64,17.607
3.405,-17.895,17.862
3.432,-18.033,17.999
3.473,-18.239,18.204
3.523,-18.486,18.451
3.573,-18.73,18.694
3.623,-18.97,18.933
3.651,-19.103,19.065
3.692,-19.3,19.262
3.736,-19.505,19.466
3.785,-19.731,19.691
3.815,-19.867,19.827
3.86,-20.069,20.028
3.887,-20.185,20.144
3.904,-20.261,20.22
3.92,-20.335,20.293
3.942,-20.431,20.389
3.974,-20.574,20.531
4.023,-20.785,20.741
4.037,-20.848,20.804
4.049,-20.899,20.855
4.06,-20.946,20.901
4.073,-20.999,20.955
4.089,-21.066,21.021
4.113,-21.166,21.121
4.149,-21.315,21.269
4.189,-21.481,21.434
4.205,-21.547,21.5
4.22,-21.61,21.563
4.237,-21.681,21.634
4.259,-21.769,21.721
4.291,-21.901,21.853
4.339,-22.098,22.049
4.382,-22.266,22.216
4.408,-22.37,22.319
4.432,-22.467,22.417
4.462,-22.582,22.531
4.498,-22.722,22.671
4.54,-22.881,22.829
4.59,-23.07,23.017
4.64,-23.258,23.204
4.666,-23.356,23.301
4.693,-23.456,23.401
4.727,-23.586,23.53
4.768,-23.738,23.682
4.818,-23.923,23.866
4.868,-24.107,24.049
4.903,-24.232,24.174
4.932,-24.338,24.279
4.962,-24.448,24.388
4.998,-24.573,24.513
5.043,-24.735,24.674
5.093,-24.909,24.848
