# Simulation 37 (Up to date)
# 527 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.215e-5,-4.215e-5
0.051,1.448e-4,-1.448e-4
0.061,3.069e-4,-3.069e-4
0.071,5.281e-4,-5.282e-4
0.081,8.093e-4,-8.093e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.002,-0.002
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.003,-0.003
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.005,-0.005
0.203,0.005,-0.005
0.209,0.006,-0.006
0.216,0.006,-0.006
0.224,0.006,-0.006
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.006,-0.006
0.235,0.007,-0.007
0.238,0.007,-0.007
0.242,0.007,-0.007
0.245,0.008,-0.008
0.248,0.008,-0.008
0.252,0.009,-0.009
0.255,0.009,-0.009
0.259,0.01,-0.01
0.262,0.011,-0.011
0.266,0.012,-0.012
0.27,0.013,-0.013
0.274,0.014,-0.014
0.278,0.016,-0.016
0.282,0.017,-0.017
0.287,0.019,-0.019
0.292,0.021,-0.021
0.297,0.023,-0.023
0.303,0.025,-0.025
0.31,0.028,-0.028
0.319,0.032,-0.032
0.331,0.037,-0.037
0.35,0.043,-0.043
0.367,0.047,-0.047
0.37,0.047,-0.047
0.374,0.048,-0.048
0.381,0.048,-0.048
0.386,0.048,-0.048
0.391,0.048,-0.048
0.396,0.047,-0.047
0.4,0.047,-0.047
0.405,0.046,-0.046
0.409,0.044,-0.044
0.413,0.043,-0.043
0.417,0.041,-0.041
0.421,0.039,-0.04
0.425,0.037,-0.038
0.429,0.035,-0.035
0.433,0.033,-0.033
0.437,0.03,-0.03
0.441,0.027,-0.027
0.445,0.024,-0.024
0.449,0.021,-0.021
0.453,0.017,-0.017
0.457,0.013,-0.013
0.461,0.009,-0.009
0.466,0.004,-0.004
0.47,-0.001,0.001
0.475,-0.007,0.007
0.48,-0.013,0.013
0.486,-0.021,0.021
0.492,-0.03,0.03
0.5,-0.041,0.041
0.51,-0.056,0.056
0.525,-0.081,0.081
0.548,-0.121,0.121
0.555,-0.133,0.133
0.56,-0.144,0.144
0.566,-0.154,0.154
0.571,-0.163,0.163
0.576,-0.172,0.172
0.58,-0.181,0.181
0.585,-0.19,0.189
0.59,-0.198,0.198
0.594,-0.207,0.207
0.599,-0.216,0.215
0.604,-0.225,0.224
0.609,-0.234,0.234
0.614,-0.244,0.244
0.62,-0.255,0.255
0.627,-0.268,0.268
0.635,-0.285,0.284
0.647,-0.309,0.309
0.665,-0.347,0.346
0.671,-0.36,0.359
0.68,-0.38,0.379
0.69,-0.403,0.402
0.698,-0.422,0.421
0.702,-0.432,0.431
0.708,-0.447,0.447
0.714,-0.463,0.462
0.72,-0.478,0.477
0.723,-0.486,0.485
0.727,-0.497,0.497
0.733,-0.513,0.512
0.739,-0.528,0.528
0.744,-0.545,0.545
0.751,-0.564,0.563
0.758,-0.585,0.584
0.768,-0.615,0.614
0.782,-0.661,0.66
0.804,-0.732,0.731
0.811,-0.756,0.755
0.818,-0.777,0.777
0.824,-0.798,0.797
0.83,-0.818,0.818
0.836,-0.839,0.838
0.843,-0.861,0.86
0.85,-0.886,0.885
0.858,-0.914,0.913
0.869,-0.951,0.95
0.884,-1.007,1.006
0.908,-1.095,1.094
0.918,-1.132,1.131
0.927,-1.167,1.166
0.936,-1.203,1.202
0.945,-1.242,1.241
0.957,-1.29,1.289
0.974,-1.365,1.363
1.001,-1.479,1.478
1.011,-1.528,1.526
1.023,-1.578,1.577
1.036,-1.638,1.637
1.055,-1.73,1.728
1.063,-1.767,1.765
1.075,-1.822,1.821
1.09,-1.899,1.897
1.102,-1.958,1.956
1.114,-2.02,2.018
1.132,-2.116,2.114
1.16,-2.264,2.261
1.176,-2.353,2.351
1.2,-2.487,2.485
1.211,-2.549,2.547
1.227,-2.644,2.641
1.242,-2.73,2.727
1.262,-2.852,2.849
1.293,-3.04,3.036
1.303,-3.102,3.099
1.316,-3.181,3.178
1.334,-3.301,3.297
1.363,-3.484,3.481
1.374,-3.563,3.559
1.385,-3.632,3.628
1.396,-3.708,3.704
1.412,-3.817,3.813
1.436,-3.984,3.98
1.454,-4.113,4.109
1.468,-4.216,4.211
1.486,-4.343,4.338
1.512,-4.537,4.532
1.528,-4.658,4.653
1.539,-4.746,4.741
1.552,-4.846,4.841
1.572,-4.999,4.993
1.59,-5.138,5.132
1.6,-5.219,5.213
1.61,-5.304,5.298
1.623,-5.403,5.397
1.641,-5.554,5.547
1.656,-5.675,5.668
1.671,-5.799,5.792
1.683,-5.901,5.894
1.699,-6.034,6.026
1.722,-6.234,6.227
1.732,-6.325,6.317
1.742,-6.404,6.396
1.752,-6.492,6.484
1.767,-6.624,6.616
1.782,-6.765,6.756
1.79,-6.829,6.821
1.796,-6.891,6.883
1.804,-6.959,6.951
1.814,-7.05,7.042
1.821,-7.116,7.107
1.834,-7.236,7.227
1.847,-7.356,7.347
1.855,-7.434,7.425
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.476,7.467
1.867,-7.539,7.529
1.877,-7.633,7.623
1.893,-7.773,7.763
1.91,-7.933,7.922
1.922,-8.038,8.028
1.937,-8.167,8.157
1.958,-8.359,8.348
1.973,-8.483,8.472
1.981,-8.557,8.546
1.99,-8.629,8.618
1.999,-8.713,8.702
2.014,-8.839,8.827
2.031,-8.979,8.967
2.037,-9.036,9.024
2.044,-9.089,9.076
2.05,-9.143,9.131
2.058,-9.204,9.192
2.067,-9.28,9.267
2.08,-9.393,9.38
2.1,-9.561,9.548
2.111,-9.649,9.636
2.119,-9.709,9.696
2.125,-9.765,9.751
2.132,-9.822,9.808
2.14,-9.886,9.873
2.151,-9.973,9.959
2.168,-10.102,10.088
2.18,-10.199,10.185
2.187,-10.258,10.244
2.194,-10.312,10.297
2.201,-10.366,10.352
2.209,-10.428,10.413
2.221,-10.52,10.505
2.238,-10.658,10.643
2.248,-10.729,10.713
2.255,-10.785,10.77
2.262,-10.842,10.827
2.271,-10.906,10.89
2.282,-10.99,10.974
2.299,-11.115,11.099
2.324,-11.301,11.285
2.334,-11.38,11.364
2.345,-11.462,11.446
2.359,-11.565,11.548
2.38,-11.719,11.702
2.404,-11.888,11.87
2.417,-11.982,11.964
2.431,-12.087,12.069
2.454,-12.244,12.226
2.487,-12.477,12.458
2.506,-12.611,12.592
2.535,-12.811,12.791
2.55,-12.911,12.892
2.562,-12.991,12.971
2.58,-13.11,13.089
2.606,-13.286,13.265
2.618,-13.361,13.34
2.629,-13.439,13.418
2.644,-13.535,13.514
2.666,-13.678,13.656
2.698,-13.89,13.868
2.738,-14.145,14.122
2.757,-14.264,14.241
2.784,-14.43,14.406
2.824,-14.675,14.651
2.856,-14.874,14.849
2.905,-15.167,15.141
2.955,-15.462,15.436
3.005,-15.752,15.725
3.055,-16.038,16.01
3.105,-16.319,16.29
3.126,-16.435,16.405
3.157,-16.607,16.577
3.183,-16.752,16.721
3.199,-16.835,16.805
3.214,-16.917,16.887
3.237,-17.039,17.008
3.271,-17.221,17.189
3.321,-17.482,17.449
3.371,-17.74,17.706
3.387,-17.824,17.791
3.407,-17.925,17.892
3.437,-18.076,18.042
3.481,-18.3,18.265
3.497,-18.38,18.345
3.511,-18.448,18.413
