# Simulation 59 (Up to date)
# 505 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.457e-5,-4.457e-5
0.051,1.548e-4,-1.548e-4
0.061,3.313e-4,-3.313e-4
0.071,5.742e-4,-5.742e-4
0.081,8.842e-4,-8.842e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.005,-0.005
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.007,-0.007
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.235,0.007,-0.007
0.238,0.008,-0.008
0.242,0.008,-0.008
0.245,0.008,-0.008
0.248,0.009,-0.009
0.252,0.01,-0.01
0.255,0.01,-0.01
0.259,0.011,-0.011
0.263,0.012,-0.012
0.267,0.013,-0.013
0.271,0.014,-0.014
0.275,0.015,-0.015
0.279,0.017,-0.017
0.284,0.019,-0.019
0.289,0.02,-0.02
0.292,0.021,-0.021
0.296,0.023,-0.023
0.302,0.025,-0.025
0.31,0.028,-0.028
0.32,0.032,-0.032
0.334,0.037,-0.037
0.354,0.044,-0.044
0.37,0.047,-0.047
0.379,0.048,-0.048
0.386,0.048,-0.048
0.392,0.047,-0.047
0.398,0.047,-0.047
0.403,0.046,-0.046
0.408,0.045,-0.045
0.413,0.043,-0.043
0.418,0.041,-0.041
0.422,0.04,-0.04
0.427,0.037,-0.037
0.431,0.035,-0.035
0.436,0.033,-0.033
0.44,0.03,-0.03
0.444,0.027,-0.027
0.448,0.023,-0.023
0.453,0.02,-0.02
0.457,0.016,-0.016
0.462,0.012,-0.012
0.466,0.007,-0.007
0.471,0.002,-0.002
0.475,-0.003,0.003
0.48,-0.009,0.009
0.486,-0.016,0.016
0.493,-0.025,0.025
0.5,-0.035,0.035
0.51,-0.05,0.05
0.526,-0.074,0.074
0.548,-0.114,0.114
0.558,-0.131,0.131
0.565,-0.145,0.145
0.572,-0.157,0.157
0.578,-0.169,0.169
0.584,-0.18,0.18
0.59,-0.192,0.191
0.596,-0.203,0.202
0.601,-0.214,0.214
0.607,-0.225,0.225
0.613,-0.238,0.238
0.62,-0.252,0.251
0.628,-0.268,0.268
0.638,-0.289,0.289
0.654,-0.322,0.321
0.671,-0.361,0.361
0.687,-0.4,0.4
0.697,-0.424,0.423
0.702,-0.437,0.437
0.71,-0.458,0.457
0.717,-0.479,0.478
0.723,-0.494,0.494
0.731,-0.518,0.517
0.741,-0.546,0.545
0.753,-0.583,0.582
0.771,-0.64,0.64
0.799,-0.73,0.73
0.816,-0.79,0.79
0.826,-0.823,0.822
0.834,-0.852,0.851
0.842,-0.879,0.879
0.85,-0.909,0.908
0.858,-0.939,0.938
0.869,-0.977,0.976
0.884,-1.034,1.033
0.907,-1.124,1.123
0.92,-1.175,1.174
0.928,-1.212,1.211
0.937,-1.246,1.245
0.944,-1.28,1.278
0.952,-1.315,1.314
0.961,-1.355,1.354
0.972,-1.402,1.401
0.986,-1.469,1.468
1.008,-1.573,1.572
1.025,-1.656,1.654
1.034,-1.702,1.7
1.042,-1.743,1.742
1.051,-1.785,1.783
1.06,-1.83,1.829
1.063,-1.848,1.846
1.068,-1.874,1.872
1.076,-1.913,1.912
1.087,-1.974,1.972
1.105,-2.066,2.064
1.116,-2.126,2.124
1.124,-2.172,2.17
1.132,-2.216,2.214
1.14,-2.261,2.259
1.148,-2.311,2.309
1.159,-2.375,2.373
1.176,-2.473,2.471
1.188,-2.549,2.546
1.196,-2.594,2.592
1.202,-2.634,2.632
1.211,-2.687,2.684
1.219,-2.737,2.735
1.231,-2.81,2.808
1.242,-2.879,2.876
1.258,-2.984,2.981
1.268,-3.045,3.042
1.276,-3.097,3.094
1.284,-3.148,3.145
1.292,-3.205,3.202
1.303,-3.277,3.274
1.319,-3.387,3.384
1.339,-3.526,3.523
1.347,-3.582,3.578
1.355,-3.634,3.631
1.362,-3.688,3.684
1.371,-3.746,3.742
1.381,-3.818,3.814
1.396,-3.928,3.924
1.419,-4.095,4.091
1.428,-4.16,4.156
1.436,-4.221,4.217
1.444,-4.284,4.28
1.454,-4.361,4.357
1.468,-4.465,4.461
1.488,-4.623,4.619
1.499,-4.707,4.702
1.508,-4.781,4.776
1.52,-4.873,4.868
1.537,-5.011,5.006
1.563,-5.223,5.218
1.575,-5.326,5.321
1.59,-5.453,5.447
1.613,-5.646,5.64
1.631,-5.803,5.797
1.643,-5.91,5.903
1.656,-6.019,6.013
1.675,-6.185,6.179
1.702,-6.429,6.422
1.718,-6.573,6.566
1.741,-6.792,6.785
1.777,-7.127,7.118
1.789,-7.245,7.236
1.805,-7.401,7.393
1.821,-7.554,7.546
1.831,-7.651,7.642
1.834,-7.682,7.673
1.839,-7.728,7.719
1.847,-7.81,7.801
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.938,7.929
1.88,-8.129,8.119
1.889,-8.216,8.207
1.896,-8.292,8.282
1.905,-8.371,8.361
1.916,-8.484,8.474
1.934,-8.652,8.641
1.946,-8.759,8.749
1.955,-8.844,8.834
1.964,-8.926,8.915
1.973,-9.014,9.003
1.986,-9.132,9.12
2.005,-9.307,9.295
2.022,-9.463,9.451
2.032,-9.554,9.542
2.043,-9.651,9.639
2.058,-9.785,9.773
2.08,-9.984,9.971
2.114,-10.279,10.266
2.133,-10.442,10.428
2.158,-10.651,10.637
2.194,-10.96,10.946
2.211,-11.096,11.081
2.232,-11.275,11.26
2.265,-11.54,11.525
2.286,-11.712,11.696
2.307,-11.881,11.864
2.339,-12.131,12.114
2.374,-12.403,12.386
2.424,-12.786,12.768
2.473,-13.152,13.134
2.497,-13.33,13.311
2.515,-13.461,13.441
2.535,-13.606,13.586
2.565,-13.82,13.8
2.579,-13.926,13.906
2.589,-13.991,13.97
2.597,-14.05,14.03
2.605,-14.11,14.09
2.616,-14.185,14.164
2.632,-14.297,14.276
2.656,-14.463,14.441
2.667,-14.54,14.518
2.678,-14.616,14.594
2.69,-14.702,14.68
2.709,-14.825,14.803
2.736,-15.008,14.985
2.753,-15.125,15.102
2.768,-15.224,15.2
2.79,-15.371,15.348
2.824,-15.59,15.566
2.839,-15.692,15.667
2.853,-15.783,15.758
2.871,-15.897,15.872
2.898,-16.068,16.042
2.913,-16.158,16.133
2.928,-16.257,16.231
2.951,-16.402,16.376
2.986,-16.619,16.592
3.036,-16.924,16.897
3.086,-17.225,17.196
3.136,-17.521,17.491
3.161,-17.668,17.638
3.199,-17.887,17.856
3.217,-17.988,17.957
3.233,-18.081,18.05
3.252,-18.186,18.155
3.279,-18.343,18.311
3.321,-18.576,18.543
3.335,-18.658,18.625
3.349,-18.731,18.698
3.362,-18.806,18.773
3.377,-18.884,18.851
3.394,-18.977,18.944
3.42,-19.116,19.082
3.458,-19.322,19.287
3.471,-19.388,19.353
3.483,-19.451,19.415
3.495,-19.514,19.479
3.508,-19.584,19.548
3.524,-19.669,19.633
3.548,-19.796,19.76
3.584,-19.985,19.949
3.599,-20.065,20.028
3.612,-20.129,20.092
3.623,-20.187,20.15
3.634,-20.244,20.207
3.646,-20.304,20.266
3.659,-20.37,20.332
3.677,-20.46,20.422
3.704,-20.594,20.556
