# Simulation 49 (Up to date)
# 484 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.341e-5,-4.341e-5
0.051,1.507e-4,-1.507e-4
0.061,3.224e-4,-3.224e-4
0.071,5.595e-4,-5.595e-4
0.081,8.635e-4,-8.635e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.006,-0.006
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.007,-0.007
0.238,0.008,-0.008
0.241,0.008,-0.008
0.244,0.008,-0.008
0.248,0.009,-0.009
0.251,0.01,-0.01
0.255,0.01,-0.01
0.258,0.011,-0.011
0.262,0.012,-0.012
0.265,0.013,-0.013
0.269,0.014,-0.014
0.273,0.015,-0.015
0.277,0.017,-0.017
0.281,0.018,-0.018
0.285,0.02,-0.02
0.292,0.022,-0.022
0.297,0.025,-0.025
0.303,0.027,-0.027
0.311,0.03,-0.03
0.32,0.034,-0.034
0.333,0.04,-0.04
0.353,0.047,-0.047
0.367,0.05,-0.05
0.37,0.05,-0.05
0.375,0.051,-0.051
0.382,0.051,-0.051
0.388,0.051,-0.051
0.393,0.051,-0.051
0.398,0.05,-0.05
0.403,0.049,-0.049
0.407,0.048,-0.048
0.411,0.047,-0.047
0.416,0.045,-0.045
0.42,0.043,-0.044
0.423,0.042,-0.042
0.427,0.04,-0.04
0.431,0.037,-0.037
0.435,0.035,-0.035
0.438,0.032,-0.033
0.442,0.03,-0.03
0.445,0.027,-0.027
0.449,0.024,-0.024
0.453,0.02,-0.02
0.456,0.017,-0.017
0.46,0.013,-0.013
0.464,0.009,-0.009
0.467,0.005,-0.005
0.471,-1.608e-5,-4.957e-5
0.475,-0.004,0.004
0.479,-0.01,0.01
0.484,-0.016,0.016
0.489,-0.023,0.023
0.495,-0.032,0.032
0.501,-0.042,0.042
0.51,-0.056,0.056
0.523,-0.078,0.078
0.542,-0.113,0.112
0.549,-0.126,0.126
0.555,-0.137,0.137
0.56,-0.146,0.146
0.564,-0.155,0.155
0.569,-0.164,0.164
0.573,-0.172,0.172
0.577,-0.18,0.18
0.581,-0.188,0.188
0.585,-0.195,0.195
0.589,-0.203,0.203
0.593,-0.211,0.211
0.597,-0.218,0.218
0.601,-0.226,0.226
0.605,-0.234,0.234
0.609,-0.243,0.242
0.614,-0.251,0.251
0.619,-0.261,0.261
0.624,-0.271,0.271
0.63,-0.283,0.283
0.637,-0.298,0.298
0.647,-0.318,0.318
0.663,-0.35,0.35
0.671,-0.368,0.368
0.683,-0.395,0.395
0.69,-0.412,0.412
0.696,-0.427,0.427
0.702,-0.441,0.441
0.707,-0.454,0.454
0.712,-0.467,0.467
0.717,-0.48,0.48
0.723,-0.496,0.496
0.728,-0.51,0.509
0.733,-0.524,0.523
0.738,-0.539,0.538
0.743,-0.555,0.554
0.75,-0.573,0.573
0.757,-0.595,0.594
0.766,-0.623,0.622
0.779,-0.666,0.666
0.799,-0.733,0.733
0.809,-0.768,0.767
0.816,-0.792,0.791
0.822,-0.812,0.811
0.827,-0.831,0.83
0.833,-0.848,0.848
0.838,-0.866,0.865
0.842,-0.883,0.882
0.847,-0.9,0.9
0.85,-0.91,0.909
0.854,-0.923,0.923
0.86,-0.944,0.943
0.867,-0.97,0.969
0.877,-1.008,1.007
0.893,-1.066,1.066
0.908,-1.122,1.121
0.915,-1.15,1.149
0.921,-1.174,1.173
0.927,-1.197,1.196
0.932,-1.219,1.218
0.937,-1.241,1.24
0.943,-1.264,1.263
0.948,-1.288,1.287
0.954,-1.315,1.314
0.962,-1.349,1.348
0.974,-1.4,1.399
0.991,-1.479,1.478
1,-1.522,1.52
1.007,-1.553,1.551
1.013,-1.583,1.582
1.02,-1.614,1.612
1.027,-1.647,1.646
1.035,-1.685,1.684
1.045,-1.734,1.733
1.06,-1.809,1.808
1.063,-1.823,1.821
1.067,-1.842,1.841
1.073,-1.872,1.871
1.082,-1.918,1.916
1.095,-1.987,1.985
1.107,-2.047,2.045
1.12,-2.115,2.113
1.139,-2.221,2.219
1.168,-2.383,2.381
1.196,-2.546,2.543
1.211,-2.632,2.629
1.233,-2.763,2.761
1.242,-2.819,2.816
1.256,-2.903,2.9
1.276,-3.032,3.029
1.303,-3.204,3.201
1.343,-3.47,3.467
1.393,-3.815,3.812
1.422,-4.024,4.02
1.468,-4.358,4.354
1.518,-4.74,4.736
1.568,-5.138,5.132
1.607,-5.457,5.451
1.656,-5.874,5.868
1.706,-6.313,6.306
1.756,-6.766,6.759
1.806,-7.234,7.225
1.821,-7.376,7.368
1.834,-7.501,7.492
1.847,-7.626,7.617
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.751,7.741
1.88,-7.936,7.927
1.909,-8.211,8.201
1.953,-8.616,8.605
2.003,-9.067,9.055
2.053,-9.506,9.494
2.103,-9.934,9.921
2.153,-10.353,10.339
2.203,-10.761,10.747
2.231,-10.99,10.976
2.274,-11.328,11.313
2.291,-11.463,11.447
2.309,-11.602,11.586
2.336,-11.808,11.791
2.358,-11.974,11.957
2.379,-12.13,12.113
2.41,-12.361,12.343
2.456,-12.695,12.677
2.506,-13.051,13.032
2.556,-13.4,13.381
2.58,-13.567,13.547
2.616,-13.813,13.792
2.633,-13.925,13.904
2.648,-14.022,14
2.664,-14.132,14.111
2.69,-14.297,14.275
2.705,-14.4,14.378
2.717,-14.477,14.455
2.729,-14.552,14.529
2.742,-14.636,14.613
2.76,-14.754,14.731
2.788,-14.929,14.906
2.8,-15.005,14.981
2.81,-15.069,15.045
2.821,-15.136,15.112
2.833,-15.215,15.191
2.853,-15.332,15.308
2.881,-15.507,15.482
2.892,-15.569,15.544
2.9,-15.623,15.597
2.909,-15.675,15.649
2.92,-15.739,15.713
2.935,-15.834,15.808
2.959,-15.977,15.95
2.975,-16.072,16.046
2.987,-16.14,16.114
2.998,-16.204,16.177
3.009,-16.271,16.244
3.023,-16.352,16.325
3.044,-16.473,16.445
3.076,-16.652,16.624
3.095,-16.758,16.73
3.111,-16.849,16.821
3.126,-16.933,16.904
3.141,-17.019,16.99
3.16,-17.124,17.095
3.188,-17.281,17.251
3.213,-17.416,17.386
3.229,-17.502,17.471
3.245,-17.59,17.56
3.266,-17.7,17.669
3.287,-17.815,17.783
3.313,-17.95,17.918
3.352,-18.151,18.119
3.378,-18.286,18.253
3.396,-18.377,18.344
3.414,-18.469,18.436
3.441,-18.607,18.573
3.481,-18.811,18.776
3.505,-18.93,18.895
3.536,-19.08,19.044
3.581,-19.301,19.265
3.603,-19.407,19.371
3.621,-19.494,19.457
3.646,-19.612,19.575
3.683,-19.788,19.75
3.733,-20.023,19.984
3.767,-20.179,20.14
3.798,-20.324,20.284
3.833,-20.481,20.441
3.883,-20.705,20.664
3.922,-20.88,20.838
3.957,-21.032,20.99
4.007,-21.251,21.208
4.057,-21.466,21.422
4.084,-21.58,21.536
4.124,-21.75,21.704
4.174,-21.958,21.912
4.22,-22.147,22.1
4.27,-22.35,22.302
4.3,-22.472,22.424
4.345,-22.653,22.604
4.39,-22.833,22.783
