# Simulation 93 (Up to date)
# 522 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.607e-5,-5.607e-5
0.051,1.948e-4,-1.948e-4
0.061,4.173e-4,-4.173e-4
0.071,7.244e-4,-7.244e-4
0.081,0.001,-0.001
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.002,-0.002
0.112,0.003,-0.003
0.122,0.003,-0.003
0.132,0.004,-0.004
0.139,0.004,-0.004
0.149,0.005,-0.005
0.159,0.005,-0.005
0.169,0.006,-0.006
0.179,0.006,-0.006
0.189,0.007,-0.007
0.192,0.007,-0.007
0.196,0.007,-0.007
0.203,0.008,-0.008
0.209,0.008,-0.008
0.216,0.008,-0.008
0.224,0.009,-0.009
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.009,-0.009
0.234,0.009,-0.009
0.237,0.01,-0.01
0.24,0.01,-0.01
0.243,0.01,-0.01
0.248,0.011,-0.011
0.251,0.012,-0.012
0.254,0.013,-0.013
0.257,0.013,-0.013
0.261,0.014,-0.014
0.264,0.015,-0.015
0.267,0.017,-0.017
0.271,0.018,-0.018
0.274,0.019,-0.019
0.278,0.021,-0.021
0.282,0.022,-0.022
0.286,0.024,-0.024
0.292,0.027,-0.027
0.297,0.029,-0.029
0.303,0.032,-0.032
0.309,0.035,-0.035
0.317,0.039,-0.039
0.328,0.044,-0.044
0.345,0.051,-0.051
0.37,0.059,-0.059
0.377,0.06,-0.06
0.382,0.06,-0.06
0.387,0.06,-0.06
0.392,0.06,-0.06
0.397,0.059,-0.06
0.401,0.059,-0.059
0.405,0.058,-0.058
0.409,0.057,-0.057
0.412,0.056,-0.056
0.416,0.054,-0.054
0.42,0.053,-0.053
0.423,0.051,-0.051
0.427,0.049,-0.049
0.43,0.047,-0.047
0.434,0.044,-0.044
0.437,0.042,-0.042
0.441,0.039,-0.039
0.444,0.036,-0.036
0.448,0.033,-0.033
0.451,0.03,-0.03
0.455,0.026,-0.026
0.459,0.022,-0.022
0.463,0.018,-0.018
0.466,0.013,-0.013
0.471,0.008,-0.008
0.475,0.003,-0.003
0.48,-0.004,0.004
0.485,-0.011,0.011
0.49,-0.019,0.019
0.497,-0.03,0.029
0.505,-0.044,0.043
0.518,-0.066,0.066
0.537,-0.101,0.101
0.545,-0.117,0.116
0.551,-0.128,0.128
0.556,-0.139,0.139
0.561,-0.149,0.149
0.566,-0.159,0.159
0.571,-0.168,0.168
0.576,-0.178,0.178
0.58,-0.188,0.188
0.585,-0.198,0.198
0.59,-0.209,0.209
0.596,-0.22,0.219
0.601,-0.231,0.231
0.607,-0.244,0.244
0.613,-0.257,0.257
0.62,-0.271,0.271
0.627,-0.287,0.286
0.635,-0.305,0.305
0.645,-0.329,0.328
0.661,-0.365,0.365
0.671,-0.39,0.39
0.686,-0.429,0.429
0.695,-0.452,0.452
0.702,-0.472,0.471
0.708,-0.49,0.49
0.715,-0.508,0.507
0.723,-0.533,0.532
0.729,-0.552,0.551
0.736,-0.572,0.571
0.742,-0.594,0.593
0.75,-0.619,0.619
0.76,-0.651,0.65
0.773,-0.696,0.695
0.792,-0.765,0.765
0.819,-0.865,0.864
0.827,-0.897,0.896
0.834,-0.925,0.925
0.841,-0.953,0.952
0.85,-0.987,0.986
0.857,-1.016,1.015
0.866,-1.052,1.051
0.879,-1.103,1.102
0.898,-1.182,1.181
0.916,-1.264,1.263
0.925,-1.304,1.303
0.933,-1.34,1.339
0.941,-1.376,1.375
0.949,-1.413,1.412
0.957,-1.454,1.453
0.968,-1.508,1.507
0.985,-1.591,1.59
1.01,-1.719,1.718
1.02,-1.776,1.774
1.03,-1.829,1.827
1.041,-1.885,1.884
1.054,-1.954,1.952
1.063,-2.006,2.004
1.077,-2.085,2.083
1.098,-2.206,2.204
1.116,-2.308,2.306
1.128,-2.379,2.377
1.139,-2.45,2.448
1.153,-2.537,2.535
1.174,-2.67,2.668
1.203,-2.853,2.851
1.211,-2.908,2.906
1.222,-2.98,2.977
1.233,-3.057,3.054
1.242,-3.115,3.112
1.255,-3.203,3.2
1.274,-3.337,3.334
1.295,-3.481,3.478
1.303,-3.538,3.535
1.315,-3.625,3.622
1.333,-3.757,3.753
1.36,-3.958,3.954
1.383,-4.136,4.132
1.419,-4.409,4.405
1.468,-4.809,4.804
1.487,-4.969,4.964
1.504,-5.114,5.109
1.53,-5.334,5.329
1.541,-5.428,5.423
1.55,-5.511,5.506
1.561,-5.604,5.599
1.577,-5.745,5.739
1.601,-5.959,5.953
1.612,-6.06,6.054
1.621,-6.15,6.143
1.632,-6.252,6.246
1.649,-6.408,6.401
1.656,-6.475,6.468
1.667,-6.576,6.569
1.675,-6.652,6.645
1.681,-6.716,6.709
1.688,-6.779,6.772
1.695,-6.848,6.841
1.704,-6.935,6.928
1.717,-7.067,7.059
1.728,-7.175,7.168
1.734,-7.236,7.229
1.74,-7.292,7.284
1.745,-7.347,7.339
1.751,-7.405,7.397
1.758,-7.475,7.467
1.769,-7.581,7.573
1.784,-7.741,7.732
1.793,-7.834,7.825
1.8,-7.905,7.897
1.807,-7.975,7.966
1.815,-8.067,8.058
1.821,-8.126,8.117
1.829,-8.213,8.204
1.834,-8.263,8.253
1.841,-8.337,8.328
1.847,-8.4,8.391
1.855,-8.482,8.472
# Event BURNOUT occurred at t=1.86 seconds
1.86,-8.538,8.528
1.868,-8.622,8.612
1.88,-8.747,8.738
1.898,-8.934,8.924
1.908,-9.037,9.026
1.918,-9.138,9.128
1.93,-9.267,9.256
1.949,-9.459,9.448
1.972,-9.682,9.671
1.988,-9.849,9.837
2.014,-10.096,10.084
2.031,-10.264,10.251
2.042,-10.369,10.357
2.054,-10.486,10.474
2.072,-10.661,10.648
2.087,-10.801,10.788
2.096,-10.887,10.873
2.105,-10.971,10.958
2.116,-11.073,11.059
2.132,-11.224,11.21
2.157,-11.448,11.434
2.168,-11.552,11.538
2.179,-11.645,11.631
2.19,-11.751,11.736
2.208,-11.908,11.893
2.234,-12.141,12.126
2.245,-12.233,12.218
2.255,-12.326,12.31
2.269,-12.449,12.433
2.291,-12.633,12.617
2.307,-12.775,12.759
2.322,-12.898,12.881
2.343,-13.08,13.063
2.376,-13.351,13.334
2.389,-13.461,13.443
2.403,-13.578,13.56
2.425,-13.754,13.736
2.438,-13.86,13.841
2.446,-13.929,13.911
2.454,-13.993,13.974
2.462,-14.056,14.037
2.47,-14.123,14.104
2.48,-14.2,14.18
2.494,-14.309,14.29
2.515,-14.473,14.453
2.527,-14.563,14.543
2.535,-14.624,14.604
2.542,-14.679,14.659
2.549,-14.734,14.713
2.556,-14.791,14.77
2.564,-14.85,14.83
2.572,-14.916,14.895
2.583,-14.998,14.978
2.599,-15.121,15.1
2.623,-15.305,15.283
2.633,-15.381,15.36
2.642,-15.446,15.424
2.65,-15.509,15.487
2.659,-15.574,15.552
2.669,-15.646,15.623
2.681,-15.734,15.711
2.699,-15.865,15.842
2.726,-16.06,16.037
2.74,-16.166,16.143
2.753,-16.26,16.236
2.769,-16.368,16.344
2.791,-16.53,16.505
2.825,-16.769,16.744
2.852,-16.956,16.931
2.893,-17.234,17.208
2.943,-17.572,17.545
2.965,-17.722,17.695
2.988,-17.875,17.848
3.023,-18.103,18.075
3.073,-18.428,18.399
3.085,-18.506,18.477
3.096,-18.576,18.547
3.107,-18.646,18.617
3.121,-18.735,18.706
3.142,-18.868,18.838
3.174,-19.065,19.035
3.187,-19.148,19.118
