# Simulation 92 (Up to date)
# 463 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,5.056e-5,-5.056e-5
0.051,1.758e-4,-1.758e-4
0.061,3.761e-4,-3.761e-4
0.071,6.504e-4,-6.504e-4
0.081,9.978e-4,-9.979e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.004,-0.004
0.149,0.004,-0.004
0.159,0.005,-0.005
0.169,0.005,-0.005
0.179,0.006,-0.006
0.189,0.006,-0.006
0.192,0.006,-0.006
0.196,0.006,-0.006
0.203,0.007,-0.007
0.209,0.007,-0.007
0.216,0.007,-0.007
0.224,0.008,-0.008
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.008,-0.008
0.234,0.008,-0.008
0.238,0.008,-0.008
0.241,0.009,-0.009
0.244,0.009,-0.009
0.248,0.01,-0.01
0.251,0.01,-0.01
0.255,0.011,-0.011
0.258,0.012,-0.012
0.262,0.013,-0.013
0.265,0.014,-0.014
0.269,0.015,-0.015
0.273,0.016,-0.016
0.277,0.018,-0.018
0.281,0.019,-0.019
0.286,0.021,-0.021
0.292,0.024,-0.024
0.297,0.026,-0.026
0.303,0.028,-0.028
0.311,0.032,-0.032
0.32,0.035,-0.035
0.334,0.041,-0.041
0.354,0.048,-0.048
0.365,0.05,-0.051
0.37,0.051,-0.051
0.377,0.052,-0.052
0.382,0.052,-0.052
0.388,0.052,-0.052
0.393,0.052,-0.052
0.397,0.051,-0.051
0.402,0.05,-0.05
0.406,0.049,-0.049
0.41,0.048,-0.048
0.414,0.046,-0.046
0.418,0.044,-0.044
0.422,0.042,-0.043
0.426,0.04,-0.04
0.43,0.038,-0.038
0.434,0.035,-0.035
0.438,0.033,-0.033
0.442,0.029,-0.029
0.447,0.026,-0.026
0.451,0.022,-0.022
0.455,0.018,-0.018
0.459,0.014,-0.014
0.464,0.009,-0.009
0.468,0.004,-0.004
0.475,-0.004,0.004
0.48,-0.01,0.01
0.486,-0.018,0.018
0.492,-0.026,0.026
0.499,-0.037,0.037
0.508,-0.051,0.051
0.522,-0.074,0.074
0.543,-0.111,0.11
0.554,-0.131,0.131
0.561,-0.145,0.145
0.568,-0.158,0.158
0.573,-0.169,0.169
0.579,-0.179,0.179
0.584,-0.189,0.189
0.589,-0.199,0.199
0.593,-0.209,0.208
0.598,-0.218,0.218
0.603,-0.228,0.227
0.608,-0.237,0.237
0.613,-0.247,0.247
0.618,-0.257,0.257
0.623,-0.268,0.268
0.629,-0.28,0.28
0.636,-0.294,0.293
0.643,-0.309,0.309
0.653,-0.331,0.33
0.668,-0.363,0.363
0.671,-0.369,0.369
0.675,-0.378,0.377
0.681,-0.391,0.39
0.689,-0.411,0.41
0.699,-0.433,0.433
0.702,-0.442,0.442
0.707,-0.455,0.455
0.714,-0.471,0.471
0.719,-0.487,0.487
0.723,-0.497,0.496
0.728,-0.511,0.511
0.734,-0.527,0.527
0.74,-0.544,0.543
0.746,-0.561,0.561
0.752,-0.58,0.58
0.76,-0.603,0.602
0.769,-0.631,0.631
0.783,-0.676,0.675
0.803,-0.745,0.744
0.816,-0.787,0.786
0.825,-0.819,0.818
0.833,-0.848,0.847
0.841,-0.876,0.876
0.85,-0.907,0.906
0.859,-0.939,0.939
0.869,-0.976,0.975
0.882,-1.022,1.021
0.9,-1.093,1.092
0.929,-1.205,1.204
0.946,-1.277,1.275
0.961,-1.341,1.34
0.975,-1.402,1.401
0.99,-1.468,1.466
1.01,-1.559,1.558
1.04,-1.702,1.701
1.054,-1.773,1.772
1.063,-1.818,1.816
1.076,-1.885,1.883
1.097,-1.988,1.986
1.127,-2.148,2.146
1.145,-2.245,2.243
1.161,-2.337,2.335
1.183,-2.46,2.458
1.211,-2.628,2.626
1.234,-2.766,2.764
1.242,-2.816,2.813
1.254,-2.892,2.889
1.273,-3.007,3.004
1.3,-3.183,3.18
1.303,-3.202,3.198
1.307,-3.23,3.226
1.314,-3.272,3.269
1.323,-3.336,3.333
1.338,-3.433,3.43
1.36,-3.582,3.578
1.385,-3.757,3.753
1.397,-3.843,3.839
1.411,-3.943,3.939
1.432,-4.095,4.091
1.451,-4.232,4.227
1.463,-4.323,4.319
1.468,-4.361,4.356
1.475,-4.417,4.413
1.487,-4.503,4.498
1.504,-4.633,4.628
1.523,-4.786,4.781
1.536,-4.89,4.885
1.553,-5.021,5.015
1.578,-5.22,5.214
1.598,-5.389,5.383
1.616,-5.536,5.529
1.642,-5.759,5.752
1.653,-5.854,5.848
1.656,-5.877,5.87
1.66,-5.91,5.903
1.666,-5.961,5.954
1.675,-6.037,6.03
1.688,-6.152,6.145
1.698,-6.239,6.232
1.707,-6.321,6.314
1.721,-6.446,6.439
1.742,-6.636,6.628
1.752,-6.729,6.721
1.762,-6.82,6.811
1.777,-6.957,6.948
1.799,-7.165,7.156
1.811,-7.284,7.275
1.821,-7.376,7.367
1.834,-7.501,7.492
1.847,-7.627,7.617
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.752,7.742
1.88,-7.939,7.929
1.897,-8.108,8.098
1.924,-8.36,8.349
1.965,-8.73,8.719
2.015,-9.179,9.167
2.056,-9.538,9.525
2.106,-9.967,9.954
2.153,-10.362,10.347
2.203,-10.772,10.757
2.253,-11.173,11.157
2.303,-11.565,11.548
2.351,-11.935,11.918
2.374,-12.112,12.095
2.41,-12.375,12.357
2.439,-12.589,12.571
2.475,-12.856,12.837
2.525,-13.213,13.193
2.575,-13.563,13.542
2.625,-13.907,13.885
2.675,-14.244,14.221
2.709,-14.47,14.447
2.741,-14.675,14.651
2.788,-14.978,14.953
2.801,-15.06,15.035
2.813,-15.136,15.111
2.83,-15.244,15.218
2.855,-15.404,15.378
2.875,-15.529,15.503
2.886,-15.594,15.568
2.895,-15.654,15.627
2.905,-15.714,15.688
2.917,-15.786,15.76
2.935,-15.894,15.867
2.962,-16.055,16.027
2.978,-16.152,16.124
2.993,-16.24,16.212
3.01,-16.341,16.313
3.032,-16.471,16.442
3.065,-16.664,16.635
3.114,-16.95,16.92
3.164,-17.234,17.203
3.204,-17.456,17.424
3.254,-17.731,17.699
3.304,-18.002,17.969
3.354,-18.27,18.236
3.397,-18.494,18.46
3.423,-18.63,18.595
3.462,-18.832,18.796
3.489,-18.972,18.935
3.514,-19.098,19.061
3.551,-19.285,19.248
3.601,-19.535,19.497
3.629,-19.671,19.633
3.658,-19.815,19.776
3.7,-20.017,19.977
3.75,-20.255,20.214
3.785,-20.422,20.381
3.834,-20.651,20.609
3.884,-20.884,20.841
3.93,-21.096,21.052
3.98,-21.324,21.28
4.03,-21.55,21.504
4.08,-21.773,21.726
4.111,-21.907,21.86
4.146,-22.059,22.012
4.196,-22.275,22.227
4.246,-22.489,22.44
4.296,-22.702,22.652
4.346,-22.912,22.861
4.374,-23.03,22.979
4.398,-23.13,23.078
4.423,-23.229,23.177
4.459,-23.376,23.324
4.509,-23.577,23.524
4.559,-23.777,23.722
4.601,-23.946,23.89
4.651,-24.142,24.086
4.701,-24.338,24.281
4.751,-24.531,24.474
4.801,-24.723,24.665
4.851,-24.913,24.854
4.901,-25.102,25.042
4.951,-25.288,25.227
5.001,-25.473,25.411
5.051,-25.656,25.593
5.101,-25.838,25.774
5.151,-26.018,25.954
5.201,-26.197,26.132
5.251,-26.375,26.308
5.301,-26.551,26.484
